Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,game_id
BAL,2021-09-19,31,Sun,2,2,,KAN,W 36-35,31,18,11,2,11,6,54.5,1,1,100.0,BAL_KAN_2021-09-19
DET,2021-09-12,31,Sun,1,1,,SFO,L 33-41,31,8,19,4,15,4,26.7,5,2,40.0,DET_SFO_2021-09-12
MIN,2021-01-03,31,Sun,16,17,@,DET,W 37-35,31,8,20,3,13,4,30.8,2,2,100.0,MIN_DET_2021-01-03
BUF,2020-12-28,31,Mon,15,16,@,NWE,W 38-9,31,11,19,1,12,5,41.7,3,3,100.0,BUF_NWE_2020-12-28
BUF,2020-12-07,31,Mon,12,13,@,SFO,W 34-24,31,6,22,3,9,4,44.4,3,2,66.7,BUF_SFO_2020-12-07
LAR,2020-11-01,31,Sun,8,8,@,MIA,L 17-28,31,11,19,1,17,7,41.2,1,0,0.0,LAR_MIA_2020-11-01
CIN,2020-10-25,31,Sun,7,7,,CLE,L 34-37,31,5,24,2,9,6,66.7,1,1,100.0,CIN_CLE_2020-10-25
ARI,2020-10-25,31,Sun,7,7,,SEA,W 37-34 (OT),31,11,17,3,12,5,41.7,2,1,50.0,ARI_SEA_2020-10-25
TEN,2020-10-18,31,Sun,5,6,,HOU,W 42-36 (OT),31,9,20,2,10,6,60.0,0,0,,TEN_HOU_2020-10-18
MIN,2020-10-11,31,Sun,5,5,@,SEA,L 26-27,31,12,17,2,14,6,42.9,3,2,66.7,MIN_SEA_2020-10-11
BUF,2020-09-13,31,Sun,1,1,,NYJ,W 27-17,31,8,17,6,14,7,50.0,1,1,100.0,BUF_NYJ_2020-09-13
GNB,2020-09-13,31,Sun,1,1,@,MIN,W 43-34,31,11,17,3,11,6,54.5,2,1,50.0,GNB_MIN_2020-09-13
BAL,2019-12-22,31,Sun,15,16,@,CLE,W 31-15,31,16,13,2,11,7,63.6,1,0,0.0,BAL_CLE_2019-12-22
BAL,2019-11-25,31,Mon,11,12,@,LAR,W 45-6,31,17,13,1,15,9,60.0,3,3,100.0,BAL_LAR_2019-11-25
SEA,2019-11-03,31,Sun,9,9,,TAM,W 40-34 (OT),31,4,23,4,8,2,25.0,0,0,,SEA_TAM_2019-11-03
ATL,2019-10-13,31,Sun,6,6,@,ARI,L 33-34,31,7,20,4,11,6,54.5,0,0,,ATL_ARI_2019-10-13
HOU,2019-10-06,31,Sun,5,5,,ATL,W 53-32,31,11,18,2,13,10,76.9,0,0,,HOU_ATL_2019-10-06
