Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,game_id
NYJ,2019-09-22,4,Sun,3,3,@,NWE,L 14-30,4,4,3,1,1,0,NYJ_NWE_2019-09-22
OAK,2019-09-22,4,Sun,3,3,@,MIN,L 14-34,4,4,4,2,2,0,OAK_MIN_2019-09-22
BAL,2019-09-22,4,Sun,3,3,@,KAN,L 28-33,4,4,3,2,2,0,BAL_KAN_2019-09-22
LAC,2019-09-22,4,Sun,3,3,,HOU,L 20-27,4,4,3,1,0,0,LAC_HOU_2019-09-22
MIA,2019-09-22,4,Sun,3,3,@,DAL,L 6-31,4,4,4,2,1,0,MIA_DAL_2019-09-22
PIT,2019-09-15,4,Sun,2,2,,SEA,L 26-28,4,4,4,1,0,0,PIT_SEA_2019-09-15
OAK,2019-09-15,4,Sun,2,2,,KAN,L 10-28,4,4,4,0,0,0,OAK_KAN_2019-09-15
WAS,2019-09-15,4,Sun,2,2,,DAL,L 21-31,4,4,4,1,1,0,WAS_DAL_2019-09-15
NYG,2019-09-15,4,Sun,2,2,,BUF,L 14-28,4,4,4,0,0,0,NYG_BUF_2019-09-15
NOR,2019-09-09,4,Mon,1,1,,HOU,W 30-28,4,4,4,0,0,0,NOR_HOU_2019-09-09
IND,2019-09-08,4,Sun,1,1,@,LAC,L 24-30 (OT),4,3,3,1,1,0,IND_LAC_2019-09-08
WAS,2019-09-08,4,Sun,1,1,@,PHI,L 27-32,4,3,3,1,1,0,WAS_PHI_2019-09-08
ATL,2019-09-08,4,Sun,1,1,@,MIN,L 12-28,4,4,4,0,0,0,ATL_MIN_2019-09-08
JAX,2019-09-08,4,Sun,1,1,,KAN,L 26-40,4,4,4,4,4,0,JAX_KAN_2019-09-08
ATL,2018-12-30,4,Sun,16,17,@,TAM,W 34-32,4,2,2,2,2,0,ATL_TAM_2018-12-30
LAR,2018-12-30,4,Sun,16,17,,SFO,W 48-32,4,3,3,1,1,0,LAR_SFO_2018-12-30
DAL,2018-12-30,4,Sun,16,17,@,NYG,W 36-35,4,3,3,2,2,0,DAL_NYG_2018-12-30
GNB,2018-12-30,4,Sun,16,17,,DET,L 0-31,4,4,4,1,1,0,GNB_DET_2018-12-30
TEN,2018-12-30,4,Sun,16,17,,IND,L 17-33,4,4,3,2,2,0,TEN_IND_2018-12-30
NOR,2018-12-30,4,Sun,16,17,,CAR,L 14-33,4,4,3,2,2,0,NOR_CAR_2018-12-30
TAM,2018-12-30,4,Sun,16,17,,ATL,L 32-34,4,4,4,2,2,0,TAM_ATL_2018-12-30
ARI,2018-12-23,4,Sun,15,16,,LAR,L 9-31,4,4,4,2,1,0,ARI_LAR_2018-12-23
HOU,2018-12-23,4,Sun,15,16,@,PHI,L 30-32,4,3,2,2,2,0,HOU_PHI_2018-12-23
PIT,2018-12-23,4,Sun,15,16,@,NOR,L 28-31,4,4,4,2,1,0,PIT_NOR_2018-12-23
PHI,2018-12-23,4,Sun,15,16,,HOU,W 32-30,4,4,3,1,1,0,PHI_HOU_2018-12-23
NYG,2018-12-23,4,Sun,15,16,@,IND,L 27-28,4,4,4,0,0,0,NYG_IND_2018-12-23
KAN,2018-12-13,4,Thu,14,15,,LAC,L 28-29,4,3,3,0,0,0,KAN_LAC_2018-12-13
LAC,2018-12-13,4,Thu,14,15,@,KAN,W 29-28,4,4,4,0,0,0,LAC_KAN_2018-12-13
MIA,2018-12-09,4,Sun,13,14,,NWE,W 34-33,4,4,3,3,2,0,MIA_NWE_2018-12-09
ATL,2018-12-09,4,Sun,13,14,@,GNB,L 20-34,4,4,4,2,2,0,ATL_GNB_2018-12-09
JAX,2018-12-06,4,Thu,13,14,@,TEN,L 9-30,4,4,3,1,1,0,JAX_TEN_2018-12-06
PIT,2018-12-02,4,Sun,12,13,,LAC,L 30-33,4,2,2,2,1,0,PIT_LAC_2018-12-02
KAN,2018-12-02,4,Sun,12,13,@,OAK,W 40-33,4,3,3,2,2,0,KAN_OAK_2018-12-02
LAC,2018-12-02,4,Sun,12,13,@,PIT,W 33-30,4,4,3,1,1,0,LAC_PIT_2018-12-02
TEN,2018-11-26,4,Mon,11,12,@,HOU,L 17-34,4,4,4,2,2,0,TEN_HOU_2018-11-26
OAK,2018-11-25,4,Sun,11,12,@,BAL,L 17-34,4,4,4,2,2,0,OAK_BAL_2018-11-25
ATL,2018-11-22,4,Thu,11,12,@,NOR,L 17-31,4,4,4,1,1,0,ATL_NOR_2018-11-22
WAS,2018-11-22,4,Thu,11,12,@,DAL,L 23-31,4,4,4,1,1,0,WAS_DAL_2018-11-22
NYG,2018-11-18,4,Sun,10,11,,TAM,W 38-35,4,5,5,0,0,0,NYG_TAM_2018-11-18
LAR,2018-11-11,4,Sun,10,10,,SEA,W 36-31,4,4,4,1,1,0,LAR_SEA_2018-11-11
SEA,2018-11-11,4,Sun,9,10,@,LAR,L 31-36,4,3,3,3,3,0,SEA_LAR_2018-11-11
NWE,2018-11-11,4,Sun,10,10,@,TEN,L 10-34,4,4,4,2,2,0,NWE_TEN_2018-11-11
MIA,2018-11-11,4,Sun,10,10,@,GNB,L 12-31,4,4,4,1,1,0,MIA_GNB_2018-11-11
JAX,2018-11-11,4,Sun,9,10,@,IND,L 26-29,4,3,3,1,0,0,JAX_IND_2018-11-11
ATL,2018-11-11,4,Sun,9,10,@,CLE,L 16-28,4,4,4,0,0,0,ATL_CLE_2018-11-11
NYJ,2018-11-11,4,Sun,10,10,,BUF,L 10-41,4,5,5,2,2,0,NYJ_BUF_2018-11-11
DAL,2018-11-05,4,Mon,8,9,,TEN,L 14-28,4,4,4,1,0,0,DAL_TEN_2018-11-05
CAR,2018-11-04,4,Sun,8,9,,TAM,W 42-28,4,4,4,0,0,0,CAR_TAM_2018-11-04
SEA,2018-11-04,4,Sun,8,9,,LAC,L 17-25,4,3,1,1,0,0,SEA_LAC_2018-11-04
NOR,2018-11-04,4,Sun,8,9,,LAR,W 45-35,4,3,3,3,2,0,NOR_LAR_2018-11-04
GNB,2018-11-04,4,Sun,8,9,@,NWE,L 17-31,4,4,4,1,1,0,GNB_NWE_2018-11-04
OAK,2018-11-01,4,Thu,8,9,@,SFO,L 3-34,4,4,4,2,2,0,OAK_SFO_2018-11-01
CIN,2018-10-28,4,Sun,8,8,,TAM,W 37-34,4,3,2,2,2,0,CIN_TAM_2018-10-28
DET,2018-10-28,4,Sun,7,8,,SEA,L 14-28,4,4,4,0,0,0,DET_SEA_2018-10-28
IND,2018-10-28,4,Sun,8,8,@,OAK,W 42-28,4,4,4,0,0,0,IND_OAK_2018-10-28
CLE,2018-10-28,4,Sun,8,8,@,PIT,L 18-33,4,4,4,1,1,1,CLE_PIT_2018-10-28
DEN,2018-10-28,4,Sun,8,8,@,KAN,L 23-30,4,4,3,1,1,0,DEN_KAN_2018-10-28
BAL,2018-10-28,4,Sun,8,8,@,CAR,L 21-36,4,3,3,3,3,0,BAL_CAR_2018-10-28
SFO,2018-10-21,4,Sun,7,7,,LAR,L 10-39,4,4,4,3,3,1,SFO_LAR_2018-10-21
NYJ,2018-10-21,4,Sun,7,7,,MIN,L 17-37,4,4,4,4,3,0,NYJ_MIN_2018-10-21
NWE,2018-10-21,4,Sun,7,7,@,CHI,W 38-31,4,4,4,1,1,0,NWE_CHI_2018-10-21
ATL,2018-10-14,4,Sun,6,6,,TAM,W 34-29,4,3,2,1,1,0,ATL_TAM_2018-10-14
KAN,2018-10-14,4,Sun,6,6,@,NWE,L 40-43,4,4,4,5,5,0,KAN_NWE_2018-10-14
NWE,2018-10-14,4,Sun,6,6,,KAN,W 43-40,4,4,4,4,4,0,NWE_KAN_2018-10-14
JAX,2018-10-14,4,Sun,6,6,@,DAL,L 7-40,4,4,4,4,4,0,JAX_DAL_2018-10-14
NYJ,2018-10-14,4,Sun,6,6,,IND,W 42-34,4,4,4,2,2,0,NYJ_IND_2018-10-14
MIA,2018-10-14,4,Sun,6,6,,CHI,W 31-28 (OT),4,4,4,1,0,0,MIA_CHI_2018-10-14
TAM,2018-10-14,4,Sun,5,6,@,ATL,L 29-34,4,4,4,2,2,0,TAM_ATL_2018-10-14
NYG,2018-10-11,4,Thu,6,6,,PHI,L 13-34,4,4,4,3,2,0,NYG_PHI_2018-10-11
LAR,2018-10-07,4,Sun,5,5,@,SEA,W 33-31,4,4,4,1,1,0,LAR_SEA_2018-10-07
SEA,2018-10-07,4,Sun,5,5,,LAR,L 31-33,4,4,3,2,2,0,SEA_LAR_2018-10-07
DEN,2018-10-07,4,Sun,5,5,@,NYJ,L 16-34,4,4,4,3,2,0,DEN_NYJ_2018-10-07
GNB,2018-10-07,4,Sun,5,5,@,DET,L 23-31,4,4,4,2,1,0,GNB_DET_2018-10-07
SFO,2018-10-07,4,Sun,5,5,,ARI,L 18-28,4,4,4,0,0,0,SFO_ARI_2018-10-07
IND,2018-09-30,4,Sun,4,4,,HOU,L 34-37 (OT),4,4,4,4,3,0,IND_HOU_2018-09-30
HOU,2018-09-30,4,Sun,4,4,@,IND,W 37-34 (OT),4,2,2,2,2,0,HOU_IND_2018-09-30
CIN,2018-09-30,4,Sun,4,4,@,ATL,W 37-36,4,3,3,3,3,0,CIN_ATL_2018-09-30
TAM,2018-09-24,4,Mon,3,3,,PIT,L 27-30,4,4,3,2,1,0,TAM_PIT_2018-09-24
GNB,2018-09-23,4,Sun,3,3,@,WAS,L 17-31,4,4,4,1,1,0,GNB_WAS_2018-09-23
OAK,2018-09-23,4,Sun,3,3,@,MIA,L 20-28,4,4,4,0,0,0,OAK_MIA_2018-09-23
CIN,2018-09-23,4,Sun,3,3,@,CAR,L 21-31,4,4,4,1,1,0,CIN_CAR_2018-09-23
PHI,2018-09-16,4,Sun,2,2,@,TAM,L 21-27,4,4,3,0,0,0,PHI_TAM_2018-09-16
BUF,2018-09-16,4,Sun,2,2,,LAC,L 20-31,4,4,4,1,1,0,BUF_LAC_2018-09-16
ARI,2018-09-16,4,Sun,2,2,@,LAR,L 0-34,4,1,1,1,1,0,ARI_LAR_2018-09-16
GNB,2018-09-16,4,Sun,2,2,,MIN,T 29-29 (OT),4,3,3,3,0,0,GNB_MIN_2018-09-16
NWE,2018-09-16,4,Sun,2,2,@,JAX,L 20-31,4,4,4,1,1,0,NWE_JAX_2018-09-16
CAR,2018-09-16,4,Sun,2,2,@,ATL,L 24-31,4,4,4,1,1,0,CAR_ATL_2018-09-16
BAL,2018-09-13,4,Thu,2,2,@,CIN,L 23-34,4,4,4,2,2,0,BAL_CIN_2018-09-13
IND,2018-09-09,4,Sun,1,1,,CIN,L 23-34,4,4,4,2,2,0,IND_CIN_2018-09-09
BAL,2017-12-31,4,Sun,16,17,,CIN,L 27-31,4,4,4,1,1,0,BAL_CIN_2017-12-31
GNB,2017-12-31,4,Sun,16,17,@,DET,L 11-35,4,3,3,2,2,0,GNB_DET_2017-12-31
NOR,2017-12-31,4,Sun,16,17,@,TAM,L 24-31,4,3,2,1,1,0,NOR_TAM_2017-12-31
LAR,2017-12-31,4,Sun,16,17,,SFO,L 13-34,4,4,4,2,2,0,LAR_SFO_2017-12-31
CLE,2017-12-31,4,Sun,16,17,@,PIT,L 24-28,4,4,4,0,0,0,CLE_PIT_2017-12-31
HOU,2017-12-25,4,Mon,15,16,,PIT,L 6-34,4,4,4,2,2,0,HOU_PIT_2017-12-25
SFO,2017-12-24,4,Sun,15,16,,JAX,W 44-33,4,3,2,1,1,0,SFO_JAX_2017-12-24
BUF,2017-12-24,4,Sun,15,16,@,NWE,L 16-37,4,4,4,3,3,0,BUF_NWE_2017-12-24
TEN,2017-12-24,4,Sun,15,16,,LAR,L 23-27,4,4,3,1,0,0,TEN_LAR_2017-12-24
GNB,2017-12-17,4,Sun,14,15,@,CAR,L 24-31,4,4,4,1,1,0,GNB_CAR_2017-12-17
CIN,2017-12-17,4,Sun,14,15,@,MIN,L 7-34,4,4,4,2,2,0,CIN_MIN_2017-12-17
NYJ,2017-12-17,4,Sun,14,15,@,NOR,L 19-31,4,4,4,1,1,0,NYJ_NOR_2017-12-17
PHI,2017-12-17,4,Sun,14,15,@,NYG,W 34-29,4,3,2,2,1,0,PHI_NYG_2017-12-17
NYG,2017-12-17,4,Sun,14,15,,PHI,L 29-34,4,4,4,2,2,0,NYG_PHI_2017-12-17
MIN,2017-12-10,4,Sun,13,14,@,CAR,L 24-31,4,4,4,1,1,0,MIN_CAR_2017-12-10
CIN,2017-12-10,4,Sun,13,14,,CHI,L 7-33,4,4,3,2,2,0,CIN_CHI_2017-12-10
NYG,2017-12-10,4,Sun,13,14,,DAL,L 10-30,4,4,3,3,1,0,NYG_DAL_2017-12-10
CLE,2017-12-10,4,Sun,13,14,,GNB,L 21-27 (OT),4,3,3,0,0,0,CLE_GNB_2017-12-10
BAL,2017-12-10,4,Sun,13,14,@,PIT,L 38-39,4,3,3,4,4,0,BAL_PIT_2017-12-10
NYJ,2017-12-03,4,Sun,12,13,,KAN,W 38-31,4,4,4,2,1,0,NYJ_KAN_2017-12-03
DEN,2017-12-03,4,Sun,12,13,@,MIA,L 9-35,4,4,4,1,1,2,DEN_MIA_2017-12-03
CAR,2017-12-03,4,Sun,12,13,@,NOR,L 21-31,4,4,4,2,1,0,CAR_NOR_2017-12-03
KAN,2017-12-03,4,Sun,12,13,@,NYJ,L 31-38,4,3,3,3,3,0,KAN_NYJ_2017-12-03
TAM,2017-11-26,4,Sun,11,12,@,ATL,L 20-34,4,4,4,2,2,0,TAM_ATL_2017-11-26
NYJ,2017-11-26,4,Sun,11,12,,CAR,L 27-35,4,1,0,3,3,0,NYJ_CAR_2017-11-26
PIT,2017-11-26,4,Sun,11,12,,GNB,W 31-28,4,4,4,1,0,0,PIT_GNB_2017-11-26
GNB,2017-11-26,4,Sun,11,12,@,PIT,L 28-31,4,3,2,1,1,0,GNB_PIT_2017-11-26
DET,2017-11-23,4,Thu,11,12,,MIN,L 23-30,4,4,3,2,1,0,DET_MIN_2017-11-23
DAL,2017-11-23,4,Thu,11,12,,LAC,L 6-28,4,4,1,2,1,0,DAL_LAC_2017-11-23
SEA,2017-11-20,4,Mon,10,11,,ATL,L 31-34,4,4,4,2,2,0,SEA_ATL_2017-11-20
ARI,2017-11-19,4,Sun,10,11,@,HOU,L 21-31,4,4,4,1,1,0,ARI_HOU_2017-11-19
NOR,2017-11-19,4,Sun,10,11,,WAS,W 34-31 (OT),4,4,4,1,1,0,NOR_WAS_2017-11-19
TEN,2017-11-16,4,Thu,10,11,@,PIT,L 17-40,4,4,4,4,4,0,TEN_PIT_2017-11-16
NYG,2017-11-12,4,Sun,9,10,@,SFO,L 21-31,4,4,4,1,1,0,NYG_SFO_2017-11-12
KAN,2017-11-05,4,Sun,9,9,@,DAL,L 17-28,4,4,4,0,0,0,KAN_DAL_2017-11-05
TAM,2017-11-05,4,Sun,8,9,@,NOR,L 10-30,4,4,3,2,1,0,TAM_NOR_2017-11-05
BUF,2017-11-02,4,Thu,8,9,@,NYJ,L 21-34,4,4,4,2,2,0,BUF_NYJ_2017-11-02
OAK,2017-10-29,4,Sun,8,8,@,BUF,L 14-34,4,4,4,2,2,0,OAK_BUF_2017-10-29
SFO,2017-10-29,4,Sun,8,8,@,PHI,L 10-33,4,3,1,2,2,0,SFO_PHI_2017-10-29
MIA,2017-10-26,4,Thu,7,8,@,BAL,L 0-40,4,4,4,3,2,0,MIA_BAL_2017-10-26
WAS,2017-10-23,4,Mon,6,7,@,PHI,L 24-34,4,4,4,3,2,0,WAS_PHI_2017-10-23
NYJ,2017-10-22,4,Sun,7,7,@,MIA,L 28-31,4,4,4,1,1,0,NYJ_MIA_2017-10-22
MIA,2017-10-22,4,Sun,6,7,,NYJ,W 31-28,4,4,4,0,0,0,MIA_NYJ_2017-10-22
KAN,2017-10-19,4,Thu,7,7,@,OAK,L 30-31,4,4,4,3,1,0,KAN_OAK_2017-10-19
CLE,2017-10-15,4,Sun,6,6,@,HOU,L 17-33,4,3,2,1,1,1,CLE_HOU_2017-10-15
GNB,2017-10-08,4,Sun,5,5,@,DAL,W 35-31,4,4,4,1,1,0,GNB_DAL_2017-10-08
PIT,2017-10-08,4,Sun,5,5,,JAX,L 9-30,4,4,3,1,1,0,PIT_JAX_2017-10-08
HOU,2017-10-08,4,Sun,5,5,,KAN,L 34-42,4,3,3,5,5,0,HOU_KAN_2017-10-08
ARI,2017-10-08,4,Sun,5,5,@,PHI,L 7-34,4,4,4,2,2,0,ARI_PHI_2017-10-08
NWE,2017-10-01,4,Sun,4,4,,CAR,L 30-33,4,4,3,2,2,0,NWE_CAR_2017-10-01
CLE,2017-10-01,4,Sun,4,4,,CIN,L 7-31,4,4,4,1,1,0,CLE_CIN_2017-10-01
LAR,2017-10-01,4,Sun,4,4,@,DAL,W 35-30,4,3,3,1,1,0,LAR_DAL_2017-10-01
ARI,2017-09-25,4,Mon,3,3,,DAL,L 17-28,4,4,4,0,0,0,ARI_DAL_2017-09-25
IND,2017-09-24,4,Sun,3,3,,CLE,W 31-28,4,4,4,0,0,0,IND_CLE_2017-09-24
CLE,2017-09-24,4,Sun,3,3,@,IND,L 28-31,4,4,4,1,1,0,CLE_IND_2017-09-24
TAM,2017-09-24,4,Sun,2,3,@,MIN,L 17-34,4,4,4,2,2,0,TAM_MIN_2017-09-24
CAR,2017-09-24,4,Sun,3,3,,NOR,L 13-34,4,4,4,3,2,0,CAR_NOR_2017-09-24
TEN,2017-09-24,4,Sun,3,3,,SEA,W 33-27,4,3,3,0,0,0,TEN_SEA_2017-09-24
GNB,2017-09-17,4,Sun,2,2,@,ATL,L 23-34,4,4,4,2,2,0,GNB_ATL_2017-09-17
NOR,2017-09-17,4,Sun,2,2,,NWE,L 20-36,4,4,3,3,3,0,NOR_NWE_2017-09-17
JAX,2017-09-17,4,Sun,2,2,,TEN,L 16-37,4,4,4,3,3,0,JAX_TEN_2017-09-17
TAM,2023-01-08,3,Sun,17,18,@,ATL,L 17-30,3,3,3,3,3,0,TAM_ATL_2023-01-08
BAL,2023-01-08,3,Sun,17,18,@,CIN,L 16-27,3,3,3,2,2,0,BAL_CIN_2023-01-08
CHI,2023-01-08,3,Sun,17,18,,MIN,L 13-29,3,3,2,3,3,0,CHI_MIN_2023-01-08
BUF,2023-01-08,3,Sun,16,18,,NWE,W 35-23,3,2,2,1,1,0,BUF_NWE_2023-01-08
CLE,2023-01-08,3,Sun,17,18,@,PIT,L 14-28,3,2,2,2,2,0,CLE_PIT_2023-01-08
DEN,2023-01-08,3,Sun,17,18,,LAC,W 31-28,3,2,2,2,2,0,DEN_LAC_2023-01-08
DAL,2023-01-08,3,Sun,17,18,@,WAS,L 6-26,3,3,2,4,2,0,DAL_WAS_2023-01-08
KAN,2023-01-01,3,Sun,16,17,,DEN,W 27-24,3,3,3,1,1,0,KAN_DEN_2023-01-01
NWE,2023-01-01,3,Sun,16,17,,MIA,W 23-21,3,3,3,1,0,0,NWE_MIA_2023-01-01
MIA,2023-01-01,3,Sun,16,17,@,NWE,L 21-23,3,3,2,1,1,0,MIA_NWE_2023-01-01
TAM,2023-01-01,3,Sun,16,17,,CAR,W 30-24,3,3,3,1,1,0,TAM_CAR_2023-01-01
WAS,2023-01-01,3,Sun,16,17,,CLE,L 10-24,3,3,3,1,1,0,WAS_CLE_2023-01-01
TEN,2022-12-29,3,Thu,16,17,,DAL,L 13-27,3,3,3,2,2,0,TEN_DAL_2022-12-29
NWE,2022-12-24,3,Sat,15,16,,CIN,L 18-22,3,2,1,2,1,0,NWE_CIN_2022-12-24
CIN,2022-12-24,3,Sat,15,16,@,NWE,W 22-18,3,2,0,0,0,0,CIN_NWE_2022-12-24
SEA,2022-12-24,3,Sat,15,16,@,KAN,L 10-24,3,3,3,1,1,0,SEA_KAN_2022-12-24
SFO,2022-12-24,3,Sat,15,16,,WAS,W 37-20,3,2,2,0,0,0,SFO_WAS_2022-12-24
NYG,2022-12-24,3,Sat,15,16,@,MIN,L 24-27,3,3,3,2,2,0,NYG_MIN_2022-12-24
CAR,2022-12-24,3,Sat,15,16,,DET,W 37-23,3,2,2,1,1,0,CAR_DET_2022-12-24
LAR,2022-12-19,3,Mon,14,15,@,GNB,L 12-24,3,3,3,1,1,0,LAR_GNB_2022-12-19
CIN,2022-12-18,3,Sun,14,15,@,TAM,W 34-23,3,2,2,2,1,0,CIN_TAM_2022-12-18
ARI,2022-12-18,3,Sun,14,15,@,DEN,L 15-24,3,3,3,2,1,0,ARI_DEN_2022-12-18
PHI,2022-12-18,3,Sun,14,15,@,CHI,W 25-20,3,3,2,0,0,0,PHI_CHI_2022-12-18
ATL,2022-12-18,3,Sun,14,15,@,NOR,L 18-21,3,3,3,0,0,0,ATL_NOR_2022-12-18
CAR,2022-12-18,3,Sun,14,15,,PIT,L 16-24,3,3,3,1,1,0,CAR_PIT_2022-12-18
KAN,2022-12-18,3,Sun,14,15,@,HOU,W 30-24 (OT),3,3,3,1,1,0,KAN_HOU_2022-12-18
CHI,2022-12-18,3,Sun,14,15,,PHI,L 20-25,3,2,2,2,1,0,CHI_PHI_2022-12-18
BUF,2022-12-17,3,Sat,14,15,,MIA,W 32-29,3,2,2,3,3,0,BUF_MIA_2022-12-17
SEA,2022-12-15,3,Thu,14,15,,SFO,L 13-21,3,3,3,1,0,0,SEA_SFO_2022-12-15
ARI,2022-12-12,3,Mon,13,14,,NWE,L 13-27,3,3,3,2,2,0,ARI_NWE_2022-12-12
JAX,2022-12-11,3,Sun,13,14,@,TEN,W 36-22,3,2,2,0,0,0,JAX_TEN_2022-12-11
CLE,2022-12-11,3,Sun,13,14,@,CIN,L 10-23,3,3,2,1,1,0,CLE_CIN_2022-12-11
CAR,2022-12-11,3,Sun,13,14,@,SEA,W 30-24,3,3,3,1,1,0,CAR_SEA_2022-12-11
SEA,2022-12-11,3,Sun,13,14,,CAR,L 24-30,3,3,3,3,3,0,SEA_CAR_2022-12-11
HOU,2022-12-11,3,Sun,13,14,@,DAL,L 23-27,3,3,3,2,2,0,HOU_DAL_2022-12-11
PHI,2022-12-11,3,Sun,13,14,@,NYG,W 48-22,3,2,2,0,0,0,PHI_NYG_2022-12-11
DET,2022-12-11,3,Sun,13,14,,MIN,W 34-23,3,2,2,1,1,0,DET_MIN_2022-12-11
CHI,2022-12-04,3,Sun,13,13,,GNB,L 19-28,3,2,2,2,2,0,CHI_GNB_2022-12-04
MIA,2022-12-04,3,Sun,12,13,@,SFO,L 17-33,3,3,3,4,4,0,MIA_SFO_2022-12-04
KAN,2022-12-04,3,Sun,12,13,@,CIN,L 24-27,3,3,3,2,2,0,KAN_CIN_2022-12-04
LAR,2022-12-04,3,Sun,12,13,,SEA,L 23-27,3,3,3,2,2,0,LAR_SEA_2022-12-04
HOU,2022-12-04,3,Sun,12,13,,CLE,L 14-27,3,3,3,2,2,0,HOU_CLE_2022-12-04
CIN,2022-12-04,3,Sun,12,13,,KAN,W 27-24,3,3,3,2,1,0,CIN_KAN_2022-12-04
NYJ,2022-12-04,3,Sun,12,13,@,MIN,L 22-27,3,3,3,2,2,0,NYJ_MIN_2022-12-04
LAC,2022-12-04,3,Sun,12,13,@,LVR,L 20-27,3,3,3,3,2,0,LAC_LVR_2022-12-04
NWE,2022-12-01,3,Thu,12,13,,BUF,L 10-24,3,3,3,1,1,0,NWE_BUF_2022-12-01
HOU,2022-11-27,3,Sun,11,12,@,MIA,L 15-30,3,3,3,3,3,0,HOU_MIA_2022-11-27
LAC,2022-11-27,3,Sun,11,12,@,ARI,W 25-24,3,3,3,2,1,0,LAC_ARI_2022-11-27
TAM,2022-11-27,3,Sun,11,12,@,CLE,L 17-23 (OT),3,2,2,2,1,0,TAM_CLE_2022-11-27
BAL,2022-11-27,3,Sun,11,12,@,JAX,L 27-28,3,2,2,2,2,0,BAL_JAX_2022-11-27
ARI,2022-11-27,3,Sun,12,12,,LAC,L 24-25,3,2,2,1,1,0,ARI_LAC_2022-11-27
DET,2022-11-24,3,Thu,11,12,,BUF,L 25-28,3,3,2,2,2,1,DET_BUF_2022-11-24
BUF,2022-11-24,3,Thu,11,12,@,DET,W 28-25,3,2,2,2,1,0,BUF_DET_2022-11-24
ATL,2022-11-20,3,Sun,11,11,,CHI,W 27-24,3,3,3,2,1,0,ATL_CHI_2022-11-20
LAR,2022-11-20,3,Sun,10,11,@,NOR,L 20-27,3,3,3,2,2,0,LAR_NOR_2022-11-20
CIN,2022-11-20,3,Sun,10,11,@,PIT,W 37-30,3,3,3,3,3,0,CIN_PIT_2022-11-20
CHI,2022-11-20,3,Sun,11,11,@,ATL,L 24-27,3,3,3,2,2,0,CHI_ATL_2022-11-20
BUF,2022-11-20,3,Sun,10,11,,CLE,W 31-23,3,2,2,2,1,0,BUF_CLE_2022-11-20
LAC,2022-11-20,3,Sun,10,11,,KAN,L 27-30,3,3,3,3,3,0,LAC_KAN_2022-11-20
DET,2022-11-20,3,Sun,10,11,@,NYG,W 31-18,3,2,0,0,0,0,DET_NYG_2022-11-20
KAN,2022-11-20,3,Sun,10,11,@,LAC,W 30-27,3,3,3,2,2,0,KAN_LAC_2022-11-20
PHI,2022-11-14,3,Mon,9,10,,WAS,L 21-32,3,2,2,4,4,0,PHI_WAS_2022-11-14
WAS,2022-11-14,3,Mon,10,10,@,PHI,W 32-21,3,3,3,0,0,0,WAS_PHI_2022-11-14
SEA,2022-11-13,3,Sun,10,10,@,TAM,L 16-21,3,3,3,1,0,0,SEA_TAM_2022-11-13
MIN,2022-11-13,3,Sun,9,10,@,BUF,W 33-30 (OT),3,3,3,3,3,0,MIN_BUF_2022-11-13
LAR,2022-11-13,3,Sun,9,10,,ARI,L 17-27,3,3,3,2,2,0,LAR_ARI_2022-11-13
HOU,2022-11-13,3,Sun,9,10,@,NYG,L 16-24,3,3,3,1,1,0,HOU_NYG_2022-11-13
LVR,2022-11-13,3,Sun,9,10,,IND,L 20-25,3,1,1,3,2,0,LVR_IND_2022-11-13
IND,2022-11-13,3,Sun,10,10,@,LVR,W 25-20,3,2,2,0,0,0,IND_LVR_2022-11-13
NOR,2022-11-07,3,Mon,9,9,,BAL,L 13-27,3,3,3,2,2,0,NOR_BAL_2022-11-07
SEA,2022-11-06,3,Sun,9,9,@,ARI,W 31-21,3,3,3,0,0,0,SEA_ARI_2022-11-06
CIN,2022-11-06,3,Sun,9,9,,CAR,W 42-21,3,3,3,0,0,0,CIN_CAR_2022-11-06
LVR,2022-11-06,3,Sun,8,9,@,JAX,L 20-27,3,3,3,3,2,0,LVR_JAX_2022-11-06
JAX,2022-10-30,3,Sun,8,8,,DEN,L 17-21,3,3,3,0,0,0,JAX_DEN_2022-10-30
GNB,2022-10-30,3,Sun,8,8,@,BUF,L 17-27,3,3,3,2,2,0,GNB_BUF_2022-10-30
MIN,2022-10-30,3,Sun,7,8,,ARI,W 34-26,3,2,2,2,2,0,MIN_ARI_2022-10-30
LVR,2022-10-30,3,Sun,7,8,@,NOR,L 0-24,3,3,3,2,1,0,LVR_NOR_2022-10-30
NYG,2022-10-30,3,Sun,8,8,@,SEA,L 13-27,3,3,3,2,2,0,NYG_SEA_2022-10-30
MIA,2022-10-30,3,Sun,8,8,@,DET,W 31-27,3,3,3,2,2,0,MIA_DET_2022-10-30
TAM,2022-10-27,3,Thu,8,8,,BAL,L 22-27,3,3,3,3,2,0,TAM_BAL_2022-10-27
NWE,2022-10-24,3,Mon,7,7,,CHI,L 14-33,3,3,3,4,4,0,NWE_CHI_2022-10-24
WAS,2022-10-23,3,Sun,7,7,,GNB,W 23-21,3,3,3,0,0,0,WAS_GNB_2022-10-23
TAM,2022-10-23,3,Sun,7,7,@,CAR,L 3-21,3,3,3,0,0,0,TAM_CAR_2022-10-23
