Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,game_id
WAS,2019-12-22,6,Sun,15,16,,NYG,L 35-41 (OT),6,5,5,1,0,0,WAS_NYG_2019-12-22
NYJ,2019-12-12,6,Thu,14,15,@,BAL,L 21-42,6,5,4,0,0,0,NYJ_BAL_2019-12-12
SFO,2019-12-08,6,Sun,13,14,@,NOR,W 48-46,6,4,4,2,2,0,SFO_NOR_2019-12-08
NOR,2019-12-08,6,Sun,13,14,,SFO,L 46-48,6,6,6,2,2,0,NOR_SFO_2019-12-08
OAK,2019-12-08,6,Sun,13,14,,TEN,L 21-42,6,6,6,1,0,0,OAK_TEN_2019-12-08
JAX,2019-12-08,6,Sun,13,14,,LAC,L 10-45,6,6,6,1,1,0,JAX_LAC_2019-12-08
LAR,2019-11-25,6,Mon,11,12,,BAL,L 6-45,6,6,6,1,1,0,LAR_BAL_2019-11-25
JAX,2019-11-24,6,Sun,11,12,@,TEN,L 20-42,6,6,6,0,0,0,JAX_TEN_2019-11-24
OAK,2019-10-20,6,Sun,6,7,@,GNB,L 24-42,6,6,6,0,0,0,OAK_GNB_2019-10-20
DET,2019-10-20,6,Sun,6,7,,MIN,L 30-42,6,6,6,1,0,0,DET_MIN_2019-10-20
MIA,2019-09-15,6,Sun,2,2,,NWE,L 0-43,6,6,4,2,1,0,MIA_NWE_2019-09-15
MIA,2018-12-30,6,Sun,16,17,@,BUF,L 17-42,6,6,6,1,0,0,MIA_BUF_2018-12-30
SFO,2018-12-30,6,Sun,16,17,@,LAR,L 32-48,6,6,6,2,2,0,SFO_LAR_2018-12-30
SFO,2018-12-02,6,Sun,12,13,@,SEA,L 16-43,6,6,4,1,1,0,SFO_SEA_2018-12-02
ARI,2018-11-25,6,Sun,11,12,@,LAC,L 10-45,6,6,6,1,1,0,ARI_LAC_2018-11-25
PHI,2018-11-18,6,Sun,10,11,@,NOR,L 7-48,6,6,6,2,2,0,PHI_NOR_2018-11-18
CIN,2018-11-11,6,Sun,9,10,,NOR,L 14-51,6,6,6,3,3,0,CIN_NOR_2018-11-11
TAM,2018-11-04,6,Sun,8,9,@,CAR,L 28-42,6,6,6,0,0,0,TAM_CAR_2018-11-04
LAR,2018-11-04,6,Sun,9,9,@,NOR,L 35-45,6,6,6,1,1,0,LAR_NOR_2018-11-04
MIA,2018-10-25,6,Thu,8,8,@,HOU,L 23-42,6,6,6,0,0,0,MIA_HOU_2018-10-25
CIN,2018-10-21,6,Sun,7,7,@,KAN,L 10-45,6,6,6,2,1,0,CIN_KAN_2018-10-21
ARI,2018-10-18,6,Thu,7,7,,DEN,L 10-45,6,6,6,1,1,0,ARI_DEN_2018-10-18
WAS,2018-10-08,6,Mon,4,5,@,NOR,L 19-43,6,5,4,1,1,0,WAS_NOR_2018-10-08
ATL,2018-10-07,6,Sun,5,5,@,PIT,L 17-41,6,6,5,0,0,0,ATL_PIT_2018-10-07
TAM,2018-09-30,6,Sun,4,4,@,CHI,L 10-48,6,6,6,2,2,0,TAM_CHI_2018-09-30
PIT,2018-09-16,6,Sun,2,2,,KAN,L 37-42,6,6,6,0,0,0,PIT_KAN_2018-09-16
DET,2018-09-10,6,Mon,1,1,,NYJ,L 17-48,6,6,6,2,2,0,DET_NYJ_2018-09-10
NOR,2018-09-09,6,Sun,1,1,,TAM,L 40-48,6,6,6,3,2,0,NOR_TAM_2018-09-09
BUF,2018-09-09,6,Sun,1,1,@,BAL,L 3-47,6,5,5,2,2,0,BUF_BAL_2018-09-09
JAX,2017-12-24,6,Sun,15,16,@,SFO,L 33-44,6,6,5,1,1,0,JAX_SFO_2017-12-24
HOU,2017-12-17,6,Sun,14,15,@,JAX,L 7-45,6,6,6,1,1,0,HOU_JAX_2017-12-17
BUF,2017-11-19,6,Sun,10,11,@,LAC,L 24-54,6,6,6,5,4,0,BUF_LAC_2017-11-19
MIA,2017-11-13,6,Mon,9,10,@,CAR,L 21-45,6,6,6,1,1,0,MIA_CAR_2017-11-13
BUF,2017-11-12,6,Sun,9,10,,NOR,L 10-47,6,6,5,2,2,0,BUF_NOR_2017-11-12
NYG,2017-11-05,6,Sun,8,9,,LAR,L 17-51,6,6,6,3,3,0,NYG_LAR_2017-11-05
SFO,2017-10-22,6,Sun,7,7,,DAL,L 10-40,6,5,4,0,0,0,SFO_DAL_2017-10-22
IND,2017-10-01,6,Sun,4,4,@,SEA,L 18-46,6,5,5,2,1,0,IND_SEA_2017-10-01
