Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,game_id
MIA,2022-01-09,43,Sun,17,18,,NWE,W 33-24,43,195,4.5,1,MIA_NWE_2022-01-09
WAS,2021-11-29,43,Mon,11,12,,SEA,W 17-15,43,152,3.5,1,WAS_SEA_2021-11-29
BAL,2021-11-28,43,Sun,11,12,,CLE,W 16-10,43,148,3.4,0,BAL_CLE_2021-11-28
ARI,2020-12-13,43,Sun,13,14,@,NYG,W 26-7,43,159,3.7,1,ARI_NYG_2020-12-13
NWE,2020-12-06,43,Sun,12,13,@,LAC,W 45-0,43,165,3.8,2,NWE_LAC_2020-12-06
SEA,2019-12-02,43,Mon,12,13,,MIN,W 37-30,43,218,5.1,2,SEA_MIN_2019-12-02
BAL,2019-10-13,43,Sun,6,6,,CIN,W 23-17,43,269,6.3,2,BAL_CIN_2019-10-13
SEA,2019-10-03,43,Thu,5,5,,LAR,W 30-29,43,167,3.9,0,SEA_LAR_2019-10-03
SEA,2018-12-23,43,Sun,15,16,,KAN,W 38-31,43,210,4.9,2,SEA_KAN_2018-12-23
BAL,2018-11-25,43,Sun,11,12,,OAK,W 34-17,43,242,5.6,1,BAL_OAK_2018-11-25
JAX,2018-11-18,43,Sun,10,11,,PIT,L 16-20,43,179,4.2,1,JAX_PIT_2018-11-18
BUF,2018-10-07,43,Sun,5,5,,TEN,W 13-12,43,144,3.3,1,BUF_TEN_2018-10-07
BAL,2022-12-11,42,Sun,13,14,@,PIT,W 16-14,42,215,5.1,1,BAL_PIT_2022-12-11
TEN,2021-12-19,42,Sun,14,15,@,PIT,L 13-19,42,201,4.8,1,TEN_PIT_2021-12-19
MIA,2021-12-19,42,Sun,14,15,,NYJ,W 31-24,42,183,4.4,2,MIA_NYJ_2021-12-19
SFO,2021-11-21,42,Sun,10,11,@,JAX,W 30-10,42,171,4.1,1,SFO_JAX_2021-11-21
CLE,2021-09-26,42,Sun,3,3,,CHI,W 26-6,42,215,5.1,1,CLE_CHI_2021-09-26
CHI,2020-12-20,42,Sun,14,15,@,MIN,W 33-27,42,199,4.7,2,CHI_MIN_2020-12-20
MIA,2020-12-20,42,Sun,14,15,,NWE,W 22-12,42,250,6.0,3,MIA_NWE_2020-12-20
NYG,2020-11-29,42,Sun,11,12,@,CIN,W 19-17,42,142,3.4,1,NYG_CIN_2020-11-29
NOR,2020-10-04,42,Sun,4,4,@,DET,W 35-29,42,164,3.9,3,NOR_DET_2020-10-04
NWE,2020-09-13,42,Sun,1,1,,MIA,W 21-11,42,217,5.2,3,NWE_MIA_2020-09-13
SFO,2019-09-15,42,Sun,2,2,@,CIN,W 41-17,42,259,6.2,2,SFO_CIN_2019-09-15
