Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,game_id
NYG,2019-09-08,33,Sun,1,1,@,DAL,L 17-35,33,48,15,68.8,319,1,0,2.1,0.0,94.4,1,4,2.04,6.6,6.51,7.06,6.92,9.7,NYG_DAL_2019-09-08
PIT,2018-12-23,33,Sun,15,16,@,NOR,L 28-31,33,50,17,66.0,364,3,0,6.0,0.0,108.7,3,16,5.66,7.3,6.87,8.48,8.00,11.0,PIT_NOR_2018-12-23
IND,2018-12-02,33,Sun,12,13,@,JAX,L 0-6,33,52,19,63.5,224,0,1,0.0,1.9,66.8,3,24,5.45,4.3,4.07,3.44,3.25,6.8,IND_JAX_2018-12-02
KAN,2018-11-19,33,Mon,11,11,@,LAR,L 51-54,33,46,13,71.7,448,6,3,13.0,6.5,117.6,3,30,6.12,9.7,9.14,9.41,8.84,13.6,KAN_LAR_2018-11-19
JAX,2018-10-07,33,Sun,5,5,@,KAN,L 14-30,33,61,28,54.1,401,1,4,1.6,6.6,54.7,5,29,7.58,6.6,6.08,3.95,3.65,12.2,JAX_KAN_2018-10-07
HOU,2018-10-07,33,Sun,5,5,,DAL,W 19-16 (OT),33,44,11,75.0,374,1,1,2.3,2.3,98.2,1,1,2.22,8.5,8.31,7.93,7.76,11.3,HOU_DAL_2018-10-07
PHI,2018-09-30,33,Sun,4,4,@,TEN,L 23-26 (OT),33,50,17,66.0,315,2,0,4.0,0.0,99.4,4,33,7.41,6.3,5.83,7.10,6.57,9.5,PHI_TEN_2018-09-30
NYG,2018-09-16,33,Sun,2,2,@,DAL,L 13-20,33,44,11,75.0,220,1,0,2.3,0.0,98.6,6,59,12.00,5.0,4.40,5.45,4.80,6.7,NYG_DAL_2018-09-16
WAS,2018-09-16,33,Sun,2,2,,IND,L 9-21,33,46,13,71.7,269,0,0,0.0,0.0,88.3,3,23,6.12,5.8,5.49,5.85,5.49,8.2,WAS_IND_2018-09-16
TAM,2022-12-25,32,Sun,15,16,@,ARI,W 19-16 (OT),32,48,16,66.7,281,1,2,2.1,4.2,71.6,0,0,0.00,5.9,5.85,4.40,4.40,8.8,TAM_ARI_2022-12-25
PIT,2022-10-23,32,Sun,7,7,@,MIA,L 10-16,32,44,12,72.7,246,1,3,2.3,6.8,66.2,2,11,4.35,5.6,5.35,2.98,2.85,7.7,PIT_MIA_2022-10-23
TAM,2022-10-23,32,Sun,7,7,@,CAR,L 3-21,32,49,17,65.3,276,0,0,0.0,0.0,81.2,1,14,2.00,5.6,5.52,5.63,5.52,8.6,TAM_CAR_2022-10-23
NOR,2022-10-20,32,Thu,7,7,@,ARI,L 34-42,32,49,17,65.3,409,4,3,8.2,6.1,93.0,0,0,0.00,8.3,8.35,7.22,7.22,12.8,NOR_ARI_2022-10-20
LAR,2022-10-03,32,Mon,4,4,@,SFO,L 9-24,32,48,16,66.7,200,0,1,0.0,2.1,71.0,7,54,12.73,4.2,3.64,3.23,2.82,6.3,LAR_SFO_2022-10-03
SEA,2022-09-25,32,Sun,3,3,,ATL,L 23-27,32,44,12,72.7,308,2,1,4.5,2.3,99.1,2,17,4.35,7.0,6.70,6.89,6.59,9.6,SEA_ATL_2022-09-25
IND,2022-09-11,32,Sun,1,1,@,HOU,T 20-20 (OT),32,50,18,64.0,340,1,1,2.0,2.0,83.1,2,12,3.85,6.8,6.54,6.30,6.06,10.6,IND_HOU_2022-09-11
ARI,2021-12-13,32,Mon,13,14,,LAR,L 23-30,32,49,17,65.3,344,0,2,0.0,4.1,72.1,4,39,7.55,7.0,6.49,5.18,4.79,10.8,ARI_LAR_2021-12-13
DAL,2021-11-25,32,Thu,11,12,,LVR,L 33-36 (OT),32,47,15,68.1,373,2,0,4.3,0.0,106.2,1,2,2.08,7.9,7.77,8.79,8.60,11.7,DAL_LVR_2021-11-25
TAM,2021-11-22,32,Mon,10,11,,NYG,W 30-10,32,48,16,66.7,308,2,1,4.2,2.1,90.5,1,10,2.04,6.4,6.29,6.31,6.18,9.6,TAM_NYG_2021-11-22
LAC,2021-11-07,32,Sun,8,9,@,PHI,W 27-24,32,38,6,84.2,356,2,0,5.3,0.0,123.2,0,0,0.00,9.4,9.37,10.42,10.42,11.1,LAC_PHI_2021-11-07
JAX,2021-10-31,32,Sun,7,8,@,SEA,L 7-31,32,54,22,59.3,227,1,1,1.9,1.9,68.3,1,11,1.82,4.2,4.13,3.74,3.67,7.1,JAX_SEA_2021-10-31
MIA,2021-10-24,32,Sun,7,7,,ATL,L 28-30,32,40,8,80.0,281,4,2,10.0,5.0,109.5,1,10,2.44,7.0,6.85,6.78,6.61,8.8,MIA_ATL_2021-10-24
KAN,2021-10-17,32,Sun,6,6,@,WAS,W 31-13,32,47,15,68.1,390,2,2,4.3,4.3,90.5,3,7,6.00,8.3,7.80,7.23,6.80,12.2,KAN_WAS_2021-10-17
PHI,2021-10-03,32,Sun,4,4,,KAN,L 30-42,32,48,16,66.7,358,2,0,4.2,0.0,105.1,3,29,5.88,7.5,7.02,8.29,7.80,11.2,PHI_KAN_2021-10-03
MIA,2021-09-26,32,Sun,3,3,@,LVR,L 28-31 (OT),32,49,17,65.3,197,0,0,0.0,0.0,74.8,2,18,3.92,4.0,3.86,4.02,3.86,6.2,MIA_LVR_2021-09-26
TAM,2021-09-09,32,Thu,1,1,,DAL,W 31-29,32,50,18,64.0,379,4,2,8.0,4.0,97.0,0,0,0.00,7.6,7.58,7.38,7.38,11.8,TAM_DAL_2021-09-09
LVR,2020-12-13,32,Sun,13,14,,IND,L 27-44,32,46,14,69.6,345,2,2,4.3,4.3,87.7,0,0,0.00,7.5,7.50,6.41,6.41,10.8,LVR_IND_2020-12-13
BUF,2020-12-07,32,Mon,12,13,@,SFO,W 34-24,32,40,8,80.0,368,4,0,10.0,0.0,139.1,1,7,2.44,9.2,8.98,11.20,10.93,11.5,BUF_SFO_2020-12-07
PIT,2020-11-22,32,Sun,10,11,@,JAX,W 27-3,32,46,14,69.6,267,2,1,4.3,2.2,89.7,0,0,0.00,5.8,5.80,5.70,5.70,8.3,PIT_JAX_2020-11-22
PIT,2020-10-25,32,Sun,6,7,@,TEN,W 27-24,32,49,17,65.3,268,2,3,4.1,6.1,67.4,0,0,0.00,5.5,5.47,3.53,3.53,8.4,PIT_TEN_2020-10-25
LVR,2020-10-04,32,Sun,4,4,,BUF,L 23-30,32,44,12,72.7,297,2,0,4.5,0.0,107.3,2,14,4.35,6.8,6.46,7.66,7.33,9.3,LVR_BUF_2020-10-04
SFO,2020-10-04,32,Sun,4,4,,PHI,L 20-25,32,45,13,71.1,301,1,2,2.2,4.4,81.5,5,37,10.00,6.7,6.02,5.13,4.62,9.4,SFO_PHI_2020-10-04
WAS,2020-10-04,32,Sun,4,4,,BAL,L 17-31,32,45,13,71.1,274,0,0,0.0,0.0,90.4,3,40,6.25,6.1,5.71,6.09,5.71,8.6,WAS_BAL_2020-10-04
