Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,game_id
NYJ,2018-12-23,37,Sun,15,16,,GNB,L 38-44 (OT),37,55,67.3,413,2,4,29,0,101.6,NYJ_GNB_2018-12-23
TAM,2018-09-09,37,Sun,1,1,@,NOR,W 48-40,37,45,82.2,432,3,1,7,0,128.9,TAM_NOR_2018-09-09
PHI,2017-12-17,37,Sun,14,15,@,NYG,W 34-29,37,57,64.9,429,3,1,5,1,97.8,PHI_NYG_2017-12-17
HOU,2022-12-18,36,Sun,14,15,,KAN,L 24-30 (OT),36,41,87.8,313,2,2,23,0,114.7,HOU_KAN_2022-12-18
NOR,2022-12-05,36,Mon,13,13,@,TAM,L 16-17,36,54,66.7,274,2,1,7,1,83.4,NOR_TAM_2022-12-05
LAR,2022-11-06,36,Sun,8,9,@,TAM,L 13-16,36,58,62.1,272,1,1,8,0,79.1,LAR_TAM_2022-11-06
BAL,2022-09-18,36,Sun,2,2,,MIA,L 38-42,36,50,72.0,461,6,1,8,2,123.4,BAL_MIA_2022-09-18
TAM,2021-12-12,36,Sun,13,14,,BUF,W 33-27 (OT),36,54,66.7,293,2,3,15,1,84.9,TAM_BUF_2021-12-12
LVR,2021-11-14,36,Sun,9,10,,KAN,L 14-41,36,51,70.6,422,5,0,0,0,128.1,LVR_KAN_2021-11-14
NWE,2021-10-17,36,Sun,6,6,,DAL,L 29-35 (OT),36,51,70.6,445,3,0,0,1,108.7,NWE_DAL_2021-10-17
BUF,2021-01-03,36,Sun,16,17,,MIA,W 56-26,36,59,61.0,384,1,1,9,3,64.5,BUF_MIA_2021-01-03
ATL,2020-12-13,36,Sun,13,14,@,LAC,L 17-20,36,44,81.8,240,2,1,3,1,95.1,ATL_LAC_2020-12-13
BAL,2020-12-02,36,Wed,11,12,@,PIT,L 14-19,36,51,70.6,266,1,0,0,1,81.0,BAL_PIT_2020-12-02
TEN,2020-11-08,36,Sun,8,9,,CHI,W 24-17,36,52,69.2,319,2,3,16,0,98.2,TEN_CHI_2020-11-08
CLE,2020-10-25,36,Sun,7,7,@,CIN,W 37-34,36,48,75.0,387,3,4,35,1,110.3,CLE_CIN_2020-10-25
JAX,2020-09-13,36,Sun,1,1,,IND,W 27-20,36,46,78.3,357,1,1,6,2,88.1,JAX_IND_2020-09-13
TEN,2019-11-10,36,Sun,10,10,,KAN,W 35-32,36,51,70.6,433,3,2,13,0,115.9,TEN_KAN_2019-11-10
LAR,2018-09-27,36,Thu,4,4,,MIN,W 38-31,36,50,72.0,392,3,4,30,0,114.7,LAR_MIN_2018-09-27
TAM,2017-12-10,36,Sun,13,14,,DET,L 21-24,36,44,81.8,381,1,0,0,2,91.4,TAM_DET_2017-12-10
ARI,2022-11-27,35,Sun,12,12,,LAC,L 24-25,35,47,74.5,246,3,4,28,0,107.2,ARI_LAC_2022-11-27
ATL,2022-10-09,35,Sun,5,5,@,TAM,L 15-21,35,52,67.3,351,1,0,0,0,92.7,ATL_TAM_2022-10-09
SEA,2021-11-21,35,Sun,10,11,,ARI,L 13-23,35,44,79.5,318,2,2,10,0,111.9,SEA_ARI_2021-11-21
HOU,2021-11-21,35,Sun,10,11,@,TEN,W 22-13,35,52,67.3,317,1,2,6,4,57.9,HOU_TEN_2021-11-21
TEN,2021-10-18,35,Mon,6,6,,BUF,W 34-31,35,47,74.5,335,3,3,18,1,106.3,TEN_BUF_2021-10-18
LVR,2021-10-17,35,Sun,6,6,@,DEN,W 34-24,35,49,71.4,309,3,5,25,3,82.8,LVR_DEN_2021-10-17
TAM,2021-09-19,35,Sun,2,2,,ATL,W 48-25,35,48,72.9,293,2,1,7,3,76.1,TAM_ATL_2021-09-19
LVR,2020-11-22,35,Sun,10,11,,KAN,L 31-35,35,46,76.1,352,2,0,0,1,102.8,LVR_KAN_2020-11-22
NYJ,2020-11-01,35,Sun,8,8,@,KAN,L 9-35,35,47,74.5,446,5,0,0,0,139.1,NYJ_KAN_2020-11-01
MIA,2020-11-01,35,Sun,7,8,,LAR,W 28-17,35,61,57.4,340,1,2,15,2,64.9,MIA_LAR_2020-11-01
CAR,2020-09-27,35,Sun,3,3,@,LAC,W 21-16,35,49,71.4,319,1,2,11,1,87.0,CAR_LAC_2020-09-27
IND,2019-12-08,35,Sun,13,14,@,TAM,L 35-38,35,49,71.4,467,4,1,7,3,103.0,IND_TAM_2019-12-08
NOR,2019-11-28,35,Thu,12,13,@,ATL,W 26-18,35,50,70.0,259,2,9,53,2,78.7,NOR_ATL_2019-11-28
TEN,2019-09-29,35,Sun,4,4,@,ATL,W 24-10,35,53,66.0,364,0,5,33,0,85.7,TEN_ATL_2019-09-29
CHI,2019-09-15,35,Sun,2,2,@,DEN,W 16-14,35,50,70.0,282,1,2,10,1,82.2,CHI_DEN_2019-09-15
SEA,2019-09-08,35,Sun,1,1,,CIN,W 21-20,35,51,68.6,395,2,5,23,0,104.6,SEA_CIN_2019-09-08
HOU,2018-12-23,35,Sun,15,16,@,PHI,L 30-32,35,50,70.0,462,4,1,9,1,117.2,HOU_PHI_2018-12-23
PHI,2018-12-16,35,Sun,14,15,@,LAR,W 30-23,35,54,64.8,325,0,2,14,1,73.5,PHI_LAR_2018-12-16
BAL,2018-12-09,35,Sun,13,14,@,KAN,L 24-27 (OT),35,53,66.0,348,2,3,29,1,89.2,BAL_KAN_2018-12-09
NOR,2018-11-22,35,Thu,11,12,,ATL,W 31-17,35,47,74.5,340,2,6,37,1,99.6,NOR_ATL_2018-11-22
NYJ,2018-10-07,35,Sun,5,5,,DEN,W 34-16,35,51,68.6,344,2,4,33,1,92.3,NYJ_DEN_2018-10-07
CLE,2018-09-30,35,Sun,4,4,@,OAK,L 42-45 (OT),35,58,60.3,426,4,3,11,2,91.6,CLE_OAK_2018-09-30
GNB,2018-09-16,35,Sun,2,2,,MIN,T 29-29 (OT),35,48,72.9,412,4,2,13,1,117.7,GNB_MIN_2018-09-16
TAM,2018-09-16,35,Sun,2,2,,PHI,W 27-21,35,48,72.9,321,1,3,13,0,97.7,TAM_PHI_2018-09-16
CLE,2017-12-10,35,Sun,13,14,,GNB,L 21-27 (OT),35,46,76.1,256,3,1,9,0,110.4,CLE_GNB_2017-12-10
TEN,2017-11-05,35,Sun,8,9,,BAL,W 23-20,35,53,66.0,268,2,2,9,2,75.0,TEN_BAL_2017-11-05
PHI,2017-09-24,35,Sun,3,3,,NYG,W 27-24,35,47,74.5,366,3,0,0,2,100.1,PHI_NYG_2017-09-24
CAR,2023-01-01,34,Sun,16,17,@,TAM,L 24-30,34,45,75.6,411,3,3,21,0,125.3,CAR_TAM_2023-01-01
NYG,2022-12-24,34,Sat,15,16,@,MIN,L 24-27,34,48,70.8,270,3,4,29,0,105.4,NYG_MIN_2022-12-24
IND,2022-12-17,34,Sat,14,15,@,MIN,L 36-39 (OT),34,55,61.8,426,4,7,34,2,95.0,IND_MIN_2022-12-17
SFO,2022-12-11,34,Sun,13,14,,TAM,W 35-7,34,55,61.8,253,1,0,0,2,63.7,SFO_TAM_2022-12-11
ATL,2022-10-23,34,Sun,7,7,@,CIN,L 17-35,34,42,81.0,459,3,3,22,0,136.0,ATL_CIN_2022-10-23
BUF,2022-10-09,34,Sun,5,5,,PIT,W 38-3,34,52,65.4,310,0,3,17,1,73.4,BUF_PIT_2022-10-09
LVR,2022-01-09,34,Sun,17,18,,LAC,W 35-32 (OT),34,64,53.1,355,3,3,28,1,78.6,LVR_LAC_2022-01-09
NYJ,2022-01-02,34,Sun,16,17,,TAM,L 24-28,34,50,68.0,405,3,1,5,1,104.2,NYJ_TAM_2022-01-02
IND,2021-11-04,34,Thu,9,9,,NYJ,W 45-30,34,52,65.4,398,4,2,14,1,106.1,IND_NYJ_2021-11-04
JAX,2021-10-17,34,Sun,6,6,,MIA,W 23-20,34,48,70.8,354,2,0,0,1,97.0,JAX_MIA_2021-10-17
PHI,2021-10-14,34,Thu,6,6,,TAM,L 22-28,34,42,81.0,297,2,0,0,1,102.1,PHI_TAM_2021-10-14
NYG,2021-09-16,34,Thu,2,2,@,WAS,L 29-30,34,46,73.9,320,2,1,16,1,98.1,NYG_WAS_2021-09-16
BAL,2021-09-13,34,Mon,1,1,@,LVR,L 27-33 (OT),34,56,60.7,409,2,3,26,1,87.6,BAL_LVR_2021-09-13
IND,2020-12-27,34,Sun,15,16,@,PIT,L 24-28,34,49,69.4,332,3,1,9,0,108.5,IND_PIT_2020-12-27
TAM,2020-12-20,34,Sun,14,15,@,ATL,W 31-27,34,49,69.4,332,3,3,24,0,108.5,TAM_ATL_2020-12-20
CAR,2020-11-29,34,Sun,12,12,@,MIN,L 27-28,34,45,75.6,291,3,2,16,0,114.2,CAR_MIN_2020-11-29
SEA,2020-10-25,34,Sun,6,7,@,ARI,L 34-37 (OT),34,48,70.8,360,3,0,0,1,104.5,SEA_ARI_2020-10-25
ARI,2020-10-19,34,Mon,6,6,@,DAL,W 38-10,34,54,63.0,247,1,3,19,2,64.4,ARI_DAL_2020-10-19
ATL,2020-09-20,34,Sun,2,2,@,DAL,L 39-40,34,49,69.4,445,1,1,5,0,104.5,ATL_DAL_2020-09-20
DAL,2019-12-15,34,Sun,14,15,,LAR,W 44-21,34,52,65.4,267,2,2,22,1,82.8,DAL_LAR_2019-12-15
ARI,2019-11-17,34,Sun,11,11,@,SFO,L 26-36,34,45,75.6,408,4,2,16,2,113.9,ARI_SFO_2019-11-17
ARI,2019-10-27,34,Sun,8,8,@,NOR,L 9-31,34,43,79.1,373,3,0,0,1,116.4,ARI_NOR_2019-10-27
NOR,2019-10-20,34,Sun,7,7,@,CHI,W 36-25,34,54,63.0,235,2,2,16,0,85.0,NOR_CHI_2019-10-20
PHI,2019-09-26,34,Thu,4,4,@,GNB,W 34-27,34,53,64.2,414,2,1,8,1,92.8,PHI_GNB_2019-09-26
DAL,2018-12-23,34,Sun,15,16,,TAM,W 27-20,34,48,70.8,320,1,3,16,0,95.8,DAL_TAM_2018-12-23
ARI,2018-10-07,34,Sun,5,5,@,SFO,W 28-18,34,54,63.0,300,2,4,49,2,74.6,ARI_SFO_2018-10-07
IND,2018-10-04,34,Thu,5,5,@,NWE,L 24-38,34,44,77.3,341,3,0,0,2,102.6,IND_NWE_2018-10-04
SFO,2018-09-16,34,Sun,2,2,,DET,W 30-27,34,53,64.2,329,3,2,18,0,100.3,SFO_DET_2018-09-16
KAN,2018-09-09,34,Sun,1,1,@,LAC,W 38-28,34,51,66.7,418,3,1,6,1,103.2,KAN_LAC_2018-09-09
OAK,2017-11-05,34,Sun,9,9,@,MIA,W 27-24,34,42,81.0,309,3,1,2,0,121.1,OAK_MIA_2017-11-05
TEN,2022-10-23,33,Sun,6,7,,IND,W 19-10,33,44,75.0,227,1,3,16,2,74.7,TEN_IND_2022-10-23
SEA,2022-10-23,33,Sun,7,7,@,LAC,W 37-23,33,51,64.7,276,2,3,17,1,83.5,SEA_LAC_2022-10-23
CHI,2022-10-09,33,Sun,5,5,@,MIN,L 22-29,33,42,78.6,312,1,1,7,1,95.6,CHI_MIN_2022-10-09
KAN,2022-09-15,33,Thu,2,2,,LAC,W 27-24,33,48,68.8,326,3,2,8,1,99.8,KAN_LAC_2022-09-15
PIT,2022-09-11,33,Sun,1,1,@,CIN,W 23-20 (OT),33,53,62.3,299,2,7,39,4,58.6,PIT_CIN_2022-09-11
MIN,2022-01-09,33,Sun,17,18,,CHI,W 31-17,33,48,68.8,266,1,7,59,2,72.0,MIN_CHI_2022-01-09
SEA,2021-12-12,33,Sun,13,14,@,HOU,W 33-13,33,49,67.3,317,1,2,14,0,92.0,SEA_HOU_2021-12-12
KAN,2021-12-12,33,Sun,13,14,,LVR,W 48-9,33,45,73.3,246,1,4,17,1,84.1,KAN_LVR_2021-12-12
CAR,2021-10-17,33,Sun,6,6,,MIN,L 28-34 (OT),33,48,68.8,373,3,0,0,0,112.6,CAR_MIN_2021-10-17
NYJ,2021-10-10,33,Sun,5,5,@,ATL,L 20-27,33,46,71.7,342,2,0,0,0,107.3,NYJ_ATL_2021-10-10
BUF,2021-10-10,33,Sun,5,5,@,KAN,W 38-20,33,54,61.1,272,2,2,0,2,70.9,BUF_KAN_2021-10-10
MIA,2021-10-10,33,Sun,5,5,@,TAM,L 17-45,33,44,75.0,437,5,2,15,0,143.8,MIA_TAM_2021-10-10
TAM,2021-10-03,33,Sun,4,4,@,NWE,W 19-17,33,42,78.6,295,2,4,25,1,101.9,TAM_NWE_2021-10-03
WAS,2021-09-26,33,Sun,3,3,@,BUF,L 21-43,33,44,75.0,359,4,0,0,0,128.9,WAS_BUF_2021-09-26
GNB,2021-01-03,33,Sun,16,17,@,CHI,W 35-16,33,42,78.6,248,0,1,4,1,81.3,GNB_CHI_2021-01-03
IND,2020-12-20,33,Sun,14,15,,HOU,W 27-20,33,41,80.5,342,2,5,31,0,117.7,IND_HOU_2020-12-20
WAS,2020-12-07,33,Mon,12,13,@,PIT,W 23-17,33,53,62.3,305,2,0,0,1,82.7,WAS_PIT_2020-12-07
ARI,2020-11-15,33,Sun,9,10,,BUF,W 32-30,33,50,66.0,296,3,0,0,2,85.1,ARI_BUF_2020-11-15
ARI,2020-10-25,33,Sun,7,7,,SEA,W 37-34 (OT),33,50,66.0,372,3,2,16,3,83.1,ARI_SEA_2020-10-25
LVR,2020-10-25,33,Sun,6,7,,TAM,L 20-45,33,45,73.3,369,4,0,0,0,127.0,LVR_TAM_2020-10-25
LAC,2020-10-12,33,Mon,5,5,@,NOR,L 27-30 (OT),33,48,68.8,313,1,2,12,1,84.8,LAC_NOR_2020-10-12
TAM,2020-09-20,33,Sun,2,2,,CAR,W 31-17,33,42,78.6,340,0,5,27,2,80.6,TAM_CAR_2020-09-20
NYJ,2020-09-13,33,Sun,1,1,@,BUF,L 17-27,33,46,71.7,306,2,3,6,0,104.1,NYJ_BUF_2020-09-13
MIA,2019-12-22,33,Sun,15,16,,CIN,W 38-35 (OT),33,56,58.9,371,4,4,25,0,102.6,MIA_CIN_2019-12-22
NYG,2019-12-09,33,Mon,13,14,@,PHI,L 17-23 (OT),33,50,66.0,300,2,3,25,0,95.4,NYG_PHI_2019-12-09
ARI,2019-12-01,33,Sun,12,13,,LAR,L 7-34,33,45,73.3,417,2,1,10,0,116.6,ARI_LAR_2019-12-01
SEA,2019-11-24,33,Sun,11,12,@,PHI,W 17-9,33,45,73.3,238,1,3,18,2,74.1,SEA_PHI_2019-11-24
IND,2019-11-17,33,Sun,10,11,,JAX,W 33-13,33,47,70.2,279,2,2,17,1,90.6,IND_JAX_2019-11-17
ATL,2019-11-10,33,Sun,9,10,@,NOR,W 26-9,33,46,71.7,258,0,6,46,0,85.2,ATL_NOR_2019-11-10
DAL,2019-09-08,33,Sun,1,1,,NYG,W 35-17,33,48,68.8,319,1,1,4,0,94.0,DAL_NYG_2019-09-08
MIN,2019-09-08,33,Sun,1,1,,ATL,W 28-12,33,46,71.7,272,2,4,32,2,82.9,MIN_ATL_2019-09-08
NOR,2018-12-23,33,Sun,15,16,,PIT,W 31-28,33,50,66.0,364,3,3,16,0,107.4,NOR_PIT_2018-12-23
JAX,2018-12-02,33,Sun,12,13,,IND,W 6-0,33,52,63.5,224,0,3,24,1,64.9,JAX_IND_2018-12-02
LAR,2018-11-19,33,Mon,11,11,,KAN,W 54-51,33,46,71.7,448,6,3,30,3,114.9,LAR_KAN_2018-11-19
KAN,2018-10-07,33,Sun,5,5,,JAX,W 30-14,33,61,54.1,401,1,5,29,4,52.7,KAN_JAX_2018-10-07
DAL,2018-10-07,33,Sun,5,5,@,HOU,L 16-19 (OT),33,44,75.0,374,1,1,1,1,98.1,DAL_HOU_2018-10-07
TEN,2018-09-30,33,Sun,4,4,,PHI,W 26-23 (OT),33,50,66.0,315,2,4,33,0,96.7,TEN_PHI_2018-09-30
IND,2018-09-16,33,Sun,2,2,@,WAS,W 21-9,33,46,71.7,269,0,3,23,0,86.2,IND_WAS_2018-09-16
DAL,2018-09-16,33,Sun,2,2,,NYG,W 20-13,33,44,75.0,220,1,6,59,0,93.0,DAL_NYG_2018-09-16
GNB,2017-11-26,33,Sun,11,12,@,PIT,L 28-31,33,45,73.3,341,4,1,10,2,105.9,GNB_PIT_2017-11-26
JAX,2017-10-08,33,Sun,5,5,@,PIT,W 30-9,33,55,60.0,301,0,2,11,5,37.0,JAX_PIT_2017-10-08
SFO,2017-10-01,33,Sun,4,4,@,ARI,L 15-18 (OT),33,51,64.7,317,1,6,40,1,80.3,SFO_ARI_2017-10-01
ATL,2017-09-17,33,Sun,2,2,,GNB,W 34-23,33,50,66.0,308,2,3,35,1,87.7,ATL_GNB_2017-09-17
ARI,2022-12-25,32,Sun,15,16,,TAM,L 16-19 (OT),32,48,66.7,281,1,0,0,2,71.6,ARI_TAM_2022-12-25
CAR,2022-10-23,32,Sun,7,7,,TAM,W 21-3,32,49,65.3,276,0,1,14,0,80.0,CAR_TAM_2022-10-23
MIA,2022-10-23,32,Sun,7,7,,PIT,W 16-10,32,44,72.7,246,1,2,11,3,65.2,MIA_PIT_2022-10-23
ARI,2022-10-20,32,Thu,7,7,,NOR,W 42-34,32,49,65.3,409,4,0,0,3,93.0,ARI_NOR_2022-10-20
SFO,2022-10-03,32,Mon,4,4,,LAR,W 24-9,32,48,66.7,200,0,7,54,1,66.3,SFO_LAR_2022-10-03
ATL,2022-09-25,32,Sun,3,3,@,SEA,W 27-23,32,44,72.7,308,2,2,17,1,97.5,ATL_SEA_2022-09-25
HOU,2022-09-11,32,Sun,1,1,,IND,T 20-20 (OT),32,50,64.0,340,1,2,12,1,82.1,HOU_IND_2022-09-11
LAR,2021-12-13,32,Mon,13,14,@,ARI,W 30-23,32,49,65.3,344,0,4,39,2,68.8,LAR_ARI_2021-12-13
LVR,2021-11-25,32,Thu,11,12,@,DAL,W 36-33 (OT),32,47,68.1,373,2,1,2,0,106.1,LVR_DAL_2021-11-25
NYG,2021-11-22,32,Mon,10,11,@,TAM,L 10-30,32,48,66.7,308,2,1,10,1,89.6,NYG_TAM_2021-11-22
PHI,2021-11-07,32,Sun,9,9,,LAC,L 24-27,32,38,84.2,356,2,0,0,0,123.2,PHI_LAC_2021-11-07
SEA,2021-10-31,32,Sun,8,8,,JAX,W 31-7,32,54,59.3,227,1,1,11,1,67.4,SEA_JAX_2021-10-31
ATL,2021-10-24,32,Sun,6,7,@,MIA,W 30-28,32,40,80.0,281,4,1,10,2,108.4,ATL_MIA_2021-10-24
WAS,2021-10-17,32,Sun,6,6,,KAN,L 13-31,32,47,68.1,390,2,3,7,2,89.8,WAS_KAN_2021-10-17
KAN,2021-10-03,32,Sun,4,4,@,PHI,W 42-30,32,48,66.7,358,2,3,29,0,102.6,KAN_PHI_2021-10-03
LVR,2021-09-26,32,Sun,3,3,,MIA,W 31-28 (OT),32,49,65.3,197,0,2,18,0,73.3,LVR_MIA_2021-09-26
DAL,2021-09-09,32,Thu,1,1,@,TAM,L 29-31,32,50,64.0,379,4,0,0,2,97.0,DAL_TAM_2021-09-09
IND,2020-12-13,32,Sun,13,14,@,LVR,W 44-27,32,46,69.6,345,2,0,0,2,87.7,IND_LVR_2020-12-13
SFO,2020-12-07,32,Mon,12,13,,BUF,L 24-34,32,40,80.0,368,4,1,7,0,138.3,SFO_BUF_2020-12-07
JAX,2020-11-22,32,Sun,10,11,,PIT,L 3-27,32,46,69.6,267,2,0,0,1,89.7,JAX_PIT_2020-11-22
TEN,2020-10-25,32,Sun,6,7,,PIT,L 24-27,32,49,65.3,268,2,0,0,3,67.4,TEN_PIT_2020-10-25
BAL,2020-10-04,32,Sun,4,4,@,WAS,W 31-17,32,45,71.1,274,0,3,40,0,86.7,BAL_WAS_2020-10-04
PHI,2020-10-04,32,Sun,4,4,@,SFO,W 25-20,32,45,71.1,301,1,5,37,2,78.1,PHI_SFO_2020-10-04
BUF,2020-10-04,32,Sun,4,4,@,LVR,W 30-23,32,44,72.7,297,2,2,14,0,106.0,BUF_LVR_2020-10-04
MIN,2020-09-13,32,Sun,1,1,,GNB,L 34-43,32,44,72.7,364,4,0,0,0,127.5,MIN_GNB_2020-09-13
JAX,2019-12-22,32,Sun,15,16,@,ATL,L 12-24,32,45,71.1,383,1,1,1,2,85.7,JAX_ATL_2019-12-22
BUF,2019-11-28,32,Thu,12,13,@,DAL,W 26-15,32,49,65.3,323,2,4,32,1,89.1,BUF_DAL_2019-11-28
TEN,2019-11-24,32,Sun,11,12,,JAX,W 42-20,32,48,66.7,252,0,3,20,0,79.5,TEN_JAX_2019-11-24
BUF,2019-11-17,32,Sun,10,11,@,MIA,W 37-20,32,45,71.1,280,0,7,43,0,87.3,BUF_MIA_2019-11-17
LAR,2019-10-27,32,Sun,8,8,,CIN,W 24-10,32,52,61.5,297,1,5,32,0,83.6,LAR_CIN_2019-10-27
DEN,2019-10-06,32,Sun,5,5,@,LAC,W 20-13,32,48,66.7,211,0,0,0,2,58.6,DEN_LAC_2019-10-06
HOU,2019-10-06,32,Sun,5,5,,ATL,W 53-32,32,46,69.6,316,3,2,14,1,101.4,HOU_ATL_2019-10-06
NOR,2019-09-22,32,Sun,3,3,@,SEA,W 33-27,32,50,64.0,406,2,0,0,0,102.6,NOR_SEA_2019-09-22
HOU,2019-09-09,32,Mon,1,1,@,NOR,L 28-30,32,43,74.4,362,2,1,8,1,105.0,HOU_NOR_2019-09-09
TAM,2018-12-30,32,Sun,16,17,,ATL,L 32-34,32,45,71.1,380,3,1,3,1,109.5,TAM_ATL_2018-12-30
NWE,2018-12-02,32,Sun,12,13,,MIN,W 24-10,32,44,72.7,183,1,2,18,2,68.7,NWE_MIN_2018-12-02
