Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,game_id
PHI,2020-10-04,25,Sun,4,4,@,SFO,W 25-20,25,4,20,1,11,5,45.5,1,0,0.0,PHI_SFO_2020-10-04
LVR,2020-09-27,25,Sun,3,3,@,NWE,L 20-36,25,14,8,3,11,3,27.3,0,0,,LVR_NWE_2020-09-27
HOU,2020-09-27,25,Sun,3,3,@,PIT,L 21-28,25,10,13,2,18,8,44.4,2,2,100.0,HOU_PIT_2020-09-27
LAR,2020-09-20,25,Sun,2,2,@,PHI,W 37-19,25,11,13,1,12,7,58.3,1,0,0.0,LAR_PHI_2020-09-20
GNB,2020-09-13,25,Sun,1,1,@,MIN,W 43-34,25,10,12,3,6,3,50.0,1,0,0.0,GNB_MIN_2020-09-13
CHI,2020-09-13,25,Sun,1,1,@,DET,W 27-23,25,7,14,4,16,6,37.5,0,0,,CHI_DET_2020-09-13
DET,2019-12-29,25,Sun,16,17,,GNB,L 20-23,25,6,18,1,20,8,40.0,2,2,100.0,DET_GNB_2019-12-29
HOU,2019-12-29,25,Sun,16,17,,TEN,L 14-35,25,13,11,1,10,5,50.0,0,0,,HOU_TEN_2019-12-29
ARI,2019-12-29,25,Sun,16,17,@,LAR,L 24-31,25,4,17,4,18,11,61.1,1,0,0.0,ARI_LAR_2019-12-29
CAR,2019-12-29,25,Sun,16,17,,NOR,L 10-42,25,6,16,3,11,4,36.4,0,0,,CAR_NOR_2019-12-29
KAN,2019-12-29,25,Sun,16,17,,LAC,W 31-21,25,8,14,3,15,8,53.3,4,2,50.0,KAN_LAC_2019-12-29
NYG,2019-12-29,25,Sun,16,17,,PHI,L 17-34,25,9,14,2,15,4,26.7,2,1,50.0,NYG_PHI_2019-12-29
DET,2019-12-22,25,Sun,15,16,@,DEN,L 17-27,25,8,13,4,12,5,41.7,1,1,100.0,DET_DEN_2019-12-22
MIA,2019-12-22,25,Sun,15,16,,CIN,W 38-35 (OT),25,2,21,2,18,4,22.2,3,3,100.0,MIA_CIN_2019-12-22
CHI,2019-12-22,25,Sun,15,16,,KAN,L 3-26,25,6,15,4,11,6,54.5,0,0,,CHI_KAN_2019-12-22
NYG,2019-12-22,25,Sun,15,16,@,WAS,W 41-35 (OT),25,7,16,2,14,8,57.1,0,0,,NYG_WAS_2019-12-22
CAR,2019-12-22,25,Sun,15,16,@,IND,L 6-38,25,14,6,5,11,4,36.4,2,1,50.0,CAR_IND_2019-12-22
ARI,2019-12-15,25,Sun,14,15,,CLE,W 38-24,25,8,15,2,14,9,64.3,1,1,100.0,ARI_CLE_2019-12-15
LAR,2019-12-15,25,Sun,14,15,@,DAL,L 21-44,25,16,8,1,13,7,53.8,1,1,100.0,LAR_DAL_2019-12-15
NOR,2019-12-08,25,Sun,13,14,,SFO,L 46-48,25,7,15,3,12,6,50.0,1,1,100.0,NOR_SFO_2019-12-08
HOU,2019-11-17,25,Sun,10,11,@,BAL,L 7-41,25,12,11,2,9,5,55.6,1,0,0.0,HOU_BAL_2019-11-17
DET,2019-11-03,25,Sun,8,9,@,OAK,L 24-31,25,10,14,1,13,7,53.8,2,1,50.0,DET_OAK_2019-11-03
TAM,2019-10-06,25,Sun,5,5,@,NOR,L 24-31,25,5,18,2,15,8,53.3,2,1,50.0,TAM_NOR_2019-10-06
KAN,2019-10-06,25,Sun,5,5,,IND,L 13-19,25,12,7,6,14,5,35.7,2,2,100.0,KAN_IND_2019-10-06
CHI,2019-10-06,25,Sun,5,5,@,OAK,L 21-24,25,13,10,2,12,6,50.0,1,1,100.0,CHI_OAK_2019-10-06
LAR,2019-10-03,25,Thu,5,5,@,SEA,L 29-30,25,10,12,3,10,3,30.0,1,1,100.0,LAR_SEA_2019-10-03
DEN,2019-09-29,25,Sun,4,4,,JAX,L 24-26,25,11,12,2,14,4,28.6,1,1,100.0,DEN_JAX_2019-09-29
CHI,2019-09-23,25,Mon,3,3,@,WAS,W 31-15,25,2,20,3,9,3,33.3,3,2,66.7,CHI_WAS_2019-09-23
IND,2019-09-22,25,Sun,3,3,,ATL,W 27-24,25,6,17,2,10,8,80.0,0,0,,IND_ATL_2019-09-22
CIN,2019-09-22,25,Sun,3,3,@,BUF,L 17-21,25,11,12,2,13,5,38.5,0,0,,CIN_BUF_2019-09-22
PIT,2019-09-15,25,Sun,2,2,,SEA,L 26-28,25,8,15,2,13,5,38.5,1,1,100.0,PIT_SEA_2019-09-15
WAS,2019-09-15,25,Sun,2,2,,DAL,L 21-31,25,11,12,2,11,7,63.6,0,0,,WAS_DAL_2019-09-15
HOU,2019-09-09,25,Mon,1,1,@,NOR,L 28-30,25,6,19,0,11,7,63.6,0,0,,HOU_NOR_2019-09-09
DAL,2019-09-08,25,Sun,1,1,,NYG,W 35-17,25,8,16,1,11,2,18.2,3,1,33.3,DAL_NYG_2019-09-08
IND,2019-09-08,25,Sun,1,1,@,LAC,L 24-30 (OT),25,9,14,2,11,7,63.6,0,0,,IND_LAC_2019-09-08
GNB,2018-12-30,25,Sun,16,17,,DET,L 0-31,25,7,16,2,14,7,50.0,1,1,100.0,GNB_DET_2018-12-30
WAS,2018-12-30,25,Sun,16,17,,PHI,L 0-24,25,10,15,0,14,8,57.1,1,1,100.0,WAS_PHI_2018-12-30
NOR,2018-12-30,25,Sun,16,17,,CAR,L 14-33,25,11,10,4,13,6,46.2,2,1,50.0,NOR_CAR_2018-12-30
HOU,2018-12-23,25,Sun,15,16,@,PHI,L 30-32,25,4,18,3,16,9,56.3,4,4,100.0,HOU_PHI_2018-12-23
PHI,2018-12-23,25,Sun,15,16,,HOU,W 32-30,25,4,17,4,10,3,30.0,1,0,0.0,PHI_HOU_2018-12-23
DAL,2018-12-16,25,Sun,14,15,@,IND,L 0-23,25,11,11,3,12,8,66.7,0,0,,DAL_IND_2018-12-16
IND,2018-12-09,25,Sun,13,14,@,HOU,W 24-21,25,6,14,5,15,5,33.3,2,2,100.0,IND_HOU_2018-12-09
ATL,2018-12-02,25,Sun,12,13,,BAL,L 16-26,25,12,9,4,15,7,46.7,2,2,100.0,ATL_BAL_2018-12-02
CLE,2018-12-02,25,Sun,12,13,@,HOU,L 13-29,25,11,12,2,16,8,50.0,0,0,,CLE_HOU_2018-12-02
OAK,2018-12-02,25,Sun,12,13,,KAN,L 33-40,25,8,14,3,13,6,46.2,1,1,100.0,OAK_KAN_2018-12-02
SFO,2018-11-25,25,Sun,11,12,@,TAM,L 9-27,25,9,15,1,13,7,53.8,0,0,,SFO_TAM_2018-11-25
CLE,2018-11-25,25,Sun,11,12,@,CIN,W 35-20,25,7,14,4,12,4,33.3,4,2,50.0,CLE_CIN_2018-11-25
NYJ,2018-11-25,25,Sun,11,12,,NWE,L 13-27,25,11,12,2,12,5,41.7,1,1,100.0,NYJ_NWE_2018-11-25
DEN,2018-11-25,25,Sun,11,12,,PIT,W 24-17,25,4,19,2,14,5,35.7,1,1,100.0,DEN_PIT_2018-11-25
BUF,2018-11-25,25,Sun,11,12,,JAX,W 24-21,25,13,6,6,13,5,38.5,0,0,,BUF_JAX_2018-11-25
SEA,2018-11-11,25,Sun,9,10,@,LAR,L 31-36,25,8,17,0,10,5,50.0,0,0,,SEA_LAR_2018-11-11
CLE,2018-11-11,25,Sun,10,10,,ATL,W 28-16,25,5,19,1,14,5,35.7,4,2,50.0,CLE_ATL_2018-11-11
CAR,2018-11-08,25,Thu,9,10,@,PIT,L 21-52,25,10,14,1,11,8,72.7,0,0,,CAR_PIT_2018-11-08
LAC,2018-11-04,25,Sun,8,9,@,SEA,W 25-17,25,11,10,4,15,4,26.7,3,3,100.0,LAC_SEA_2018-11-04
WAS,2018-11-04,25,Sun,8,9,,ATL,L 14-38,25,6,17,2,13,10,76.9,0,0,,WAS_ATL_2018-11-04
CLE,2018-10-28,25,Sun,8,8,@,PIT,L 18-33,25,10,14,1,13,6,46.2,1,1,100.0,CLE_PIT_2018-10-28
NOR,2018-10-21,25,Sun,6,7,@,BAL,W 24-23,25,6,15,4,12,5,41.7,2,1,50.0,NOR_BAL_2018-10-21
CLE,2018-10-07,25,Sun,5,5,,BAL,W 12-9 (OT),25,10,14,1,16,4,25.0,1,1,100.0,CLE_BAL_2018-10-07
DAL,2018-10-07,25,Sun,5,5,@,HOU,L 16-19 (OT),25,4,18,3,15,5,33.3,1,0,0.0,DAL_HOU_2018-10-07
TEN,2018-09-30,25,Sun,4,4,,PHI,W 26-23 (OT),25,6,18,1,15,5,33.3,0,0,,TEN_PHI_2018-09-30
NYG,2018-09-30,25,Sun,4,4,,NOR,L 18-33,25,10,12,3,13,5,38.5,1,1,100.0,NYG_NOR_2018-09-30
CIN,2018-09-30,25,Sun,4,4,@,ATL,W 37-36,25,4,20,1,15,11,73.3,1,0,0.0,CIN_ATL_2018-09-30
LAR,2018-09-27,25,Thu,4,4,,MIN,W 38-31,25,3,22,0,16,8,50.0,2,2,100.0,LAR_MIN_2018-09-27
MIN,2018-09-27,25,Thu,4,4,@,LAR,L 31-38,25,4,19,2,6,1,16.7,1,0,0.0,MIN_LAR_2018-09-27
NWE,2018-09-23,25,Sun,3,3,@,DET,L 10-26,25,8,16,1,14,7,50.0,0,0,,NWE_DET_2018-09-23
MIA,2018-09-23,25,Sun,3,3,,OAK,W 28-20,25,5,17,3,13,7,53.8,1,0,0.0,MIA_OAK_2018-09-23
CAR,2018-09-23,25,Sun,3,3,,CIN,W 31-21,25,6,18,1,10,4,40.0,0,0,,CAR_CIN_2018-09-23
SFO,2018-09-16,25,Sun,2,2,,DET,W 30-27,25,5,17,3,16,7,43.8,1,0,0.0,SFO_DET_2018-09-16
SEA,2018-09-09,25,Sun,1,1,@,DEN,L 24-27,25,8,15,2,12,4,33.3,0,0,,SEA_DEN_2018-09-09
CLE,2018-09-09,25,Sun,1,1,,PIT,T 21-21 (OT),25,7,17,1,15,7,46.7,0,0,,CLE_PIT_2018-09-09
LAR,2017-12-31,25,Sun,16,17,,SFO,L 13-34,25,10,13,2,12,6,50.0,0,0,,LAR_SFO_2017-12-31
HOU,2017-12-17,25,Sun,14,15,@,JAX,L 7-45,25,8,14,3,10,3,30.0,0,0,,HOU_JAX_2017-12-17
SEA,2017-12-03,25,Sun,12,13,,PHI,W 24-10,25,8,15,2,16,8,50.0,4,2,50.0,SEA_PHI_2017-12-03
GNB,2017-12-03,25,Sun,12,13,,TAM,W 26-20 (OT),25,8,16,1,16,9,56.3,0,0,,GNB_TAM_2017-12-03
MIA,2017-11-26,25,Sun,11,12,@,NWE,L 17-35,25,9,11,5,12,5,41.7,2,1,50.0,MIA_NWE_2017-11-26
DAL,2017-11-23,25,Thu,11,12,,LAC,L 6-28,25,4,17,4,14,9,64.3,1,0,0.0,DAL_LAC_2017-11-23
OAK,2017-11-19,25,Sun,10,11,,NWE,L 8-33,25,5,16,4,10,5,50.0,0,0,,OAK_NWE_2017-11-19
TEN,2017-11-16,25,Thu,10,11,@,PIT,L 17-40,25,3,19,3,12,4,33.3,1,0,0.0,TEN_PIT_2017-11-16
DEN,2017-11-05,25,Sun,8,9,@,PHI,L 23-51,25,9,13,3,13,5,38.5,4,2,50.0,DEN_PHI_2017-11-05
SEA,2017-10-29,25,Sun,7,8,,HOU,W 41-38,25,8,15,2,10,2,20.0,1,1,100.0,SEA_HOU_2017-10-29
ATL,2017-10-22,25,Sun,6,7,@,NWE,L 7-23,25,9,13,3,13,7,53.8,0,0,,ATL_NWE_2017-10-22
GNB,2017-10-22,25,Sun,7,7,,NOR,L 17-26,25,7,16,2,15,8,53.3,1,1,100.0,GNB_NOR_2017-10-22
NYJ,2017-10-22,25,Sun,7,7,@,MIA,L 28-31,25,3,16,6,13,5,38.5,0,0,,NYJ_MIA_2017-10-22
IND,2017-10-16,25,Mon,6,6,@,TEN,L 22-36,25,7,15,3,13,6,46.2,1,1,100.0,IND_TEN_2017-10-16
SFO,2017-10-15,25,Sun,6,6,@,WAS,L 24-26,25,6,17,2,14,7,50.0,0,0,,SFO_WAS_2017-10-15
SFO,2017-10-08,25,Sun,5,5,@,IND,L 23-26 (OT),25,9,14,2,16,8,50.0,0,0,,SFO_IND_2017-10-08
DAL,2017-10-08,25,Sun,5,5,,GNB,L 31-35,25,9,13,3,7,3,42.9,1,1,100.0,DAL_GNB_2017-10-08
CLE,2017-10-01,25,Sun,4,4,,CIN,L 7-31,25,8,15,2,11,6,54.5,0,0,,CLE_CIN_2017-10-01
BUF,2017-10-01,25,Sun,4,4,@,ATL,W 23-17,25,10,13,2,13,5,38.5,2,1,50.0,BUF_ATL_2017-10-01
SFO,2017-10-01,25,Sun,4,4,@,ARI,L 15-18 (OT),25,5,17,3,16,5,31.3,0,0,,SFO_ARI_2017-10-01
IND,2017-09-24,25,Sun,3,3,,CLE,W 31-28,25,7,13,5,13,5,38.5,0,0,,IND_CLE_2017-09-24
TAM,2017-09-24,25,Sun,2,3,@,MIN,L 17-34,25,7,16,2,13,7,53.8,0,0,,TAM_MIN_2017-09-24
LAR,2017-09-21,25,Thu,3,3,@,SFO,W 41-39,25,7,15,3,18,9,50.0,3,2,66.7,LAR_SFO_2017-09-21
KAN,2017-09-07,25,Thu,1,1,@,NWE,W 42-27,25,10,11,4,15,5,33.3,2,0,0.0,KAN_NWE_2017-09-07
JAX,2022-12-18,24,Sun,14,15,,DAL,W 40-34 (OT),24,9,14,1,16,9,56.3,0,0,,JAX_DAL_2022-12-18
TAM,2022-12-11,24,Sun,13,14,@,SFO,L 7-35,24,12,9,3,9,4,44.4,2,1,50.0,TAM_SFO_2022-12-11
SEA,2022-12-11,24,Sun,13,14,,CAR,L 24-30,24,14,8,2,13,6,46.2,2,1,50.0,SEA_CAR_2022-12-11
MIA,2022-12-11,24,Sun,13,14,@,LAC,L 17-23,24,6,16,2,18,9,50.0,2,1,50.0,MIA_LAC_2022-12-11
MIA,2022-12-04,24,Sun,12,13,@,SFO,L 17-33,24,6,15,3,19,8,42.1,2,1,50.0,MIA_SFO_2022-12-04
JAX,2022-11-27,24,Sun,11,12,,BAL,W 28-27,24,13,10,1,14,8,57.1,1,0,0.0,JAX_BAL_2022-11-27
GNB,2022-11-13,24,Sun,10,10,,DAL,W 31-28 (OT),24,10,13,1,15,5,33.3,3,2,66.7,GNB_DAL_2022-11-13
BUF,2022-11-13,24,Sun,9,10,,MIN,L 30-33 (OT),24,8,14,2,17,7,41.2,5,3,60.0,BUF_MIN_2022-11-13
HOU,2022-11-03,24,Thu,8,9,,PHI,L 17-29,24,9,14,1,10,5,50.0,2,2,100.0,HOU_PHI_2022-11-03
CIN,2022-10-31,24,Mon,8,8,@,CLE,L 13-32,24,12,12,0,13,8,61.5,0,0,,CIN_CLE_2022-10-31
DEN,2022-10-30,24,Sun,8,8,@,JAX,W 21-17,24,12,6,6,11,4,36.4,0,0,,DEN_JAX_2022-10-30
CHI,2022-10-30,24,Sun,8,8,@,DAL,L 29-49,24,9,15,0,11,9,81.8,0,0,,CHI_DAL_2022-10-30
NWE,2022-10-24,24,Mon,7,7,,CHI,L 14-33,24,13,10,1,18,11,61.1,1,0,0.0,NWE_CHI_2022-10-24
LAC,2022-10-23,24,Sun,7,7,,SEA,L 23-37,24,10,10,4,9,5,55.6,0,0,,LAC_SEA_2022-10-23
SFO,2022-10-23,24,Sun,7,7,,KAN,L 23-44,24,4,19,1,9,6,66.7,0,0,,SFO_KAN_2022-10-23
DEN,2022-10-17,24,Mon,6,6,@,LAC,L 16-19 (OT),24,7,10,7,22,11,50.0,3,1,33.3,DEN_LAC_2022-10-17
GNB,2022-10-09,24,Sun,5,5,,NYG,L 22-27,24,8,12,4,11,6,54.5,1,0,0.0,GNB_NYG_2022-10-09
ARI,2022-10-09,24,Sun,5,5,,PHI,L 17-20,24,12,12,0,13,6,46.2,1,1,100.0,ARI_PHI_2022-10-09
NWE,2022-10-02,24,Sun,4,4,@,GNB,L 24-27 (OT),24,10,12,2,14,6,42.9,1,1,100.0,NWE_GNB_2022-10-02
SEA,2022-09-25,24,Sun,3,3,,ATL,L 23-27,24,8,13,3,7,4,57.1,0,0,,SEA_ATL_2022-09-25
TEN,2022-09-25,24,Sun,3,3,,LVR,W 24-22,24,7,14,3,12,1,8.3,3,3,100.0,TEN_LVR_2022-09-25
ATL,2022-09-18,24,Sun,2,2,@,LAR,L 27-31,24,6,16,2,10,6,60.0,1,0,0.0,ATL_LAR_2022-09-18
WAS,2022-09-11,24,Sun,1,1,,JAX,W 28-22,24,6,13,5,12,3,25.0,1,0,0.0,WAS_JAX_2022-09-11
BAL,2022-09-11,24,Sun,1,1,@,NYJ,W 24-9,24,3,18,3,14,2,14.3,4,3,75.0,BAL_NYJ_2022-09-11
MIN,2022-01-09,24,Sun,17,18,,CHI,W 31-17,24,5,17,2,15,5,33.3,6,1,16.7,MIN_CHI_2022-01-09
CIN,2022-01-09,24,Sun,17,18,@,CLE,L 16-21,24,15,8,1,12,6,50.0,1,0,0.0,CIN_CLE_2022-01-09
LAC,2022-01-09,24,Sun,17,18,@,LVR,L 32-35 (OT),24,9,10,5,17,8,47.1,1,1,100.0,LAC_LVR_2022-01-09
PHI,2022-01-02,24,Sun,16,17,@,WAS,W 20-16,24,8,14,2,15,9,60.0,1,0,0.0,PHI_WAS_2022-01-02
MIN,2021-12-20,24,Mon,14,15,@,CHI,W 17-9,24,8,13,3,12,2,16.7,5,2,40.0,MIN_CHI_2021-12-20
GNB,2021-12-19,24,Sun,14,15,@,BAL,W 31-30,24,10,12,2,13,7,53.8,4,2,50.0,GNB_BAL_2021-12-19
JAX,2021-12-05,24,Sun,12,13,@,LAR,L 7-37,24,7,15,2,12,5,41.7,1,1,100.0,JAX_LAR_2021-12-05
TAM,2021-11-28,24,Sun,11,12,@,IND,W 38-31,24,8,15,1,11,5,45.5,2,2,100.0,TAM_IND_2021-11-28
CAR,2021-11-21,24,Sun,11,11,,WAS,L 21-27,24,12,10,2,13,6,46.2,2,2,100.0,CAR_WAS_2021-11-21
LAC,2021-11-14,24,Sun,9,10,,MIN,L 20-27,24,8,14,2,14,5,35.7,2,2,100.0,LAC_MIN_2021-11-14
ARI,2021-11-14,24,Sun,10,10,,CAR,L 10-34,24,13,10,1,15,7,46.7,0,0,,ARI_CAR_2021-11-14
NYG,2021-11-07,24,Sun,9,9,,LVR,W 23-16,24,8,15,1,12,4,33.3,1,1,100.0,NYG_LVR_2021-11-07
TEN,2021-10-31,24,Sun,8,8,@,IND,W 34-31 (OT),24,9,10,5,16,7,43.8,3,2,66.7,TEN_IND_2021-10-31
MIA,2021-10-31,24,Sun,8,8,@,BUF,L 11-26,24,5,15,4,13,6,46.2,1,0,0.0,MIA_BUF_2021-10-31
ARI,2021-10-28,24,Thu,8,8,,GNB,L 21-24,24,11,10,3,14,6,42.9,4,2,50.0,ARI_GNB_2021-10-28
HOU,2021-10-24,24,Sun,7,7,@,ARI,L 5-31,24,7,15,2,12,6,50.0,1,1,100.0,HOU_ARI_2021-10-24
KAN,2021-10-24,24,Sun,7,7,@,TEN,L 3-27,24,9,13,2,12,8,66.7,0,0,,KAN_TEN_2021-10-24
CLE,2021-10-17,24,Sun,6,6,,ARI,L 14-37,24,8,11,5,15,8,53.3,1,1,100.0,CLE_ARI_2021-10-17
TEN,2021-10-10,24,Sun,5,5,@,JAX,W 37-19,24,9,12,3,10,3,30.0,3,1,33.3,TEN_JAX_2021-10-10
SEA,2021-10-07,24,Thu,5,5,,LAR,L 17-26,24,8,16,0,10,2,20.0,1,1,100.0,SEA_LAR_2021-10-07
ARI,2021-10-03,24,Sun,4,4,@,LAR,W 37-20,24,8,13,3,11,6,54.5,1,0,0.0,ARI_LAR_2021-10-03
DAL,2021-10-03,24,Sun,4,4,,CAR,W 36-28,24,9,13,2,13,4,30.8,3,3,100.0,DAL_CAR_2021-10-03
WAS,2021-10-03,24,Sun,4,4,@,ATL,W 34-30,24,6,15,3,16,10,62.5,0,0,,WAS_ATL_2021-10-03
CAR,2021-10-03,24,Sun,4,4,@,DAL,L 28-36,24,12,10,2,9,3,33.3,1,1,100.0,CAR_DAL_2021-10-03
IND,2021-09-26,24,Sun,3,3,@,TEN,L 16-25,24,10,11,3,12,6,50.0,1,1,100.0,IND_TEN_2021-09-26
DAL,2021-09-19,24,Sun,2,2,@,LAC,W 20-17,24,7,13,4,12,5,41.7,1,1,100.0,DAL_LAC_2021-09-19
CIN,2021-09-12,24,Sun,1,1,,MIN,W 27-24 (OT),24,5,16,3,16,6,37.5,2,2,100.0,CIN_MIN_2021-09-12
ATL,2021-09-12,24,Sun,1,1,,PHI,L 6-32,24,10,13,1,13,6,46.2,2,0,0.0,ATL_PHI_2021-09-12
NYG,2021-09-12,24,Sun,1,1,,DEN,L 13-27,24,4,17,3,15,7,46.7,3,3,100.0,NYG_DEN_2021-09-12
LAR,2021-09-12,24,Sun,1,1,,CHI,W 34-14,24,10,13,1,11,5,45.5,4,0,0.0,LAR_CHI_2021-09-12
MIA,2021-09-12,24,Sun,1,1,@,NWE,W 17-16,24,8,14,2,16,11,68.8,0,0,,MIA_NWE_2021-09-12
KAN,2021-09-12,24,Sun,1,1,,CLE,W 33-29,24,9,14,1,7,2,28.6,4,3,75.0,KAN_CLE_2021-09-12
DAL,2021-09-09,24,Thu,1,1,@,TAM,L 29-31,24,1,22,1,11,5,45.5,0,0,,DAL_TAM_2021-09-09
CIN,2021-01-03,24,Sun,16,17,,BAL,L 3-38,24,19,5,0,17,11,64.7,2,1,50.0,CIN_BAL_2021-01-03
LVR,2021-01-03,24,Sun,16,17,@,DEN,W 32-31,24,5,15,4,16,7,43.8,1,0,0.0,LVR_DEN_2021-01-03
MIA,2021-01-03,24,Sun,16,17,@,BUF,L 26-56,24,4,19,1,10,4,40.0,0,0,,MIA_BUF_2021-01-03
BAL,2020-12-27,24,Sun,15,16,,NYG,W 27-13,24,4,16,4,10,1,10.0,3,1,33.3,BAL_NYG_2020-12-27
DAL,2020-12-27,24,Sun,15,16,,PHI,W 37-17,24,9,12,3,17,7,41.2,2,1,50.0,DAL_PHI_2020-12-27
NYG,2020-12-20,24,Sun,14,15,,CLE,L 6-20,24,8,16,0,13,9,69.2,1,0,0.0,NYG_CLE_2020-12-20
BUF,2020-12-07,24,Mon,12,13,@,SFO,W 34-24,24,5,18,1,11,6,54.5,1,0,0.0,BUF_SFO_2020-12-07
CHI,2020-12-06,24,Sun,12,13,,DET,L 30-34,24,5,18,1,11,6,54.5,2,1,50.0,CHI_DET_2020-12-06
NYJ,2020-12-06,24,Sun,12,13,,LVR,L 28-31,24,4,17,3,14,6,42.9,1,0,0.0,NYJ_LVR_2020-12-06
LVR,2020-12-06,24,Sun,12,13,@,NYJ,W 31-28,24,11,11,2,9,5,55.6,0,0,,LVR_NYJ_2020-12-06
BUF,2020-11-29,24,Sun,11,12,,LAC,W 27-17,24,5,16,3,16,3,18.8,5,4,80.0,BUF_LAC_2020-11-29
ATL,2020-11-22,24,Sun,10,11,@,NOR,L 9-24,24,12,9,3,11,4,36.4,1,1,100.0,ATL_NOR_2020-11-22
MIN,2020-11-22,24,Sun,10,11,,DAL,L 28-31,24,9,13,2,11,5,45.5,3,2,66.7,MIN_DAL_2020-11-22
DAL,2020-11-22,24,Sun,10,11,@,MIN,W 31-28,24,9,14,1,10,6,60.0,1,0,0.0,DAL_MIN_2020-11-22
SEA,2020-11-19,24,Thu,10,11,,ARI,W 28-21,24,5,17,2,11,6,54.5,1,0,0.0,SEA_ARI_2020-11-19
SEA,2020-11-15,24,Sun,9,10,@,LAR,L 16-23,24,8,15,1,15,9,60.0,1,1,100.0,SEA_LAR_2020-11-15
CAR,2020-11-08,24,Sun,9,9,@,KAN,L 31-33,24,3,18,3,11,6,54.5,0,0,,CAR_KAN_2020-11-08
ARI,2020-11-08,24,Sun,8,9,,MIA,L 31-34,24,8,12,4,8,4,50.0,0,0,,ARI_MIA_2020-11-08
TAM,2020-11-02,24,Mon,8,8,@,NYG,W 25-23,24,6,17,1,11,4,36.4,2,2,100.0,TAM_NYG_2020-11-02
CLE,2020-11-01,24,Sun,8,8,,LVR,L 6-16,24,15,7,2,14,8,57.1,2,2,100.0,CLE_LVR_2020-11-01
MIN,2020-11-01,24,Sun,7,8,@,GNB,W 28-22,24,5,17,2,11,5,45.5,5,3,60.0,MIN_GNB_2020-11-01
SEA,2020-11-01,24,Sun,7,8,,SFO,W 37-27,24,6,16,2,13,6,46.2,2,2,100.0,SEA_SFO_2020-11-01
CHI,2020-10-26,24,Mon,7,7,@,LAR,L 10-24,24,9,12,3,13,4,30.8,0,0,,CHI_LAR_2020-10-26
KAN,2020-10-25,24,Sun,7,7,@,DEN,W 43-16,24,12,11,1,14,5,35.7,2,0,0.0,KAN_DEN_2020-10-25
MIN,2020-10-18,24,Sun,6,6,,ATL,L 23-40,24,5,17,2,17,9,52.9,3,3,100.0,MIN_ATL_2020-10-18
NYG,2020-10-18,24,Sun,6,6,,WAS,W 20-19,24,6,16,2,15,8,53.3,2,2,100.0,NYG_WAS_2020-10-18
LAR,2020-10-18,24,Sun,6,6,@,SFO,L 16-24,24,6,16,2,13,5,38.5,1,1,100.0,LAR_SFO_2020-10-18
ATL,2020-10-11,24,Sun,5,5,,CAR,L 16-23,24,5,18,1,12,6,50.0,0,0,,ATL_CAR_2020-10-11
JAX,2020-10-11,24,Sun,5,5,@,HOU,L 14-30,24,7,16,1,10,5,50.0,1,1,100.0,JAX_HOU_2020-10-11
GNB,2020-10-05,24,Mon,4,4,,ATL,W 30-16,24,8,15,1,12,3,25.0,4,2,50.0,GNB_ATL_2020-10-05
BAL,2020-10-04,24,Sun,4,4,@,WAS,W 31-17,24,6,17,1,13,4,30.8,3,2,66.7,BAL_WAS_2020-10-04
HOU,2020-10-04,24,Sun,4,4,,MIN,L 23-31,24,14,10,0,12,5,41.7,1,1,100.0,HOU_MIN_2020-10-04
BUF,2020-10-04,24,Sun,4,4,@,LVR,W 30-23,24,7,16,1,14,8,57.1,2,1,50.0,BUF_LVR_2020-10-04
NOR,2020-09-27,24,Sun,3,3,,GNB,L 30-37,24,6,14,4,11,5,45.5,2,1,50.0,NOR_GNB_2020-09-27
ATL,2020-09-27,24,Sun,3,3,,CHI,L 26-30,24,8,14,2,15,4,26.7,2,1,50.0,ATL_CHI_2020-09-27
PHI,2020-09-27,24,Sun,3,3,,CIN,T 23-23 (OT),24,2,19,3,13,3,23.1,0,0,,PHI_CIN_2020-09-27
TAM,2020-09-20,24,Sun,2,2,,CAR,W 31-17,24,5,18,1,11,6,54.5,2,1,50.0,TAM_CAR_2020-09-20
MIN,2020-09-20,24,Sun,2,2,@,IND,L 11-28,24,11,10,3,11,3,27.3,1,1,100.0,MIN_IND_2020-09-20
LAR,2020-09-13,24,Sun,1,1,,DAL,W 20-17,24,9,14,1,12,3,25.0,3,1,33.3,LAR_DAL_2020-09-13
MIN,2019-12-29,24,Sun,16,17,,CHI,L 19-21,24,10,13,1,16,7,43.8,2,1,50.0,MIN_CHI_2019-12-29
SFO,2019-12-21,24,Sat,15,16,,LAR,W 34-31,24,6,17,1,13,5,38.5,0,0,,SFO_LAR_2019-12-21
HOU,2019-12-15,24,Sun,14,15,@,TEN,W 24-21,24,7,15,2,10,4,40.0,2,1,50.0,HOU_TEN_2019-12-15
MIA,2019-12-15,24,Sun,14,15,@,NYG,L 20-36,24,9,12,3,11,5,45.5,0,0,,MIA_NYG_2019-12-15
DAL,2019-12-05,24,Thu,13,14,@,CHI,L 24-31,24,9,12,3,12,7,58.3,0,0,,DAL_CHI_2019-12-05
MIN,2019-12-02,24,Mon,12,13,@,SEA,L 30-37,24,16,7,1,15,7,46.7,1,1,100.0,MIN_SEA_2019-12-02
