Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,game_id
NOR,2021-09-19,383,Sun,2,2,@,CAR,L 7-26,383,1,NOR_CAR_2021-09-19
LVR,2020-12-26,383,Sat,15,16,,MIA,L 25-26,383,0,LVR_MIA_2020-12-26
NWE,2020-12-20,383,Sun,14,15,@,MIA,L 12-22,383,1,NWE_MIA_2020-12-20
BUF,2020-10-04,383,Sun,4,4,@,LVR,W 30-23,383,2,BUF_LVR_2020-10-04
ATL,2020-09-13,383,Sun,1,1,,SEA,L 25-38,383,0,ATL_SEA_2020-09-13
MIN,2019-12-23,383,Mon,15,16,,GNB,L 10-23,383,3,MIN_GNB_2019-12-23
HOU,2019-10-20,383,Sun,7,7,@,IND,L 23-30,383,1,HOU_IND_2019-10-20
DAL,2018-12-23,383,Sun,15,16,,TAM,W 27-20,383,2,DAL_TAM_2018-12-23
DAL,2017-11-19,383,Sun,10,11,,PHI,L 9-37,383,0,DAL_PHI_2017-11-19
TAM,2023-01-08,382,Sun,17,18,@,ATL,L 17-30,382,1,TAM_ATL_2023-01-08
PHI,2020-11-15,382,Sun,9,10,@,NYG,L 17-27,382,0,PHI_NYG_2020-11-15
GNB,2020-09-13,382,Sun,1,1,@,MIN,W 43-34,382,1,GNB_MIN_2020-09-13
DAL,2019-12-05,382,Thu,13,14,@,CHI,L 24-31,382,2,DAL_CHI_2019-12-05
DAL,2019-10-13,382,Sun,6,6,@,NYJ,L 22-24,382,1,DAL_NYJ_2019-10-13
CLE,2018-11-11,382,Sun,10,10,,ATL,W 28-16,382,2,CLE_ATL_2018-11-11
DAL,2018-09-30,382,Sun,4,4,,DET,W 26-24,382,0,DAL_DET_2018-09-30
NYG,2017-10-08,382,Sun,5,5,,LAC,L 22-27,382,1,NYG_LAC_2017-10-08
CAR,2022-12-24,381,Sat,15,16,,DET,W 37-23,381,1,CAR_DET_2022-12-24
SEA,2022-12-15,381,Thu,14,15,,SFO,L 13-21,381,0,SEA_SFO_2022-12-15
ARI,2022-10-30,381,Sun,8,8,@,MIN,L 26-34,381,1,ARI_MIN_2022-10-30
PIT,2022-01-09,381,Sun,17,18,@,BAL,W 16-13 (OT),381,3,PIT_BAL_2022-01-09
PIT,2021-12-26,381,Sun,15,16,@,KAN,L 10-36,381,0,PIT_KAN_2021-12-26
LAC,2021-11-14,381,Sun,9,10,,MIN,L 20-27,381,1,LAC_MIN_2021-11-14
NWE,2021-10-03,381,Sun,4,4,,TAM,L 17-19,381,0,NWE_TAM_2021-10-03
IND,2021-09-12,381,Sun,1,1,,SEA,L 16-28,381,1,IND_SEA_2021-09-12
NYJ,2021-09-12,381,Sun,1,1,@,CAR,L 14-19,381,1,NYJ_CAR_2021-09-12
CLE,2020-09-13,381,Sun,1,1,@,BAL,L 6-38,381,1,CLE_BAL_2020-09-13
BUF,2019-10-20,381,Sun,6,7,,MIA,W 31-21,381,2,BUF_MIA_2019-10-20
ATL,2019-10-20,381,Sun,7,7,,LAR,L 10-37,381,0,ATL_LAR_2019-10-20
NYJ,2019-09-22,381,Sun,3,3,@,NWE,L 14-30,381,2,NYJ_NWE_2019-09-22
MIA,2018-12-30,381,Sun,16,17,@,BUF,L 17-42,381,1,MIA_BUF_2018-12-30
LAR,2018-12-16,381,Sun,14,15,,PHI,L 23-30,381,1,LAR_PHI_2018-12-16
CHI,2018-10-21,381,Sun,6,7,,NWE,L 31-38,381,3,CHI_NWE_2018-10-21
ATL,2018-10-07,381,Sun,5,5,@,PIT,L 17-41,381,1,ATL_PIT_2018-10-07
WAS,2017-12-31,381,Sun,16,17,@,NYG,L 10-18,381,1,WAS_NYG_2017-12-31
BAL,2017-10-01,381,Sun,4,4,,PIT,L 9-26,381,1,BAL_PIT_2017-10-01
BAL,2022-09-11,380,Sun,1,1,@,NYJ,W 24-9,380,2,BAL_NYJ_2022-09-11
SEA,2021-12-12,380,Sun,13,14,@,HOU,W 33-13,380,0,SEA_HOU_2021-12-12
TAM,2021-12-05,380,Sun,12,13,@,ATL,W 30-17,380,1,TAM_ATL_2021-12-05
MIA,2021-11-21,380,Sun,11,11,@,NYJ,W 24-17,380,1,MIA_NYJ_2021-11-21
NOR,2021-11-21,380,Sun,10,11,@,PHI,L 29-40,380,1,NOR_PHI_2021-11-21
LVR,2021-10-04,380,Mon,4,4,@,LAC,L 14-28,380,0,LVR_LAC_2021-10-04
PHI,2021-09-27,380,Mon,3,3,@,DAL,L 21-41,380,1,PHI_DAL_2021-09-27
DAL,2020-09-20,380,Sun,2,2,,ATL,W 40-39,380,0,DAL_ATL_2020-09-20
LAR,2020-09-13,380,Sun,1,1,,DAL,W 20-17,380,0,LAR_DAL_2020-09-13
NOR,2019-09-15,380,Sun,2,2,@,LAR,L 9-27,380,1,NOR_LAR_2019-09-15
CIN,2018-09-09,380,Sun,1,1,@,IND,W 34-23,380,2,CIN_IND_2018-09-09
DAL,2017-09-17,380,Sun,2,2,@,DEN,L 17-42,380,2,DAL_DEN_2017-09-17
NOR,2022-11-13,379,Sun,10,10,@,PIT,L 10-20,379,0,NOR_PIT_2022-11-13
CHI,2022-11-06,379,Sun,9,9,,MIA,L 32-35,379,0,CHI_MIA_2022-11-06
IND,2022-10-16,379,Sun,6,6,,JAX,W 34-27,379,1,IND_JAX_2022-10-16
MIA,2022-01-09,379,Sun,17,18,,NWE,W 33-24,379,3,MIA_NWE_2022-01-09
NYJ,2021-12-19,379,Sun,14,15,@,MIA,L 24-31,379,3,NYJ_MIA_2021-12-19
DAL,2021-10-03,379,Sun,4,4,,CAR,W 36-28,379,2,DAL_CAR_2021-10-03
HOU,2020-10-25,379,Sun,7,7,,GNB,L 20-35,379,0,HOU_GNB_2020-10-25
CAR,2019-12-29,379,Sun,16,17,,NOR,L 10-42,379,0,CAR_NOR_2019-12-29
CIN,2019-11-10,379,Sun,9,10,,BAL,L 13-49,379,1,CIN_BAL_2019-11-10
ATL,2019-09-22,379,Sun,3,3,@,IND,L 24-27,379,0,ATL_IND_2019-09-22
MIA,2019-09-15,379,Sun,2,2,,NWE,L 0-43,379,1,MIA_NWE_2019-09-15
NYG,2018-10-11,379,Thu,6,6,,PHI,L 13-34,379,0,NYG_PHI_2018-10-11
HOU,2018-09-23,379,Sun,3,3,,NYG,L 22-27,379,0,HOU_NYG_2018-09-23
IND,2018-09-23,379,Sun,3,3,@,PHI,L 16-20,379,2,IND_PHI_2018-09-23
DEN,2017-12-31,379,Sun,16,17,,KAN,L 24-27,379,2,DEN_KAN_2017-12-31
NYJ,2017-12-24,379,Sun,15,16,,LAC,L 7-14,379,0,NYJ_LAC_2017-12-24
MIA,2017-11-05,379,Sun,8,9,,OAK,L 24-27,379,2,MIA_OAK_2017-11-05
DET,2017-10-15,379,Sun,6,6,@,NOR,L 38-52,379,3,DET_NOR_2017-10-15
TAM,2017-10-01,379,Sun,3,4,,NYG,W 25-23,379,0,TAM_NYG_2017-10-01
KAN,2022-10-10,378,Mon,5,5,,LVR,W 30-29,378,0,KAN_LVR_2022-10-10
CIN,2022-09-29,378,Thu,4,4,,MIA,W 27-15,378,2,CIN_MIA_2022-09-29
DET,2022-01-09,378,Sun,17,18,,GNB,W 37-30,378,3,DET_GNB_2022-01-09
IND,2021-12-25,378,Sat,15,16,@,ARI,W 22-16,378,0,IND_ARI_2021-12-25
DET,2021-11-25,378,Thu,11,12,,CHI,L 14-16,378,1,DET_CHI_2021-11-25
CIN,2020-09-27,378,Sun,3,3,@,PHI,T 23-23 (OT),378,2,CIN_PHI_2020-09-27
HOU,2019-10-27,378,Sun,8,8,,OAK,W 27-24,378,0,HOU_OAK_2019-10-27
GNB,2018-11-15,378,Thu,10,11,@,SEA,L 24-27,378,1,GNB_SEA_2018-11-15
JAX,2018-10-14,378,Sun,6,6,@,DAL,L 7-40,378,0,JAX_DAL_2018-10-14
NOR,2021-12-02,377,Thu,12,13,,DAL,L 17-27,377,1,NOR_DAL_2021-12-02
CIN,2020-11-15,377,Sun,9,10,@,PIT,L 10-36,377,0,CIN_PIT_2020-11-15
DET,2020-09-27,377,Sun,3,3,@,ARI,W 26-23,377,3,DET_ARI_2020-09-27
NOR,2020-09-21,377,Mon,2,2,@,LVR,L 24-34,377,1,NOR_LVR_2020-09-21
DEN,2020-09-14,377,Mon,1,1,,TEN,L 14-16,377,0,DEN_TEN_2020-09-14
TEN,2019-12-22,377,Sun,15,16,,NOR,L 28-38,377,0,TEN_NOR_2019-12-22
MIN,2019-11-03,377,Sun,9,9,@,KAN,L 23-26,377,1,MIN_KAN_2019-11-03
IND,2019-09-29,377,Sun,4,4,,OAK,L 24-31,377,1,IND_OAK_2019-09-29
SFO,2018-12-30,377,Sun,16,17,@,LAR,L 32-48,377,0,SFO_LAR_2018-12-30
MIA,2018-11-11,377,Sun,10,10,@,GNB,L 12-31,377,1,MIA_GNB_2018-11-11
CIN,2018-09-23,377,Sun,3,3,@,CAR,L 21-31,377,0,CIN_CAR_2018-09-23
GNB,2022-12-25,376,Sun,15,16,@,MIA,W 26-20,376,4,GNB_MIA_2022-12-25
KAN,2022-10-02,376,Sun,4,4,@,TAM,W 41-31,376,2,KAN_TAM_2022-10-02
PIT,2022-09-22,376,Thu,3,3,@,CLE,L 17-29,376,0,PIT_CLE_2022-09-22
PIT,2022-09-18,376,Sun,2,2,,NWE,L 14-17,376,1,PIT_NWE_2022-09-18
CIN,2022-01-09,376,Sun,17,18,@,CLE,L 16-21,376,2,CIN_CLE_2022-01-09
ATL,2021-11-07,376,Sun,8,9,@,NOR,W 27-25,376,1,ATL_NOR_2021-11-07
DEN,2021-10-21,376,Thu,7,7,@,CLE,L 14-17,376,0,DEN_CLE_2021-10-21
LVR,2020-12-06,376,Sun,12,13,@,NYJ,W 31-28,376,3,LVR_NYJ_2020-12-06
MIN,2020-11-22,376,Sun,10,11,,DAL,L 28-31,376,1,MIN_DAL_2020-11-22
NYJ,2020-11-22,376,Sun,10,11,@,LAC,L 28-34,376,1,NYJ_LAC_2020-11-22
ATL,2020-11-22,376,Sun,10,11,@,NOR,L 9-24,376,1,ATL_NOR_2020-11-22
LAC,2019-09-22,376,Sun,3,3,,HOU,L 20-27,376,1,LAC_HOU_2019-09-22
LAC,2019-09-08,376,Sun,1,1,,IND,W 30-24 (OT),376,0,LAC_IND_2019-09-08
NWE,2018-12-16,376,Sun,14,15,@,PIT,L 10-17,376,2,NWE_PIT_2018-12-16
NYG,2018-12-02,376,Sun,12,13,,CHI,W 30-27 (OT),376,3,NYG_CHI_2018-12-02
BUF,2018-10-21,376,Sun,7,7,@,IND,L 5-37,376,0,BUF_IND_2018-10-21
CLE,2017-12-17,376,Sun,14,15,,BAL,L 10-27,376,0,CLE_BAL_2017-12-17
MIN,2022-10-30,375,Sun,7,8,,ARI,W 34-26,375,3,MIN_ARI_2022-10-30
IND,2022-10-06,375,Thu,5,5,@,DEN,W 12-9 (OT),375,2,IND_DEN_2022-10-06
MIN,2021-12-09,375,Thu,13,14,,PIT,W 36-28,375,1,MIN_PIT_2021-12-09
CLE,2020-11-29,375,Sun,11,12,@,JAX,W 27-25,375,0,CLE_JAX_2020-11-29
TEN,2020-11-08,375,Sun,8,9,,CHI,W 24-17,375,2,TEN_CHI_2020-11-08
NWE,2020-09-27,375,Sun,3,3,,LVR,W 36-20,375,3,NWE_LVR_2020-09-27
LAR,2020-09-27,375,Sun,3,3,@,BUF,L 32-35,375,2,LAR_BUF_2020-09-27
NYG,2019-10-27,375,Sun,8,8,@,DET,L 26-31,375,2,NYG_DET_2019-10-27
NWE,2019-09-29,375,Sun,4,4,@,BUF,W 16-10,375,4,NWE_BUF_2019-09-29
NYJ,2019-09-16,375,Mon,2,2,,CLE,L 3-23,375,1,NYJ_CLE_2019-09-16
NYJ,2018-12-30,375,Sun,16,17,@,NWE,L 3-38,375,0,NYJ_NWE_2018-12-30
SEA,2018-11-04,375,Sun,8,9,,LAC,L 17-25,375,0,SEA_LAC_2018-11-04
PHI,2018-10-07,375,Sun,5,5,,MIN,L 21-23,375,1,PHI_MIN_2018-10-07
KAN,2017-11-05,375,Sun,9,9,@,DAL,L 17-28,375,0,KAN_DAL_2017-11-05
CLE,2017-10-29,375,Sun,8,8,,MIN,L 16-33,375,1,CLE_MIN_2017-10-29
NYJ,2017-10-15,375,Sun,6,6,,NWE,L 17-24,375,2,NYJ_NWE_2017-10-15
SEA,2017-10-08,375,Sun,5,5,@,LAR,W 16-10,375,5,SEA_LAR_2017-10-08
DEN,2023-01-01,374,Sun,16,17,@,KAN,L 24-27,374,2,DEN_KAN_2023-01-01
TEN,2022-11-27,374,Sun,11,12,,CIN,L 16-20,374,0,TEN_CIN_2022-11-27
TAM,2022-01-02,374,Sun,16,17,@,NYJ,W 28-24,374,1,TAM_NYJ_2022-01-02
DET,2021-10-24,374,Sun,7,7,@,LAR,L 19-28,374,0,DET_LAR_2021-10-24
PIT,2021-10-10,374,Sun,5,5,,DEN,W 27-19,374,1,PIT_DEN_2021-10-10
WAS,2021-10-03,374,Sun,4,4,@,ATL,W 34-30,374,0,WAS_ATL_2021-10-03
MIN,2020-11-29,374,Sun,11,12,,CAR,W 28-27,374,1,MIN_CAR_2020-11-29
DET,2020-11-22,374,Sun,10,11,@,CAR,L 0-20,374,2,DET_CAR_2020-11-22
JAX,2020-11-08,374,Sun,8,9,,HOU,L 25-27,374,1,JAX_HOU_2020-11-08
TEN,2019-12-15,374,Sun,14,15,,HOU,L 21-24,374,2,TEN_HOU_2019-12-15
MIA,2019-12-08,374,Sun,13,14,@,NYJ,L 21-22,374,1,MIA_NYJ_2019-12-08
KAN,2019-10-27,374,Sun,8,8,,GNB,L 24-31,374,0,KAN_GNB_2019-10-27
NOR,2018-12-30,374,Sun,16,17,,CAR,L 14-33,374,0,NOR_CAR_2018-12-30
NYG,2018-11-12,374,Mon,9,10,@,SFO,W 27-23,374,2,NYG_SFO_2018-11-12
IND,2018-10-14,374,Sun,6,6,@,NYJ,L 34-42,374,2,IND_NYJ_2018-10-14
PIT,2017-12-31,374,Sun,16,17,,CLE,W 28-24,374,2,PIT_CLE_2017-12-31
CIN,2017-12-04,374,Mon,12,13,,PIT,L 20-23,374,1,CIN_PIT_2017-12-04
SFO,2017-11-12,374,Sun,10,10,,NYG,W 31-21,374,1,SFO_NYG_2017-11-12
DET,2022-09-25,373,Sun,3,3,@,MIN,L 24-28,373,1,DET_MIN_2022-09-25
SEA,2022-09-18,373,Sun,2,2,@,SFO,L 7-27,373,0,SEA_SFO_2022-09-18
BAL,2022-01-02,373,Sun,16,17,,LAR,L 19-20,373,3,BAL_LAR_2022-01-02
JAX,2021-12-26,373,Sun,15,16,@,NYJ,L 21-26,373,0,JAX_NYJ_2021-12-26
TEN,2021-11-14,373,Sun,10,10,,NOR,W 23-21,373,1,TEN_NOR_2021-11-14
NOR,2021-10-10,373,Sun,5,5,@,WAS,W 33-22,373,2,NOR_WAS_2021-10-10
DET,2021-10-03,373,Sun,4,4,@,CHI,L 14-24,373,1,DET_CHI_2021-10-03
JAX,2020-11-22,373,Sun,10,11,,PIT,L 3-27,373,1,JAX_PIT_2020-11-22
CAR,2020-10-11,373,Sun,5,5,@,ATL,W 23-16,373,1,CAR_ATL_2020-10-11
TAM,2019-12-29,373,Sun,16,17,,ATL,L 22-28 (OT),373,1,TAM_ATL_2019-12-29
CHI,2019-11-03,373,Sun,8,9,@,PHI,L 14-22,373,0,CHI_PHI_2019-11-03
HOU,2019-10-06,373,Sun,5,5,,ATL,W 53-32,373,1,HOU_ATL_2019-10-06
DET,2019-09-22,373,Sun,3,3,@,PHI,W 27-24,373,2,DET_PHI_2019-09-22
LAR,2018-10-07,373,Sun,5,5,@,SEA,W 33-31,373,0,LAR_SEA_2018-10-07
OAK,2018-09-23,373,Sun,3,3,@,MIA,L 20-28,373,0,OAK_MIA_2018-09-23
DEN,2018-09-16,373,Sun,2,2,,OAK,W 20-19,373,0,DEN_OAK_2018-09-16
BAL,2018-09-13,373,Thu,2,2,@,CIN,L 23-34,373,0,BAL_CIN_2018-09-13
ATL,2017-12-18,373,Mon,14,15,@,TAM,W 24-21,373,1,ATL_TAM_2017-12-18
ATL,2017-11-26,373,Sun,11,12,,TAM,W 34-20,373,0,ATL_TAM_2017-11-26
CAR,2017-10-01,373,Sun,4,4,@,NWE,W 33-30,373,0,CAR_NWE_2017-10-01
IND,2017-09-10,373,Sun,1,1,@,LAR,L 9-46,373,1,IND_LAR_2017-09-10
LVR,2022-11-27,372,Sun,11,12,@,SEA,W 40-34 (OT),372,2,LVR_SEA_2022-11-27
PIT,2022-10-23,372,Sun,7,7,@,MIA,L 10-16,372,0,PIT_MIA_2022-10-23
LVR,2021-12-12,372,Sun,13,14,@,KAN,L 9-48,372,0,LVR_KAN_2021-12-12
MIN,2021-12-05,372,Sun,12,13,@,DET,L 27-29,372,2,MIN_DET_2021-12-05
WAS,2020-11-15,372,Sun,9,10,@,DET,L 27-30,372,0,WAS_DET_2020-11-15
CAR,2020-09-13,372,Sun,1,1,,LVR,L 30-34,372,0,CAR_LVR_2020-09-13
NWE,2019-11-03,372,Sun,9,9,@,BAL,L 20-37,372,2,NWE_BAL_2019-11-03
CHI,2019-09-15,372,Sun,2,2,@,DEN,W 16-14,372,1,CHI_DEN_2019-09-15
CLE,2018-11-25,372,Sun,11,12,@,CIN,W 35-20,372,2,CLE_CIN_2018-11-25
BAL,2017-12-03,372,Sun,12,13,,DET,W 44-20,372,3,BAL_DET_2017-12-03
CHI,2017-09-10,372,Sun,1,1,,ATL,L 17-23,372,0,CHI_ATL_2017-09-10
WAS,2022-12-24,371,Sat,15,16,@,SFO,L 20-37,371,1,WAS_SFO_2022-12-24
DAL,2022-10-30,371,Sun,8,8,,CHI,W 49-29,371,1,DAL_CHI_2022-10-30
MIA,2022-09-29,371,Thu,4,4,@,CIN,L 15-27,371,0,MIA_CIN_2022-09-29
SEA,2021-11-29,371,Mon,11,12,@,WAS,L 15-17,371,1,SEA_WAS_2021-11-29
IND,2021-09-19,371,Sun,2,2,,LAR,L 24-27,371,2,IND_LAR_2021-09-19
PIT,2021-09-12,371,Sun,1,1,@,BUF,W 23-16,371,1,PIT_BUF_2021-09-12
HOU,2020-12-06,371,Sun,12,13,,IND,L 20-26,371,0,HOU_IND_2020-12-06
CHI,2020-10-26,371,Mon,7,7,@,LAR,L 10-24,371,1,CHI_LAR_2020-10-26
CHI,2020-09-27,371,Sun,3,3,@,ATL,W 30-26,371,1,CHI_ATL_2020-09-27
KAN,2019-11-10,371,Sun,10,10,@,TEN,L 32-35,371,1,KAN_TEN_2019-11-10
BUF,2019-10-27,371,Sun,7,8,,PHI,L 13-31,371,1,BUF_PHI_2019-10-27
JAX,2019-09-29,371,Sun,4,4,@,DEN,W 26-24,371,1,JAX_DEN_2019-09-29
PHI,2018-12-23,371,Sun,15,16,,HOU,W 32-30,371,1,PHI_HOU_2018-12-23
PIT,2018-12-02,371,Sun,12,13,,LAC,L 30-33,371,0,PIT_LAC_2018-12-02
PHI,2018-10-21,371,Sun,7,7,,CAR,L 17-21,371,0,PHI_CAR_2018-10-21
CAR,2017-12-31,371,Sun,16,17,@,ATL,L 10-22,371,0,CAR_ATL_2017-12-31
HOU,2017-11-05,371,Sun,8,9,,IND,L 14-20,371,1,HOU_IND_2017-11-05
WAS,2017-10-23,371,Mon,6,7,@,PHI,L 24-34,371,1,WAS_PHI_2017-10-23
JAX,2017-10-08,371,Sun,5,5,@,PIT,W 30-9,371,5,JAX_PIT_2017-10-08
KAN,2017-09-07,371,Thu,1,1,@,NWE,W 42-27,371,0,KAN_NWE_2017-09-07
MIN,2021-12-20,370,Mon,14,15,@,CHI,W 17-9,370,3,MIN_CHI_2021-12-20
PIT,2021-11-28,370,Sun,11,12,@,CIN,L 10-41,370,1,PIT_CIN_2021-11-28
BUF,2021-11-21,370,Sun,10,11,,IND,L 15-41,370,0,BUF_IND_2021-11-21
DAL,2021-11-21,370,Sun,10,11,@,KAN,L 9-19,370,2,DAL_KAN_2021-11-21
CLE,2021-10-31,370,Sun,8,8,,PIT,L 10-15,370,0,CLE_PIT_2021-10-31
DEN,2020-12-13,370,Sun,13,14,@,CAR,W 32-27,370,0,DEN_CAR_2020-12-13
TEN,2020-10-13,370,Tue,4,5,,BUF,W 42-16,370,3,TEN_BUF_2020-10-13
TEN,2019-11-03,370,Sun,9,9,@,CAR,L 20-30,370,1,TEN_CAR_2019-11-03
DET,2019-10-27,370,Sun,7,8,,NYG,W 31-26,370,1,DET_NYG_2019-10-27
ARI,2019-10-06,370,Sun,5,5,@,CIN,W 26-23,370,0,ARI_CIN_2019-10-06
BUF,2019-09-15,370,Sun,2,2,@,NYG,W 28-14,370,2,BUF_NYG_2019-09-15
NYJ,2019-09-08,370,Sun,1,1,,BUF,L 16-17,370,4,NYJ_BUF_2019-09-08
LAC,2018-12-30,370,Sun,16,17,@,DEN,W 23-9,370,4,LAC_DEN_2018-12-30
PIT,2018-12-23,370,Sun,15,16,@,NOR,L 28-31,370,1,PIT_NOR_2018-12-23
GNB,2018-12-23,370,Sun,15,16,@,NYJ,W 44-38 (OT),370,0,GNB_NYJ_2018-12-23
DAL,2018-12-16,370,Sun,14,15,@,IND,L 0-23,370,1,DAL_IND_2018-12-16
TAM,2018-12-16,370,Sun,14,15,@,BAL,L 12-20,370,2,TAM_BAL_2018-12-16
HOU,2018-10-25,370,Thu,8,8,,MIA,W 42-23,370,1,HOU_MIA_2018-10-25
CHI,2018-09-09,370,Sun,1,1,@,GNB,L 23-24,370,2,CHI_GNB_2018-09-09
DET,2017-12-03,370,Sun,12,13,@,BAL,L 20-44,370,0,DET_BAL_2017-12-03
SEA,2017-09-10,370,Sun,1,1,@,GNB,L 9-17,370,1,SEA_GNB_2017-09-10
GNB,2022-10-30,369,Sun,8,8,@,BUF,L 17-27,369,2,GNB_BUF_2022-10-30
ATL,2022-01-09,369,Sun,17,18,,NOR,L 20-30,369,0,ATL_NOR_2022-01-09
CAR,2021-11-21,369,Sun,11,11,,WAS,L 21-27,369,1,CAR_WAS_2021-11-21
NWE,2021-10-31,369,Sun,8,8,@,LAC,W 27-24,369,2,NWE_LAC_2021-10-31
KAN,2021-10-24,369,Sun,7,7,@,TEN,L 3-27,369,1,KAN_TEN_2021-10-24
WAS,2021-10-10,369,Sun,5,5,,NOR,L 22-33,369,2,WAS_NOR_2021-10-10
TAM,2020-12-20,369,Sun,14,15,@,ATL,W 31-27,369,0,TAM_ATL_2020-12-20
ARI,2020-11-15,369,Sun,9,10,,BUF,W 32-30,369,2,ARI_BUF_2020-11-15
NOR,2020-09-27,369,Sun,3,3,,GNB,L 30-37,369,0,NOR_GNB_2020-09-27
HOU,2020-09-10,369,Thu,1,1,@,KAN,L 20-34,369,0,HOU_KAN_2020-09-10
TEN,2019-11-24,369,Sun,11,12,,JAX,W 42-20,369,1,TEN_JAX_2019-11-24
OAK,2018-10-14,369,Sun,6,6,,SEA,L 3-27,369,1,OAK_SEA_2018-10-14
BUF,2018-09-09,369,Sun,1,1,@,BAL,L 3-47,369,1,BUF_BAL_2018-09-09
JAX,2017-12-24,369,Sun,15,16,@,SFO,L 33-44,369,1,JAX_SFO_2017-12-24
MIA,2022-11-06,368,Sun,9,9,@,CHI,W 35-32,368,0,MIA_CHI_2022-11-06
LAR,2022-10-30,368,Sun,7,8,,SFO,L 14-31,368,0,LAR_SFO_2022-10-30
LVR,2022-10-10,368,Mon,5,5,@,KAN,L 29-30,368,0,LVR_KAN_2022-10-10
NYG,2021-11-01,368,Mon,8,8,@,KAN,L 17-20,368,2,NYG_KAN_2021-11-01
JAX,2021-10-10,368,Sun,5,5,,TEN,L 19-37,368,0,JAX_TEN_2021-10-10
IND,2021-09-26,368,Sun,3,3,@,TEN,L 16-25,368,3,IND_TEN_2021-09-26
BUF,2019-11-10,368,Sun,9,10,@,CLE,L 16-19,368,0,BUF_CLE_2019-11-10
PIT,2018-12-16,368,Sun,14,15,,NWE,W 17-10,368,1,PIT_NWE_2018-12-16
NYJ,2018-12-09,368,Sun,13,14,@,BUF,W 27-23,368,3,NYJ_BUF_2018-12-09
SFO,2018-09-30,368,Sun,4,4,@,LAC,L 27-29,368,1,SFO_LAC_2018-09-30
SFO,2017-11-05,368,Sun,9,9,,ARI,L 10-20,368,2,SFO_ARI_2017-11-05
SFO,2017-10-01,368,Sun,4,4,@,ARI,L 15-18 (OT),368,1,SFO_ARI_2017-10-01
TAM,2022-11-27,367,Sun,11,12,@,CLE,L 17-23 (OT),367,1,TAM_CLE_2022-11-27
HOU,2022-11-13,367,Sun,9,10,@,NYG,L 16-24,367,0,HOU_NYG_2022-11-13
LVR,2022-10-30,367,Sun,7,8,@,NOR,L 0-24,367,0,LVR_NOR_2022-10-30
GNB,2021-10-10,367,Sun,5,5,@,CIN,W 25-22 (OT),367,2,GNB_CIN_2021-10-10
DAL,2021-10-10,367,Sun,5,5,,NYG,W 44-20,367,2,DAL_NYG_2021-10-10
PIT,2021-10-03,367,Sun,4,4,@,GNB,L 17-27,367,1,PIT_GNB_2021-10-03
DAL,2021-09-27,367,Mon,3,3,,PHI,W 41-21,367,2,DAL_PHI_2021-09-27
KAN,2020-12-27,367,Sun,15,16,,ATL,W 17-14,367,1,KAN_ATL_2020-12-27
KAN,2020-12-13,367,Sun,13,14,@,MIA,W 33-27,367,1,KAN_MIA_2020-12-13
BUF,2020-11-29,367,Sun,11,12,,LAC,W 27-17,367,1,BUF_LAC_2020-11-29
IND,2020-11-22,367,Sun,10,11,,GNB,W 34-31 (OT),367,4,IND_GNB_2020-11-22
TEN,2020-11-01,367,Sun,7,8,@,CIN,L 20-31,367,0,TEN_CIN_2020-11-01
PHI,2020-10-11,367,Sun,5,5,@,PIT,L 29-38,367,1,PHI_PIT_2020-10-11
PHI,2019-09-15,367,Sun,2,2,@,ATL,L 20-24,367,3,PHI_ATL_2019-09-15
NWE,2018-11-04,367,Sun,9,9,,GNB,W 31-17,367,1,NWE_GNB_2018-11-04
DEN,2017-12-03,367,Sun,12,13,@,MIA,L 9-35,367,3,DEN_MIA_2017-12-03
BUF,2017-10-29,367,Sun,7,8,,OAK,W 34-14,367,4,BUF_OAK_2017-10-29
ATL,2017-09-17,367,Sun,2,2,,GNB,W 34-23,367,2,ATL_GNB_2017-09-17
MIA,2017-09-17,367,Sun,1,2,@,LAC,W 19-17,367,0,MIA_LAC_2017-09-17
ARI,2017-09-10,367,Sun,1,1,@,DET,L 23-35,367,1,ARI_DET_2017-09-10
LAC,2022-11-27,366,Sun,11,12,@,ARI,W 25-24,366,2,LAC_ARI_2022-11-27
BUF,2021-11-14,366,Sun,9,10,@,NYJ,W 45-17,366,5,BUF_NYJ_2021-11-14
NOR,2021-11-07,366,Sun,8,9,,ATL,L 25-27,366,0,NOR_ATL_2021-11-07
MIN,2021-09-12,366,Sun,1,1,@,CIN,L 24-27 (OT),366,0,MIN_CIN_2021-09-12
DET,2020-11-01,366,Sun,7,8,,IND,L 21-41,366,0,DET_IND_2020-11-01
ARI,2020-09-13,366,Sun,1,1,@,SFO,W 24-20,366,0,ARI_SFO_2020-09-13
KAN,2019-12-29,366,Sun,16,17,,LAC,W 31-21,366,2,KAN_LAC_2019-12-29
LAC,2019-12-22,366,Sun,15,16,,OAK,L 17-24,366,0,LAC_OAK_2019-12-22
HOU,2019-09-22,366,Sun,3,3,@,LAC,W 27-20,366,1,HOU_LAC_2019-09-22
ATL,2018-12-02,366,Sun,12,13,,BAL,L 16-26,366,1,ATL_BAL_2018-12-02
NOR,2018-11-22,366,Thu,11,12,,ATL,W 31-17,366,4,NOR_ATL_2018-11-22
JAX,2018-11-11,366,Sun,9,10,@,IND,L 26-29,366,1,JAX_IND_2018-11-11
