Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,game_id
BUF,2020-12-19,534,Sat,14,15,@,DEN,W 48-19,534,65,8.22,63,4.05,1,33:50,3:20,BUF_DEN_2020-12-19
NOR,2018-09-23,534,Sun,3,3,@,ATL,W 43-37 (OT),534,77,6.94,60,6.78,0,37:45,3:38,NOR_ATL_2018-09-23
LAC,2021-11-21,533,Sun,10,11,,PIT,W 41-37,533,69,7.72,65,4.62,1,31:46,3:17,LAC_PIT_2021-11-21
IND,2021-11-04,532,Thu,9,9,,NYJ,W 45-30,532,61,8.72,75,6.48,0,30:27,3:12,IND_NYJ_2021-11-04
TEN,2021-09-19,532,Sun,2,2,@,SEA,W 33-30 (OT),532,83,6.41,52,7.63,1,42:33,3:27,TEN_SEA_2021-09-19
CLE,2021-10-10,531,Sun,5,5,@,LAC,L 42-47,531,68,7.81,68,7.25,0,36:28,3:21,CLE_LAC_2021-10-10
KAN,2019-11-10,530,Sun,10,10,@,TEN,L 32-35,530,78,6.79,49,7.57,1,37:52,3:12,KAN_TEN_2019-11-10
CLE,2019-09-29,530,Sun,4,4,@,BAL,W 40-25,530,61,8.69,67,5.90,1,30:17,3:08,CLE_BAL_2019-09-29
KAN,2022-10-23,529,Sun,7,7,@,SFO,W 44-23,529,58,9.12,72,6.17,2,26:15,3:05,KAN_SFO_2022-10-23
TAM,2018-09-09,529,Sun,1,1,@,NOR,W 48-40,529,62,8.53,59,8.05,0,32:09,3:13,TAM_NOR_2018-09-09
PIT,2018-11-25,527,Sun,11,12,@,DEN,L 17-24,527,76,6.93,53,5.81,4,35:00,3:03,PIT_DEN_2018-11-25
ARI,2020-12-20,526,Sun,14,15,,PHI,W 33-26,526,68,7.74,79,5.34,3,27:47,3:27,ARI_PHI_2020-12-20
BAL,2021-01-03,525,Sun,16,17,@,CIN,W 38-3,525,73,7.19,40,4.88,1,40:31,2:55,BAL_CIN_2021-01-03
LAC,2019-12-08,525,Sun,13,14,@,JAX,W 45-10,525,58,9.05,63,4.00,0,29:23,2:57,LAC_JAX_2019-12-08
BAL,2021-10-11,523,Mon,5,5,,IND,W 31-25 (OT),523,70,7.47,63,8.14,1,33:51,3:15,BAL_IND_2021-10-11
BUF,2020-09-20,523,Sun,2,2,@,MIA,W 31-28,523,59,8.86,72,5.69,1,28:55,3:40,BUF_MIA_2020-09-20
DAL,2020-09-27,522,Sun,3,3,@,SEA,L 31-38,522,80,6.53,70,5.89,3,27:26,3:32,DAL_SEA_2020-09-27
GNB,2020-09-13,522,Sun,1,1,@,MIN,W 43-34,522,76,6.87,49,7.80,0,41:16,3:12,GNB_MIN_2020-09-13
GNB,2018-10-15,521,Mon,6,6,,SFO,W 33-30,521,70,7.44,55,7.29,0,31:08,3:10,GNB_SFO_2018-10-15
GNB,2018-10-07,521,Sun,5,5,@,DET,L 23-31,521,76,6.86,57,4.63,3,33:20,3:23,GNB_DET_2018-10-07
LAR,2018-09-23,521,Sun,3,3,,LAC,W 35-23,521,72,7.24,52,6.85,2,34:16,2:57,LAR_LAC_2018-09-23
DET,2022-10-02,520,Sun,4,4,,SEA,L 45-48,520,66,7.88,63,8.81,2,26:54,3:29,DET_SEA_2022-10-02
CIN,2021-10-24,520,Sun,7,7,@,BAL,W 41-17,520,63,8.25,71,5.54,1,28:11,3:15,CIN_BAL_2021-10-24
PHI,2021-12-21,519,Tue,14,15,,WAS,W 27-17,519,70,7.41,54,4.39,2,35:17,3:01,PHI_WAS_2021-12-21
ARI,2020-10-25,519,Sun,7,7,,SEA,W 37-34 (OT),519,81,6.41,82,6.98,2,30:13,3:52,ARI_SEA_2020-10-25
