Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,game_id
PHI,2018-11-11,421,Sun,9,10,,DAL,L 20-27,421,62,6.79,68,6.03,1,26:38,3:02,PHI_DAL_2018-11-11
PIT,2018-10-28,421,Sun,7,8,,CLE,W 33-18,421,68,6.19,59,4.02,2,32:12,3:04,PIT_CLE_2018-10-28
NWE,2017-11-19,421,Sun,10,11,@,OAK,W 33-8,421,58,7.26,71,4.85,0,27:37,3:06,NWE_OAK_2017-11-19
SFO,2017-09-21,421,Thu,3,3,,LAR,L 39-41,421,74,5.69,60,6.97,2,30:17,3:24,SFO_LAR_2017-09-21
TAM,2022-10-09,420,Sun,5,5,,ATL,W 21-15,420,75,5.60,61,4.28,0,29:26,3:04,TAM_ATL_2022-10-09
SEA,2022-09-25,420,Sun,3,3,,ATL,L 23-27,420,69,6.09,54,7.15,1,31:46,2:53,SEA_ATL_2022-09-25
TEN,2021-11-21,420,Sun,11,11,,HOU,L 13-22,420,79,5.32,62,3.06,5,30:22,3:06,TEN_HOU_2021-11-21
CIN,2021-09-30,420,Thu,4,4,,JAX,W 24-21,420,55,7.64,55,6.20,0,31:15,2:59,CIN_JAX_2021-09-30
DEN,2021-09-12,420,Sun,1,1,@,NYG,W 27-13,420,66,6.36,59,5.32,1,35:08,2:53,DEN_NYG_2021-09-12
MIN,2020-12-06,420,Sun,12,13,,JAX,W 27-24 (OT),420,85,4.94,69,5.65,2,37:33,3:39,MIN_JAX_2020-12-06
IND,2020-11-22,420,Sun,10,11,,GNB,W 34-31 (OT),420,74,5.68,57,6.44,2,35:01,3:27,IND_GNB_2020-11-22
BUF,2020-11-08,420,Sun,9,9,,SEA,W 44-34,420,64,6.56,63,6.65,0,32:01,3:15,BUF_SEA_2020-11-08
NOR,2020-11-08,420,Sun,8,9,@,TAM,W 38-3,420,73,5.75,46,4.22,2,40:04,2:51,NOR_TAM_2020-11-08
SFO,2020-09-27,420,Sun,3,3,@,NYG,W 36-9,420,73,5.75,49,4.71,0,39:44,3:01,SFO_NYG_2020-09-27
PHI,2017-11-26,420,Sun,11,12,,CHI,W 31-3,420,73,5.75,49,2.86,3,37:08,3:07,PHI_CHI_2017-11-26
PIT,2017-10-22,420,Sun,7,7,,CIN,W 29-14,420,68,6.18,51,3.51,0,35:15,3:03,PIT_CIN_2017-10-22
TEN,2017-09-24,420,Sun,3,3,,SEA,W 33-27,420,67,6.27,72,6.01,0,32:41,3:19,TEN_SEA_2017-09-24
DAL,2022-12-24,419,Sat,15,16,,PHI,W 40-34,419,72,5.82,69,6.41,1,32:18,3:03,DAL_PHI_2022-12-24
TAM,2022-11-13,419,Sun,10,10,,SEA,W 21-16,419,74,5.66,50,5.66,2,36:55,2:48,TAM_SEA_2022-11-13
LAC,2022-10-02,419,Sun,4,4,@,HOU,W 34-24,419,67,6.25,53,6.53,1,31:39,3:00,LAC_HOU_2022-10-02
DAL,2021-10-31,419,Sun,7,8,@,MIN,W 20-16,419,68,6.16,61,4.56,2,32:32,3:11,DAL_MIN_2021-10-31
DAL,2021-09-19,419,Sun,2,2,@,LAC,W 20-17,419,60,6.98,62,6.58,1,29:03,2:53,DAL_LAC_2021-09-19
MIN,2021-09-19,419,Sun,2,2,@,ARI,L 33-34,419,60,6.98,60,7.90,0,28:08,3:13,MIN_ARI_2021-09-19
SEA,2020-11-08,419,Sun,8,9,@,BUF,L 34-44,419,63,6.65,64,6.56,4,27:59,3:15,SEA_BUF_2020-11-08
KAN,2019-12-15,419,Sun,14,15,,DEN,W 23-3,419,62,6.76,57,4.40,1,33:33,2:57,KAN_DEN_2019-12-15
CHI,2019-11-28,419,Thu,12,13,@,DET,W 24-20,419,62,6.76,67,5.43,1,30:50,3:23,CHI_DET_2019-11-28
DAL,2018-12-30,419,Sun,16,17,@,NYG,W 36-35,419,70,5.99,67,6.58,1,30:52,3:11,DAL_NYG_2018-12-30
KAN,2018-12-23,419,Sun,15,16,@,SEA,L 31-38,419,60,6.98,75,6.19,2,24:58,3:21,KAN_SEA_2018-12-23
PHI,2017-11-05,419,Sun,9,9,,DEN,W 51-23,419,67,6.25,60,3.77,1,29:54,3:21,PHI_DEN_2017-11-05
WAS,2017-10-15,419,Sun,5,6,,SFO,W 26-24,419,71,5.90,70,4.79,2,36:52,3:28,WAS_SFO_2017-10-15
CLE,2017-10-08,419,Sun,5,5,,NYJ,L 14-17,419,70,5.99,51,4.16,3,34:26,2:57,CLE_NYJ_2017-10-08
PHI,2017-10-08,419,Sun,5,5,,ARI,W 34-7,419,64,6.55,60,5.12,1,35:47,2:57,PHI_ARI_2017-10-08
PHI,2021-12-05,418,Sun,13,13,@,NYJ,W 33-18,418,68,6.15,57,4.93,0,35:36,3:06,PHI_NYJ_2021-12-05
LAR,2021-12-05,418,Sun,12,13,,JAX,W 37-7,418,66,6.33,55,3.58,0,33:45,2:53,LAR_JAX_2021-12-05
CLE,2021-09-26,418,Sun,3,3,,CHI,W 26-6,418,78,5.36,42,1.12,0,39:34,3:01,CLE_CHI_2021-09-26
LVR,2020-12-26,418,Sat,15,16,,MIA,L 25-26,418,61,6.85,63,6.08,1,26:59,3:05,LVR_MIA_2020-12-26
PHI,2019-12-09,418,Mon,13,14,,NYG,W 23-17 (OT),418,85,4.92,52,4.90,1,42:51,3:20,PHI_NYG_2019-12-09
NOR,2019-11-24,418,Sun,11,12,,CAR,W 34-31,418,59,7.08,69,5.09,1,28:27,3:26,NOR_CAR_2019-11-24
TAM,2019-11-03,418,Sun,8,9,@,SEA,L 34-40 (OT),418,72,5.81,68,7.24,1,35:25,3:29,TAM_SEA_2019-11-03
MIN,2018-12-16,418,Sun,14,15,,MIA,W 41-17,418,63,6.63,53,3.64,1,33:16,3:03,MIN_MIA_2018-12-16
LAR,2017-09-21,418,Thu,3,3,@,SFO,W 41-39,418,60,6.97,74,5.69,2,29:43,3:24,LAR_SFO_2017-09-21
KAN,2022-10-02,417,Sun,4,4,@,TAM,W 41-31,417,77,5.42,59,6.37,1,38:38,3:09,KAN_TAM_2022-10-02
LAC,2021-12-26,417,Sun,15,16,@,HOU,L 29-41,417,57,7.32,64,6.83,3,25:08,2:56,LAC_HOU_2021-12-26
BUF,2021-10-18,417,Mon,6,6,@,TEN,L 31-34,417,73,5.71,51,7.10,1,32:50,3:08,BUF_TEN_2021-10-18
DET,2021-01-03,417,Sun,16,17,,MIN,L 35-37,417,54,7.72,74,6.86,2,24:47,3:07,DET_MIN_2021-01-03
TAM,2020-11-29,417,Sun,12,12,,KAN,L 24-27,417,55,7.58,72,7.54,2,23:13,3:03,TAM_KAN_2020-11-29
SFO,2020-10-04,417,Sun,4,4,,PHI,L 20-25,417,70,5.96,59,4.53,3,30:31,3:09,SFO_PHI_2020-10-04
ARI,2019-11-10,417,Sun,10,10,@,TAM,L 27-30,417,65,6.42,78,5.86,2,23:57,3:23,ARI_TAM_2019-11-10
ATL,2018-10-14,417,Sun,6,6,,TAM,W 34-29,417,64,6.52,63,8.10,0,31:39,3:09,ATL_TAM_2018-10-14
NWE,2017-11-26,417,Sun,11,12,,MIA,W 35-17,417,67,6.22,60,3.68,2,32:41,3:11,NWE_MIA_2017-11-26
DET,2017-11-06,417,Mon,8,9,@,GNB,W 30-17,417,67,6.22,58,5.36,1,36:55,2:45,DET_GNB_2017-11-06
HOU,2017-09-24,417,Sun,3,3,@,NWE,L 33-36,417,67,6.22,60,6.60,2,33:38,3:19,HOU_NWE_2017-09-24
MIN,2022-12-11,416,Sun,13,14,@,DET,L 23-34,416,62,6.71,69,6.72,2,28:06,3:13,MIN_DET_2022-12-11
DET,2022-09-25,416,Sun,3,3,@,MIN,L 24-28,416,76,5.47,67,5.57,1,34:04,3:14,DET_MIN_2022-09-25
ATL,2022-09-11,416,Sun,1,1,,NOR,L 26-27,416,71,5.86,57,6.75,2,33:44,3:07,ATL_NOR_2022-09-11
SFO,2022-01-02,416,Sun,16,17,,HOU,W 23-7,416,61,6.82,62,3.58,1,29:29,2:57,SFO_HOU_2022-01-02
ARI,2021-09-12,416,Sun,1,1,@,TEN,W 38-13,416,67,6.21,64,3.88,1,33:21,3:12,ARI_TEN_2021-09-12
LAC,2021-01-03,416,Sun,16,17,@,KAN,W 38-21,416,69,6.03,50,5.36,0,34:49,2:56,LAC_KAN_2021-01-03
TAM,2020-12-20,416,Sun,14,15,@,ATL,W 31-27,416,66,6.30,65,5.68,0,31:49,3:09,TAM_ATL_2020-12-20
BUF,2019-09-22,416,Sun,3,3,,CIN,W 21-17,416,73,5.70,57,5.37,2,36:54,3:15,BUF_CIN_2019-09-22
BAL,2018-11-25,416,Sun,11,12,,OAK,W 34-17,416,69,6.03,56,4.45,2,34:12,3:02,BAL_OAK_2018-11-25
MIN,2018-11-25,416,Sun,11,12,,GNB,W 24-17,416,69,6.03,51,4.98,0,34:37,3:07,MIN_GNB_2018-11-25
LAR,2018-10-28,416,Sun,8,8,,GNB,W 29-27,416,75,5.55,52,6.90,0,34:10,3:19,LAR_GNB_2018-10-28
CLE,2018-10-07,416,Sun,5,5,,BAL,W 12-9 (OT),416,76,5.47,84,4.88,1,36:16,3:36,CLE_BAL_2018-10-07
SFO,2017-12-10,416,Sun,13,14,@,HOU,W 26-16,416,66,6.30,64,4.86,1,34:49,3:19,SFO_HOU_2017-12-10
TEN,2017-11-12,416,Sun,9,10,,CIN,W 24-20,416,84,4.95,50,6.16,2,40:09,3:17,TEN_CIN_2017-11-12
BAL,2022-11-27,415,Sun,11,12,@,JAX,L 27-28,415,68,6.10,61,5.44,2,32:39,3:15,BAL_JAX_2022-11-27
GNB,2022-11-13,415,Sun,10,10,,DAL,W 31-28 (OT),415,61,6.80,79,5.33,2,35:55,3:28,GNB_DAL_2022-11-13
IND,2022-11-13,415,Sun,10,10,@,LVR,W 25-20,415,59,7.03,64,4.83,1,29:01,3:02,IND_LVR_2022-11-13
DET,2021-10-24,415,Sun,7,7,@,LAR,L 19-28,415,67,6.19,61,6.13,2,32:40,3:08,DET_LAR_2021-10-24
NOR,2020-10-25,415,Sun,6,7,,CAR,W 27-24,415,67,6.19,43,6.58,1,34:41,2:44,NOR_CAR_2020-10-25
MIA,2020-10-04,415,Sun,4,4,,SEA,L 23-31,415,68,6.10,62,7.11,2,33:09,3:05,MIA_SEA_2020-10-04
PHI,2019-12-15,415,Sun,14,15,@,WAS,W 37-27,415,73,5.68,51,6.90,1,36:57,3:09,PHI_WAS_2019-12-15
CHI,2019-12-15,415,Sun,14,15,@,GNB,L 13-21,415,83,5.00,58,5.03,3,34:22,3:17,CHI_GNB_2019-12-15
BUF,2018-12-02,415,Sun,12,13,@,MIA,L 17-21,415,66,6.29,50,3.50,3,32:57,3:10,BUF_MIA_2018-12-02
JAX,2018-11-11,415,Sun,9,10,@,IND,L 26-29,415,73,5.68,52,7.04,1,35:10,3:05,JAX_IND_2018-11-11
LAR,2017-11-26,415,Sun,11,12,,NOR,W 26-20,415,73,5.68,52,6.65,1,35:26,3:11,LAR_NOR_2017-11-26
NYG,2017-09-24,415,Sun,3,3,@,PHI,L 24-27,415,64,6.48,73,4.85,2,22:28,3:24,NYG_PHI_2017-09-24
BUF,2022-09-19,414,Mon,2,2,,TEN,W 41-7,414,65,6.37,53,3.53,0,31:34,3:15,BUF_TEN_2022-09-19
GNB,2022-09-18,414,Sun,2,2,,CHI,W 27-10,414,66,6.27,41,5.56,1,37:15,2:46,GNB_CHI_2022-09-18
KAN,2022-01-02,414,Sun,16,17,@,CIN,L 31-34,414,58,7.14,63,7.54,0,30:54,3:08,KAN_CIN_2022-01-02
CHI,2021-11-08,414,Mon,9,9,@,PIT,L 27-29,414,58,7.14,66,4.24,2,26:02,3:20,CHI_PIT_2021-11-08
KAN,2020-09-20,414,Sun,2,2,@,LAC,W 23-20 (OT),414,70,5.91,79,6.06,0,28:38,3:19,KAN_LAC_2020-09-20
NWE,2019-12-21,414,Sat,15,16,,BUF,W 24-17,414,68,6.09,53,5.06,1,38:52,3:03,NWE_BUF_2019-12-21
CAR,2019-12-15,414,Sun,14,15,,SEA,L 24-30,414,72,5.75,63,6.79,3,28:42,3:06,CAR_SEA_2019-12-15
HOU,2019-12-08,414,Sun,13,14,,DEN,L 24-38,414,75,5.52,55,7.11,3,28:35,3:12,HOU_DEN_2019-12-08
HOU,2019-09-09,414,Mon,1,1,@,NOR,L 28-30,414,59,7.02,65,7.85,1,29:47,3:14,HOU_NOR_2019-09-09
LAC,2018-11-25,414,Sun,11,12,,ARI,W 45-10,414,66,6.27,45,3.31,1,35:18,2:45,LAC_ARI_2018-11-25
SEA,2018-11-11,414,Sun,9,10,@,LAR,L 31-36,414,64,6.47,64,7.13,1,30:37,3:09,SEA_LAR_2018-11-11
DAL,2018-09-30,414,Sun,4,4,,DET,W 26-24,414,65,6.37,53,7.21,0,30:05,2:58,DAL_DET_2018-09-30
DET,2018-09-23,414,Sun,3,3,,NWE,W 26-10,414,70,5.91,47,4.45,1,39:15,2:47,DET_NWE_2018-09-23
SFO,2017-12-17,414,Sun,14,15,,TEN,W 25-23,414,68,6.09,62,5.29,0,32:35,3:07,SFO_TEN_2017-12-17
NWE,2017-10-29,414,Sun,8,8,,LAC,W 21-13,414,82,5.05,52,6.71,0,36:59,2:59,NWE_LAC_2017-10-29
NYG,2022-11-20,413,Sun,10,11,,DET,L 18-31,413,72,5.74,63,5.16,3,28:12,3:06,NYG_DET_2022-11-20
JAX,2022-09-25,413,Sun,3,3,@,LAC,W 38-10,413,75,5.51,58,5.38,0,38:27,2:59,JAX_LAC_2022-09-25
ARI,2022-09-18,413,Sun,2,2,@,LVR,W 29-23 (OT),413,78,5.29,61,5.31,1,36:22,3:31,ARI_LVR_2022-09-18
BUF,2022-09-08,413,Thu,1,1,@,LAR,W 31-10,413,58,7.12,66,3.68,4,31:14,2:46,BUF_LAR_2022-09-08
ARI,2021-11-21,413,Sun,11,11,@,SEA,W 23-13,413,79,5.23,49,5.43,0,40:22,3:05,ARI_SEA_2021-11-21
MIA,2021-10-24,413,Sun,7,7,,ATL,L 28-30,413,70,5.90,63,6.30,2,34:38,3:09,MIA_ATL_2021-10-24
PHI,2020-12-13,413,Sun,13,14,,NOR,W 24-21,413,66,6.26,63,5.68,1,30:16,3:08,PHI_NOR_2020-12-13
LAR,2020-11-23,413,Mon,10,11,@,TAM,W 27-24,413,71,5.82,67,3.75,2,33:13,3:06,LAR_TAM_2020-11-23
KAN,2020-10-11,413,Sun,5,5,,LVR,L 32-40,413,66,6.26,67,7.31,1,24:42,3:27,KAN_LVR_2020-10-11
CAR,2019-09-22,413,Sun,3,3,@,ARI,W 38-20,413,59,7.00,73,3.40,1,28:16,2:56,CAR_ARI_2019-09-22
SEA,2018-10-28,413,Sun,7,8,@,DET,W 28-14,413,61,6.77,56,5.91,0,34:55,3:01,SEA_DET_2018-10-28
PIT,2018-09-24,413,Mon,3,3,@,TAM,W 30-27,413,63,6.56,69,6.59,1,30:21,3:19,PIT_TAM_2018-09-24
PIT,2017-12-17,413,Sun,14,15,,NWE,L 24-27,413,63,6.56,56,6.43,1,35:07,2:54,PIT_NWE_2017-12-17
BAL,2017-12-10,413,Sun,13,14,@,PIT,L 38-39,413,62,6.66,85,6.41,1,26:10,3:29,BAL_PIT_2017-12-10
CLE,2017-11-12,413,Sun,9,10,@,DET,L 24-38,413,77,5.36,49,7.04,2,34:34,3:06,CLE_DET_2017-11-12
WAS,2021-10-03,412,Sun,4,4,@,ATL,W 34-30,412,62,6.65,71,5.27,0,29:17,3:20,WAS_ATL_2021-10-03
HOU,2020-10-18,412,Sun,6,6,@,TEN,L 36-42 (OT),412,67,6.15,70,8.67,0,31:40,3:12,HOU_TEN_2020-10-18
SEA,2020-09-27,412,Sun,3,3,,DAL,W 38-31,412,70,5.89,80,6.53,1,32:34,3:32,SEA_DAL_2020-09-27
ARI,2019-12-22,412,Sun,15,16,@,SEA,W 27-13,412,69,5.97,56,4.00,0,34:53,3:18,ARI_SEA_2019-12-22
NYG,2019-12-15,412,Sun,14,15,,MIA,W 36-20,412,63,6.54,69,5.57,3,31:07,3:11,NYG_MIA_2019-12-15
MIA,2018-12-09,412,Sun,13,14,,NWE,W 34-33,412,45,9.16,75,5.61,0,24:46,3:08,MIA_NWE_2018-12-09
TAM,2018-11-25,412,Sun,11,12,,SFO,W 27-9,412,70,5.89,60,5.70,0,34:09,3:08,TAM_SFO_2018-11-25
LAC,2018-10-07,412,Sun,5,5,,OAK,W 26-10,412,59,6.98,49,5.90,0,34:40,2:49,LAC_OAK_2018-10-07
PHI,2018-09-16,412,Sun,2,2,@,TAM,L 21-27,412,75,5.49,58,7.52,2,35:39,3:13,PHI_TAM_2018-09-16
NOR,2017-12-17,412,Sun,14,15,,NYJ,W 31-19,412,64,6.44,68,4.32,3,29:10,3:20,NOR_NYJ_2017-12-17
DEN,2017-10-15,412,Sun,5,6,,NYG,L 10-23,412,75,5.49,54,4.93,3,29:24,3:05,DEN_NYG_2017-10-15
TAM,2017-10-15,412,Sun,5,6,@,ARI,L 33-38,412,65,6.34,59,7.32,2,27:37,3:12,TAM_ARI_2017-10-15
LAR,2017-10-01,412,Sun,4,4,@,DAL,W 35-30,412,68,6.06,65,6.77,0,30:32,3:21,LAR_DAL_2017-10-01
WAS,2022-12-04,411,Sun,13,13,@,NYG,T 20-20 (OT),411,82,5.01,65,4.86,1,41:11,3:22,WAS_NYG_2022-12-04
KAN,2020-12-20,411,Sun,14,15,@,NOR,W 32-29,411,92,4.47,52,5.48,1,41:14,3:30,KAN_NOR_2020-12-20
DEN,2020-10-25,411,Sun,6,7,,KAN,L 16-43,411,76,5.41,51,5.61,4,33:24,2:58,DEN_KAN_2020-10-25
SFO,2019-10-31,411,Thu,8,9,@,ARI,W 28-25,411,69,5.96,50,7.14,0,34:31,3:10,SFO_ARI_2019-10-31
DEN,2018-10-28,411,Sun,8,8,@,KAN,L 23-30,411,69,5.96,54,6.30,2,32:41,3:10,DEN_KAN_2018-10-28
MIN,2018-10-14,411,Sun,6,6,,ARI,W 27-17,411,70,5.87,55,4.87,2,34:22,3:01,MIN_ARI_2018-10-14
NWE,2017-12-24,411,Sun,15,16,,BUF,W 37-16,411,68,6.04,68,4.79,1,31:44,3:03,NWE_BUF_2017-12-24
CHI,2020-12-13,410,Sun,13,14,,HOU,W 36-7,410,59,6.95,64,4.11,0,29:34,4:06,CHI_HOU_2020-12-13
GNB,2020-12-13,410,Sun,13,14,@,DET,W 31-24,410,64,6.41,59,4.97,0,35:30,3:08,GNB_DET_2020-12-13
SEA,2020-12-13,410,Sun,13,14,,NYJ,W 40-3,410,69,5.94,52,3.56,1,34:28,2:53,SEA_NYJ_2020-12-13
MIN,2020-10-04,410,Sun,4,4,@,HOU,W 31-23,410,65,6.31,62,6.23,0,36:31,3:00,MIN_HOU_2020-10-04
PIT,2020-09-20,410,Sun,2,2,,DEN,W 26-21,410,64,6.41,72,4.43,2,29:29,3:18,PIT_DEN_2020-09-20
MIA,2020-09-20,410,Sun,2,2,,BUF,L 28-31,410,72,5.69,59,8.86,0,31:05,3:40,MIA_BUF_2020-09-20
HOU,2019-11-03,410,Sun,9,9,@,JAX,W 26-3,410,63,6.51,66,5.39,1,32:33,2:57,HOU_JAX_2019-11-03
DAL,2018-11-11,410,Sun,9,10,@,PHI,W 27-20,410,68,6.03,62,6.79,0,33:22,3:02,DAL_PHI_2018-11-11
BAL,2018-10-07,410,Sun,5,5,@,CLE,L 9-12 (OT),410,84,4.88,76,5.47,2,33:42,3:36,BAL_CLE_2018-10-07
ATL,2017-12-18,410,Mon,14,15,@,TAM,W 24-21,410,67,6.12,55,6.78,0,33:15,2:58,ATL_TAM_2017-12-18
JAX,2017-09-24,410,Sun,3,3,,BAL,W 44-7,410,68,6.03,54,3.44,0,34:03,2:49,JAX_BAL_2017-09-24
OAK,2017-09-17,410,Sun,2,2,,NYJ,W 45-20,410,55,7.45,53,5.11,0,31:02,3:00,OAK_NYJ_2017-09-17
CHI,2022-12-04,409,Sun,13,13,,GNB,L 19-28,409,50,8.18,63,5.67,3,27:32,2:55,CHI_GNB_2022-12-04
NWE,2022-11-24,409,Thu,11,12,@,MIN,L 26-33,409,55,7.44,66,5.42,0,23:43,3:00,NWE_MIN_2022-11-24
TAM,2022-01-09,409,Sun,17,18,,CAR,W 41-17,409,60,6.82,71,4.46,0,24:55,2:59,TAM_CAR_2022-01-09
BAL,2020-12-20,409,Sun,14,15,,JAX,W 40-14,409,64,6.39,56,4.77,1,31:48,2:57,BAL_JAX_2020-12-20
MIA,2019-12-01,409,Sun,12,13,,PHI,W 37-31,409,63,6.49,67,5.76,1,31:18,3:27,MIA_PHI_2019-12-01
KAN,2018-12-30,409,Sun,16,17,,OAK,W 35-3,409,54,7.57,65,4.49,1,26:04,2:37,KAN_OAK_2018-12-30
TAM,2017-10-05,409,Thu,4,5,,NWE,L 14-19,409,68,6.01,66,6.09,0,29:10,3:13,TAM_NWE_2017-10-05
CIN,2022-11-20,408,Sun,10,11,@,PIT,W 37-30,408,65,6.28,68,5.16,2,31:36,3:18,CIN_PIT_2022-11-20
TEN,2022-11-17,408,Thu,10,11,@,GNB,W 27-17,408,64,6.38,59,4.59,1,32:28,3:02,TEN_GNB_2022-11-17
CHI,2022-11-13,408,Sun,10,10,,DET,L 30-31,408,58,7.03,59,5.47,1,29:12,2:57,CHI_DET_2022-11-13
CLE,2021-12-25,408,Sat,15,16,@,GNB,L 22-24,408,66,6.18,58,5.36,4,31:41,2:54,CLE_GNB_2021-12-25
MIN,2021-11-21,408,Sun,10,11,,GNB,W 34-31,408,66,6.18,54,8.65,0,31:01,2:58,MIN_GNB_2021-11-21
TAM,2021-10-24,408,Sun,7,7,,CHI,W 38-3,408,70,5.83,65,4.78,1,31:05,2:56,TAM_CHI_2021-10-24
LAC,2021-09-19,408,Sun,2,2,,DAL,L 17-20,408,62,6.58,60,6.98,2,30:57,2:53,LAC_DAL_2021-09-19
NOR,2020-10-12,408,Mon,5,5,,LAC,W 30-27 (OT),408,75,5.44,69,5.07,1,35:01,3:20,NOR_LAC_2020-10-12
DAL,2019-12-05,408,Thu,13,14,@,CHI,L 24-31,408,73,5.59,67,5.70,0,27:42,3:14,DAL_CHI_2019-12-05
KAN,2017-12-10,408,Sun,13,14,,OAK,W 26-15,408,71,5.75,55,4.87,1,36:40,3:10,KAN_OAK_2017-12-10
MIN,2017-11-23,408,Thu,11,12,@,DET,W 30-23,408,73,5.59,53,5.45,0,34:57,3:29,MIN_DET_2017-11-23
JAX,2017-11-05,408,Sun,8,9,,CIN,W 23-7,408,78,5.23,37,4.00,1,40:14,2:57,JAX_CIN_2017-11-05
NYJ,2017-10-15,408,Sun,6,6,,NWE,L 17-24,408,75,5.44,63,5.95,3,33:40,3:10,NYJ_NWE_2017-10-15
DAL,2017-10-08,408,Sun,5,5,,GNB,L 31-35,408,72,5.67,58,5.90,3,35:06,3:07,DAL_GNB_2017-10-08
BUF,2017-09-10,408,Sun,1,1,,NYJ,W 21-12,408,72,5.67,55,3.89,1,33:04,2:54,BUF_NYJ_2017-09-10
LVR,2022-11-20,407,Sun,10,11,@,DEN,W 22-16 (OT),407,62,6.56,62,5.16,0,32:39,3:11,LVR_DEN_2022-11-20
DEN,2021-11-07,407,Sun,9,9,@,DAL,W 30-16,407,73,5.58,57,5.09,0,41:12,3:02,DEN_DAL_2021-11-07
LAR,2021-09-26,407,Sun,3,3,,TAM,W 34-24,407,63,6.46,71,6.28,0,30:10,3:06,LAR_TAM_2021-09-26
ARI,2021-09-26,407,Sun,3,3,@,JAX,W 31-19,407,64,6.36,66,5.47,1,32:54,3:03,ARI_JAX_2021-09-26
CAR,2021-09-23,407,Thu,3,3,@,HOU,W 24-9,407,70,5.81,49,3.94,0,35:45,2:52,CAR_HOU_2021-09-23
WAS,2021-09-16,407,Thu,2,2,,NYG,W 30-29,407,69,5.90,64,6.11,1,28:16,3:19,WAS_NYG_2021-09-16
MIN,2020-12-20,407,Sun,14,15,,CHI,L 27-33,407,66,6.17,64,6.20,1,27:01,3:03,MIN_CHI_2020-12-20
BAL,2020-09-20,407,Sun,2,2,@,HOU,W 33-16,407,65,6.26,57,5.33,0,34:51,2:55,BAL_HOU_2020-09-20
TAM,2019-10-13,407,Sun,6,6,,CAR,L 26-37,407,75,5.43,63,4.25,7,28:50,3:26,TAM_CAR_2019-10-13
LAR,2018-12-16,407,Sun,14,15,,PHI,L 23-30,407,74,5.50,61,6.25,3,28:24,3:15,LAR_PHI_2018-12-16
LAC,2018-12-13,407,Thu,14,15,@,KAN,W 29-28,407,67,6.07,53,5.55,2,33:16,3:09,LAC_KAN_2018-12-13
CAR,2018-11-04,407,Sun,8,9,,TAM,W 42-28,407,59,6.90,65,4.63,0,31:00,3:16,CAR_TAM_2018-11-04
CIN,2018-09-30,407,Sun,4,4,@,ATL,W 37-36,407,67,6.07,66,7.50,1,30:38,3:25,CIN_ATL_2018-09-30
ATL,2018-09-23,407,Sun,3,3,,NOR,L 37-43 (OT),407,60,6.78,77,6.94,0,29:20,3:38,ATL_NOR_2018-09-23
NOR,2017-11-05,407,Sun,8,9,,TAM,W 30-10,407,60,6.78,57,3.51,2,32:18,3:03,NOR_TAM_2017-11-05
ATL,2022-10-30,406,Sun,8,8,,CAR,W 37-34 (OT),406,67,6.06,73,6.55,2,36:34,3:39,ATL_CAR_2022-10-30
BAL,2022-10-16,406,Sun,6,6,@,NYG,L 20-24,406,58,7.00,62,3.84,2,28:08,3:02,BAL_NYG_2022-10-16
BAL,2021-10-03,406,Sun,4,4,@,DEN,W 23-7,406,70,5.80,59,4.31,0,33:07,3:01,BAL_DEN_2021-10-03
BAL,2021-09-13,406,Mon,1,1,@,LVR,L 27-33 (OT),406,67,6.06,80,6.14,2,32:14,3:40,BAL_LVR_2021-09-13
MIA,2020-12-06,406,Sun,12,13,,CIN,W 19-7,406,67,6.06,50,3.92,1,32:16,3:30,MIA_CIN_2020-12-06
NWE,2020-09-27,406,Sun,3,3,,LVR,W 36-20,406,68,5.97,56,6.70,1,34:39,3:15,NWE_LVR_2020-09-27
CLE,2019-10-13,406,Sun,6,6,,SEA,L 28-32,406,61,6.66,74,6.14,4,26:19,3:31,CLE_SEA_2019-10-13
SFO,2018-09-23,406,Sun,3,3,@,KAN,L 27-38,406,63,6.44,68,5.65,0,29:59,3:16,SFO_KAN_2018-09-23
MIN,2017-11-12,406,Sun,9,10,@,WAS,W 38-30,406,60,6.77,73,5.40,2,28:54,3:10,MIN_WAS_2017-11-12
PHI,2017-09-17,406,Sun,2,2,@,KAN,L 20-27,406,69,5.88,51,6.75,2,30:49,3:07,PHI_KAN_2017-09-17
MIA,2022-12-17,405,Sat,14,15,@,BUF,L 29-32,405,57,7.11,71,6.28,0,30:07,3:27,MIA_BUF_2022-12-17
CLE,2022-09-18,405,Sun,2,2,,NYJ,L 30-31,405,65,6.23,67,6.00,1,32:14,3:09,CLE_NYJ_2022-09-18
TEN,2022-01-09,405,Sun,17,18,@,HOU,W 28-25,405,65,6.23,56,6.30,0,33:34,3:02,TEN_HOU_2022-01-09
NOR,2021-12-02,405,Thu,12,13,,DAL,L 17-27,405,69,5.87,65,5.80,4,31:54,3:12,NOR_DAL_2021-12-02
NOR,2021-10-03,405,Sun,4,4,,NYG,L 21-27 (OT),405,65,6.23,60,8.08,1,37:31,3:12,NOR_NYG_2021-10-03
KAN,2021-09-19,405,Sun,2,2,@,BAL,L 35-36,405,49,8.27,68,7.07,2,24:01,3:02,KAN_BAL_2021-09-19
DEN,2020-11-08,405,Sun,8,9,@,ATL,L 27-34,405,71,5.70,69,5.26,1,26:33,3:14,DEN_ATL_2020-11-08
