Team,Date,Spread,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,game_id
CAR,2019-12-15,6.0,Sun,14,15,,SEA,L 24-30,6.0,push,48.5,over,CAR_SEA_2019-12-15
NYG,2019-11-24,6.0,Sun,11,12,@,CHI,L 14-19,6.0,covered,41.0,under,NYG_CHI_2019-11-24
DET,2019-11-10,6.0,Sun,9,10,@,CHI,L 13-20,6.0,did not cover,38.0,under,DET_CHI_2019-11-10
DEN,2019-10-27,6.0,Sun,8,8,@,IND,L 13-15,6.0,covered,41.0,under,DEN_IND_2019-10-27
PIT,2019-10-13,6.0,Sun,6,6,@,LAC,W 24-17,6.0,covered,42.5,under,PIT_LAC_2019-10-13
MIA,2019-10-13,6.0,Sun,5,6,,WAS,L 16-17,6.0,covered,42.0,under,MIA_WAS_2019-10-13
PIT,2019-09-22,6.0,Sun,3,3,@,SFO,L 20-24,6.0,covered,44.5,under,PIT_SFO_2019-09-22
WAS,2019-09-15,6.0,Sun,2,2,,DAL,L 21-31,6.0,did not cover,46.5,over,WAS_DAL_2019-09-15
IND,2019-09-08,6.0,Sun,1,1,@,LAC,L 24-30 (OT),6.0,push,44.5,over,IND_LAC_2019-09-08
CHI,2018-12-30,6.0,Sun,16,17,@,MIN,W 24-10,6.0,covered,40.5,under,CHI_MIN_2018-12-30
WAS,2018-12-30,6.0,Sun,16,17,,PHI,L 0-24,6.0,did not cover,42.5,under,WAS_PHI_2018-12-30
CAR,2018-12-17,6.0,Mon,14,15,,NOR,L 9-12,6.0,covered,50.5,under,CAR_NOR_2018-12-17
MIN,2018-12-02,6.0,Sun,12,13,@,NWE,L 10-24,6.0,did not cover,49.5,under,MIN_NWE_2018-12-02
CIN,2018-11-11,6.0,Sun,9,10,,NOR,L 14-51,6.0,did not cover,53.5,over,CIN_NOR_2018-11-11
TAM,2018-11-04,6.0,Sun,8,9,@,CAR,L 28-42,6.0,did not cover,55.5,over,TAM_CAR_2018-11-04
BUF,2018-10-07,6.0,Sun,5,5,,TEN,W 13-12,6.0,covered,38.5,under,BUF_TEN_2018-10-07
IND,2018-09-16,6.0,Sun,2,2,@,WAS,W 21-9,6.0,covered,48.0,under,IND_WAS_2018-09-16
DET,2018-09-16,6.0,Sun,2,2,@,SFO,L 27-30,6.0,covered,48.5,over,DET_SFO_2018-09-16
SFO,2018-09-09,6.0,Sun,1,1,@,MIN,L 16-24,6.0,did not cover,46.5,under,SFO_MIN_2018-09-09
HOU,2018-09-09,6.0,Sun,1,1,@,NWE,L 20-27,6.0,did not cover,49.5,under,HOU_NWE_2018-09-09
TAM,2017-12-31,6.0,Sun,16,17,,NOR,W 31-24,6.0,covered,49.0,over,TAM_NOR_2017-12-31
LAR,2017-12-31,6.0,Sun,16,17,,SFO,L 13-34,6.0,did not cover,44.5,over,LAR_SFO_2017-12-31
CHI,2017-12-10,6.0,Sun,13,14,@,CIN,W 33-7,6.0,covered,40.5,under,CHI_CIN_2017-12-10
BAL,2017-12-10,6.0,Sun,13,14,@,PIT,L 38-39,6.0,covered,43.0,over,BAL_PIT_2017-12-10
WAS,2017-12-10,6.0,Sun,13,14,@,LAC,L 13-30,6.0,did not cover,46.5,under,WAS_LAC_2017-12-10
ARI,2017-11-26,6.0,Sun,11,12,,JAX,W 27-24,6.0,covered,37.5,over,ARI_JAX_2017-11-26
DAL,2017-11-19,6.0,Sun,10,11,,PHI,L 9-37,6.0,did not cover,48.0,under,DAL_PHI_2017-11-19
ARI,2017-11-09,6.0,Thu,9,10,,SEA,L 16-22,6.0,push,40.0,under,ARI_SEA_2017-11-09
IND,2017-11-05,6.0,Sun,9,9,@,HOU,W 20-14,6.0,covered,45.0,under,IND_HOU_2017-11-05
CIN,2017-11-05,6.0,Sun,8,9,@,JAX,L 7-23,6.0,did not cover,38.0,under,CIN_JAX_2017-11-05
HOU,2017-10-29,6.0,Sun,7,8,@,SEA,L 38-41,6.0,covered,45.0,over,HOU_SEA_2017-10-29
DET,2017-10-15,6.0,Sun,6,6,@,NOR,L 38-52,6.0,did not cover,50.5,over,DET_NOR_2017-10-15
ARI,2017-10-08,6.0,Sun,5,5,@,PHI,L 7-34,6.0,did not cover,45.0,under,ARI_PHI_2017-10-08
SFO,2017-10-01,6.0,Sun,4,4,@,ARI,L 15-18 (OT),6.0,covered,43.0,under,SFO_ARI_2017-10-01
NYG,2017-09-10,6.0,Sun,1,1,@,DAL,L 3-19,6.0,did not cover,46.5,under,NYG_DAL_2017-09-10
IND,2023-01-01,5.5,Sun,16,17,@,NYG,L 10-38,5.5,did not cover,39.0,over,IND_NYG_2023-01-01
NOR,2023-01-01,5.5,Sun,16,17,@,PHI,W 20-10,5.5,covered,41.5,under,NOR_PHI_2023-01-01
CLE,2022-12-11,5.5,Sun,13,14,@,CIN,L 10-23,5.5,did not cover,46.5,under,CLE_CIN_2022-12-11
NYG,2022-10-16,5.5,Sun,6,6,,BAL,W 24-20,5.5,covered,45.5,under,NYG_BAL_2022-10-16
DAL,2022-10-09,5.5,Sun,5,5,@,LAR,W 22-10,5.5,covered,42.0,under,DAL_LAR_2022-10-09
IND,2022-09-25,5.5,Sun,3,3,,KAN,W 20-17,5.5,covered,51.0,under,IND_KAN_2022-09-25
ARI,2022-09-18,5.5,Sun,2,2,@,LVR,W 29-23 (OT),5.5,covered,51.5,over,ARI_LVR_2022-09-18
ATL,2022-09-11,5.5,Sun,1,1,,NOR,L 26-27,5.5,covered,43.5,over,ATL_NOR_2022-09-11
SEA,2022-01-09,5.5,Sun,17,18,@,ARI,W 38-30,5.5,covered,48.0,over,SEA_ARI_2022-01-09
CIN,2022-01-09,5.5,Sun,17,18,@,CLE,L 16-21,5.5,covered,37.0,push,CIN_CLE_2022-01-09
NYJ,2021-12-12,5.5,Sun,13,14,,NOR,L 9-30,5.5,did not cover,43.0,under,NYJ_NOR_2021-12-12
PIT,2021-11-21,5.5,Sun,10,11,@,LAC,L 37-41,5.5,covered,47.5,over,PIT_LAC_2021-11-21
HOU,2021-11-07,5.5,Sun,9,9,@,MIA,L 9-17,5.5,did not cover,46.5,under,HOU_MIA_2021-11-07
CHI,2021-10-10,5.5,Sun,5,5,@,LVR,W 20-9,5.5,covered,45.5,under,CHI_LVR_2021-10-10
IND,2021-09-26,5.5,Sun,3,3,@,TEN,L 16-25,5.5,did not cover,47.5,under,IND_TEN_2021-09-26
CLE,2021-09-12,5.5,Sun,1,1,@,KAN,L 29-33,5.5,covered,54.5,over,CLE_KAN_2021-09-12
DEN,2020-12-19,5.5,Sat,14,15,,BUF,L 19-48,5.5,did not cover,49.0,over,DEN_BUF_2020-12-19
CHI,2020-11-01,5.5,Sun,8,8,,NOR,L 23-26 (OT),5.5,covered,41.0,over,CHI_NOR_2020-11-01
MIN,2020-11-01,5.5,Sun,7,8,@,GNB,W 28-22,5.5,covered,47.0,over,MIN_GNB_2020-11-01
BUF,2020-10-19,5.5,Mon,6,6,,KAN,L 17-26,5.5,did not cover,55.0,under,BUF_KAN_2020-10-19
DAL,2020-09-27,5.5,Sun,3,3,@,SEA,L 31-38,5.5,did not cover,58.0,over,DAL_SEA_2020-09-27
CIN,2020-09-27,5.5,Sun,3,3,@,PHI,T 23-23 (OT),5.5,covered,46.5,under,CIN_PHI_2020-09-27
MIA,2020-09-20,5.5,Sun,2,2,,BUF,L 28-31,5.5,covered,42.5,over,MIA_BUF_2020-09-20
WAS,2020-09-13,5.5,Sun,1,1,,PHI,W 27-17,5.5,covered,41.5,over,WAS_PHI_2020-09-13
OAK,2019-12-29,5.5,Sun,16,17,@,DEN,L 15-16,5.5,covered,41.5,under,OAK_DEN_2019-12-29
DET,2019-12-15,5.5,Sun,14,15,,TAM,L 17-38,5.5,did not cover,46.0,over,DET_TAM_2019-12-15
SFO,2019-12-01,5.5,Sun,12,13,@,BAL,L 17-20,5.5,covered,45.0,under,SFO_BAL_2019-12-01
DET,2019-11-28,5.5,Thu,12,13,,CHI,L 20-24,5.5,covered,37.5,over,DET_CHI_2019-11-28
DAL,2019-11-24,5.5,Sun,11,12,@,NWE,L 9-13,5.5,covered,44.0,under,DAL_NWE_2019-11-24
CIN,2019-11-24,5.5,Sun,11,12,,PIT,L 10-16,5.5,did not cover,37.5,under,CIN_PIT_2019-11-24
LAC,2019-11-18,5.5,Mon,11,11,,KAN,L 17-24,5.5,did not cover,52.5,under,LAC_KAN_2019-11-18
ARI,2019-11-10,5.5,Sun,10,10,@,TAM,L 27-30,5.5,covered,51.0,over,ARI_TAM_2019-11-10
KAN,2019-11-03,5.5,Sun,9,9,,MIN,W 26-23,5.5,covered,46.0,over,KAN_MIN_2019-11-03
OAK,2019-10-20,5.5,Sun,6,7,@,GNB,L 24-42,5.5,did not cover,48.0,over,OAK_GNB_2019-10-20
NYG,2019-10-06,5.5,Sun,5,5,,MIN,L 10-28,5.5,did not cover,44.0,under,NYG_MIN_2019-10-06
OAK,2019-09-29,5.5,Sun,4,4,@,IND,W 31-24,5.5,covered,46.0,over,OAK_IND_2019-09-29
ARI,2019-09-29,5.5,Sun,4,4,,SEA,L 10-27,5.5,did not cover,49.0,under,ARI_SEA_2019-09-29
CAR,2019-09-29,5.5,Sun,4,4,@,HOU,W 16-10,5.5,covered,47.5,under,CAR_HOU_2019-09-29
CIN,2019-09-22,5.5,Sun,3,3,@,BUF,L 17-21,5.5,covered,43.5,under,CIN_BUF_2019-09-22
PIT,2019-09-08,5.5,Sun,1,1,@,NWE,L 3-33,5.5,did not cover,49.0,under,PIT_NWE_2019-09-08
TEN,2019-09-08,5.5,Sun,1,1,@,CLE,W 43-13,5.5,covered,44.0,over,TEN_CLE_2019-09-08
TEN,2018-12-30,5.5,Sun,16,17,,IND,L 17-33,5.5,did not cover,42.5,over,TEN_IND_2018-12-30
MIA,2018-12-30,5.5,Sun,16,17,@,BUF,L 17-42,5.5,did not cover,39.5,over,MIA_BUF_2018-12-30
GNB,2018-12-16,5.5,Sun,14,15,@,CHI,L 17-24,5.5,did not cover,46.5,under,GNB_CHI_2018-12-16
JAX,2018-12-06,5.5,Thu,13,14,@,TEN,L 9-30,5.5,did not cover,37.5,over,JAX_TEN_2018-12-06
WAS,2018-12-03,5.5,Mon,12,13,@,PHI,L 13-28,5.5,did not cover,45.0,under,WAS_PHI_2018-12-03
CLE,2018-11-11,5.5,Sun,10,10,,ATL,W 28-16,5.5,covered,49.5,under,CLE_ATL_2018-11-11
WAS,2018-10-08,5.5,Mon,4,5,@,NOR,L 19-43,5.5,did not cover,51.5,over,WAS_NOR_2018-10-08
DEN,2018-09-23,5.5,Sun,3,3,@,BAL,L 14-27,5.5,did not cover,46.0,under,DEN_BAL_2018-09-23
ARI,2018-09-23,5.5,Sun,3,3,,CHI,L 14-16,5.5,covered,39.0,under,ARI_CHI_2018-09-23
SFO,2018-09-23,5.5,Sun,3,3,@,KAN,L 27-38,5.5,did not cover,53.0,over,SFO_KAN_2018-09-23
OAK,2018-09-16,5.5,Sun,2,2,@,DEN,L 19-20,5.5,covered,44.0,under,OAK_DEN_2018-09-16
CAR,2018-09-16,5.5,Sun,2,2,@,ATL,L 24-31,5.5,did not cover,44.0,over,CAR_ATL_2018-09-16
HOU,2017-12-31,5.5,Sun,16,17,@,IND,L 13-22,5.5,did not cover,41.5,under,HOU_IND_2017-12-31
TEN,2017-12-24,5.5,Sun,15,16,,LAR,L 23-27,5.5,covered,46.0,over,TEN_LAR_2017-12-24
ATL,2017-12-24,5.5,Sun,15,16,@,NOR,L 13-23,5.5,did not cover,52.0,under,ATL_NOR_2017-12-24
CLE,2017-12-24,5.5,Sun,15,16,@,CHI,L 3-20,5.5,did not cover,37.0,under,CLE_CHI_2017-12-24
CAR,2017-12-03,5.5,Sun,12,13,@,NOR,L 21-31,5.5,did not cover,48.0,over,CAR_NOR_2017-12-03
NYJ,2017-11-26,5.5,Sun,11,12,,CAR,L 27-35,5.5,did not cover,39.5,over,NYJ_CAR_2017-11-26
NYG,2017-11-05,5.5,Sun,8,9,,LAR,L 17-51,5.5,did not cover,42.5,over,NYG_LAR_2017-11-05
CLE,2017-10-22,5.5,Sun,7,7,,TEN,L 9-12 (OT),5.5,covered,42.5,under,CLE_TEN_2017-10-22
CHI,2017-10-15,5.5,Sun,6,6,@,BAL,W 27-24 (OT),5.5,covered,39.5,over,CHI_BAL_2017-10-15
NYJ,2017-09-24,5.5,Sun,3,3,,MIA,W 20-6,5.5,covered,43.0,under,NYJ_MIA_2017-09-24
NOR,2017-09-17,5.5,Sun,2,2,,NWE,L 20-36,5.5,did not cover,55.0,over,NOR_NWE_2017-09-17
JAX,2017-09-10,5.5,Sun,1,1,@,HOU,W 29-7,5.5,covered,38.0,under,JAX_HOU_2017-09-10
DET,2023-01-08,5.0,Sun,17,18,@,GNB,W 20-16,5.0,covered,49.0,under,DET_GNB_2023-01-08
LAC,2022-11-20,5.0,Sun,10,11,,KAN,L 27-30,5.0,covered,52.5,over,LAC_KAN_2022-11-20
IND,2022-11-06,5.0,Sun,9,9,@,NWE,L 3-26,5.0,did not cover,40.5,under,IND_NWE_2022-11-06
SEA,2022-10-09,5.0,Sun,5,5,@,NOR,L 32-39,5.0,did not cover,45.0,over,SEA_NOR_2022-10-09
ARI,2022-10-09,5.0,Sun,5,5,,PHI,L 17-20,5.0,covered,49.0,under,ARI_PHI_2022-10-09
NYG,2022-09-11,5.0,Sun,1,1,@,TEN,W 21-20,5.0,covered,44.0,under,NYG_TEN_2022-09-11
NYJ,2021-12-05,5.0,Sun,12,13,,PHI,L 18-33,5.0,did not cover,43.5,over,NYJ_PHI_2021-12-05
NOR,2021-12-02,5.0,Thu,12,13,,DAL,L 17-27,5.0,did not cover,47.5,under,NOR_DAL_2021-12-02
CHI,2021-11-21,5.0,Sun,10,11,,BAL,L 13-16,5.0,covered,43.5,under,CHI_BAL_2021-11-21
SEA,2021-10-17,5.0,Sun,6,6,@,PIT,L 20-23 (OT),5.0,covered,43.0,push,SEA_PIT_2021-10-17
SFO,2021-10-10,5.0,Sun,5,5,@,ARI,L 10-17,5.0,did not cover,48.5,under,SFO_ARI_2021-10-10
SFO,2020-12-26,5.0,Sat,15,16,@,ARI,W 20-12,5.0,covered,48.5,under,SFO_ARI_2020-12-26
NWE,2020-12-10,5.0,Thu,13,14,@,LAR,L 3-24,5.0,did not cover,43.5,under,NWE_LAR_2020-12-10
SFO,2020-11-29,5.0,Sun,11,12,@,LAR,W 23-20,5.0,covered,45.0,under,SFO_LAR_2020-11-29
NYG,2020-11-15,5.0,Sun,10,10,,PHI,W 27-17,5.0,covered,46.5,under,NYG_PHI_2020-11-15
NYG,2020-10-22,5.0,Thu,7,7,@,PHI,L 21-22,5.0,covered,44.5,under,NYG_PHI_2020-10-22
ATL,2020-10-05,5.0,Mon,4,4,@,GNB,L 16-30,5.0,did not cover,56.5,under,ATL_GNB_2020-10-05
JAX,2019-12-29,5.0,Sun,16,17,,IND,W 38-20,5.0,covered,41.5,over,JAX_IND_2019-12-29
MIN,2019-12-29,5.0,Sun,16,17,,CHI,L 19-21,5.0,covered,36.5,over,MIN_CHI_2019-12-29
MIA,2019-12-08,5.0,Sun,13,14,@,NYJ,L 21-22,5.0,covered,47.0,under,MIA_NYJ_2019-12-08
CHI,2019-11-17,5.0,Sun,10,11,@,LAR,L 7-17,5.0,did not cover,40.0,under,CHI_LAR_2019-11-17
TAM,2019-11-17,5.0,Sun,10,11,,NOR,L 17-34,5.0,did not cover,50.5,over,TAM_NOR_2019-11-17
CAR,2019-11-10,5.0,Sun,9,10,@,GNB,L 16-24,5.0,did not cover,49.0,under,CAR_GNB_2019-11-10
TEN,2019-11-10,5.0,Sun,10,10,,KAN,W 35-32,5.0,covered,49.0,over,TEN_KAN_2019-11-10
CHI,2019-11-03,5.0,Sun,8,9,@,PHI,L 14-22,5.0,did not cover,41.0,under,CHI_PHI_2019-11-03
KAN,2019-10-27,5.0,Sun,8,8,,GNB,L 24-31,5.0,did not cover,48.0,over,KAN_GNB_2019-10-27
OAK,2019-10-27,5.0,Sun,7,8,@,HOU,L 24-27,5.0,covered,52.0,under,OAK_HOU_2019-10-27
CLE,2019-10-07,5.0,Mon,5,5,@,SFO,L 3-31,5.0,did not cover,47.5,under,CLE_SFO_2019-10-07
WAS,2019-09-23,5.0,Mon,3,3,,CHI,L 15-31,5.0,did not cover,41.0,over,WAS_CHI_2019-09-23
NYG,2019-09-22,5.0,Sun,3,3,@,TAM,W 32-31,5.0,covered,48.0,over,NYG_TAM_2019-09-22
NOR,2019-09-22,5.0,Sun,3,3,@,SEA,W 33-27,5.0,covered,44.0,over,NOR_SEA_2019-09-22
CLE,2018-12-02,5.0,Sun,12,13,@,HOU,L 13-29,5.0,did not cover,47.5,under,CLE_HOU_2018-12-02
GNB,2018-11-04,5.0,Sun,8,9,@,NWE,L 17-31,5.0,did not cover,56.0,under,GNB_NWE_2018-11-04
CAR,2018-10-21,5.0,Sun,6,7,@,PHI,W 21-17,5.0,covered,45.0,under,CAR_PHI_2018-10-21
OAK,2018-10-07,5.0,Sun,5,5,@,LAC,L 10-26,5.0,did not cover,52.0,under,OAK_LAC_2018-10-07
CLE,2017-12-31,5.0,Sun,16,17,@,PIT,L 24-28,5.0,covered,38.5,over,CLE_PIT_2017-12-31
CAR,2017-12-31,5.0,Sun,16,17,@,ATL,L 10-22,5.0,did not cover,44.5,under,CAR_ATL_2017-12-31
CHI,2017-12-16,5.0,Sat,14,15,@,DET,L 10-20,5.0,did not cover,43.5,under,CHI_DET_2017-12-16
LAC,2017-11-12,5.0,Sun,9,10,@,JAX,L 17-20 (OT),5.0,covered,40.5,under,LAC_JAX_2017-11-12
WAS,2017-10-23,5.0,Mon,6,7,@,PHI,L 24-34,5.0,did not cover,48.5,over,WAS_PHI_2017-10-23
BAL,2017-10-22,5.0,Sun,7,7,@,MIN,L 16-24,5.0,did not cover,37.5,over,BAL_MIN_2017-10-22
LAR,2017-10-01,5.0,Sun,4,4,@,DAL,W 35-30,5.0,covered,51.0,over,LAR_DAL_2017-10-01
NOR,2017-09-24,5.0,Sun,3,3,@,CAR,W 34-13,5.0,covered,46.5,over,NOR_CAR_2017-09-24
NYG,2017-09-24,5.0,Sun,3,3,@,PHI,L 24-27,5.0,covered,43.0,over,NYG_PHI_2017-09-24
HOU,2017-09-14,5.0,Thu,2,2,@,CIN,W 13-9,5.0,covered,38.0,under,HOU_CIN_2017-09-14
PHI,2022-12-24,4.5,Sat,15,16,@,DAL,L 34-40,4.5,did not cover,47.0,over,PHI_DAL_2022-12-24
NYG,2022-12-18,4.5,Sun,14,15,@,WAS,W 20-12,4.5,covered,40.5,under,NYG_WAS_2022-12-18
CHI,2022-12-04,4.5,Sun,13,13,,GNB,L 19-28,4.5,did not cover,45.0,over,CHI_GNB_2022-12-04
MIA,2022-12-04,4.5,Sun,12,13,@,SFO,L 17-33,4.5,did not cover,45.5,over,MIA_SFO_2022-12-04
HOU,2022-11-13,4.5,Sun,9,10,@,NYG,L 16-24,4.5,did not cover,41.0,under,HOU_NYG_2022-11-13
SEA,2022-10-23,4.5,Sun,7,7,@,LAC,W 37-23,4.5,covered,50.5,over,SEA_LAC_2022-10-23
WAS,2022-10-23,4.5,Sun,7,7,,GNB,W 23-21,4.5,covered,41.5,over,WAS_GNB_2022-10-23
DEN,2022-10-17,4.5,Mon,6,6,@,LAC,L 16-19 (OT),4.5,covered,45.5,under,DEN_LAC_2022-10-17
ATL,2022-10-16,4.5,Sun,6,6,,SFO,W 28-14,4.5,covered,45.0,under,ATL_SFO_2022-10-16
MIA,2022-09-25,4.5,Sun,3,3,,BUF,W 21-19,4.5,covered,53.0,under,MIA_BUF_2022-09-25
PIT,2022-09-22,4.5,Thu,3,3,@,CLE,L 17-29,4.5,did not cover,38.5,over,PIT_CLE_2022-09-22
WAS,2022-01-02,4.5,Sun,16,17,,PHI,L 16-20,4.5,covered,44.5,under,WAS_PHI_2022-01-02
WAS,2021-12-12,4.5,Sun,13,14,,DAL,L 20-27,4.5,did not cover,48.0,under,WAS_DAL_2021-12-12
PIT,2021-12-05,4.5,Sun,12,13,,BAL,W 20-19,4.5,covered,44.0,under,PIT_BAL_2021-12-05
NWE,2021-10-31,4.5,Sun,8,8,@,LAC,W 27-24,4.5,covered,49.5,over,NWE_LAC_2021-10-31
NOR,2021-10-31,4.5,Sun,7,8,,TAM,W 36-27,4.5,covered,49.0,over,NOR_TAM_2021-10-31
PIT,2021-10-31,4.5,Sun,7,8,@,CLE,W 15-10,4.5,covered,43.0,under,PIT_CLE_2021-10-31
SEA,2021-10-25,4.5,Mon,7,7,,NOR,L 10-13,4.5,covered,42.5,under,SEA_NOR_2021-10-25
JAX,2021-10-10,4.5,Sun,5,5,,TEN,L 19-37,4.5,did not cover,48.5,over,JAX_TEN_2021-10-10
CHI,2021-01-03,4.5,Sun,16,17,,GNB,L 16-35,4.5,did not cover,48.0,over,CHI_GNB_2021-01-03
LAC,2020-11-29,4.5,Sun,11,12,@,BUF,L 17-27,4.5,did not cover,51.5,under,LAC_BUF_2020-11-29
HOU,2020-11-15,4.5,Sun,9,10,@,CLE,L 7-10,4.5,covered,46.5,under,HOU_CLE_2020-11-15
DEN,2020-11-08,4.5,Sun,8,9,@,ATL,L 27-34,4.5,did not cover,50.5,over,DEN_ATL_2020-11-08
CIN,2020-10-25,4.5,Sun,7,7,,CLE,L 34-37,4.5,covered,50.0,over,CIN_CLE_2020-10-25
MIA,2020-10-04,4.5,Sun,4,4,,SEA,L 23-31,4.5,did not cover,55.0,under,MIA_SEA_2020-10-04
DET,2020-09-27,4.5,Sun,3,3,@,ARI,W 26-23,4.5,covered,55.5,under,DET_ARI_2020-09-27
NYG,2020-09-20,4.5,Sun,2,2,@,CHI,L 13-17,4.5,covered,42.5,under,NYG_CHI_2020-09-20
DEN,2019-12-01,4.5,Sun,12,13,,LAC,W 23-20,4.5,covered,39.0,over,DEN_LAC_2019-12-01
JAX,2019-11-24,4.5,Sun,11,12,@,TEN,L 20-42,4.5,did not cover,42.0,over,JAX_TEN_2019-11-24
PHI,2019-11-17,4.5,Sun,10,11,,NWE,L 10-17,4.5,did not cover,45.0,under,PHI_NWE_2019-11-17
CAR,2019-10-27,4.5,Sun,7,8,@,SFO,L 13-51,4.5,did not cover,41.0,over,CAR_SFO_2019-10-27
BAL,2019-09-22,4.5,Sun,3,3,@,KAN,L 28-33,4.5,did not cover,52.0,over,BAL_KAN_2019-09-22
NYJ,2018-12-09,4.5,Sun,13,14,@,BUF,W 27-23,4.5,covered,37.0,over,NYJ_BUF_2018-12-09
NYG,2018-11-25,4.5,Sun,11,12,@,PHI,L 22-25,4.5,covered,49.0,under,NYG_PHI_2018-11-25
OAK,2018-11-18,4.5,Sun,10,11,@,ARI,W 23-21,4.5,covered,41.0,over,OAK_ARI_2018-11-18
TEN,2018-11-05,4.5,Mon,8,9,@,DAL,W 28-14,4.5,covered,40.5,over,TEN_DAL_2018-11-05
DET,2018-11-04,4.5,Sun,8,9,@,MIN,L 9-24,4.5,did not cover,47.5,under,DET_MIN_2018-11-04
NYG,2018-10-22,4.5,Mon,7,7,@,ATL,L 20-23,4.5,covered,52.0,under,NYG_ATL_2018-10-22
SEA,2018-09-17,4.5,Mon,2,2,@,CHI,L 17-24,4.5,did not cover,42.5,under,SEA_CHI_2018-09-17
KAN,2018-09-16,4.5,Sun,2,2,@,PIT,W 42-37,4.5,covered,52.0,over,KAN_PIT_2018-09-16
NYG,2017-12-31,4.5,Sun,16,17,,WAS,W 18-10,4.5,covered,41.0,under,NYG_WAS_2017-12-31
SEA,2017-12-24,4.5,Sun,15,16,@,DAL,W 21-12,4.5,covered,47.0,under,SEA_DAL_2017-12-24
OAK,2017-12-10,4.5,Sun,13,14,@,KAN,L 15-26,4.5,did not cover,48.5,under,OAK_KAN_2017-12-10
CIN,2017-12-04,4.5,Mon,12,13,,PIT,L 20-23,4.5,covered,42.5,over,CIN_PIT_2017-12-04
GNB,2017-11-12,4.5,Sun,9,10,@,CHI,W 23-16,4.5,covered,37.5,over,GNB_CHI_2017-11-12
CIN,2017-11-12,4.5,Sun,9,10,@,TEN,L 20-24,4.5,covered,40.5,over,CIN_TEN_2017-11-12
SFO,2017-09-10,4.5,Sun,1,1,,CAR,L 3-23,4.5,did not cover,45.5,under,SFO_CAR_2017-09-10
TAM,2023-01-08,4.0,Sun,17,18,@,ATL,L 17-30,4.0,did not cover,40.5,over,TAM_ATL_2023-01-08
IND,2022-12-26,4.0,Mon,15,16,,LAC,L 3-20,4.0,did not cover,45.5,under,IND_LAC_2022-12-26
NYG,2022-12-24,4.0,Sat,15,16,@,MIN,L 24-27,4.0,covered,49.5,over,NYG_MIN_2022-12-24
JAX,2022-12-18,4.0,Sun,14,15,,DAL,W 40-34 (OT),4.0,covered,48.0,over,JAX_DAL_2022-12-18
ATL,2022-12-18,4.0,Sun,14,15,@,NOR,L 18-21,4.0,covered,43.5,under,ATL_NOR_2022-12-18
CAR,2022-12-11,4.0,Sun,13,14,@,SEA,W 30-24,4.0,covered,44.5,over,CAR_SEA_2022-12-11
TEN,2022-12-04,4.0,Sun,12,13,@,PHI,L 10-35,4.0,did not cover,44.0,over,TEN_PHI_2022-12-04
ATL,2022-11-27,4.0,Sun,12,12,@,WAS,L 13-19,4.0,did not cover,40.5,under,ATL_WAS_2022-11-27
LVR,2022-11-27,4.0,Sun,11,12,@,SEA,W 40-34 (OT),4.0,covered,47.5,over,LVR_SEA_2022-11-27
GNB,2022-11-13,4.0,Sun,10,10,,DAL,W 31-28 (OT),4.0,covered,44.5,over,GNB_DAL_2022-11-13
IND,2022-11-13,4.0,Sun,10,10,@,LVR,W 25-20,4.0,covered,41.0,over,IND_LVR_2022-11-13
CHI,2022-11-06,4.0,Sun,9,9,,MIA,L 32-35,4.0,covered,45.5,over,CHI_MIA_2022-11-06
CAR,2022-10-30,4.0,Sun,8,8,@,ATL,L 34-37 (OT),4.0,covered,41.0,over,CAR_ATL_2022-10-30
LAC,2022-09-15,4.0,Thu,2,2,@,KAN,L 24-27,4.0,covered,54.0,under,LAC_KAN_2022-09-15
CHI,2022-01-09,4.0,Sun,17,18,@,MIN,L 17-31,4.0,did not cover,44.5,over,CHI_MIN_2022-01-09
PHI,2022-01-08,4.0,Sat,17,18,,DAL,L 26-51,4.0,did not cover,43.5,over,PHI_DAL_2022-01-08
CIN,2022-01-02,4.0,Sun,16,17,,KAN,W 34-31,4.0,covered,51.5,over,CIN_KAN_2022-01-02
NWE,2021-12-06,4.0,Mon,13,13,@,BUF,W 14-10,4.0,covered,44.0,under,NWE_BUF_2021-12-06
SFO,2021-11-15,4.0,Mon,9,10,,LAR,W 31-10,4.0,covered,49.5,under,SFO_LAR_2021-11-15
CHI,2021-10-31,4.0,Sun,8,8,,SFO,L 22-33,4.0,did not cover,39.5,over,CHI_SFO_2021-10-31
IND,2021-10-24,4.0,Sun,7,7,@,SFO,W 30-18,4.0,covered,42.5,over,IND_SFO_2021-10-24
TEN,2021-10-24,4.0,Sun,7,7,,KAN,W 27-3,4.0,covered,57.5,under,TEN_KAN_2021-10-24
LVR,2021-10-17,4.0,Sun,6,6,@,DEN,W 34-24,4.0,covered,43.5,over,LVR_DEN_2021-10-17
ARI,2021-10-03,4.0,Sun,4,4,@,LAR,W 37-20,4.0,covered,49.5,over,ARI_LAR_2021-10-03
CAR,2021-10-03,4.0,Sun,4,4,@,DAL,L 28-36,4.0,did not cover,51.5,over,CAR_DAL_2021-10-03
MIA,2021-09-26,4.0,Sun,3,3,@,LVR,L 28-31 (OT),4.0,covered,44.0,over,MIA_LVR_2021-09-26
BAL,2021-09-19,4.0,Sun,2,2,,KAN,W 36-35,4.0,covered,54.5,over,BAL_KAN_2021-09-19
