Team,Date,Spread,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result,game_id
ARI,2018-12-30,14.0,Sun,16,17,@,SEA,L 24-27,14.0,covered,39.5,over,ARI_SEA_2018-12-30
OAK,2018-12-02,14.0,Sun,12,13,,KAN,L 33-40,14.0,covered,53.5,over,OAK_KAN_2018-12-02
ARI,2018-11-25,14.0,Sun,11,12,@,LAC,L 10-45,14.0,did not cover,43.0,over,ARI_LAC_2018-11-25
CHI,2017-11-26,14.0,Sun,11,12,@,PHI,L 3-31,14.0,did not cover,43.5,under,CHI_PHI_2017-11-26
GNB,2017-11-26,14.0,Sun,11,12,@,PIT,L 28-31,14.0,covered,42.5,over,GNB_PIT_2017-11-26
MIA,2017-10-15,14.0,Sun,5,6,@,ATL,W 20-17,14.0,covered,46.0,under,MIA_ATL_2017-10-15
NYJ,2017-09-17,14.0,Sun,2,2,@,OAK,L 20-45,14.0,did not cover,44.0,over,NYJ_OAK_2017-09-17
HOU,2022-11-03,13.5,Thu,8,9,,PHI,L 17-29,13.5,covered,45.5,over,HOU_PHI_2022-11-03
NYJ,2022-01-02,13.5,Sun,16,17,,TAM,L 24-28,13.5,covered,45.5,over,NYJ_TAM_2022-01-02
HOU,2021-09-19,13.5,Sun,2,2,@,CLE,L 21-31,13.5,covered,48.0,over,HOU_CLE_2021-09-19
CIN,2021-01-03,13.5,Sun,16,17,,BAL,L 3-38,13.5,did not cover,46.0,under,CIN_BAL_2021-01-03
JAX,2020-11-15,13.5,Sun,9,10,@,GNB,L 20-24,13.5,covered,47.5,under,JAX_GNB_2020-11-15
NYG,2020-10-04,13.5,Sun,4,4,@,LAR,L 9-17,13.5,covered,50.0,under,NYG_LAR_2020-10-04
CAR,2019-12-29,13.5,Sun,16,17,,NOR,L 10-42,13.5,did not cover,45.0,over,CAR_NOR_2019-12-29
DET,2019-12-29,13.5,Sun,16,17,,GNB,L 20-23,13.5,covered,44.0,under,DET_GNB_2019-12-29
BUF,2018-12-23,13.5,Sun,15,16,@,NWE,L 12-24,13.5,covered,45.0,under,BUF_NWE_2018-12-23
PHI,2018-12-16,13.5,Sun,14,15,@,LAR,W 30-23,13.5,covered,52.5,over,PHI_LAR_2018-12-16
ARI,2018-12-02,13.5,Sun,12,13,@,GNB,W 20-17,13.5,covered,41.0,under,ARI_GNB_2018-12-02
BUF,2018-10-29,13.5,Mon,8,8,,NWE,L 6-25,13.5,did not cover,44.5,under,BUF_NWE_2018-10-29
ARI,2018-09-16,13.5,Sun,2,2,@,LAR,L 0-34,13.5,did not cover,43.5,under,ARI_LAR_2018-09-16
CHI,2017-12-31,13.5,Sun,16,17,@,MIN,L 10-23,13.5,covered,38.5,under,CHI_MIN_2017-12-31
IND,2017-12-23,13.5,Sat,15,16,@,BAL,L 16-23,13.5,covered,41.0,under,IND_BAL_2017-12-23
CLE,2017-12-03,13.5,Sun,12,13,@,LAC,L 10-19,13.5,covered,45.0,under,CLE_LAC_2017-12-03
NYG,2017-10-15,13.5,Sun,6,6,@,DEN,W 23-10,13.5,covered,37.5,under,NYG_DEN_2017-10-15
HOU,2017-09-24,13.5,Sun,3,3,@,NWE,L 33-36,13.5,covered,44.5,over,HOU_NWE_2017-09-24
SFO,2017-09-17,13.5,Sun,2,2,@,SEA,L 9-12,13.5,covered,42.0,under,SFO_SEA_2017-09-17
CAR,2022-11-20,13.0,Sun,11,11,@,BAL,L 3-13,13.0,covered,41.5,under,CAR_BAL_2022-11-20
CAR,2022-10-23,13.0,Sun,7,7,,TAM,W 21-3,13.0,covered,39.5,under,CAR_TAM_2022-10-23
MIN,2022-01-02,13.0,Sun,16,17,@,GNB,L 10-37,13.0,did not cover,42.5,over,MIN_GNB_2022-01-02
DET,2021-12-19,13.0,Sun,14,15,,ARI,W 30-12,13.0,covered,48.0,under,DET_ARI_2021-12-19
JAX,2021-12-05,13.0,Sun,12,13,@,LAR,L 7-37,13.0,did not cover,48.0,under,JAX_LAR_2021-12-05
NYJ,2021-11-14,13.0,Sun,9,10,,BUF,L 17-45,13.0,did not cover,47.5,over,NYJ_BUF_2021-11-14
JAX,2020-12-20,13.0,Sun,14,15,@,BAL,L 14-40,13.0,did not cover,49.0,over,JAX_BAL_2020-12-20
DEN,2020-12-06,13.0,Sun,12,13,@,KAN,L 16-22,13.0,covered,51.5,under,DEN_KAN_2020-12-06
NYG,2020-11-02,13.0,Mon,8,8,,TAM,L 23-25,13.0,covered,47.0,over,NYG_TAM_2020-11-02
WAS,2019-12-08,13.0,Sun,13,14,@,GNB,L 15-20,13.0,covered,42.5,under,WAS_GNB_2019-12-08
CIN,2019-11-17,13.0,Sun,10,11,@,OAK,L 10-17,13.0,covered,48.0,under,CIN_OAK_2019-11-17
ARI,2019-09-15,13.0,Sun,2,2,@,BAL,L 17-23,13.0,covered,46.0,under,ARI_BAL_2019-09-15
OAK,2018-11-25,13.0,Sun,11,12,@,BAL,L 17-34,13.0,did not cover,42.0,over,OAK_BAL_2018-11-25
NYJ,2018-11-25,13.0,Sun,11,12,,NWE,L 13-27,13.0,did not cover,46.5,under,NYJ_NWE_2018-11-25
