Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,game_id
KAN,2022-09-11,44,Sun,1,1,@,ARI,W 44-21,44,21,23,65,KAN_ARI_2022-09-11
PHI,2021-10-31,44,Sun,8,8,@,DET,W 44-6,44,6,38,50,PHI_DET_2021-10-31
DAL,2021-10-10,44,Sun,5,5,,NYG,W 44-20,44,20,24,64,DAL_NYG_2021-10-10
TAM,2021-01-03,44,Sun,16,17,,ATL,W 44-27,44,27,17,71,TAM_ATL_2021-01-03
IND,2020-12-13,44,Sun,13,14,@,LVR,W 44-27,44,27,17,71,IND_LVR_2020-12-13
BUF,2020-11-08,44,Sun,9,9,,SEA,W 44-34,44,34,10,78,BUF_SEA_2020-11-08
DAL,2019-12-15,44,Sun,14,15,,LAR,W 44-21,44,21,23,65,DAL_LAR_2019-12-15
GNB,2018-12-23,44,Sun,15,16,@,NYJ,W 44-38 (OT),44,38,6,82,GNB_NYJ_2018-12-23
DAL,2021-11-14,43,Sun,9,10,,ATL,W 43-3,43,3,40,46,DAL_ATL_2021-11-14
BUF,2021-09-26,43,Sun,3,3,,WAS,W 43-21,43,21,22,64,BUF_WAS_2021-09-26
ATL,2020-11-29,43,Sun,11,12,,LVR,W 43-6,43,6,37,49,ATL_LVR_2020-11-29
KAN,2020-10-25,43,Sun,7,7,@,DEN,W 43-16,43,16,27,59,KAN_DEN_2020-10-25
MIA,2020-10-11,43,Sun,5,5,@,SFO,W 43-17,43,17,26,60,MIA_SFO_2020-10-11
GNB,2020-09-13,43,Sun,1,1,@,MIN,W 43-34,43,34,9,77,GNB_MIN_2020-09-13
NWE,2019-09-15,43,Sun,2,2,@,MIA,W 43-0,43,0,43,43,NWE_MIA_2019-09-15
TEN,2019-09-08,43,Sun,1,1,@,CLE,W 43-13,43,13,30,56,TEN_CLE_2019-09-08
SEA,2018-12-02,43,Sun,12,13,,SFO,W 43-16,43,16,27,59,SEA_SFO_2018-12-02
NWE,2018-10-14,43,Sun,6,6,,KAN,W 43-40,43,40,3,83,NWE_KAN_2018-10-14
NOR,2018-10-08,43,Mon,5,5,,WAS,W 43-19,43,19,24,62,NOR_WAS_2018-10-08
NOR,2018-09-23,43,Sun,3,3,@,ATL,W 43-37 (OT),43,37,6,80,NOR_ATL_2018-09-23
CIN,2022-11-06,42,Sun,9,9,,CAR,W 42-21,42,21,21,63,CIN_CAR_2022-11-06
ARI,2022-10-20,42,Thu,7,7,,NOR,W 42-34,42,34,8,76,ARI_NOR_2022-10-20
MIA,2022-09-18,42,Sun,2,2,@,BAL,W 42-38,42,38,4,80,MIA_BAL_2022-09-18
CLE,2021-10-10,42,Sun,5,5,@,LAC,L 42-47,42,47,-5,89,CLE_LAC_2021-10-10
KAN,2021-10-03,42,Sun,4,4,@,PHI,W 42-30,42,30,12,72,KAN_PHI_2021-10-03
CLE,2020-12-14,42,Mon,13,14,,BAL,L 42-47,42,47,-5,89,CLE_BAL_2020-12-14
TEN,2020-10-18,42,Sun,5,6,,HOU,W 42-36 (OT),42,36,6,78,TEN_HOU_2020-10-18
TEN,2020-10-13,42,Tue,4,5,,BUF,W 42-16,42,16,26,58,TEN_BUF_2020-10-13
GNB,2020-09-20,42,Sun,2,2,,DET,W 42-21,42,21,21,63,GNB_DET_2020-09-20
NOR,2019-12-29,42,Sun,16,17,@,CAR,W 42-10,42,10,32,52,NOR_CAR_2019-12-29
BAL,2019-12-12,42,Thu,14,15,,NYJ,W 42-21,42,21,21,63,BAL_NYJ_2019-12-12
TEN,2019-12-08,42,Sun,13,14,@,OAK,W 42-21,42,21,21,63,TEN_OAK_2019-12-08
TEN,2019-11-24,42,Sun,11,12,,JAX,W 42-20,42,20,22,62,TEN_JAX_2019-11-24
GNB,2019-10-20,42,Sun,7,7,,OAK,W 42-24,42,24,18,66,GNB_OAK_2019-10-20
MIN,2019-10-20,42,Sun,7,7,@,DET,W 42-30,42,30,12,72,MIN_DET_2019-10-20
BUF,2018-12-30,42,Sun,16,17,,MIA,W 42-17,42,17,25,59,BUF_MIA_2018-12-30
CAR,2018-11-04,42,Sun,8,9,,TAM,W 42-28,42,28,14,70,CAR_TAM_2018-11-04
IND,2018-10-28,42,Sun,8,8,@,OAK,W 42-28,42,28,14,70,IND_OAK_2018-10-28
HOU,2018-10-25,42,Thu,8,8,,MIA,W 42-23,42,23,19,65,HOU_MIA_2018-10-25
NYJ,2018-10-14,42,Sun,6,6,,IND,W 42-34,42,34,8,76,NYJ_IND_2018-10-14
CLE,2018-09-30,42,Sun,4,4,@,OAK,L 42-45 (OT),42,45,-3,87,CLE_OAK_2018-09-30
KAN,2018-09-16,42,Sun,2,2,@,PIT,W 42-37,42,37,5,79,KAN_PIT_2018-09-16
GNB,2023-01-01,41,Sun,16,17,,MIN,W 41-17,41,17,24,58,GNB_MIN_2023-01-01
DET,2023-01-01,41,Sun,16,17,,CHI,W 41-10,41,10,31,51,DET_CHI_2023-01-01
KAN,2022-10-02,41,Sun,4,4,@,TAM,W 41-31,41,31,10,72,KAN_TAM_2022-10-02
BUF,2022-09-19,41,Mon,2,2,,TEN,W 41-7,41,7,34,48,BUF_TEN_2022-09-19
TAM,2022-01-09,41,Sun,17,18,,CAR,W 41-17,41,17,24,58,TAM_CAR_2022-01-09
CIN,2021-12-26,41,Sun,15,16,,BAL,W 41-21,41,21,20,62,CIN_BAL_2021-12-26
HOU,2021-12-26,41,Sun,15,16,,LAC,W 41-29,41,29,12,70,HOU_LAC_2021-12-26
LAC,2021-12-05,41,Sun,12,13,@,CIN,W 41-22,41,22,19,63,LAC_CIN_2021-12-05
CIN,2021-11-28,41,Sun,11,12,,PIT,W 41-10,41,10,31,51,CIN_PIT_2021-11-28
IND,2021-11-21,41,Sun,11,11,@,BUF,W 41-15,41,15,26,56,IND_BUF_2021-11-21
LAC,2021-11-21,41,Sun,10,11,,PIT,W 41-37,41,37,4,78,LAC_PIT_2021-11-21
KAN,2021-11-14,41,Sun,10,10,@,LVR,W 41-14,41,14,27,55,KAN_LVR_2021-11-14
CLE,2021-11-07,41,Sun,9,9,@,CIN,W 41-16,41,16,25,57,CLE_CIN_2021-11-07
CIN,2021-10-24,41,Sun,7,7,@,BAL,W 41-17,41,17,24,58,CIN_BAL_2021-10-24
DAL,2021-09-27,41,Mon,3,3,,PHI,W 41-21,41,21,20,62,DAL_PHI_2021-09-27
SFO,2021-09-12,41,Sun,1,1,@,DET,W 41-33,41,33,8,74,SFO_DET_2021-09-12
TEN,2021-01-03,41,Sun,16,17,@,HOU,W 41-38,41,38,3,79,TEN_HOU_2021-01-03
CHI,2020-12-27,41,Sun,15,16,@,JAX,W 41-17,41,17,24,58,CHI_JAX_2020-12-27
DAL,2020-12-20,41,Sun,14,15,,SFO,W 41-33,41,33,8,74,DAL_SFO_2020-12-20
CLE,2020-12-06,41,Sun,12,13,@,TEN,W 41-35,41,35,6,76,CLE_TEN_2020-12-06
GNB,2020-11-29,41,Sun,11,12,,CHI,W 41-25,41,25,16,66,GNB_CHI_2020-11-29
HOU,2020-11-26,41,Thu,11,12,@,DET,W 41-25,41,25,16,66,HOU_DET_2020-11-26
WAS,2020-11-26,41,Thu,11,12,@,DAL,W 41-16,41,16,25,57,WAS_DAL_2020-11-26
IND,2020-11-01,41,Sun,7,8,@,DET,W 41-21,41,21,20,62,IND_DET_2020-11-01
NYG,2019-12-22,41,Sun,15,16,@,WAS,W 41-35 (OT),41,35,6,76,NYG_WAS_2019-12-22
CLE,2019-11-24,41,Sun,11,12,,MIA,W 41-24,41,24,17,65,CLE_MIA_2019-11-24
BAL,2019-11-17,41,Sun,10,11,,HOU,W 41-7,41,7,34,48,BAL_HOU_2019-11-17
SFO,2019-09-15,41,Sun,2,2,@,CIN,W 41-17,41,17,24,58,SFO_CIN_2019-09-15
MIN,2018-12-16,41,Sun,14,15,,MIA,W 41-17,41,17,24,58,MIN_MIA_2018-12-16
BUF,2018-11-11,41,Sun,10,10,@,NYJ,W 41-10,41,10,31,51,BUF_NYJ_2018-11-11
CHI,2018-11-04,41,Sun,8,9,@,BUF,W 41-9,41,9,32,50,CHI_BUF_2018-11-04
PIT,2018-10-07,41,Sun,5,5,,ATL,W 41-17,41,17,24,58,PIT_ATL_2018-10-07
DAL,2022-12-24,40,Sat,15,16,,PHI,W 40-34,40,34,6,74,DAL_PHI_2022-12-24
JAX,2022-12-18,40,Sun,14,15,,DAL,W 40-34 (OT),40,34,6,74,JAX_DAL_2022-12-18
DET,2022-12-04,40,Sun,12,13,,JAX,W 40-14,40,14,26,54,DET_JAX_2022-12-04
