Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,game_id
NYJ,2022-01-09,33,Sun,17,18,@,BUF,L 10-27,33,170,5.2,1,NYJ_BUF_2022-01-09
DAL,2022-01-08,33,Sat,17,18,@,PHI,W 51-26,33,149,4.5,1,DAL_PHI_2022-01-08
ATL,2021-12-26,33,Sun,15,16,,DET,W 20-16,33,130,3.9,0,ATL_DET_2021-12-26
MIN,2021-12-26,33,Sun,15,16,,LAR,L 23-30,33,159,4.8,1,MIN_LAR_2021-12-26
ARI,2021-12-25,33,Sat,15,16,,IND,L 16-22,33,126,3.8,0,ARI_IND_2021-12-25
CHI,2021-12-20,33,Mon,14,15,,MIN,L 9-17,33,132,4.0,0,CHI_MIN_2021-12-20
LAC,2021-11-28,33,Sun,11,12,@,DEN,L 13-28,33,147,4.5,2,LAC_DEN_2021-11-28
NYG,2021-11-28,33,Sun,11,12,,PHI,W 13-7,33,208,6.3,1,NYG_PHI_2021-11-28
SEA,2021-11-21,33,Sun,10,11,,ARI,L 13-23,33,95,2.9,1,SEA_ARI_2021-11-21
NYJ,2021-11-21,33,Sun,10,11,,MIA,L 17-24,33,115,3.5,1,NYJ_MIA_2021-11-21
LAC,2021-11-14,33,Sun,9,10,,MIN,L 20-27,33,103,3.1,1,LAC_MIN_2021-11-14
SFO,2021-10-24,33,Sun,6,7,,IND,L 18-30,33,148,4.5,2,SFO_IND_2021-10-24
DEN,2021-10-21,33,Thu,7,7,@,CLE,L 14-17,33,182,5.5,1,DEN_CLE_2021-10-21
NOR,2021-10-10,33,Sun,5,5,@,WAS,W 33-22,33,131,4.0,2,NOR_WAS_2021-10-10
MIA,2021-10-03,33,Sun,4,4,,IND,L 17-27,33,139,4.2,1,MIA_IND_2021-10-03
PIT,2021-10-03,33,Sun,4,4,@,GNB,L 17-27,33,131,4.0,1,PIT_GNB_2021-10-03
WAS,2021-09-26,33,Sun,3,3,@,BUF,L 21-43,33,122,3.7,1,WAS_BUF_2021-09-26
HOU,2021-09-23,33,Thu,3,3,,CAR,L 9-24,33,117,3.5,3,HOU_CAR_2021-09-23
NOR,2021-09-19,33,Sun,2,2,@,CAR,L 7-26,33,89,2.7,1,NOR_CAR_2021-09-19
TEN,2021-09-12,33,Sun,1,1,,ARI,L 13-38,33,136,4.1,1,TEN_ARI_2021-09-12
JAX,2020-12-27,33,Sun,15,16,,CHI,L 17-41,33,128,3.9,3,JAX_CHI_2020-12-27
HOU,2020-12-27,33,Sun,15,16,,CIN,L 31-37,33,169,5.1,2,HOU_CIN_2020-12-27
TAM,2020-12-13,33,Sun,13,14,,MIN,W 26-14,33,162,4.9,1,TAM_MIN_2020-12-13
KAN,2020-12-06,33,Sun,12,13,,DEN,W 22-16,33,179,5.4,0,KAN_DEN_2020-12-06
JAX,2020-11-29,33,Sun,11,12,,CLE,L 25-27,33,207,6.3,1,JAX_CLE_2020-11-29
NOR,2020-11-29,33,Sun,11,12,@,DEN,W 31-3,33,100,3.0,0,NOR_DEN_2020-11-29
LAR,2020-11-29,33,Sun,11,12,,SFO,L 20-23,33,112,3.4,1,LAR_SFO_2020-11-29
MIA,2020-11-22,33,Sun,10,11,@,DEN,L 13-20,33,189,5.7,2,MIA_DEN_2020-11-22
TEN,2020-11-22,33,Sun,10,11,@,BAL,W 30-24 (OT),33,129,3.9,1,TEN_BAL_2020-11-22
CHI,2020-11-16,33,Mon,10,10,,MIN,L 13-19,33,99,3.0,0,CHI_MIN_2020-11-16
SEA,2020-10-25,33,Sun,6,7,@,ARI,L 34-37 (OT),33,159,4.8,1,SEA_ARI_2020-10-25
KAN,2020-10-25,33,Sun,7,7,@,DEN,W 43-16,33,177,5.4,2,KAN_DEN_2020-10-25
IND,2020-10-11,33,Sun,5,5,@,CLE,L 23-32,33,124,3.8,0,IND_CLE_2020-10-11
SFO,2020-10-11,33,Sun,5,5,,MIA,L 17-43,33,94,2.8,1,SFO_MIA_2020-10-11
TEN,2020-09-27,33,Sun,3,3,@,MIN,W 31-30,33,226,6.8,1,TEN_MIN_2020-09-27
ARI,2019-12-29,33,Sun,16,17,@,LAR,L 24-31,33,113,3.4,1,ARI_LAR_2019-12-29
DET,2019-12-22,33,Sun,15,16,@,DEN,L 17-27,33,150,4.5,2,DET_DEN_2019-12-22
IND,2019-12-16,33,Mon,14,15,@,NOR,L 7-34,33,117,3.5,0,IND_NOR_2019-12-16
MIA,2019-12-15,33,Sun,14,15,@,NYG,L 20-36,33,138,4.2,3,MIA_NYG_2019-12-15
BUF,2019-12-08,33,Sun,13,14,,BAL,L 17-24,33,118,3.6,0,BUF_BAL_2019-12-08
JAX,2019-11-24,33,Sun,11,12,@,TEN,L 20-42,33,219,6.6,4,JAX_TEN_2019-11-24
MIN,2019-11-17,33,Sun,11,11,,DEN,W 27-23,33,124,3.8,1,MIN_DEN_2019-11-17
WAS,2019-11-17,33,Sun,10,11,,NYJ,L 17-34,33,115,3.5,1,WAS_NYJ_2019-11-17
TEN,2019-11-03,33,Sun,9,9,@,CAR,L 20-30,33,156,4.7,2,TEN_CAR_2019-11-03
ATL,2019-10-27,33,Sun,8,8,,SEA,L 20-27,33,151,4.6,1,ATL_SEA_2019-10-27
MIA,2019-10-13,33,Sun,5,6,,WAS,L 16-17,33,145,4.4,0,MIA_WAS_2019-10-13
MIN,2019-09-29,33,Sun,4,4,@,CHI,L 6-16,33,72,2.2,0,MIN_CHI_2019-09-29
MIA,2019-09-29,33,Sun,4,4,,LAC,L 10-30,33,79,2.4,1,MIA_LAC_2019-09-29
GNB,2019-09-26,33,Thu,4,4,,PHI,L 27-34,33,176,5.3,2,GNB_PHI_2019-09-26
MIN,2019-09-15,33,Sun,2,2,@,GNB,L 16-21,33,144,4.4,1,MIN_GNB_2019-09-15
ARI,2019-09-15,33,Sun,2,2,@,BAL,L 17-23,33,182,5.5,0,ARI_BAL_2019-09-15
PIT,2019-09-15,33,Sun,2,2,,SEA,L 26-28,33,151,4.6,1,PIT_SEA_2019-09-15
LAC,2019-09-08,33,Sun,1,1,,IND,W 30-24 (OT),33,203,6.2,1,LAC_IND_2019-09-08
MIA,2018-12-30,33,Sun,16,17,@,BUF,L 17-42,33,166,5.0,3,MIA_BUF_2018-12-30
JAX,2018-12-30,33,Sun,16,17,@,HOU,L 3-20,33,134,4.1,2,JAX_HOU_2018-12-30
JAX,2018-12-16,33,Sun,14,15,,WAS,L 13-16,33,109,3.3,0,JAX_WAS_2018-12-16
WAS,2018-12-03,33,Mon,12,13,@,PHI,L 13-28,33,130,3.9,1,WAS_PHI_2018-12-03
TEN,2018-12-02,33,Sun,12,13,,NYJ,W 26-22,33,156,4.7,0,TEN_NYJ_2018-12-02
ARI,2018-11-18,33,Sun,10,11,,OAK,L 21-23,33,152,4.6,0,ARI_OAK_2018-11-18
DEN,2018-11-04,33,Sun,9,9,,HOU,L 17-19,33,98,3.0,0,DEN_HOU_2018-11-04
BAL,2018-10-28,33,Sun,8,8,@,CAR,L 21-36,33,154,4.7,2,BAL_CAR_2018-10-28
NYG,2018-10-28,33,Sun,8,8,,WAS,L 13-20,33,182,5.5,1,NYG_WAS_2018-10-28
LAC,2018-10-21,33,Sun,7,7,,TEN,W 20-19,33,164,5.0,1,LAC_TEN_2018-10-21
NWE,2018-09-23,33,Sun,3,3,@,DET,L 10-26,33,159,4.8,0,NWE_DET_2018-09-23
NYJ,2018-09-20,33,Thu,3,3,@,CLE,L 17-21,33,133,4.0,2,NYJ_CLE_2018-09-20
ARI,2018-09-16,33,Sun,2,2,@,LAR,L 0-34,33,90,2.7,3,ARI_LAR_2018-09-16
SEA,2017-12-31,33,Sun,16,17,,ARI,L 24-26,33,116,3.5,1,SEA_ARI_2017-12-31
PHI,2017-12-25,33,Mon,15,16,,OAK,W 19-10,33,137,4.2,0,PHI_OAK_2017-12-25
GNB,2017-12-23,33,Sat,15,16,,MIN,L 0-16,33,112,3.4,0,GNB_MIN_2017-12-23
OAK,2017-12-10,33,Sun,13,14,@,KAN,L 15-26,33,165,5.0,2,OAK_KAN_2017-12-10
NYJ,2017-11-26,33,Sun,11,12,,CAR,L 27-35,33,145,4.4,2,NYJ_CAR_2017-11-26
CHI,2017-11-26,33,Sun,11,12,@,PHI,L 3-31,33,176,5.3,0,CHI_PHI_2017-11-26
DAL,2017-11-23,33,Thu,11,12,,LAC,L 6-28,33,81,2.5,0,DAL_LAC_2017-11-23
DAL,2017-11-19,33,Sun,10,11,,PHI,L 9-37,33,215,6.5,2,DAL_PHI_2017-11-19
NOR,2017-11-19,33,Sun,10,11,,WAS,W 34-31 (OT),33,156,4.7,1,NOR_WAS_2017-11-19
DET,2017-11-12,33,Sun,9,10,,CLE,W 38-24,33,201,6.1,2,DET_CLE_2017-11-12
NYG,2017-11-12,33,Sun,9,10,@,SFO,L 21-31,33,186,5.6,2,NYG_SFO_2017-11-12
GNB,2017-11-06,33,Mon,8,9,,DET,L 17-30,33,64,1.9,1,GNB_DET_2017-11-06
WAS,2017-10-23,33,Mon,6,7,@,PHI,L 24-34,33,127,3.8,0,WAS_PHI_2017-10-23
TAM,2017-10-22,33,Sun,6,7,@,BUF,L 27-30,33,173,5.2,2,TAM_BUF_2017-10-22
BAL,2017-10-22,33,Sun,7,7,@,MIN,L 16-24,33,169,5.1,1,BAL_MIN_2017-10-22
CLE,2017-10-15,33,Sun,6,6,@,HOU,L 17-33,33,123,3.7,0,CLE_HOU_2017-10-15
SFO,2017-10-15,33,Sun,6,6,@,WAS,L 24-26,33,94,2.8,1,SFO_WAS_2017-10-15
NYJ,2017-10-08,33,Sun,5,5,@,CLE,W 17-14,33,140,4.2,0,NYJ_CLE_2017-10-08
ARI,2017-10-08,33,Sun,5,5,@,PHI,L 7-34,33,122,3.7,0,ARI_PHI_2017-10-08
IND,2017-10-01,33,Sun,4,4,@,SEA,L 18-46,33,194,5.9,2,IND_SEA_2017-10-01
DEN,2017-09-24,33,Sun,3,3,@,BUF,L 16-26,33,75,2.3,0,DEN_BUF_2017-09-24
LAR,2017-09-21,33,Thu,3,3,@,SFO,W 41-39,33,113,3.4,3,LAR_SFO_2017-09-21
IND,2017-09-10,33,Sun,1,1,@,LAR,L 9-46,33,63,1.9,2,IND_LAR_2017-09-10
NYJ,2023-01-08,32,Sun,17,18,@,MIA,L 6-11,32,162,5.1,0,NYJ_MIA_2023-01-08
CAR,2023-01-08,32,Sun,17,18,@,NOR,W 10-7,32,143,4.5,0,CAR_NOR_2023-01-08
SFO,2023-01-01,32,Sun,16,17,@,LVR,W 37-34 (OT),32,135,4.2,1,SFO_LVR_2023-01-01
TEN,2022-12-29,32,Thu,16,17,,DAL,L 13-27,32,87,2.7,1,TEN_DAL_2022-12-29
IND,2022-12-26,32,Mon,15,16,,LAC,L 3-20,32,101,3.2,2,IND_LAC_2022-12-26
LVR,2022-12-18,32,Sun,14,15,,NWE,W 30-24,32,206,6.4,1,LVR_NWE_2022-12-18
CHI,2022-12-04,32,Sun,13,13,,GNB,L 19-28,32,175,5.5,2,CHI_GNB_2022-12-04
CHI,2022-11-27,32,Sun,12,12,@,NYJ,L 10-31,32,158,4.9,1,CHI_NYJ_2022-11-27
GNB,2022-11-17,32,Thu,11,11,,TEN,L 17-27,32,88,2.8,1,GNB_TEN_2022-11-17
PHI,2022-11-03,32,Thu,8,9,@,HOU,W 29-17,32,168,5.3,0,PHI_HOU_2022-11-03
DEN,2022-10-30,32,Sun,8,8,@,JAX,W 21-17,32,191,6.0,1,DEN_JAX_2022-10-30
LVR,2022-10-30,32,Sun,7,8,@,NOR,L 0-24,32,136,4.3,1,LVR_NOR_2022-10-30
DET,2022-10-23,32,Sun,6,7,@,DAL,L 6-24,32,139,4.3,2,DET_DAL_2022-10-23
WAS,2022-10-09,32,Sun,5,5,,TEN,L 17-21,32,105,3.3,2,WAS_TEN_2022-10-09
NYG,2022-10-02,32,Sun,4,4,,CHI,W 20-12,32,149,4.7,0,NYG_CHI_2022-10-02
TEN,2022-09-11,32,Sun,1,1,,NYG,L 20-21,32,238,7.4,1,TEN_NYG_2022-09-11
HOU,2022-01-09,32,Sun,17,18,,TEN,L 25-28,32,124,3.9,0,HOU_TEN_2022-01-09
PHI,2022-01-08,32,Sat,17,18,,DAL,L 26-51,32,171,5.3,2,PHI_DAL_2022-01-08
DAL,2022-01-02,32,Sun,16,17,,ARI,L 22-25,32,127,4.0,0,DAL_ARI_2022-01-02
MIN,2022-01-02,32,Sun,16,17,@,GNB,L 10-37,32,174,5.4,2,MIN_GNB_2022-01-02
LAR,2022-01-02,32,Sun,16,17,@,BAL,W 20-19,32,165,5.2,0,LAR_BAL_2022-01-02
ATL,2021-12-19,32,Sun,14,15,@,SFO,L 13-31,32,162,5.1,3,ATL_SFO_2021-12-19
LAR,2021-11-28,32,Sun,11,12,@,GNB,L 28-36,32,92,2.9,1,LAR_GNB_2021-11-28
NOR,2021-11-25,32,Thu,11,12,,BUF,L 6-31,32,113,3.5,0,NOR_BUF_2021-11-25
SEA,2021-11-14,32,Sun,9,10,@,GNB,L 0-17,32,106,3.3,2,SEA_GNB_2021-11-14
CHI,2021-11-08,32,Mon,9,9,@,PIT,L 27-29,32,105,3.3,1,CHI_PIT_2021-11-08
TAM,2021-10-31,32,Sun,8,8,@,NOR,L 27-36,32,152,4.8,1,TAM_NOR_2021-10-31
CLE,2021-10-31,32,Sun,8,8,,PIT,L 10-15,32,115,3.6,1,CLE_PIT_2021-10-31
NYJ,2021-10-24,32,Sun,6,7,@,NWE,L 13-54,32,148,4.6,4,NYJ_NWE_2021-10-24
LVR,2021-10-24,32,Sun,7,7,,PHI,W 33-22,32,135,4.2,1,LVR_PHI_2021-10-24
PHI,2021-10-03,32,Sun,4,4,,KAN,L 30-42,32,200,6.3,1,PHI_KAN_2021-10-03
LVR,2021-01-03,32,Sun,16,17,@,DEN,W 32-31,32,122,3.8,1,LVR_DEN_2021-01-03
CLE,2020-12-14,32,Mon,13,14,,BAL,L 42-47,32,231,7.2,5,CLE_BAL_2020-12-14
LVR,2020-11-29,32,Sun,11,12,@,ATL,L 6-43,32,125,3.9,1,LVR_ATL_2020-11-29
LAC,2020-11-15,32,Sun,9,10,@,MIA,L 21-29,32,111,3.5,1,LAC_MIA_2020-11-15
IND,2020-11-12,32,Thu,9,10,@,TEN,W 34-17,32,157,4.9,1,IND_TEN_2020-11-12
DEN,2020-11-08,32,Sun,8,9,@,ATL,L 27-34,32,92,2.9,1,DEN_ATL_2020-11-08
TEN,2020-11-01,32,Sun,7,8,@,CIN,L 20-31,32,118,3.7,2,TEN_CIN_2020-11-01
JAX,2020-10-25,32,Sun,7,7,@,LAC,L 29-39,32,135,4.2,2,JAX_LAC_2020-10-25
IND,2020-10-18,32,Sun,6,6,,CIN,W 31-27,32,98,3.1,3,IND_CIN_2020-10-18
NOR,2020-10-12,32,Mon,5,5,,LAC,W 30-27 (OT),32,111,3.5,0,NOR_LAC_2020-10-12
PHI,2020-10-11,32,Sun,5,5,@,PIT,L 29-38,32,136,4.3,2,PHI_PIT_2020-10-11
WAS,2020-10-04,32,Sun,4,4,,BAL,L 17-31,32,144,4.5,2,WAS_BAL_2020-10-04
NYJ,2020-10-01,32,Thu,4,4,,DEN,L 28-37,32,117,3.7,2,NYJ_DEN_2020-10-01
BUF,2020-09-27,32,Sun,3,3,,LAR,W 35-32,32,167,5.2,2,BUF_LAR_2020-09-27
WAS,2020-09-20,32,Sun,2,2,@,ARI,L 15-30,32,160,5.0,2,WAS_ARI_2020-09-20
NYG,2020-09-20,32,Sun,2,2,@,CHI,L 13-17,32,135,4.2,0,NYG_CHI_2020-09-20
NYJ,2020-09-13,32,Sun,1,1,@,BUF,L 17-27,32,98,3.1,1,NYJ_BUF_2020-09-13
MIN,2020-09-13,32,Sun,1,1,,GNB,L 34-43,32,158,4.9,1,MIN_GNB_2020-09-13
MIN,2019-12-23,32,Mon,15,16,,GNB,L 10-23,32,184,5.8,2,MIN_GNB_2019-12-23
CAR,2019-12-22,32,Sun,15,16,@,IND,L 6-38,32,218,6.8,3,CAR_IND_2019-12-22
PIT,2019-12-22,32,Sun,15,16,@,NYJ,L 10-16,32,85,2.7,0,PIT_NYJ_2019-12-22
NWE,2019-12-15,32,Sun,14,15,@,CIN,W 34-13,32,164,5.1,0,NWE_CIN_2019-12-15
CIN,2019-12-15,32,Sun,14,15,,NWE,L 13-34,32,175,5.5,1,CIN_NWE_2019-12-15
JAX,2019-12-15,32,Sun,14,15,@,OAK,W 20-16,32,128,4.0,0,JAX_OAK_2019-12-15
NYG,2019-12-09,32,Mon,13,14,@,PHI,L 17-23 (OT),32,118,3.7,1,NYG_PHI_2019-12-09
CAR,2019-12-08,32,Sun,13,14,@,ATL,L 20-40,32,159,5.0,2,CAR_ATL_2019-12-08
MIA,2019-12-08,32,Sun,13,14,@,NYJ,L 21-22,32,112,3.5,0,MIA_NYJ_2019-12-08
OAK,2019-12-08,32,Sun,13,14,,TEN,L 21-42,32,161,5.0,2,OAK_TEN_2019-12-08
CLE,2019-12-01,32,Sun,12,13,@,PIT,L 13-20,32,124,3.9,1,CLE_PIT_2019-12-01
MIA,2019-11-24,32,Sun,11,12,@,CLE,L 24-41,32,147,4.6,2,MIA_CLE_2019-11-24
WAS,2019-11-24,32,Sun,11,12,,DET,W 19-16,32,175,5.5,0,WAS_DET_2019-11-24
OAK,2019-10-27,32,Sun,7,8,@,HOU,L 24-27,32,130,4.1,0,OAK_HOU_2019-10-27
LAC,2019-10-06,32,Sun,5,5,,DEN,L 13-20,32,191,6.0,1,LAC_DEN_2019-10-06
IND,2019-09-29,32,Sun,4,4,,OAK,L 24-31,32,188,5.9,1,IND_OAK_2019-09-29
KAN,2019-09-22,32,Sun,3,3,,BAL,W 33-28,32,203,6.3,4,KAN_BAL_2019-09-22
NYG,2019-09-22,32,Sun,3,3,@,TAM,W 32-31,32,144,4.5,0,NYG_TAM_2019-09-22
ARI,2019-09-08,32,Sun,1,1,,DET,T 27-27 (OT),32,116,3.6,0,ARI_DET_2019-09-08
CAR,2019-09-08,32,Sun,1,1,,LAR,L 27-30,32,166,5.2,2,CAR_LAR_2019-09-08
TAM,2019-09-08,32,Sun,1,1,,SFO,L 17-31,32,98,3.1,0,TAM_SFO_2019-09-08
MIA,2018-12-23,32,Sun,15,16,,JAX,L 7-17,32,126,3.9,1,MIA_JAX_2018-12-23
CAR,2018-12-17,32,Mon,14,15,,NOR,L 9-12,32,155,4.8,1,CAR_NOR_2018-12-17
LAC,2018-12-09,32,Sun,13,14,,CIN,W 26-21,32,144,4.5,1,LAC_CIN_2018-12-09
JAX,2018-12-06,32,Thu,13,14,@,TEN,L 9-30,32,264,8.3,4,JAX_TEN_2018-12-06
NYG,2018-12-02,32,Sun,12,13,,CHI,W 30-27 (OT),32,118,3.7,1,NYG_CHI_2018-12-02
TAM,2018-11-04,32,Sun,8,9,@,CAR,L 28-42,32,179,5.6,4,TAM_CAR_2018-11-04
LAC,2018-11-04,32,Sun,8,9,@,SEA,W 25-17,32,154,4.8,0,LAC_SEA_2018-11-04
OAK,2018-11-01,32,Thu,8,9,@,SFO,L 3-34,32,143,4.5,1,OAK_SFO_2018-11-01
CLE,2018-10-21,32,Sun,7,7,@,TAM,L 23-26 (OT),32,114,3.6,3,CLE_TAM_2018-10-21
DAL,2018-10-21,32,Sun,7,7,@,WAS,L 17-20,32,130,4.1,0,DAL_WAS_2018-10-21
ARI,2018-10-14,32,Sun,6,6,@,MIN,L 17-27,32,195,6.1,2,ARI_MIN_2018-10-14
WAS,2018-10-08,32,Mon,4,5,@,NOR,L 19-43,32,98,3.1,3,WAS_NOR_2018-10-08
LAR,2018-10-07,32,Sun,5,5,@,SEA,W 33-31,32,190,5.9,1,LAR_SEA_2018-10-07
BUF,2018-09-30,32,Sun,4,4,@,GNB,L 0-22,32,141,4.4,1,BUF_GNB_2018-09-30
NYG,2018-09-30,32,Sun,4,4,,NOR,L 18-33,32,170,5.3,3,NYG_NOR_2018-09-30
MIA,2018-09-23,32,Sun,3,3,,OAK,W 28-20,32,109,3.4,1,MIA_OAK_2018-09-23
CAR,2018-09-16,32,Sun,2,2,@,ATL,L 24-31,32,170,5.3,2,CAR_ATL_2018-09-16
DAL,2018-09-09,32,Sun,1,1,@,CAR,L 8-16,32,147,4.6,2,DAL_CAR_2018-09-09
SEA,2018-09-09,32,Sun,1,1,@,DEN,L 24-27,32,146,4.6,0,SEA_DEN_2018-09-09
SFO,2018-09-09,32,Sun,1,1,@,MIN,L 16-24,32,116,3.6,0,SFO_MIN_2018-09-09
MIA,2017-12-31,32,Sun,16,17,,BUF,L 16-22,32,126,3.9,1,MIA_BUF_2017-12-31
PHI,2017-12-31,32,Sun,16,17,,DAL,L 0-6,32,129,4.0,0,PHI_DAL_2017-12-31
IND,2017-12-23,32,Sat,15,16,@,BAL,L 16-23,32,103,3.2,0,IND_BAL_2017-12-23
LAC,2017-12-16,32,Sat,14,15,@,KAN,L 13-30,32,174,5.4,1,LAC_KAN_2017-12-16
LAR,2017-12-10,32,Sun,13,14,,PHI,L 35-43,32,139,4.3,0,LAR_PHI_2017-12-10
KAN,2017-11-19,32,Sun,10,11,@,NYG,L 9-12 (OT),32,112,3.5,1,KAN_NYG_2017-11-19
TAM,2017-11-05,32,Sun,8,9,@,NOR,L 10-30,32,151,4.7,1,TAM_NOR_2017-11-05
NYJ,2017-10-29,32,Sun,8,8,,ATL,L 20-25,32,140,4.4,0,NYJ_ATL_2017-10-29
LAC,2017-10-29,32,Sun,8,8,@,NWE,L 13-21,32,97,3.0,0,LAC_NWE_2017-10-29
CLE,2017-10-22,32,Sun,7,7,,TEN,L 9-12 (OT),32,80,2.5,0,CLE_TEN_2017-10-22
GNB,2017-10-15,32,Sun,6,6,@,MIN,L 10-23,32,112,3.5,1,GNB_MIN_2017-10-15
DEN,2017-10-15,32,Sun,5,6,,NYG,L 10-23,32,148,4.6,0,DEN_NYG_2017-10-15
JAX,2017-10-15,32,Sun,6,6,,LAR,L 17-27,32,142,4.4,0,JAX_LAR_2017-10-15
OAK,2017-10-01,32,Sun,4,4,@,DEN,L 10-16,32,143,4.5,0,OAK_DEN_2017-10-01
JAX,2017-10-01,32,Sun,4,4,@,NYJ,L 20-23 (OT),32,256,8.0,2,JAX_NYJ_2017-10-01
NWE,2017-09-24,32,Sun,3,3,,HOU,W 36-33,32,125,3.9,0,NWE_HOU_2017-09-24
SFO,2017-09-21,32,Thu,3,3,,LAR,L 39-41,32,126,3.9,2,SFO_LAR_2017-09-21
NYG,2017-09-18,32,Mon,2,2,,DET,L 10-24,32,138,4.3,0,NYG_DET_2017-09-18
LAC,2017-09-17,32,Sun,2,2,,MIA,L 17-19,32,111,3.5,0,LAC_MIA_2017-09-17
MIN,2017-09-17,32,Sun,2,2,@,PIT,L 9-26,32,102,3.2,0,MIN_PIT_2017-09-17
CLE,2017-09-17,32,Sun,2,2,@,BAL,L 10-24,32,136,4.3,1,CLE_BAL_2017-09-17
LAR,2023-01-01,31,Sun,16,17,@,LAC,L 10-31,31,192,6.2,2,LAR_LAC_2023-01-01
CHI,2022-12-24,31,Sat,15,16,,BUF,L 13-35,31,254,8.2,3,CHI_BUF_2022-12-24
PHI,2022-12-24,31,Sat,15,16,@,DAL,L 34-40,31,115,3.7,1,PHI_DAL_2022-12-24
HOU,2022-12-24,31,Sat,15,16,@,TEN,W 19-14,31,184,5.9,2,HOU_TEN_2022-12-24
KAN,2022-12-24,31,Sat,15,16,,SEA,W 24-10,31,133,4.3,0,KAN_SEA_2022-12-24
HOU,2022-12-11,31,Sun,13,14,@,DAL,L 23-27,31,127,4.1,2,HOU_DAL_2022-12-11
NYG,2022-12-11,31,Sun,13,14,,PHI,L 22-48,31,253,8.2,4,NYG_PHI_2022-12-11
JAX,2022-12-04,31,Sun,12,13,@,DET,L 14-40,31,100,3.2,2,JAX_DET_2022-12-04
GNB,2022-11-13,31,Sun,10,10,,DAL,W 31-28 (OT),31,159,5.1,1,GNB_DAL_2022-11-13
CHI,2022-11-13,31,Sun,10,10,,DET,L 30-31,31,95,3.1,2,CHI_DET_2022-11-13
GNB,2022-11-06,31,Sun,9,9,@,DET,L 9-15,31,117,3.8,0,GNB_DET_2022-11-06
HOU,2022-11-03,31,Thu,8,9,,PHI,L 17-29,31,143,4.6,2,HOU_PHI_2022-11-03
BUF,2022-10-30,31,Sun,7,8,,GNB,W 27-17,31,208,6.7,0,BUF_GNB_2022-10-30
KAN,2022-10-16,31,Sun,6,6,,BUF,L 20-24,31,125,4.0,0,KAN_BUF_2022-10-16
BAL,2022-10-16,31,Sun,6,6,@,NYG,L 20-24,31,83,2.7,1,BAL_NYG_2022-10-16
TAM,2022-10-09,31,Sun,5,5,,ATL,W 21-15,31,151,4.9,1,TAM_ATL_2022-10-09
LAC,2022-10-09,31,Sun,5,5,@,CLE,W 30-28,31,213,6.9,3,LAC_CLE_2022-10-09
JAX,2022-10-09,31,Sun,5,5,,HOU,L 6-13,31,116,3.7,1,JAX_HOU_2022-10-09
CHI,2022-10-09,31,Sun,5,5,@,MIN,L 22-29,31,117,3.8,3,CHI_MIN_2022-10-09
GNB,2022-10-09,31,Sun,5,5,,NYG,L 22-27,31,125,4.0,3,GNB_NYG_2022-10-09
NYJ,2022-10-02,31,Sun,4,4,@,PIT,W 24-20,31,119,3.8,2,NYJ_PIT_2022-10-02
SEA,2022-09-25,31,Sun,3,3,,ATL,L 23-27,31,179,5.8,2,SEA_ATL_2022-09-25
NOR,2022-09-25,31,Sun,3,3,@,CAR,L 14-22,31,145,4.7,0,NOR_CAR_2022-09-25
HOU,2022-09-18,31,Sun,2,2,@,DEN,L 9-16,31,149,4.8,0,HOU_DEN_2022-09-18
PIT,2022-09-18,31,Sun,2,2,,NWE,L 14-17,31,124,4.0,1,PIT_NWE_2022-09-18
LVR,2022-09-11,31,Sun,1,1,@,LAC,L 19-24,31,76,2.5,0,LVR_LAC_2022-09-11
IND,2022-01-09,31,Sun,17,18,@,JAX,L 11-26,31,101,3.3,0,IND_JAX_2022-01-09
LAR,2022-01-09,31,Sun,17,18,,SFO,L 24-27 (OT),31,135,4.4,1,LAR_SFO_2022-01-09
CLE,2022-01-03,31,Mon,16,17,@,PIT,L 14-26,31,190,6.1,1,CLE_PIT_2022-01-03
NYJ,2021-12-26,31,Sun,15,16,,JAX,W 26-21,31,132,4.3,1,NYJ_JAX_2021-12-26
CAR,2021-12-26,31,Sun,15,16,,TAM,L 6-32,31,159,5.1,2,CAR_TAM_2021-12-26
TAM,2021-12-19,31,Sun,14,15,,NOR,L 0-9,31,61,2.0,0,TAM_NOR_2021-12-19
KAN,2021-12-05,31,Sun,12,13,,DEN,W 22-9,31,154,5.0,0,KAN_DEN_2021-12-05
DET,2021-11-14,31,Sun,9,10,@,PIT,T 16-16 (OT),31,145,4.7,0,DET_PIT_2021-11-14
LVR,2021-11-07,31,Sun,8,9,@,NYG,L 16-23,31,149,4.8,0,LVR_NYG_2021-11-07
IND,2021-10-31,31,Sun,8,8,,TEN,L 31-34 (OT),31,93,3.0,0,IND_TEN_2021-10-31
HOU,2021-10-31,31,Sun,8,8,,LAR,L 22-38,31,165,5.3,2,HOU_LAR_2021-10-31
SEA,2021-10-25,31,Mon,7,7,,NOR,L 10-13,31,94,3.0,0,SEA_NOR_2021-10-25
CAR,2021-10-24,31,Sun,7,7,@,NYG,L 3-25,31,103,3.3,1,CAR_NYG_2021-10-24
CHI,2021-10-24,31,Sun,7,7,@,TAM,L 3-38,31,182,5.9,1,CHI_TAM_2021-10-24
NWE,2021-10-17,31,Sun,6,6,,DAL,L 29-35 (OT),31,122,3.9,0,NWE_DAL_2021-10-17
