,game_id,season,week,home_team,away_team,home_score,score_diff,away_score,home_team_win,epa_rushing_offense_home,epa_shifted_rushing_offense_home,ewma_rushing_offense_home,ewma_dynamic_window_rushing_offense_home,epa_passing_offense_home,epa_shifted_passing_offense_home,ewma_passing_offense_home,ewma_dynamic_window_passing_offense_home,epa_rushing_defense_home,epa_shifted_rushing_defense_home,ewma_rushing_defense_home,ewma_dynamic_window_rushing_defense_home,epa_passing_defense_home,epa_shifted_passing_defense_home,ewma_passing_defense_home,ewma_dynamic_window_passing_defense_home,epa_rushing_offense_away,epa_shifted_rushing_offense_away,ewma_rushing_offense_away,ewma_dynamic_window_rushing_offense_away,epa_passing_offense_away,epa_shifted_passing_offense_away,ewma_passing_offense_away,ewma_dynamic_window_passing_offense_away,epa_rushing_defense_away,epa_shifted_rushing_defense_away,ewma_rushing_defense_away,ewma_dynamic_window_rushing_defense_away,epa_passing_defense_away,epa_shifted_passing_defense_away,ewma_passing_defense_away,ewma_dynamic_window_passing_defense_away,rest differential,windy,div_game,spread_line,total_line,game_type,location,home_game
17,2002_02_BUF_MIN,2002,2,MIN,BUF,39,-6,45,0,0.14545499,0.03333181,0.03333181142807,0.03333181142807,-0.10049864,0.2955287,0.2955287098884582,0.2955287098884582,-0.5764433,-0.2595204,-0.259520411491394,-0.259520411491394,0.39574957,0.36342156,0.3634215593338012,0.3634215593338012,-0.5764433,-0.04815078,-0.0481507815420627,-0.0481507815420627,0.39574957,0.030539911,0.0305399112403392,0.0305399112403392,0.14545499,-0.6158968,-0.6158968210220337,-0.6158968210220337,-0.10049864,0.18092233,0.1809223294258117,0.1809223294258117,0,0,0,3.5,49.0,REG,Home,1
18,2002_02_CHI_ATL,2002,2,ATL,CHI,13,-1,14,0,-0.4193795,0.4307463,0.4307462871074676,0.4307462871074676,-0.05998539,0.1952207,0.1952206939458847,0.1952206939458847,-0.26491913,0.08309546,0.0830954611301422,0.0830954611301422,-0.029121943,0.31499922,0.3149992227554321,0.3149992227554321,-0.26491913,-0.2595204,-0.259520411491394,-0.259520411491394,-0.029121943,0.36342156,0.3634215593338012,0.3634215593338012,-0.4193795,0.03333181,0.03333181142807,0.03333181142807,-0.05998539,0.2955287,0.2955287098884582,0.2955287098884582,0,0,0,2.5,45.0,REG,Home,1
19,2002_02_CIN_CLE,2002,2,CLE,CIN,20,13,7,1,-0.21587531,-0.08639985,-0.0863998532295227,-0.0863998532295227,0.1387887,0.31708384,0.3170838356018066,0.3170838356018066,0.25498238,0.33976063,0.3397606313228607,0.3397606313228607,-0.28021622,0.39452878,0.3945287764072418,0.3945287764072418,0.25498238,-0.20674974,-0.2067497372627258,-0.2067497372627258,-0.28021622,-0.2554926,-0.2554925978183746,-0.2554925978183746,-0.21587531,0.32119364,0.3211936354637146,0.3211936354637146,0.1387887,0.47520965,0.4752096533775329,0.4752096533775329,0,0,1,3.5,39.0,REG,Home,1
20,2002_02_DEN_SF,2002,2,SF,DEN,14,-10,24,0,-0.093794644,0.011346357,0.0113463569432497,0.0113463569432497,0.12590022,0.07782103,0.0778210312128067,0.0778210312128067,0.03212539,-0.4614335,-0.4614335000514984,-0.4614335000514984,0.29152942,0.13449647,0.1344964653253555,0.1344964653253555,0.03212539,-0.12411937,-0.1241193711757659,-0.1241193711757659,0.29152942,-0.12298782,-0.1229878216981887,-0.1229878216981887,-0.093794644,-0.2662439,-0.2662439048290252,-0.2662439048290252,0.12590022,0.07579965,0.0757996514439582,0.0757996514439582,3,0,0,3.5,44.0,REG,Home,1
21,2002_02_DET_CAR,2002,2,CAR,DET,31,24,7,1,-0.2948316,-0.19691637,-0.1969163715839386,-0.1969163715839386,0.32451224,0.042333983,0.0423339828848838,0.0423339828848838,0.016605502,-0.015025197,-0.01502519659698,-0.01502519659698,-0.6181904,-0.027602116,-0.0276021156460046,-0.0276021156460046,0.016605502,0.02810434,0.0281043406575918,0.0281043406575918,-0.6181904,-0.10510124,-0.1051012426614761,-0.1051012426614761,-0.2948316,0.013655976,0.0136559763923287,0.0136559763923287,0.32451224,0.7116496,0.7116495966911316,0.7116495966911316,0,0,0,3.0,35.5,REG,Home,1
22,2002_02_GB_NO,2002,2,NO,GB,35,15,20,1,0.07947146,-0.06610035,-0.0661003515124321,-0.0661003515124321,0.06098486,0.14377584,0.1437758356332779,0.1437758356332779,-0.29865366,-0.072530344,-0.0725303441286087,-0.0725303441286087,-0.1520879,-0.15892366,-0.1589236557483673,-0.1589236557483673,-0.29865366,0.08309546,0.0830954611301422,0.0830954611301422,-0.1520879,0.31499922,0.3149992227554321,0.3149992227554321,0.07947146,0.4307463,0.4307462871074676,0.4307462871074676,0.06098486,0.1952207,0.1952206939458847,0.1952206939458847,0,0,0,-2.5,45.5,REG,Home,1
23,2002_02_HOU_SD,2002,2,LAC,HOU,24,21,3,1,-0.08705162,0.32119364,0.3211936354637146,0.3211936354637146,-0.28879198,0.47520965,0.4752096533775329,0.4752096533775329,-0.19797872,-0.20674974,-0.2067497372627258,-0.2067497372627258,-0.8497978,-0.2554926,-0.2554925978183746,-0.2554925978183746,-0.19797872,-0.3371453,-0.3371452987194061,-0.3371452987194061,-0.8497978,-0.33030814,-0.3303081393241882,-0.3303081393241882,-0.08705162,0.080500655,0.0805006548762321,0.0805006548762321,-0.28879198,-0.38774538,-0.3877453804016113,-0.3877453804016113,0,0,0,13.5,34.0,REG,Home,1
24,2002_02_JAX_KC,2002,2,KC,JAX,16,-7,23,0,0.022395754,0.33976063,0.3397606313228607,0.3397606313228607,-0.045325372,0.39452878,0.3945287764072418,0.3945287764072418,-0.13841578,-0.08639985,-0.0863998532295227,-0.0863998532295227,0.5822611,0.31708384,0.3170838356018066,0.3170838356018066,-0.13841578,0.06797161,0.0679716095328331,0.0679716095328331,0.5822611,0.091919735,0.0919197350740432,0.0919197350740432,0.022395754,0.035516325,0.0355163253843784,0.0355163253843784,-0.045325372,0.13910438,0.1391043812036514,0.1391043812036514,0,0,0,3.5,46.0,REG,Home,1
25,2002_02_MIA_IND,2002,2,IND,MIA,13,-8,21,0,0.014853864,0.035516325,0.0355163253843784,0.0355163253843784,-0.19971053,0.13910438,0.1391043812036514,0.1391043812036514,0.07306595,0.06797161,0.0679716095328331,0.0679716095328331,0.40419105,0.091919735,0.0919197350740432,0.0919197350740432,0.07306595,0.013655976,0.0136559763923287,0.0136559763923287,0.40419105,0.7116496,0.7116495966911316,0.7116495966911316,0.014853864,0.02810434,0.0281043406575918,0.0281043406575918,-0.19971053,-0.10510124,-0.1051012426614761,-0.1051012426614761,0,0,0,0.0,47.0,REG,Home,1
26,2002_02_NE_NYJ,2002,2,NYJ,NE,7,-37,44,0,0.07779822,-0.6158968,-0.6158968210220337,-0.6158968210220337,-0.7732305,0.18092233,0.1809223294258117,0.1809223294258117,0.18289217,-0.04815078,-0.0481507815420627,-0.0481507815420627,0.1890786,0.030539911,0.0305399112403392,0.0305399112403392,0.18289217,-0.4788569,-0.4788568913936615,-0.4788568913936615,0.1890786,0.16682535,0.1668253540992736,0.1668253540992736,0.07779822,-0.052447725,-0.0524477250874042,-0.0524477250874042,-0.7732305,-0.24038695,-0.2403869479894638,-0.2403869479894638,1,0,1,1.0,41.0,REG,Home,1
27,2002_02_NYG_STL,2002,2,LA,NYG,21,-5,26,0,-0.21507816,-0.2662439,-0.2662439048290252,-0.2662439048290252,-0.0001589179,0.07579965,0.0757996514439582,0.0757996514439582,-0.28554437,-0.12411937,-0.1241193711757659,-0.1241193711757659,0.59038883,-0.12298782,-0.1229878216981887,-0.1229878216981887,-0.28554437,-0.4614335,-0.4614335000514984,-0.4614335000514984,0.59038883,0.13449647,0.1344964653253555,0.1344964653253555,-0.21507816,0.011346357,0.0113463569432497,0.0113463569432497,-0.0001589179,0.07782103,0.0778210312128067,0.0778210312128067,-3,0,0,12.0,46.0,REG,Home,1
28,2002_02_OAK_PIT,2002,2,PIT,LV,17,-13,30,0,-0.5567887,-0.052447725,-0.0524477250874042,-0.0524477250874042,-0.20488274,-0.24038695,-0.2403869479894638,-0.2403869479894638,0.27270797,-0.4788569,-0.4788568913936615,-0.4788568913936615,-0.0071285046,0.16682535,0.1668253540992736,0.1668253540992736,0.27270797,-0.040140867,-0.0401408672332763,-0.0401408672332763,-0.0071285046,0.2465493,0.2465492933988571,0.2465492933988571,-0.5567887,-0.23142262,-0.2314226180315017,-0.2314226180315017,-0.20488274,0.13627283,0.1362728327512741,0.1362728327512741,-1,0,0,4.0,39.5,REG,Home,1
29,2002_02_PHI_WAS,2002,2,WAS,PHI,7,-30,37,0,-0.023729434,0.11214709,0.1121470928192138,0.1121470928192138,-0.4445561,0.17753264,0.1775326430797577,0.1775326430797577,0.21692716,0.08345916,0.083459161221981,0.083459161221981,0.2068325,-0.01434216,-0.0143421599641442,-0.0143421599641442,0.21692716,0.03790997,0.0379099696874618,0.0379099696874618,0.2068325,-0.097930156,-0.0979301556944847,-0.0979301556944847,-0.023729434,-0.23855555,-0.2385555505752563,-0.2385555505752563,-0.4445561,0.3017683,0.3017683029174804,0.3017683029174804,0,0,1,-3.0,44.0,REG,Home,1
30,2002_02_TB_BAL,2002,2,BAL,TB,0,-25,25,0,-0.3188791,-0.015025197,-0.01502519659698,-0.01502519659698,-0.48387268,-0.027602116,-0.0276021156460046,-0.0276021156460046,-0.27692443,-0.19691637,-0.1969163715839386,-0.1969163715839386,0.257312,0.042333983,0.0423339828848838,0.0423339828848838,-0.27692443,-0.072530344,-0.0725303441286087,-0.0725303441286087,0.257312,-0.15892366,-0.1589236557483673,-0.1589236557483673,-0.3188791,-0.06610035,-0.0661003515124321,-0.0661003515124321,-0.48387268,0.14377584,0.1437758356332779,0.1437758356332779,0,0,0,-4.5,32.0,REG,Home,1
31,2002_02_TEN_DAL,2002,2,DAL,TEN,21,8,13,1,-0.31966624,0.080500655,0.0805006548762321,0.0805006548762321,0.43946847,-0.38774538,-0.3877453804016113,-0.3877453804016113,0.0070963996,-0.3371453,-0.3371452987194061,-0.3371452987194061,-0.13785723,-0.33030814,-0.3303081393241882,-0.3303081393241882,0.0070963996,-0.23855555,-0.2385555505752563,-0.2385555505752563,-0.13785723,0.3017683,0.3017683029174804,0.3017683029174804,-0.31966624,0.03790997,0.0379099696874618,0.0379099696874618,0.43946847,-0.097930156,-0.0979301556944847,-0.0979301556944847,0,0,0,-3.5,37.5,REG,Home,1
32,2002_03_BUF_DEN,2002,3,DEN,BUF,28,5,23,1,-0.010663724,0.03212539,-0.0381847519427537,-0.0381847519427537,0.07118555,0.29152942,0.1049966596066951,0.1049966596066951,-0.62539583,-0.093794644,-0.1713968113064766,-0.1713968113064766,0.20905623,0.12590022,0.1033549662679433,0.1033549662679433,-0.62539583,-0.5764433,-0.3387116746976971,-0.3387116746976971,0.20905623,0.39574957,0.2314052229747176,0.2314052229747176,-0.010663724,0.14545499,-0.1971533261239528,-0.1971533261239528,0.07118555,-0.10049864,0.026140796765685,0.026140796765685,0,0,0,7.5,47.0,REG,Home,1
33,2002_03_CAR_MIN,2002,3,MIN,CAR,14,-7,21,0,-0.19113567,0.14545499,0.0949995584785938,0.0949995584785938,-0.31922707,-0.10049864,0.077713667973876,0.077713667973876,0.096253484,-0.5764433,-0.4338280081748962,-0.4338280081748962,-0.037432563,0.39574957,0.3812019646167754,0.3812019646167754,0.096253484,-0.2948316,-0.2507697492837906,-0.2507697492837906,-0.037432563,0.32451224,0.1975320260971784,0.1975320260971784,-0.19113567,0.016605502,0.0023716876283288,0.0023716876283288,-0.31922707,-0.6181904,-0.352425676304847,-0.352425676304847,0,0,0,6.5,44.5,REG,Home,1
34,2002_03_CIN_ATL,2002,3,ATL,CIN,30,27,3,1,0.18111578,-0.4193795,-0.036822897195816,-0.036822897195816,-0.0036261347,-0.05998539,0.0548573467880487,0.0548573467880487,0.00565456,-0.26491913,-0.1083125650882721,-0.1083125650882721,-0.5025593,-0.029121943,0.1257325816899538,0.1257325816899538,0.00565456,0.25498238,0.0472029283642768,0.0472029283642768,-0.5025593,-0.28021622,-0.2690905883908272,-0.2690905883908272,0.18111578,-0.21587531,0.02580571398139,0.02580571398139,-0.0036261347,0.1387887,0.2901781290769576,0.2901781290769576,0,0,0,7.0,42.5,REG,Home,1
