Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
KAN,2020-09-20,44,Sun,2,2,@,LAC,W 23-20 (OT),44,183,4.2,1,2020,2020_02_KAN_LAC
PIT,2019-12-29,44,Sun,16,17,@,BAL,L 10-28,44,223,5.1,1,2019,2019_17_PIT_BAL
CIN,2019-10-20,44,Sun,7,7,,JAX,L 17-27,44,216,4.9,0,2019,2019_07_CIN_JAX
WAS,2017-12-31,44,Sun,16,17,@,NYG,L 10-18,44,260,5.9,1,2017,2017_17_WAS_NYG
CLE,2017-11-19,44,Sun,10,11,,JAX,L 7-19,44,139,3.2,0,2017,2017_11_CLE_JAX
DET,2022-12-24,43,Sat,15,16,@,CAR,L 23-37,43,320,7.4,3,2022,2022_16_DET_CAR
MIN,2022-12-17,43,Sat,14,15,,IND,W 39-36 (OT),43,171,4.0,0,2022,2022_15_MIN_IND
NOR,2022-11-13,43,Sun,10,10,@,PIT,L 10-20,43,217,5.0,2,2022,2022_10_NOR_PIT
DAL,2022-10-30,43,Sun,8,8,,CHI,W 49-29,43,240,5.6,2,2022,2022_08_DAL_CHI
NWE,2022-01-09,43,Sun,17,18,@,MIA,L 24-33,43,195,4.5,1,2021,2021_18_NWE_MIA
SEA,2021-11-29,43,Mon,11,12,@,WAS,L 15-17,43,152,3.5,1,2021,2021_12_SEA_WAS
CLE,2021-11-28,43,Sun,12,12,@,BAL,L 10-16,43,148,3.4,0,2021,2021_12_CLE_BAL
NYG,2020-12-13,43,Sun,13,14,,ARI,L 7-26,43,159,3.7,1,2020,2020_14_NYG_ARI
LAC,2020-12-06,43,Sun,12,13,,NWE,L 0-45,43,165,3.8,2,2020,2020_13_LAC_NWE
MIN,2019-12-02,43,Mon,12,13,@,SEA,L 30-37,43,218,5.1,2,2019,2019_13_MIN_SEA
CIN,2019-10-13,43,Sun,6,6,@,BAL,L 17-23,43,269,6.3,2,2019,2019_06_CIN_BAL
LAR,2019-10-03,43,Thu,5,5,@,SEA,L 29-30,43,167,3.9,0,2019,2019_05_LAR_SEA
KAN,2018-12-23,43,Sun,15,16,@,SEA,L 31-38,43,210,4.9,2,2018,2018_16_KAN_SEA
OAK,2018-11-25,43,Sun,11,12,@,BAL,L 17-34,43,242,5.6,1,2018,2018_12_OAK_BAL
PIT,2018-11-18,43,Sun,10,11,@,JAX,W 20-16,43,179,4.2,1,2018,2018_11_PIT_JAX
TEN,2018-10-07,43,Sun,5,5,@,BUF,L 12-13,43,144,3.3,1,2018,2018_05_TEN_BUF
SEA,2017-12-17,43,Sun,14,15,,LAR,L 7-42,43,244,5.7,3,2017,2017_15_SEA_LAR
SFO,2017-11-05,43,Sun,9,9,,ARI,L 10-20,43,167,3.9,0,2017,2017_09_SFO_ARI
CIN,2017-10-22,43,Sun,6,7,@,PIT,L 14-29,43,152,3.5,0,2017,2017_07_CIN_PIT
SFO,2017-10-22,43,Sun,7,7,,DAL,L 10-40,43,265,6.2,3,2017,2017_07_SFO_DAL
PIT,2022-12-11,42,Sun,13,14,,BAL,L 14-16,42,215,5.1,1,2022,2022_14_PIT_BAL
PIT,2021-12-19,42,Sun,14,15,,TEN,W 19-13,42,201,4.8,1,2021,2021_15_PIT_TEN
NYJ,2021-12-19,42,Sun,14,15,@,MIA,L 24-31,42,183,4.4,2,2021,2021_15_NYJ_MIA
JAX,2021-11-21,42,Sun,10,11,,SFO,L 10-30,42,171,4.1,1,2021,2021_11_JAX_SFO
CHI,2021-09-26,42,Sun,3,3,@,CLE,L 6-26,42,215,5.1,1,2021,2021_03_CHI_CLE
MIN,2020-12-20,42,Sun,14,15,,CHI,L 27-33,42,199,4.7,2,2020,2020_15_MIN_CHI
NWE,2020-12-20,42,Sun,14,15,@,MIA,L 12-22,42,250,6.0,3,2020,2020_15_NWE_MIA
CIN,2020-11-29,42,Sun,11,12,,NYG,L 17-19,42,142,3.4,1,2020,2020_12_CIN_NYG
DET,2020-10-04,42,Sun,4,4,,NOR,L 29-35,42,164,3.9,3,2020,2020_04_DET_NOR
MIA,2020-09-13,42,Sun,1,1,@,NWE,L 11-21,42,217,5.2,3,2020,2020_01_MIA_NWE
CIN,2019-09-15,42,Sun,2,2,,SFO,L 17-41,42,259,6.2,2,2019,2019_02_CIN_SFO
SFO,2018-12-30,42,Sun,16,17,@,LAR,L 32-48,42,155,3.7,1,2018,2018_17_SFO_LAR
MIN,2018-12-10,42,Mon,13,14,@,SEA,L 7-21,42,214,5.1,1,2018,2018_14_MIN_SEA
DET,2018-10-28,42,Sun,7,8,,SEA,L 14-28,42,176,4.2,1,2018,2018_08_DET_SEA
JAX,2018-10-14,42,Sun,6,6,@,DAL,L 7-40,42,206,4.9,2,2018,2018_06_JAX_DAL
ARI,2018-09-09,42,Sun,1,1,,WAS,L 6-24,42,182,4.3,1,2018,2018_01_ARI_WAS
WAS,2017-11-30,42,Thu,12,13,@,DAL,L 14-38,42,182,4.3,2,2017,2017_13_WAS_DAL
BAL,2017-10-01,42,Sun,4,4,,PIT,L 9-26,42,173,4.1,2,2017,2017_04_BAL_PIT
LAC,2017-10-01,42,Sun,4,4,,PHI,L 24-26,42,214,5.1,1,2017,2017_04_LAC_PHI
TEN,2017-10-01,42,Sun,4,4,@,HOU,L 14-57,42,173,4.1,2,2017,2017_04_TEN_HOU
NYJ,2017-09-10,42,Sun,1,1,@,BUF,L 12-21,42,190,4.5,1,2017,2017_01_NYJ_BUF
CIN,2017-09-10,42,Sun,1,1,,BAL,L 0-20,42,157,3.7,1,2017,2017_01_CIN_BAL
NOR,2023-01-08,41,Sun,17,18,,CAR,L 7-10,41,171,4.2,0,2022,2022_18_NOR_CAR
DAL,2023-01-08,41,Sun,17,18,@,WAS,L 6-26,41,151,3.7,1,2022,2022_18_DAL_WAS
BAL,2023-01-01,41,Sun,16,17,,PIT,L 13-16,41,198,4.8,0,2022,2022_17_BAL_PIT
JAX,2022-12-18,41,Sun,14,15,,DAL,W 40-34 (OT),41,154,3.8,1,2022,2022_15_JAX_DAL
ATL,2022-11-20,41,Sun,11,11,,CHI,W 27-24,41,160,3.9,2,2022,2022_11_ATL_CHI
LAC,2022-11-13,41,Sun,9,10,@,SFO,L 16-22,41,157,3.8,2,2022,2022_10_LAC_SFO
CIN,2022-01-09,41,Sun,17,18,@,CLE,L 16-21,41,205,5.0,1,2021,2021_18_CIN_CLE
