Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,Season,game_id
CLE,2019-10-13,4,Sun,6,6,,SEA,L 28-32,4,3,2,2,2,0,2019,2019_06_CLE_SEA
KAN,2019-10-13,4,Sun,6,6,,HOU,L 24-31,4,3,2,2,1,0,2019,2019_06_KAN_HOU
ATL,2019-10-13,4,Sun,6,6,@,ARI,L 33-34,4,4,4,2,2,0,2019,2019_06_ATL_ARI
SEA,2019-10-13,4,Sun,6,6,@,CLE,W 32-28,4,3,2,0,0,0,2019,2019_06_SEA_CLE
TAM,2019-10-13,4,Sun,6,6,,CAR,L 26-37,4,4,4,5,3,0,2019,2019_06_TAM_CAR
ARI,2019-10-13,4,Sun,6,6,,ATL,W 34-33,4,4,3,2,2,0,2019,2019_06_ARI_ATL
NYG,2019-10-10,4,Thu,6,6,@,NWE,L 14-35,4,5,5,1,0,0,2019,2019_06_NYG_NWE
CLE,2019-10-07,4,Mon,5,5,@,SFO,L 3-31,4,4,4,4,1,0,2019,2019_05_CLE_SFO
NYJ,2019-10-06,4,Sun,4,5,@,PHI,L 6-31,4,4,4,1,1,0,2019,2019_05_NYJ_PHI
WAS,2019-10-06,4,Sun,5,5,,NWE,L 7-33,4,4,3,2,2,0,2019,2019_05_WAS_NWE
TAM,2019-10-06,4,Sun,5,5,@,NOR,L 24-31,4,4,4,1,1,0,2019,2019_05_TAM_NOR
DAL,2019-10-06,4,Sun,5,5,,GNB,L 24-34,4,4,4,2,2,0,2019,2019_05_DAL_GNB
HOU,2019-10-06,4,Sun,5,5,,ATL,W 53-32,4,3,3,1,1,0,2019,2019_05_HOU_ATL
LAR,2019-10-03,4,Thu,5,5,@,SEA,L 29-30,4,3,3,2,1,0,2019,2019_05_LAR_SEA
IND,2019-09-29,4,Sun,4,4,,OAK,L 24-31,4,4,4,1,1,0,2019,2019_04_IND_OAK
DET,2019-09-29,4,Sun,4,4,,KAN,L 30-34,4,4,4,3,2,0,2019,2019_04_DET_KAN
WAS,2019-09-23,4,Mon,3,3,,CHI,L 15-31,4,4,4,2,1,0,2019,2019_03_WAS_CHI
NOR,2019-09-22,4,Sun,3,3,@,SEA,W 33-27,4,3,3,0,0,0,2019,2019_03_NOR_SEA
KAN,2019-09-22,4,Sun,3,3,,BAL,W 33-28,4,1,1,1,1,0,2019,2019_03_KAN_BAL
TAM,2019-09-22,4,Sun,3,3,,NYG,L 31-32,4,3,3,1,1,0,2019,2019_03_TAM_NYG
NYJ,2019-09-22,4,Sun,3,3,@,NWE,L 14-30,4,4,3,1,1,0,2019,2019_03_NYJ_NWE
OAK,2019-09-22,4,Sun,3,3,@,MIN,L 14-34,4,4,4,2,2,0,2019,2019_03_OAK_MIN
BAL,2019-09-22,4,Sun,3,3,@,KAN,L 28-33,4,4,3,2,2,0,2019,2019_03_BAL_KAN
LAC,2019-09-22,4,Sun,3,3,,HOU,L 20-27,4,4,3,1,0,0,2019,2019_03_LAC_HOU
MIA,2019-09-22,4,Sun,3,3,@,DAL,L 6-31,4,4,4,2,1,0,2019,2019_03_MIA_DAL
PIT,2019-09-15,4,Sun,2,2,,SEA,L 26-28,4,4,4,1,0,0,2019,2019_02_PIT_SEA
OAK,2019-09-15,4,Sun,2,2,,KAN,L 10-28,4,4,4,0,0,0,2019,2019_02_OAK_KAN
WAS,2019-09-15,4,Sun,2,2,,DAL,L 21-31,4,4,4,1,1,0,2019,2019_02_WAS_DAL
NYG,2019-09-15,4,Sun,2,2,,BUF,L 14-28,4,4,4,0,0,0,2019,2019_02_NYG_BUF
NOR,2019-09-09,4,Mon,1,1,,HOU,W 30-28,4,4,4,0,0,0,2019,2019_01_NOR_HOU
IND,2019-09-08,4,Sun,1,1,@,LAC,L 24-30 (OT),4,3,3,1,1,0,2019,2019_01_IND_LAC
WAS,2019-09-08,4,Sun,1,1,@,PHI,L 27-32,4,3,3,1,1,0,2019,2019_01_WAS_PHI
ATL,2019-09-08,4,Sun,1,1,@,MIN,L 12-28,4,4,4,0,0,0,2019,2019_01_ATL_MIN
JAX,2019-09-08,4,Sun,1,1,,KAN,L 26-40,4,4,4,4,4,0,2019,2019_01_JAX_KAN
ATL,2018-12-30,4,Sun,16,17,@,TAM,W 34-32,4,2,2,2,2,0,2018,2018_17_ATL_TAM
LAR,2018-12-30,4,Sun,16,17,,SFO,W 48-32,4,3,3,1,1,0,2018,2018_17_LAR_SFO
DAL,2018-12-30,4,Sun,16,17,@,NYG,W 36-35,4,3,3,2,2,0,2018,2018_17_DAL_NYG
GNB,2018-12-30,4,Sun,16,17,,DET,L 0-31,4,4,4,1,1,0,2018,2018_17_GNB_DET
TEN,2018-12-30,4,Sun,16,17,,IND,L 17-33,4,4,3,2,2,0,2018,2018_17_TEN_IND
NOR,2018-12-30,4,Sun,16,17,,CAR,L 14-33,4,4,3,2,2,0,2018,2018_17_NOR_CAR
TAM,2018-12-30,4,Sun,16,17,,ATL,L 32-34,4,4,4,2,2,0,2018,2018_17_TAM_ATL
ARI,2018-12-23,4,Sun,15,16,,LAR,L 9-31,4,4,4,2,1,0,2018,2018_16_ARI_LAR
HOU,2018-12-23,4,Sun,15,16,@,PHI,L 30-32,4,3,2,2,2,0,2018,2018_16_HOU_PHI
PIT,2018-12-23,4,Sun,15,16,@,NOR,L 28-31,4,4,4,2,1,0,2018,2018_16_PIT_NOR
PHI,2018-12-23,4,Sun,15,16,,HOU,W 32-30,4,4,3,1,1,0,2018,2018_16_PHI_HOU
NYG,2018-12-23,4,Sun,15,16,@,IND,L 27-28,4,4,4,0,0,0,2018,2018_16_NYG_IND
KAN,2018-12-13,4,Thu,14,15,,LAC,L 28-29,4,3,3,0,0,0,2018,2018_15_KAN_LAC
LAC,2018-12-13,4,Thu,14,15,@,KAN,W 29-28,4,4,4,0,0,0,2018,2018_15_LAC_KAN
MIA,2018-12-09,4,Sun,13,14,,NWE,W 34-33,4,4,3,3,2,0,2018,2018_14_MIA_NWE
ATL,2018-12-09,4,Sun,13,14,@,GNB,L 20-34,4,4,4,2,2,0,2018,2018_14_ATL_GNB
JAX,2018-12-06,4,Thu,13,14,@,TEN,L 9-30,4,4,3,1,1,0,2018,2018_14_JAX_TEN
PIT,2018-12-02,4,Sun,12,13,,LAC,L 30-33,4,2,2,2,1,0,2018,2018_13_PIT_LAC
KAN,2018-12-02,4,Sun,12,13,@,OAK,W 40-33,4,3,3,2,2,0,2018,2018_13_KAN_OAK
LAC,2018-12-02,4,Sun,12,13,@,PIT,W 33-30,4,4,3,1,1,0,2018,2018_13_LAC_PIT
TEN,2018-11-26,4,Mon,11,12,@,HOU,L 17-34,4,4,4,2,2,0,2018,2018_12_TEN_HOU
OAK,2018-11-25,4,Sun,11,12,@,BAL,L 17-34,4,4,4,2,2,0,2018,2018_12_OAK_BAL
ATL,2018-11-22,4,Thu,11,12,@,NOR,L 17-31,4,4,4,1,1,0,2018,2018_12_ATL_NOR
WAS,2018-11-22,4,Thu,11,12,@,DAL,L 23-31,4,4,4,1,1,0,2018,2018_12_WAS_DAL
NYG,2018-11-18,4,Sun,10,11,,TAM,W 38-35,4,5,5,0,0,0,2018,2018_11_NYG_TAM
LAR,2018-11-11,4,Sun,10,10,,SEA,W 36-31,4,4,4,1,1,0,2018,2018_10_LAR_SEA
SEA,2018-11-11,4,Sun,9,10,@,LAR,L 31-36,4,3,3,3,3,0,2018,2018_10_SEA_LAR
NWE,2018-11-11,4,Sun,10,10,@,TEN,L 10-34,4,4,4,2,2,0,2018,2018_10_NWE_TEN
MIA,2018-11-11,4,Sun,10,10,@,GNB,L 12-31,4,4,4,1,1,0,2018,2018_10_MIA_GNB
JAX,2018-11-11,4,Sun,9,10,@,IND,L 26-29,4,3,3,1,0,0,2018,2018_10_JAX_IND
ATL,2018-11-11,4,Sun,9,10,@,CLE,L 16-28,4,4,4,0,0,0,2018,2018_10_ATL_CLE
NYJ,2018-11-11,4,Sun,10,10,,BUF,L 10-41,4,5,5,2,2,0,2018,2018_10_NYJ_BUF
DAL,2018-11-05,4,Mon,8,9,,TEN,L 14-28,4,4,4,1,0,0,2018,2018_09_DAL_TEN
CAR,2018-11-04,4,Sun,8,9,,TAM,W 42-28,4,4,4,0,0,0,2018,2018_09_CAR_TAM
SEA,2018-11-04,4,Sun,8,9,,LAC,L 17-25,4,3,1,1,0,0,2018,2018_09_SEA_LAC
NOR,2018-11-04,4,Sun,8,9,,LAR,W 45-35,4,3,3,3,2,0,2018,2018_09_NOR_LAR
GNB,2018-11-04,4,Sun,8,9,@,NWE,L 17-31,4,4,4,1,1,0,2018,2018_09_GNB_NWE
OAK,2018-11-01,4,Thu,8,9,@,SFO,L 3-34,4,4,4,2,2,0,2018,2018_09_OAK_SFO
CIN,2018-10-28,4,Sun,8,8,,TAM,W 37-34,4,3,2,2,2,0,2018,2018_08_CIN_TAM
DET,2018-10-28,4,Sun,7,8,,SEA,L 14-28,4,4,4,0,0,0,2018,2018_08_DET_SEA
IND,2018-10-28,4,Sun,8,8,@,OAK,W 42-28,4,4,4,0,0,0,2018,2018_08_IND_OAK
CLE,2018-10-28,4,Sun,8,8,@,PIT,L 18-33,4,4,4,1,1,1,2018,2018_08_CLE_PIT
DEN,2018-10-28,4,Sun,8,8,@,KAN,L 23-30,4,4,3,1,1,0,2018,2018_08_DEN_KAN
BAL,2018-10-28,4,Sun,8,8,@,CAR,L 21-36,4,3,3,3,3,0,2018,2018_08_BAL_CAR
SFO,2018-10-21,4,Sun,7,7,,LAR,L 10-39,4,4,4,3,3,1,2018,2018_07_SFO_LAR
NYJ,2018-10-21,4,Sun,7,7,,MIN,L 17-37,4,4,4,4,3,0,2018,2018_07_NYJ_MIN
NWE,2018-10-21,4,Sun,7,7,@,CHI,W 38-31,4,4,4,1,1,0,2018,2018_07_NWE_CHI
ATL,2018-10-14,4,Sun,6,6,,TAM,W 34-29,4,3,2,1,1,0,2018,2018_06_ATL_TAM
KAN,2018-10-14,4,Sun,6,6,@,NWE,L 40-43,4,4,4,5,5,0,2018,2018_06_KAN_NWE
NWE,2018-10-14,4,Sun,6,6,,KAN,W 43-40,4,4,4,4,4,0,2018,2018_06_NWE_KAN
JAX,2018-10-14,4,Sun,6,6,@,DAL,L 7-40,4,4,4,4,4,0,2018,2018_06_JAX_DAL
NYJ,2018-10-14,4,Sun,6,6,,IND,W 42-34,4,4,4,2,2,0,2018,2018_06_NYJ_IND
MIA,2018-10-14,4,Sun,6,6,,CHI,W 31-28 (OT),4,4,4,1,0,0,2018,2018_06_MIA_CHI
TAM,2018-10-14,4,Sun,5,6,@,ATL,L 29-34,4,4,4,2,2,0,2018,2018_06_TAM_ATL
NYG,2018-10-11,4,Thu,6,6,,PHI,L 13-34,4,4,4,3,2,0,2018,2018_06_NYG_PHI
LAR,2018-10-07,4,Sun,5,5,@,SEA,W 33-31,4,4,4,1,1,0,2018,2018_05_LAR_SEA
SEA,2018-10-07,4,Sun,5,5,,LAR,L 31-33,4,4,3,2,2,0,2018,2018_05_SEA_LAR
DEN,2018-10-07,4,Sun,5,5,@,NYJ,L 16-34,4,4,4,3,2,0,2018,2018_05_DEN_NYJ
GNB,2018-10-07,4,Sun,5,5,@,DET,L 23-31,4,4,4,2,1,0,2018,2018_05_GNB_DET
SFO,2018-10-07,4,Sun,5,5,,ARI,L 18-28,4,4,4,0,0,0,2018,2018_05_SFO_ARI
IND,2018-09-30,4,Sun,4,4,,HOU,L 34-37 (OT),4,4,4,4,3,0,2018,2018_04_IND_HOU
HOU,2018-09-30,4,Sun,4,4,@,IND,W 37-34 (OT),4,2,2,2,2,0,2018,2018_04_HOU_IND
CIN,2018-09-30,4,Sun,4,4,@,ATL,W 37-36,4,3,3,3,3,0,2018,2018_04_CIN_ATL
TAM,2018-09-24,4,Mon,3,3,,PIT,L 27-30,4,4,3,2,1,0,2018,2018_03_TAM_PIT
GNB,2018-09-23,4,Sun,3,3,@,WAS,L 17-31,4,4,4,1,1,0,2018,2018_03_GNB_WAS
OAK,2018-09-23,4,Sun,3,3,@,MIA,L 20-28,4,4,4,0,0,0,2018,2018_03_OAK_MIA
CIN,2018-09-23,4,Sun,3,3,@,CAR,L 21-31,4,4,4,1,1,0,2018,2018_03_CIN_CAR
PHI,2018-09-16,4,Sun,2,2,@,TAM,L 21-27,4,4,3,0,0,0,2018,2018_02_PHI_TAM
BUF,2018-09-16,4,Sun,2,2,,LAC,L 20-31,4,4,4,1,1,0,2018,2018_02_BUF_LAC
ARI,2018-09-16,4,Sun,2,2,@,LAR,L 0-34,4,1,1,1,1,0,2018,2018_02_ARI_LAR
GNB,2018-09-16,4,Sun,2,2,,MIN,T 29-29 (OT),4,3,3,3,0,0,2018,2018_02_GNB_MIN
NWE,2018-09-16,4,Sun,2,2,@,JAX,L 20-31,4,4,4,1,1,0,2018,2018_02_NWE_JAX
CAR,2018-09-16,4,Sun,2,2,@,ATL,L 24-31,4,4,4,1,1,0,2018,2018_02_CAR_ATL
BAL,2018-09-13,4,Thu,2,2,@,CIN,L 23-34,4,4,4,2,2,0,2018,2018_02_BAL_CIN
IND,2018-09-09,4,Sun,1,1,,CIN,L 23-34,4,4,4,2,2,0,2018,2018_01_IND_CIN
BAL,2017-12-31,4,Sun,16,17,,CIN,L 27-31,4,4,4,1,1,0,2017,2017_17_BAL_CIN
GNB,2017-12-31,4,Sun,16,17,@,DET,L 11-35,4,3,3,2,2,0,2017,2017_17_GNB_DET
NOR,2017-12-31,4,Sun,16,17,@,TAM,L 24-31,4,3,2,1,1,0,2017,2017_17_NOR_TAM
LAR,2017-12-31,4,Sun,16,17,,SFO,L 13-34,4,4,4,2,2,0,2017,2017_17_LAR_SFO
CLE,2017-12-31,4,Sun,16,17,@,PIT,L 24-28,4,4,4,0,0,0,2017,2017_17_CLE_PIT
HOU,2017-12-25,4,Mon,15,16,,PIT,L 6-34,4,4,4,2,2,0,2017,2017_16_HOU_PIT
SFO,2017-12-24,4,Sun,15,16,,JAX,W 44-33,4,3,2,1,1,0,2017,2017_16_SFO_JAX
BUF,2017-12-24,4,Sun,15,16,@,NWE,L 16-37,4,4,4,3,3,0,2017,2017_16_BUF_NWE
TEN,2017-12-24,4,Sun,15,16,,LAR,L 23-27,4,4,3,1,0,0,2017,2017_16_TEN_LAR
GNB,2017-12-17,4,Sun,14,15,@,CAR,L 24-31,4,4,4,1,1,0,2017,2017_15_GNB_CAR
CIN,2017-12-17,4,Sun,14,15,@,MIN,L 7-34,4,4,4,2,2,0,2017,2017_15_CIN_MIN
NYJ,2017-12-17,4,Sun,14,15,@,NOR,L 19-31,4,4,4,1,1,0,2017,2017_15_NYJ_NOR
PHI,2017-12-17,4,Sun,14,15,@,NYG,W 34-29,4,3,2,2,1,0,2017,2017_15_PHI_NYG
NYG,2017-12-17,4,Sun,14,15,,PHI,L 29-34,4,4,4,2,2,0,2017,2017_15_NYG_PHI
MIN,2017-12-10,4,Sun,13,14,@,CAR,L 24-31,4,4,4,1,1,0,2017,2017_14_MIN_CAR
CIN,2017-12-10,4,Sun,13,14,,CHI,L 7-33,4,4,3,2,2,0,2017,2017_14_CIN_CHI
NYG,2017-12-10,4,Sun,13,14,,DAL,L 10-30,4,4,3,3,1,0,2017,2017_14_NYG_DAL
CLE,2017-12-10,4,Sun,13,14,,GNB,L 21-27 (OT),4,3,3,0,0,0,2017,2017_14_CLE_GNB
BAL,2017-12-10,4,Sun,13,14,@,PIT,L 38-39,4,3,3,4,4,0,2017,2017_14_BAL_PIT
NYJ,2017-12-03,4,Sun,12,13,,KAN,W 38-31,4,4,4,2,1,0,2017,2017_13_NYJ_KAN
DEN,2017-12-03,4,Sun,12,13,@,MIA,L 9-35,4,4,4,1,1,2,2017,2017_13_DEN_MIA
CAR,2017-12-03,4,Sun,12,13,@,NOR,L 21-31,4,4,4,2,1,0,2017,2017_13_CAR_NOR
KAN,2017-12-03,4,Sun,12,13,@,NYJ,L 31-38,4,3,3,3,3,0,2017,2017_13_KAN_NYJ
TAM,2017-11-26,4,Sun,11,12,@,ATL,L 20-34,4,4,4,2,2,0,2017,2017_12_TAM_ATL
NYJ,2017-11-26,4,Sun,11,12,,CAR,L 27-35,4,1,0,3,3,0,2017,2017_12_NYJ_CAR
PIT,2017-11-26,4,Sun,11,12,,GNB,W 31-28,4,4,4,1,0,0,2017,2017_12_PIT_GNB
GNB,2017-11-26,4,Sun,11,12,@,PIT,L 28-31,4,3,2,1,1,0,2017,2017_12_GNB_PIT
DET,2017-11-23,4,Thu,11,12,,MIN,L 23-30,4,4,3,2,1,0,2017,2017_12_DET_MIN
DAL,2017-11-23,4,Thu,11,12,,LAC,L 6-28,4,4,1,2,1,0,2017,2017_12_DAL_LAC
SEA,2017-11-20,4,Mon,10,11,,ATL,L 31-34,4,4,4,2,2,0,2017,2017_11_SEA_ATL
ARI,2017-11-19,4,Sun,10,11,@,HOU,L 21-31,4,4,4,1,1,0,2017,2017_11_ARI_HOU
NOR,2017-11-19,4,Sun,10,11,,WAS,W 34-31 (OT),4,4,4,1,1,0,2017,2017_11_NOR_WAS
TEN,2017-11-16,4,Thu,10,11,@,PIT,L 17-40,4,4,4,4,4,0,2017,2017_11_TEN_PIT
NYG,2017-11-12,4,Sun,9,10,@,SFO,L 21-31,4,4,4,1,1,0,2017,2017_10_NYG_SFO
KAN,2017-11-05,4,Sun,9,9,@,DAL,L 17-28,4,4,4,0,0,0,2017,2017_09_KAN_DAL
TAM,2017-11-05,4,Sun,8,9,@,NOR,L 10-30,4,4,3,2,1,0,2017,2017_09_TAM_NOR
BUF,2017-11-02,4,Thu,8,9,@,NYJ,L 21-34,4,4,4,2,2,0,2017,2017_09_BUF_NYJ
OAK,2017-10-29,4,Sun,8,8,@,BUF,L 14-34,4,4,4,2,2,0,2017,2017_08_OAK_BUF
SFO,2017-10-29,4,Sun,8,8,@,PHI,L 10-33,4,3,1,2,2,0,2017,2017_08_SFO_PHI
MIA,2017-10-26,4,Thu,7,8,@,BAL,L 0-40,4,4,4,3,2,0,2017,2017_08_MIA_BAL
WAS,2017-10-23,4,Mon,6,7,@,PHI,L 24-34,4,4,4,3,2,0,2017,2017_07_WAS_PHI
NYJ,2017-10-22,4,Sun,7,7,@,MIA,L 28-31,4,4,4,1,1,0,2017,2017_07_NYJ_MIA
MIA,2017-10-22,4,Sun,6,7,,NYJ,W 31-28,4,4,4,0,0,0,2017,2017_07_MIA_NYJ
KAN,2017-10-19,4,Thu,7,7,@,OAK,L 30-31,4,4,4,3,1,0,2017,2017_07_KAN_OAK
CLE,2017-10-15,4,Sun,6,6,@,HOU,L 17-33,4,3,2,1,1,1,2017,2017_06_CLE_HOU
GNB,2017-10-08,4,Sun,5,5,@,DAL,W 35-31,4,4,4,1,1,0,2017,2017_05_GNB_DAL
PIT,2017-10-08,4,Sun,5,5,,JAX,L 9-30,4,4,3,1,1,0,2017,2017_05_PIT_JAX
HOU,2017-10-08,4,Sun,5,5,,KAN,L 34-42,4,3,3,5,5,0,2017,2017_05_HOU_KAN
ARI,2017-10-08,4,Sun,5,5,@,PHI,L 7-34,4,4,4,2,2,0,2017,2017_05_ARI_PHI
NWE,2017-10-01,4,Sun,4,4,,CAR,L 30-33,4,4,3,2,2,0,2017,2017_04_NWE_CAR
CLE,2017-10-01,4,Sun,4,4,,CIN,L 7-31,4,4,4,1,1,0,2017,2017_04_CLE_CIN
LAR,2017-10-01,4,Sun,4,4,@,DAL,W 35-30,4,3,3,1,1,0,2017,2017_04_LAR_DAL
ARI,2017-09-25,4,Mon,3,3,,DAL,L 17-28,4,4,4,0,0,0,2017,2017_03_ARI_DAL
IND,2017-09-24,4,Sun,3,3,,CLE,W 31-28,4,4,4,0,0,0,2017,2017_03_IND_CLE
CLE,2017-09-24,4,Sun,3,3,@,IND,L 28-31,4,4,4,1,1,0,2017,2017_03_CLE_IND
TAM,2017-09-24,4,Sun,2,3,@,MIN,L 17-34,4,4,4,2,2,0,2017,2017_03_TAM_MIN
CAR,2017-09-24,4,Sun,3,3,,NOR,L 13-34,4,4,4,3,2,0,2017,2017_03_CAR_NOR
TEN,2017-09-24,4,Sun,3,3,,SEA,W 33-27,4,3,3,0,0,0,2017,2017_03_TEN_SEA
GNB,2017-09-17,4,Sun,2,2,@,ATL,L 23-34,4,4,4,2,2,0,2017,2017_02_GNB_ATL
NOR,2017-09-17,4,Sun,2,2,,NWE,L 20-36,4,4,3,3,3,0,2017,2017_02_NOR_NWE
JAX,2017-09-17,4,Sun,2,2,,TEN,L 16-37,4,4,4,3,3,0,2017,2017_02_JAX_TEN
TAM,2023-01-08,3,Sun,17,18,@,ATL,L 17-30,3,3,3,3,3,0,2022,2022_18_TAM_ATL
BAL,2023-01-08,3,Sun,17,18,@,CIN,L 16-27,3,3,3,2,2,0,2022,2022_18_BAL_CIN
CHI,2023-01-08,3,Sun,17,18,,MIN,L 13-29,3,3,2,3,3,0,2022,2022_18_CHI_MIN
BUF,2023-01-08,3,Sun,16,18,,NWE,W 35-23,3,2,2,1,1,0,2022,2022_18_BUF_NWE
CLE,2023-01-08,3,Sun,17,18,@,PIT,L 14-28,3,2,2,2,2,0,2022,2022_18_CLE_PIT
DEN,2023-01-08,3,Sun,17,18,,LAC,W 31-28,3,2,2,2,2,0,2022,2022_18_DEN_LAC
DAL,2023-01-08,3,Sun,17,18,@,WAS,L 6-26,3,3,2,4,2,0,2022,2022_18_DAL_WAS
KAN,2023-01-01,3,Sun,16,17,,DEN,W 27-24,3,3,3,1,1,0,2022,2022_17_KAN_DEN
NWE,2023-01-01,3,Sun,16,17,,MIA,W 23-21,3,3,3,1,0,0,2022,2022_17_NWE_MIA
MIA,2023-01-01,3,Sun,16,17,@,NWE,L 21-23,3,3,2,1,1,0,2022,2022_17_MIA_NWE
TAM,2023-01-01,3,Sun,16,17,,CAR,W 30-24,3,3,3,1,1,0,2022,2022_17_TAM_CAR
WAS,2023-01-01,3,Sun,16,17,,CLE,L 10-24,3,3,3,1,1,0,2022,2022_17_WAS_CLE
TEN,2022-12-29,3,Thu,16,17,,DAL,L 13-27,3,3,3,2,2,0,2022,2022_17_TEN_DAL
NWE,2022-12-24,3,Sat,15,16,,CIN,L 18-22,3,2,1,2,1,0,2022,2022_16_NWE_CIN
CIN,2022-12-24,3,Sat,15,16,@,NWE,W 22-18,3,2,0,0,0,0,2022,2022_16_CIN_NWE
SEA,2022-12-24,3,Sat,15,16,@,KAN,L 10-24,3,3,3,1,1,0,2022,2022_16_SEA_KAN
SFO,2022-12-24,3,Sat,15,16,,WAS,W 37-20,3,2,2,0,0,0,2022,2022_16_SFO_WAS
NYG,2022-12-24,3,Sat,15,16,@,MIN,L 24-27,3,3,3,2,2,0,2022,2022_16_NYG_MIN
CAR,2022-12-24,3,Sat,15,16,,DET,W 37-23,3,2,2,1,1,0,2022,2022_16_CAR_DET
LAR,2022-12-19,3,Mon,14,15,@,GNB,L 12-24,3,3,3,1,1,0,2022,2022_15_LAR_GNB
CIN,2022-12-18,3,Sun,14,15,@,TAM,W 34-23,3,2,2,2,1,0,2022,2022_15_CIN_TAM
ARI,2022-12-18,3,Sun,14,15,@,DEN,L 15-24,3,3,3,2,1,0,2022,2022_15_ARI_DEN
PHI,2022-12-18,3,Sun,14,15,@,CHI,W 25-20,3,3,2,0,0,0,2022,2022_15_PHI_CHI
ATL,2022-12-18,3,Sun,14,15,@,NOR,L 18-21,3,3,3,0,0,0,2022,2022_15_ATL_NOR
CAR,2022-12-18,3,Sun,14,15,,PIT,L 16-24,3,3,3,1,1,0,2022,2022_15_CAR_PIT
KAN,2022-12-18,3,Sun,14,15,@,HOU,W 30-24 (OT),3,3,3,1,1,0,2022,2022_15_KAN_HOU
CHI,2022-12-18,3,Sun,14,15,,PHI,L 20-25,3,2,2,2,1,0,2022,2022_15_CHI_PHI
BUF,2022-12-17,3,Sat,14,15,,MIA,W 32-29,3,2,2,3,3,0,2022,2022_15_BUF_MIA
SEA,2022-12-15,3,Thu,14,15,,SFO,L 13-21,3,3,3,1,0,0,2022,2022_15_SEA_SFO
ARI,2022-12-12,3,Mon,13,14,,NWE,L 13-27,3,3,3,2,2,0,2022,2022_14_ARI_NWE
JAX,2022-12-11,3,Sun,13,14,@,TEN,W 36-22,3,2,2,0,0,0,2022,2022_14_JAX_TEN
CLE,2022-12-11,3,Sun,13,14,@,CIN,L 10-23,3,3,2,1,1,0,2022,2022_14_CLE_CIN
CAR,2022-12-11,3,Sun,13,14,@,SEA,W 30-24,3,3,3,1,1,0,2022,2022_14_CAR_SEA
SEA,2022-12-11,3,Sun,13,14,,CAR,L 24-30,3,3,3,3,3,0,2022,2022_14_SEA_CAR
HOU,2022-12-11,3,Sun,13,14,@,DAL,L 23-27,3,3,3,2,2,0,2022,2022_14_HOU_DAL
PHI,2022-12-11,3,Sun,13,14,@,NYG,W 48-22,3,2,2,0,0,0,2022,2022_14_PHI_NYG
DET,2022-12-11,3,Sun,13,14,,MIN,W 34-23,3,2,2,1,1,0,2022,2022_14_DET_MIN
CHI,2022-12-04,3,Sun,13,13,,GNB,L 19-28,3,2,2,2,2,0,2022,2022_13_CHI_GNB
MIA,2022-12-04,3,Sun,12,13,@,SFO,L 17-33,3,3,3,4,4,0,2022,2022_13_MIA_SFO
KAN,2022-12-04,3,Sun,12,13,@,CIN,L 24-27,3,3,3,2,2,0,2022,2022_13_KAN_CIN
LAR,2022-12-04,3,Sun,12,13,,SEA,L 23-27,3,3,3,2,2,0,2022,2022_13_LAR_SEA
HOU,2022-12-04,3,Sun,12,13,,CLE,L 14-27,3,3,3,2,2,0,2022,2022_13_HOU_CLE
CIN,2022-12-04,3,Sun,12,13,,KAN,W 27-24,3,3,3,2,1,0,2022,2022_13_CIN_KAN
NYJ,2022-12-04,3,Sun,12,13,@,MIN,L 22-27,3,3,3,2,2,0,2022,2022_13_NYJ_MIN
LAC,2022-12-04,3,Sun,12,13,@,LVR,L 20-27,3,3,3,3,2,0,2022,2022_13_LAC_LVR
NWE,2022-12-01,3,Thu,12,13,,BUF,L 10-24,3,3,3,1,1,0,2022,2022_13_NWE_BUF
HOU,2022-11-27,3,Sun,11,12,@,MIA,L 15-30,3,3,3,3,3,0,2022,2022_12_HOU_MIA
LAC,2022-11-27,3,Sun,11,12,@,ARI,W 25-24,3,3,3,2,1,0,2022,2022_12_LAC_ARI
TAM,2022-11-27,3,Sun,11,12,@,CLE,L 17-23 (OT),3,2,2,2,1,0,2022,2022_12_TAM_CLE
BAL,2022-11-27,3,Sun,11,12,@,JAX,L 27-28,3,2,2,2,2,0,2022,2022_12_BAL_JAX
ARI,2022-11-27,3,Sun,12,12,,LAC,L 24-25,3,2,2,1,1,0,2022,2022_12_ARI_LAC
DET,2022-11-24,3,Thu,11,12,,BUF,L 25-28,3,3,2,2,2,1,2022,2022_12_DET_BUF
BUF,2022-11-24,3,Thu,11,12,@,DET,W 28-25,3,2,2,2,1,0,2022,2022_12_BUF_DET
ATL,2022-11-20,3,Sun,11,11,,CHI,W 27-24,3,3,3,2,1,0,2022,2022_11_ATL_CHI
LAR,2022-11-20,3,Sun,10,11,@,NOR,L 20-27,3,3,3,2,2,0,2022,2022_11_LAR_NOR
CIN,2022-11-20,3,Sun,10,11,@,PIT,W 37-30,3,3,3,3,3,0,2022,2022_11_CIN_PIT
CHI,2022-11-20,3,Sun,11,11,@,ATL,L 24-27,3,3,3,2,2,0,2022,2022_11_CHI_ATL
BUF,2022-11-20,3,Sun,10,11,,CLE,W 31-23,3,2,2,2,1,0,2022,2022_11_BUF_CLE
LAC,2022-11-20,3,Sun,10,11,,KAN,L 27-30,3,3,3,3,3,0,2022,2022_11_LAC_KAN
DET,2022-11-20,3,Sun,10,11,@,NYG,W 31-18,3,2,0,0,0,0,2022,2022_11_DET_NYG
