Team,Date,TD,Day,G#,Week,,Opp,Result,TD,XPA,XPM,Att,Md,Sfty,Season,game_id
WAS,2019-12-22,6,Sun,15,16,,NYG,L 35-41 (OT),6,5,5,1,0,0,2019,2019_16_WAS_NYG
NYJ,2019-12-12,6,Thu,14,15,@,BAL,L 21-42,6,5,4,0,0,0,2019,2019_15_NYJ_BAL
JAX,2019-12-08,6,Sun,13,14,,LAC,L 10-45,6,6,6,1,1,0,2019,2019_14_JAX_LAC
SFO,2019-12-08,6,Sun,13,14,@,NOR,W 48-46,6,4,4,2,2,0,2019,2019_14_SFO_NOR
NOR,2019-12-08,6,Sun,13,14,,SFO,L 46-48,6,6,6,2,2,0,2019,2019_14_NOR_SFO
OAK,2019-12-08,6,Sun,13,14,,TEN,L 21-42,6,6,6,1,0,0,2019,2019_14_OAK_TEN
LAR,2019-11-25,6,Mon,11,12,,BAL,L 6-45,6,6,6,1,1,0,2019,2019_12_LAR_BAL
JAX,2019-11-24,6,Sun,11,12,@,TEN,L 20-42,6,6,6,0,0,0,2019,2019_12_JAX_TEN
OAK,2019-10-20,6,Sun,6,7,@,GNB,L 24-42,6,6,6,0,0,0,2019,2019_07_OAK_GNB
DET,2019-10-20,6,Sun,6,7,,MIN,L 30-42,6,6,6,1,0,0,2019,2019_07_DET_MIN
MIA,2019-09-15,6,Sun,2,2,,NWE,L 0-43,6,6,4,2,1,0,2019,2019_02_MIA_NWE
MIA,2018-12-30,6,Sun,16,17,@,BUF,L 17-42,6,6,6,1,0,0,2018,2018_17_MIA_BUF
SFO,2018-12-30,6,Sun,16,17,@,LAR,L 32-48,6,6,6,2,2,0,2018,2018_17_SFO_LAR
SFO,2018-12-02,6,Sun,12,13,@,SEA,L 16-43,6,6,4,1,1,0,2018,2018_13_SFO_SEA
ARI,2018-11-25,6,Sun,11,12,@,LAC,L 10-45,6,6,6,1,1,0,2018,2018_12_ARI_LAC
PHI,2018-11-18,6,Sun,10,11,@,NOR,L 7-48,6,6,6,2,2,0,2018,2018_11_PHI_NOR
CIN,2018-11-11,6,Sun,9,10,,NOR,L 14-51,6,6,6,3,3,0,2018,2018_10_CIN_NOR
TAM,2018-11-04,6,Sun,8,9,@,CAR,L 28-42,6,6,6,0,0,0,2018,2018_09_TAM_CAR
LAR,2018-11-04,6,Sun,9,9,@,NOR,L 35-45,6,6,6,1,1,0,2018,2018_09_LAR_NOR
MIA,2018-10-25,6,Thu,8,8,@,HOU,L 23-42,6,6,6,0,0,0,2018,2018_08_MIA_HOU
