,game_id,Team,Season,Date,Day,G#,Week,Opp,Result,home,Pts_points,Pts_points,PtsO_points,PtDif_points,PC_points,Spread_vegas,Spread_vegas,vs. Line_vegas,Over/Under_vegas,OU Result_vegas,Cmp_pass,Cmp_pass,Att_pass,Inc_pass,Cmp%_pass,Yds_pass,TD_pass,Int_pass,TD%_pass,Int%_pass,Rate_pass,Sk_pass,Yds_pass,Sk%_pass,Y/A_pass,NY/A_pass,AY/A_pass,ANY/A_pass,Y/C_pass,Att_rush,Att_rush,Yds_rush,Y/A_rush,TD_rush,Tot_total,Tot_total,Ply_total,Y/P_total,DPly_total,DY/P_total,TO_total,ToP_total,Time_total,Pen_penalty,Pen_penalty,Yds_penalty,OppPen_penalty,OppYds_penalty,CombPen_penalty,CombPenYds_penalty,1stD_downs,1stD_downs,Rsh_downs,Pass_downs,Pen_downs,3DAtt_downs,3DConv_downs,3D%_downs,4DAtt_downs,4DConv_downs,4D%_downs,Cmp_opp_passing,Cmp_opp_passing,Att_opp_passing,Cmp%_opp_passing,Yds_opp_passing,TD_opp_passing,Sk_opp_passing,Yds_opp_passing,Int_opp_passing,Rate_opp_passing,Att_opp_rushing,Att_opp_rushing,Yds_opp_rushing,Y/A_opp_rushing,TD_opp_rushing,Tot_opp_totals,Tot_opp_totals,TO_opp_totals,1stDOpp_opp_downs,1stDOpp_opp_downs,Rush_opp_downs,Pass_opp_downs,Pen_opp_downs,Opp3DAtt_opp_downs,Opp3DConv_opp_downs,Opp3D%_opp_downs,Opp4DAtt_opp_downs,Opp4DConv_opp_downs,Opp4D%_opp_downs,TD_opp_scoring,TD_opp_scoring,XPA_opp_scoring,XPM_opp_scoring,Att_opp_scoring,Md_opp_scoring,Sfty_opp_scoring
10,2020_16_NOR_MIN,NOR,2020,2020-12-25,Fri,15,16,MIN,W 52-33,1,52,52,33,19,85,,,,,,21,21,28,7,75.0,319,0,2,0.0,7.1,82.3,0,0,0.00,11.4,11.39,8.18,8.18,15.2,45,45,264,5.9,7,583,583,73,7.99,60,6.07,2,36:47,3:11,4,4,38,3,20,7,58,36,36,21,14,1,9,5,55.6,1,1,100.0,27,27,41,65.9,274,3,2,17,0,109.2,,,,,,364,364,0,25,25,6,17,2,9,3,33.3,2,1,50.0,5,5,4,3,0,0,0
11,2018_10_PIT_CAR,PIT,2018,2018-11-08,Thu,9,10,CAR,W 52-21,1,52,52,21,31,73,-3.5,-3.5,covered,51.0,over,23,23,27,4,85.2,319,5,0,18.5,0.0,156.4,1,6,3.57,11.8,11.39,15.52,14.96,13.9,30,30,138,4.6,1,457,457,58,7.88,56,4.32,0,30:35,2:49,,,,,,,,25,25,10,14,1,11,8,72.7,0,0,,23,23,29,79.3,147,2,5,46,1,96.4,22,22,95,4.3,1,,,,18,18,5,12,1,11,4,36.4,1,1,100.0,3,3,3,3,0,0,0
12,2017_06_NOR_DET,NOR,2017,2017-10-15,Sun,5,6,DET,W 52-38,1,52,52,38,14,90,-6.0,-6.0,covered,50.5,over,20,20,30,10,66.7,186,2,2,6.7,6.7,77.9,0,0,0.00,6.2,6.20,4.53,4.53,9.3,37,37,193,5.2,2,379,379,67,5.66,76,4.57,3,32:11,3:47,13,13,118,7,46,20,164,19,19,9,9,1,12,2,16.7,1,1,100.0,25,25,52,48.1,281,3,5,31,3,59.9,,,,,,347,347,5,18,18,2,14,2,18,9,50.0,1,0,0.0,5,5,5,5,2,1,0
13,2022_16_LAR_DEN,LAR,2022,2022-12-25,Sun,15,16,DEN,W 51-14,1,51,51,14,37,65,3.0,3.0,covered,36.5,over,24,24,28,4,85.7,230,2,0,7.1,0.0,124.7,0,0,0.00,8.2,8.21,9.64,9.64,9.6,36,36,158,4.4,3,388,388,64,6.06,61,5.30,0,36:35,2:58,,,,,,,,26,26,11,14,1,10,6,60.0,1,1,100.0,19,19,35,54.3,219,1,6,40,4,43.3,20,20,104,5.2,0,323,323,4,18,18,7,11,0,10,3,30.0,3,1,33.3,1,1,0,0,2,2,0
14,2021_18_DAL_PHI,DAL,2021,2022-01-08,Sat,17,18,PHI,W 51-26,0,51,51,26,25,77,-4.0,-4.0,covered,43.5,over,22,22,28,6,78.6,304,5,0,17.9,0.0,151.6,1,1,3.45,10.9,10.48,14.43,13.93,13.8,32,32,171,5.3,2,475,475,61,7.79,70,4.50,0,27:37,3:02,5,5,44,3,30,8,74,22,22,9,13,0,13,8,61.5,2,2,100.0,20,20,34,58.8,166,2,3,22,1,78.8,33,33,149,4.5,1,315,315,1,22,22,9,11,2,18,10,55.6,3,3,100.0,3,3,2,2,2,2,0
15,2021_17_SEA_DET,SEA,2021,2022-01-02,Sun,16,17,DET,W 51-29,1,51,51,29,22,80,,,,,,20,20,29,9,69.0,232,4,0,13.8,0.0,133.0,1,4,3.33,8.0,7.73,10.76,10.40,11.6,41,41,265,6.5,2,497,497,71,7.00,59,6.05,0,33:33,3:13,5,5,31,4,30,9,61,29,29,15,13,1,12,7,58.3,1,1,100.0,22,22,37,59.5,262,2,0,0,3,65.4,22,22,95,4.3,2,357,357,3,20,20,5,12,3,10,5,50.0,2,1,50.0,4,4,3,3,1,0,0
16,2019_08_SFO_CAR,SFO,2019,2019-10-27,Sun,7,8,CAR,W 51-13,1,51,51,13,38,64,-4.5,-4.5,covered,41.0,over,18,18,22,4,81.8,156,2,1,9.1,4.5,111.2,3,19,12.00,7.1,6.24,6.86,6.04,8.7,38,38,232,6.1,5,388,388,63,6.16,63,3.65,1,33:01,3:04,4,4,31,9,70,13,101,24,24,10,12,2,10,5,50.0,0,0,,19,19,37,51.4,100,0,7,58,3,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2018_11_KAN_LAR,KAN,2018,2018-11-19,Mon,11,11,LAR,L 51-54,0,51,51,54,-3,105,3.0,3.0,push,63.5,over,33,33,46,13,71.7,448,6,3,13.0,6.5,117.6,3,30,6.12,9.7,9.14,9.41,8.84,13.6,20,20,98,4.9,0,546,546,69,7.91,75,6.07,5,29:37,3:42,13,13,135,8,60,21,195,27,27,2,21,4,10,5,50.0,1,1,100.0,31,31,49,63.3,379,4,5,34,0,114.2,21,21,76,3.6,1,455,455,2,29,29,4,21,4,14,5,35.7,1,1,100.0,7,7,7,6,2,2,0
18,2018_10_NOR_CIN,NOR,2018,2018-11-11,Sun,9,10,CIN,W 51-14,0,51,51,14,37,65,-6.0,-6.0,covered,53.5,over,22,22,27,5,81.5,265,3,0,11.1,0.0,144.6,0,0,0.00,9.8,9.81,12.04,12.04,12.0,47,47,244,5.2,3,509,509,74,6.88,43,6.60,0,39:46,2:44,,,,,,,,33,33,18,13,2,12,7,58.3,1,1,100.0,,,,,,,,,,,,,,,,284,284,2,,,,,,,,,,,,2,2,2,2,0,0,0
19,2017_09_PHI_DEN,PHI,2017,2017-11-05,Sun,9,9,DEN,W 51-23,1,51,51,23,28,74,,,,,,,,,,,,,,,,,,,,,,,,,37,37,197,5.3,3,419,419,67,6.25,60,3.77,1,29:54,3:21,5,5,35,14,105,19,140,25,25,9,13,3,13,5,38.5,4,2,50.0,19,19,38,50.0,191,1,3,17,2,51.5,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,0
