Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Season,game_id
CHI,2020-12-06,24,Sun,12,13,,DET,L 30-34,24,5,18,1,11,6,54.5,2,1,50.0,2020,2020_13_CHI_DET
NYJ,2020-12-06,24,Sun,12,13,,LVR,L 28-31,24,4,17,3,14,6,42.9,1,0,0.0,2020,2020_13_NYJ_LVR
LVR,2020-12-06,24,Sun,12,13,@,NYJ,W 31-28,24,11,11,2,9,5,55.6,0,0,,2020,2020_13_LVR_NYJ
BUF,2020-11-29,24,Sun,11,12,,LAC,W 27-17,24,5,16,3,16,3,18.8,5,4,80.0,2020,2020_12_BUF_LAC
ATL,2020-11-22,24,Sun,10,11,@,NOR,L 9-24,24,12,9,3,11,4,36.4,1,1,100.0,2020,2020_11_ATL_NOR
MIN,2020-11-22,24,Sun,10,11,,DAL,L 28-31,24,9,13,2,11,5,45.5,3,2,66.7,2020,2020_11_MIN_DAL
DAL,2020-11-22,24,Sun,10,11,@,MIN,W 31-28,24,9,14,1,10,6,60.0,1,0,0.0,2020,2020_11_DAL_MIN
SEA,2020-11-19,24,Thu,10,11,,ARI,W 28-21,24,5,17,2,11,6,54.5,1,0,0.0,2020,2020_11_SEA_ARI
SEA,2020-11-15,24,Sun,9,10,@,LAR,L 16-23,24,8,15,1,15,9,60.0,1,1,100.0,2020,2020_10_SEA_LAR
CAR,2020-11-08,24,Sun,9,9,@,KAN,L 31-33,24,3,18,3,11,6,54.5,0,0,,2020,2020_09_CAR_KAN
ARI,2020-11-08,24,Sun,8,9,,MIA,L 31-34,24,8,12,4,8,4,50.0,0,0,,2020,2020_09_ARI_MIA
TAM,2020-11-02,24,Mon,8,8,@,NYG,W 25-23,24,6,17,1,11,4,36.4,2,2,100.0,2020,2020_08_TAM_NYG
CLE,2020-11-01,24,Sun,8,8,,LVR,L 6-16,24,15,7,2,14,8,57.1,2,2,100.0,2020,2020_08_CLE_LVR
MIN,2020-11-01,24,Sun,7,8,@,GNB,W 28-22,24,5,17,2,11,5,45.5,5,3,60.0,2020,2020_08_MIN_GNB
SEA,2020-11-01,24,Sun,7,8,,SFO,W 37-27,24,6,16,2,13,6,46.2,2,2,100.0,2020,2020_08_SEA_SFO
CHI,2020-10-26,24,Mon,7,7,@,LAR,L 10-24,24,9,12,3,13,4,30.8,0,0,,2020,2020_07_CHI_LAR
KAN,2020-10-25,24,Sun,7,7,@,DEN,W 43-16,24,12,11,1,14,5,35.7,2,0,0.0,2020,2020_07_KAN_DEN
MIN,2020-10-18,24,Sun,6,6,,ATL,L 23-40,24,5,17,2,17,9,52.9,3,3,100.0,2020,2020_06_MIN_ATL
NYG,2020-10-18,24,Sun,6,6,,WAS,W 20-19,24,6,16,2,15,8,53.3,2,2,100.0,2020,2020_06_NYG_WAS
LAR,2020-10-18,24,Sun,6,6,@,SFO,L 16-24,24,6,16,2,13,5,38.5,1,1,100.0,2020,2020_06_LAR_SFO
ATL,2020-10-11,24,Sun,5,5,,CAR,L 16-23,24,5,18,1,12,6,50.0,0,0,,2020,2020_05_ATL_CAR
JAX,2020-10-11,24,Sun,5,5,@,HOU,L 14-30,24,7,16,1,10,5,50.0,1,1,100.0,2020,2020_05_JAX_HOU
GNB,2020-10-05,24,Mon,4,4,,ATL,W 30-16,24,8,15,1,12,3,25.0,4,2,50.0,2020,2020_04_GNB_ATL
BAL,2020-10-04,24,Sun,4,4,@,WAS,W 31-17,24,6,17,1,13,4,30.8,3,2,66.7,2020,2020_04_BAL_WAS
HOU,2020-10-04,24,Sun,4,4,,MIN,L 23-31,24,14,10,0,12,5,41.7,1,1,100.0,2020,2020_04_HOU_MIN
BUF,2020-10-04,24,Sun,4,4,@,LVR,W 30-23,24,7,16,1,14,8,57.1,2,1,50.0,2020,2020_04_BUF_LVR
NOR,2020-09-27,24,Sun,3,3,,GNB,L 30-37,24,6,14,4,11,5,45.5,2,1,50.0,2020,2020_03_NOR_GNB
ATL,2020-09-27,24,Sun,3,3,,CHI,L 26-30,24,8,14,2,15,4,26.7,2,1,50.0,2020,2020_03_ATL_CHI
PHI,2020-09-27,24,Sun,3,3,,CIN,T 23-23 (OT),24,2,19,3,13,3,23.1,0,0,,2020,2020_03_PHI_CIN
TAM,2020-09-20,24,Sun,2,2,,CAR,W 31-17,24,5,18,1,11,6,54.5,2,1,50.0,2020,2020_02_TAM_CAR
MIN,2020-09-20,24,Sun,2,2,@,IND,L 11-28,24,11,10,3,11,3,27.3,1,1,100.0,2020,2020_02_MIN_IND
LAR,2020-09-13,24,Sun,1,1,,DAL,W 20-17,24,9,14,1,12,3,25.0,3,1,33.3,2020,2020_01_LAR_DAL
MIN,2019-12-29,24,Sun,16,17,,CHI,L 19-21,24,10,13,1,16,7,43.8,2,1,50.0,2019,2019_17_MIN_CHI
SFO,2019-12-21,24,Sat,15,16,,LAR,W 34-31,24,6,17,1,13,5,38.5,0,0,,2019,2019_16_SFO_LAR
HOU,2019-12-15,24,Sun,14,15,@,TEN,W 24-21,24,7,15,2,10,4,40.0,2,1,50.0,2019,2019_15_HOU_TEN
MIA,2019-12-15,24,Sun,14,15,@,NYG,L 20-36,24,9,12,3,11,5,45.5,0,0,,2019,2019_15_MIA_NYG
DAL,2019-12-05,24,Thu,13,14,@,CHI,L 24-31,24,9,12,3,12,7,58.3,0,0,,2019,2019_14_DAL_CHI
MIN,2019-12-02,24,Mon,12,13,@,SEA,L 30-37,24,16,7,1,15,7,46.7,1,1,100.0,2019,2019_13_MIN_SEA
NOR,2019-11-10,24,Sun,9,10,,ATL,L 9-26,24,9,9,6,15,6,40.0,1,1,100.0,2019,2019_10_NOR_ATL
BUF,2019-11-10,24,Sun,9,10,@,CLE,L 16-19,24,7,15,2,11,4,36.4,2,1,50.0,2019,2019_10_BUF_CLE
MIN,2019-11-10,24,Sun,10,10,@,DAL,W 28-24,24,0,22,2,15,9,60.0,2,0,0.0,2019,2019_10_MIN_DAL
NYG,2019-11-04,24,Mon,9,9,,DAL,L 18-37,24,11,10,3,11,4,36.4,0,0,,2019,2019_09_NYG_DAL
CAR,2019-11-03,24,Sun,8,9,,TEN,W 30-20,24,5,17,2,10,3,30.0,1,1,100.0,2019,2019_09_CAR_TEN
GNB,2019-11-03,24,Sun,9,9,@,LAC,L 11-26,24,11,13,0,11,5,45.5,1,1,100.0,2019,2019_09_GNB_LAC
CAR,2019-10-27,24,Sun,7,8,@,SFO,L 13-51,24,10,12,2,10,5,50.0,0,0,,2019,2019_08_CAR_SFO
LAR,2019-10-27,24,Sun,8,8,,CIN,W 24-10,24,5,15,4,18,6,33.3,6,4,66.7,2019,2019_08_LAR_CIN
DET,2019-10-27,24,Sun,7,8,,NYG,W 31-26,24,5,15,4,12,7,58.3,2,0,0.0,2019,2019_08_DET_NYG
CHI,2019-10-20,24,Sun,6,7,,NOR,L 25-36,24,9,14,1,15,7,46.7,0,0,,2019,2019_07_CHI_NOR
TEN,2019-10-20,24,Sun,7,7,,LAC,W 23-20,24,2,19,3,11,6,54.5,1,0,0.0,2019,2019_07_TEN_LAC
BUF,2019-10-20,24,Sun,6,7,,MIA,W 31-21,24,8,13,3,13,7,53.8,2,2,100.0,2019,2019_07_BUF_MIA
ATL,2019-10-13,24,Sun,6,6,@,ARI,L 33-34,24,6,16,2,13,7,53.8,1,1,100.0,2019,2019_06_ATL_ARI
DAL,2019-10-06,24,Sun,5,5,,GNB,L 24-34,24,11,9,4,12,3,25.0,0,0,,2019,2019_05_DAL_GNB
SEA,2019-10-03,24,Thu,5,5,,LAR,W 30-29,24,5,18,1,11,3,27.3,0,0,,2019,2019_05_SEA_LAR
TEN,2019-09-29,24,Sun,4,4,@,ATL,W 24-10,24,5,17,2,14,5,35.7,4,1,25.0,2019,2019_04_TEN_ATL
WAS,2019-09-29,24,Sun,4,4,@,NYG,L 3-24,24,7,13,4,13,8,61.5,1,1,100.0,2019,2019_04_WAS_NYG
CLE,2019-09-29,24,Sun,4,4,@,BAL,W 40-25,24,11,12,1,10,4,40.0,2,1,50.0,2019,2019_04_CLE_BAL
MIA,2019-09-29,24,Sun,4,4,,LAC,L 10-30,24,6,16,2,13,8,61.5,1,0,0.0,2019,2019_04_MIA_LAC
GNB,2019-09-26,24,Thu,4,4,,PHI,L 27-34,24,10,12,2,9,5,55.6,0,0,,2019,2019_04_GNB_PHI
NYG,2019-09-22,24,Sun,3,3,@,TAM,W 32-31,24,6,16,2,14,4,28.6,1,1,100.0,2019,2019_03_NYG_TAM
NYG,2019-09-15,24,Sun,2,2,,BUF,L 14-28,24,8,13,3,13,5,38.5,0,0,,2019,2019_02_NYG_BUF
OAK,2019-09-15,24,Sun,2,2,,KAN,L 10-28,24,2,18,4,14,8,57.1,0,0,,2019,2019_02_OAK_KAN
PIT,2019-09-08,24,Sun,1,1,@,NWE,L 3-33,24,8,15,1,14,7,50.0,0,0,,2019,2019_01_PIT_NWE
JAX,2019-09-08,24,Sun,1,1,,KAN,L 26-40,24,9,13,2,10,5,50.0,0,0,,2019,2019_01_JAX_KAN
CLE,2018-12-30,24,Sun,16,17,@,BAL,L 24-26,24,16,6,2,13,3,23.1,1,1,100.0,2018,2018_17_CLE_BAL
TEN,2018-12-30,24,Sun,16,17,,IND,L 17-33,24,8,15,1,13,5,38.5,1,1,100.0,2018,2018_17_TEN_IND
NYJ,2018-12-30,24,Sun,16,17,@,NWE,L 3-38,24,9,14,1,11,5,45.5,1,0,0.0,2018,2018_17_NYJ_NWE
PIT,2018-12-23,24,Sun,15,16,@,NOR,L 28-31,24,5,16,3,12,6,50.0,0,0,,2018,2018_16_PIT_NOR
TAM,2018-12-16,24,Sun,14,15,@,BAL,L 12-20,24,16,7,1,16,9,56.3,1,1,100.0,2018,2018_15_TAM_BAL
NWE,2018-12-16,24,Sun,14,15,@,PIT,L 10-17,24,9,13,2,9,4,44.4,0,0,,2018,2018_15_NWE_PIT
KAN,2018-12-09,24,Sun,13,14,,BAL,W 27-24 (OT),24,10,12,2,12,5,41.7,3,1,33.3,2018,2018_14_KAN_BAL
HOU,2018-12-09,24,Sun,13,14,,IND,L 21-24,24,4,17,3,12,4,33.3,0,0,,2018,2018_14_HOU_IND
NYJ,2018-12-09,24,Sun,13,14,@,BUF,W 27-23,24,10,9,5,14,7,50.0,0,0,,2018,2018_14_NYJ_BUF
DEN,2018-12-09,24,Sun,13,14,@,SFO,L 14-20,24,3,15,6,13,4,30.8,1,0,0.0,2018,2018_14_DEN_SFO
OAK,2018-12-09,24,Sun,13,14,,PIT,W 24-21,24,3,17,4,11,6,54.5,1,0,0.0,2018,2018_14_OAK_PIT
MIA,2018-12-02,24,Sun,12,13,,BUF,W 21-17,24,10,10,4,13,5,38.5,1,0,0.0,2018,2018_13_MIA_BUF
SEA,2018-12-02,24,Sun,12,13,,SFO,W 43-16,24,4,18,2,16,7,43.8,2,1,50.0,2018,2018_13_SEA_SFO
DET,2018-12-02,24,Sun,12,13,,LAR,L 16-30,24,9,12,3,11,5,45.5,0,0,,2018,2018_13_DET_LAR
CIN,2018-11-25,24,Sun,11,12,,CLE,L 20-35,24,7,14,3,10,5,50.0,1,1,100.0,2018,2018_12_CIN_CLE
MIN,2018-11-18,24,Sun,10,11,@,CHI,L 20-25,24,8,12,4,12,6,50.0,0,0,,2018,2018_11_MIN_CHI
NYG,2018-11-12,24,Mon,9,10,@,SFO,W 27-23,24,6,14,4,13,8,61.5,0,0,,2018,2018_10_NYG_SFO
CHI,2018-11-11,24,Sun,9,10,,DET,W 34-22,24,7,14,3,15,4,26.7,5,4,80.0,2018,2018_10_CHI_DET
IND,2018-11-11,24,Sun,9,10,,JAX,W 29-26,24,6,16,2,17,9,52.9,1,1,100.0,2018,2018_10_IND_JAX
DAL,2018-11-05,24,Mon,8,9,,TEN,L 14-28,24,11,11,2,14,11,78.6,0,0,,2018,2018_09_DAL_TEN
MIA,2018-10-21,24,Sun,7,7,,DET,L 21-32,24,12,10,2,8,2,25.0,1,1,100.0,2018,2018_07_MIA_DET
NYJ,2018-10-14,24,Sun,6,6,,IND,W 42-34,24,7,15,2,12,5,41.7,1,0,0.0,2018,2018_06_NYJ_IND
CLE,2018-10-14,24,Sun,6,6,,LAC,L 14-38,24,15,7,2,9,1,11.1,0,0,,2018,2018_06_CLE_LAC
DEN,2018-10-14,24,Sun,6,6,,LAR,L 20-23,24,13,9,2,17,8,47.1,1,1,100.0,2018,2018_06_DEN_LAR
PIT,2018-09-30,24,Sun,4,4,,BAL,L 14-26,24,6,17,1,17,8,47.1,1,1,100.0,2018,2018_04_PIT_BAL
NOR,2018-09-23,24,Sun,3,3,@,ATL,W 43-37 (OT),24,1,19,4,11,4,36.4,0,0,,2018,2018_03_NOR_ATL
GNB,2018-09-16,24,Sun,2,2,,MIN,T 29-29 (OT),24,3,20,1,14,7,50.0,0,0,,2018,2018_02_GNB_MIN
TAM,2018-09-16,24,Sun,2,2,,PHI,W 27-21,24,8,14,2,15,5,33.3,5,3,60.0,2018,2018_02_TAM_PHI
MIN,2018-09-16,24,Sun,2,2,@,GNB,T 29-29 (OT),24,9,11,4,13,4,30.8,0,0,,2018,2018_02_MIN_GNB
ARI,2018-09-16,24,Sun,2,2,@,LAR,L 0-34,24,8,14,2,15,8,53.3,3,1,33.3,2018,2018_02_ARI_LAR
PIT,2018-09-16,24,Sun,2,2,,KAN,L 37-42,24,4,17,3,5,2,40.0,0,0,,2018,2018_02_PIT_KAN
BAL,2018-09-13,24,Thu,2,2,@,CIN,L 23-34,24,6,14,4,13,5,38.5,0,0,,2018,2018_02_BAL_CIN
CIN,2018-09-09,24,Sun,1,1,@,IND,W 34-23,24,4,17,3,17,11,64.7,0,0,,2018,2018_01_CIN_IND
TAM,2017-12-18,24,Mon,14,15,,ATL,L 21-24,24,13,10,1,15,9,60.0,0,0,,2017,2017_15_TAM_ATL
CAR,2017-12-17,24,Sun,14,15,,GNB,W 31-24,24,9,13,2,11,4,36.4,3,2,66.7,2017,2017_15_CAR_GNB
WAS,2017-12-10,24,Sun,13,14,@,LAC,L 13-30,24,7,14,3,15,6,40.0,0,0,,2017,2017_14_WAS_LAC
CLE,2017-12-10,24,Sun,13,14,,GNB,L 21-27 (OT),24,7,14,3,16,8,50.0,3,2,66.7,2017,2017_14_CLE_GNB
CIN,2017-12-04,24,Mon,12,13,,PIT,L 20-23,24,5,15,4,12,4,33.3,1,1,100.0,2017,2017_13_CIN_PIT
TEN,2017-12-03,24,Sun,12,13,,HOU,W 24-13,24,3,17,4,16,8,50.0,1,1,100.0,2017,2017_13_TEN_HOU
DET,2017-12-03,24,Sun,12,13,@,BAL,L 20-44,24,8,13,3,12,5,41.7,0,0,,2017,2017_13_DET_BAL
NOR,2017-11-26,24,Sun,11,12,@,LAR,L 20-26,24,6,14,4,14,3,21.4,0,0,,2017,2017_12_NOR_LAR
CHI,2017-11-26,24,Sun,11,12,@,PHI,L 3-31,24,8,14,2,16,7,43.8,4,3,75.0,2017,2017_12_CHI_PHI
NOR,2017-11-19,24,Sun,10,11,,WAS,W 34-31 (OT),24,6,15,3,12,4,33.3,2,2,100.0,2017,2017_11_NOR_WAS
DET,2017-11-19,24,Sun,10,11,@,CHI,W 27-24,24,11,11,2,9,3,33.3,1,1,100.0,2017,2017_11_DET_CHI
MIN,2017-11-12,24,Sun,9,10,@,WAS,W 38-30,24,7,16,1,14,5,35.7,5,3,60.0,2017,2017_10_MIN_WAS
SEA,2017-11-09,24,Thu,9,10,@,ARI,W 22-16,24,2,16,6,15,6,40.0,3,1,33.3,2017,2017_10_SEA_ARI
GNB,2017-11-06,24,Mon,8,9,,DET,L 17-30,24,4,19,1,13,8,61.5,0,0,,2017,2017_09_GNB_DET
KAN,2017-11-05,24,Sun,9,9,@,DAL,L 17-28,24,10,13,1,12,7,58.3,0,0,,2017,2017_09_KAN_DAL
TEN,2017-11-05,24,Sun,8,9,,BAL,W 23-20,24,4,19,1,16,6,37.5,4,3,75.0,2017,2017_09_TEN_BAL
GNB,2017-10-15,24,Sun,6,6,@,MIN,L 10-23,24,7,13,4,12,4,33.3,1,0,0.0,2017,2017_06_GNB_MIN
DAL,2017-10-01,24,Sun,4,4,,LAR,L 30-35,24,9,14,1,13,5,38.5,0,0,,2017,2017_04_DAL_LAR
TAM,2017-10-01,24,Sun,3,4,,NYG,W 25-23,24,5,17,2,17,8,47.1,1,0,0.0,2017,2017_04_TAM_NYG
DAL,2017-10-01,24,Sun,4,4,,LAR,L 30-35,24,9,14,1,13,5,38.5,0,0,,2017,2017_04_DAL_LAR
BAL,2017-09-24,24,Sun,3,3,@,JAX,L 7-44,24,7,13,4,12,3,25.0,2,2,100.0,2017,2017_03_BAL_JAX
NYG,2017-09-24,24,Sun,3,3,@,PHI,L 24-27,24,13,8,3,14,5,35.7,3,2,66.7,2017,2017_03_NYG_PHI
KAN,2017-09-24,24,Sun,3,3,@,LAC,W 24-10,24,5,13,6,13,5,38.5,0,0,,2017,2017_03_KAN_LAC
TEN,2017-09-24,24,Sun,3,3,,SEA,W 33-27,24,4,20,0,14,4,28.6,2,1,50.0,2017,2017_03_TEN_SEA
ATL,2017-09-17,24,Sun,2,2,,GNB,W 34-23,24,4,18,2,12,5,41.7,3,3,100.0,2017,2017_02_ATL_GNB
CLE,2017-09-17,24,Sun,2,2,@,BAL,L 10-24,24,7,16,1,11,4,36.4,0,0,,2017,2017_02_CLE_BAL
MIA,2017-09-17,24,Sun,1,2,@,LAC,W 19-17,24,3,19,2,8,2,25.0,0,0,,2017,2017_02_MIA_LAC
DET,2017-09-10,24,Sun,1,1,,ARI,W 35-23,24,4,15,5,15,6,40.0,1,1,100.0,2017,2017_01_DET_ARI
NYG,2023-01-08,23,Sun,17,18,@,PHI,L 16-22,23,11,11,1,14,5,35.7,0,0,,2022,2022_18_NYG_PHI
CLE,2023-01-08,23,Sun,17,18,@,PIT,L 14-28,23,10,10,3,15,9,60.0,0,0,,2022,2022_18_CLE_PIT
NYG,2022-12-24,23,Sat,15,16,@,MIN,L 24-27,23,4,17,2,13,6,46.2,1,0,0.0,2022,2022_16_NYG_MIN
MIN,2022-12-24,23,Sat,15,16,,NYG,W 27-24,23,6,15,2,11,3,27.3,1,1,100.0,2022,2022_16_MIN_NYG
ARI,2022-12-18,23,Sun,14,15,@,DEN,L 15-24,23,12,10,1,11,4,36.4,0,0,,2022,2022_15_ARI_DEN
TEN,2022-12-18,23,Sun,14,15,@,LAC,L 14-17,23,8,13,2,13,4,30.8,2,2,100.0,2022,2022_15_TEN_LAC
CLE,2022-12-11,23,Sun,13,14,@,CIN,L 10-23,23,8,11,4,15,6,40.0,0,0,,2022,2022_14_CLE_CIN
MIN,2022-12-11,23,Sun,13,14,@,DET,L 23-34,23,4,18,1,15,7,46.7,2,1,50.0,2022,2022_14_MIN_DET
DET,2022-12-11,23,Sun,13,14,,MIN,W 34-23,23,2,18,3,10,4,40.0,2,1,50.0,2022,2022_14_DET_MIN
BAL,2022-12-11,23,Sun,13,14,@,PIT,W 16-14,23,3,16,4,8,4,50.0,0,0,,2022,2022_14_BAL_PIT
IND,2022-12-04,23,Sun,13,13,@,DAL,L 19-54,23,10,11,2,13,7,53.8,1,1,100.0,2022,2022_13_IND_DAL
MIN,2022-12-04,23,Sun,12,13,,NYJ,W 27-22,23,6,15,2,16,3,18.8,5,2,40.0,2022,2022_13_MIN_NYJ
NWE,2022-11-24,23,Thu,11,12,@,MIN,L 26-33,23,2,16,5,15,8,53.3,0,0,,2022,2022_12_NWE_MIN
MIN,2022-11-20,23,Sun,10,11,,DAL,L 3-40,23,12,11,0,17,12,70.6,0,0,,2022,2022_11_MIN_DAL
NYG,2022-11-20,23,Sun,10,11,,DET,L 18-31,23,12,9,2,13,6,46.2,0,0,,2022,2022_11_NYG_DET
LAC,2022-11-20,23,Sun,10,11,,KAN,L 27-30,23,7,15,1,10,5,50.0,0,0,,2022,2022_11_LAC_KAN
NOR,2022-11-07,23,Mon,9,9,,BAL,L 13-27,23,14,7,2,15,9,60.0,0,0,,2022,2022_09_NOR_BAL
MIA,2022-11-06,23,Sun,9,9,@,CHI,W 35-32,23,15,7,1,16,10,62.5,2,1,50.0,2022,2022_09_MIA_CHI
ATL,2022-10-30,23,Sun,8,8,,CAR,W 37-34 (OT),23,10,12,1,13,5,38.5,2,1,50.0,2022,2022_08_ATL_CAR
BUF,2022-10-16,23,Sun,6,6,@,KAN,W 24-20,23,4,16,3,11,4,36.4,1,1,100.0,2022,2022_06_BUF_KAN
MIN,2022-10-16,23,Sun,6,6,@,MIA,W 24-16,23,5,18,0,14,4,28.6,2,1,50.0,2022,2022_06_MIN_MIA
NYG,2022-10-16,23,Sun,6,6,,BAL,W 24-20,23,10,13,0,10,4,40.0,0,0,,2022,2022_06_NYG_BAL
PHI,2022-10-09,23,Sun,5,5,@,ARI,W 20-17,23,7,16,0,14,8,57.1,1,1,100.0,2022,2022_05_PHI_ARI
BUF,2022-10-09,23,Sun,5,5,,PIT,W 38-3,23,2,19,2,15,5,33.3,3,0,0.0,2022,2022_05_BUF_PIT
NOR,2022-10-02,23,Sun,4,4,,MIN,L 25-28,23,3,15,5,14,5,35.7,1,1,100.0,2022,2022_04_NOR_MIN
NYG,2022-09-26,23,Mon,3,3,,DAL,L 16-23,23,9,12,2,13,5,38.5,1,1,100.0,2022,2022_03_NYG_DAL
LAR,2022-09-25,23,Sun,3,3,@,ARI,W 20-12,23,8,15,0,18,6,33.3,5,4,80.0,2022,2022_03_LAR_ARI
MIN,2022-09-25,23,Sun,3,3,,DET,W 28-24,23,6,14,3,16,3,18.8,6,4,66.7,2022,2022_03_MIN_DET
ATL,2022-09-25,23,Sun,3,3,@,SEA,W 27-23,23,8,15,0,17,9,52.9,3,2,66.7,2022,2022_03_ATL_SEA
TEN,2022-09-19,23,Mon,2,2,@,BUF,L 7-41,23,6,13,4,13,5,38.5,3,2,66.7,2022,2022_02_TEN_BUF
MIA,2022-09-18,23,Sun,2,2,@,BAL,W 42-38,23,6,13,4,10,3,30.0,3,1,33.3,2022,2022_02_MIA_BAL
CAR,2022-09-11,23,Sun,1,1,,CLE,L 24-26,23,11,7,5,18,8,44.4,2,1,50.0,2022,2022_01_CAR_CLE
PHI,2022-09-11,23,Sun,1,1,@,DET,W 38-35,23,9,12,2,14,9,64.3,1,1,100.0,2022,2022_01_PHI_DET
LAR,2022-09-08,23,Thu,1,1,,BUF,L 10-31,23,7,15,1,10,9,90.0,0,0,,2022,2022_01_LAR_BUF
NWE,2022-01-09,23,Sun,17,18,@,MIA,L 24-33,23,12,7,4,15,7,46.7,1,0,0.0,2021,2021_18_NWE_MIA
HOU,2022-01-09,23,Sun,17,18,,TEN,L 25-28,23,6,16,1,13,8,61.5,0,0,,2021,2021_18_HOU_TEN
LAR,2022-01-09,23,Sun,17,18,,SFO,L 24-27 (OT),23,8,15,0,14,9,64.3,0,0,,2021,2021_18_LAR_SFO
CIN,2022-01-02,23,Sun,16,17,,KAN,W 34-31,23,11,11,1,11,6,54.5,1,1,100.0,2021,2021_17_CIN_KAN
KAN,2022-01-02,23,Sun,16,17,@,CIN,L 31-34,23,5,12,6,10,4,40.0,1,1,100.0,2021,2021_17_KAN_CIN
DAL,2022-01-02,23,Sun,16,17,,ARI,L 22-25,23,9,12,2,16,7,43.8,2,2,100.0,2021,2021_17_DAL_ARI
WAS,2021-12-21,23,Tue,14,15,@,PHI,L 17-27,23,11,12,0,13,7,53.8,1,0,0.0,2021,2021_15_WAS_PHI
NYJ,2021-12-19,23,Sun,14,15,@,MIA,L 24-31,23,12,10,1,12,5,41.7,3,2,66.7,2021,2021_15_NYJ_MIA
ATL,2021-12-19,23,Sun,14,15,@,SFO,L 13-31,23,11,11,1,11,6,54.5,0,0,,2021,2021_15_ATL_SFO
DET,2021-12-19,23,Sun,14,15,,ARI,W 30-12,23,6,16,1,15,7,46.7,3,1,33.3,2021,2021_15_DET_ARI
NYG,2021-12-19,23,Sun,14,15,,DAL,L 6-21,23,9,14,0,14,8,57.1,0,0,,2021,2021_15_NYG_DAL
MIN,2021-12-05,23,Sun,12,13,@,DET,L 27-29,23,7,14,2,11,2,18.2,3,1,33.3,2021,2021_13_MIN_DET
LVR,2021-12-05,23,Sun,12,13,,WAS,L 15-17,23,7,12,4,13,7,53.8,0,0,,2021,2021_13_LVR_WAS
TEN,2021-11-28,23,Sun,12,12,@,NWE,L 13-36,23,6,15,2,10,4,40.0,0,0,,2021,2021_12_TEN_NWE
MIN,2021-11-28,23,Sun,11,12,@,SFO,L 26-34,23,11,10,2,12,5,41.7,0,0,,2021,2021_12_MIN_SFO
LAC,2021-11-28,23,Sun,11,12,@,DEN,L 13-28,23,11,9,3,11,8,72.7,0,0,,2021,2021_12_LAC_DEN
LVR,2021-11-25,23,Thu,11,12,@,DAL,W 36-33 (OT),23,6,13,4,13,3,23.1,0,0,,2021,2021_12_LVR_DAL
LVR,2021-11-21,23,Sun,10,11,,CIN,L 13-32,23,10,10,3,16,8,50.0,0,0,,2021,2021_11_LVR_CIN
CHI,2021-11-21,23,Sun,10,11,,BAL,L 13-16,23,9,12,2,16,7,43.8,1,1,100.0,2021,2021_11_CHI_BAL
TAM,2021-11-14,23,Sun,9,10,@,WAS,L 19-29,23,8,13,2,19,11,57.9,2,2,100.0,2021,2021_10_TAM_WAS
MIA,2021-11-11,23,Thu,10,10,,BAL,W 22-10,23,7,12,4,14,2,14.3,0,0,,2021,2021_10_MIA_BAL
DAL,2021-11-07,23,Sun,8,9,,DEN,L 16-30,23,12,9,2,15,8,53.3,0,0,,2021,2021_09_DAL_DEN
MIN,2021-10-31,23,Sun,7,8,,DAL,L 16-20,23,4,17,2,14,7,50.0,0,0,,2021,2021_08_MIN_DAL
PHI,2021-10-24,23,Sun,7,7,@,LVR,L 22-33,23,7,16,0,9,3,33.3,1,1,100.0,2021,2021_07_PHI_LVR
DEN,2021-10-21,23,Thu,7,7,@,CLE,L 14-17,23,12,11,0,15,9,60.0,1,1,100.0,2021,2021_07_DEN_CLE
JAX,2021-10-17,23,Sun,6,6,,MIA,W 23-20,23,4,18,1,17,9,52.9,2,1,50.0,2021,2021_06_JAX_MIA
JAX,2021-10-10,23,Sun,5,5,,TEN,L 19-37,23,12,10,1,11,5,45.5,1,1,100.0,2021,2021_05_JAX_TEN
PIT,2021-10-03,23,Sun,4,4,@,GNB,L 17-27,23,9,13,1,15,9,60.0,1,0,0.0,2021,2021_04_PIT_GNB
SEA,2021-10-03,23,Sun,4,4,@,SFO,W 28-21,23,7,15,1,14,2,14.3,4,3,75.0,2021,2021_04_SEA_SFO
CHI,2021-10-03,23,Sun,4,4,,DET,W 24-14,23,4,15,4,11,4,36.4,3,1,33.3,2021,2021_04_CHI_DET
JAX,2021-09-26,23,Sun,3,3,,ARI,L 19-31,23,8,14,1,9,1,11.1,2,2,100.0,2021,2021_03_JAX_ARI
NYJ,2021-09-26,23,Sun,3,3,@,DEN,L 0-26,23,9,10,4,11,4,36.4,0,0,,2021,2021_03_NYJ_DEN
PHI,2021-09-19,23,Sun,2,2,,SFO,L 11-17,23,10,9,4,14,6,42.9,1,1,100.0,2021,2021_02_PHI_SFO
SEA,2021-09-12,23,Sun,1,1,@,IND,W 28-16,23,8,14,1,13,5,38.5,3,0,0.0,2021,2021_01_SEA_IND
JAX,2021-01-03,23,Sun,16,17,@,IND,L 14-28,23,12,9,2,10,3,30.0,0,0,,2020,2020_17_JAX_IND
NYJ,2021-01-03,23,Sun,16,17,@,NWE,L 14-28,23,7,15,1,12,6,50.0,0,0,,2020,2020_17_NYJ_NWE
