Team,Date,1stDOpp,Day,G#,Week,,Opp,Result,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,Season,game_id
DAL,2022-12-24,25,Sat,15,16,,PHI,W 40-34,25,4,19,2,14,8,57.1,3,2,66.7,2022,2022_16_DAL_PHI
CIN,2022-12-18,25,Sun,14,15,@,TAM,W 34-23,25,6,18,1,12,4,33.3,3,2,66.7,2022,2022_15_CIN_TAM
NOR,2022-12-05,25,Mon,13,13,@,TAM,L 16-17,25,4,19,2,15,8,53.3,0,0,,2022,2022_13_NOR_TAM
LAR,2022-12-04,25,Sun,12,13,,SEA,L 23-27,25,5,18,2,10,5,50.0,0,0,,2022,2022_13_LAR_SEA
NYG,2022-12-04,25,Sun,12,13,,WAS,T 20-20 (OT),25,11,13,1,14,3,21.4,1,1,100.0,2022,2022_13_NYG_WAS
HOU,2022-11-27,25,Sun,11,12,@,MIA,L 15-30,25,4,18,3,15,4,26.7,1,1,100.0,2022,2022_12_HOU_MIA
DET,2022-11-20,25,Sun,10,11,@,NYG,W 31-18,25,7,17,1,13,5,38.5,3,2,66.7,2022,2022_11_DET_NYG
PHI,2022-11-14,25,Mon,9,10,,WAS,L 21-32,25,12,9,4,21,12,57.1,1,1,100.0,2022,2022_10_PHI_WAS
CHI,2022-11-13,25,Sun,10,10,,DET,L 30-31,25,9,12,4,11,5,45.5,1,1,100.0,2022,2022_10_CHI_DET
MIN,2022-10-30,25,Sun,7,8,,ARI,W 34-26,25,5,17,3,11,4,36.4,1,0,0.0,2022,2022_08_MIN_ARI
ARI,2022-10-30,25,Sun,8,8,@,MIN,L 26-34,25,11,11,3,13,6,46.2,1,0,0.0,2022,2022_08_ARI_MIN
HOU,2022-10-23,25,Sun,6,7,@,LVR,L 20-38,25,11,13,1,9,4,44.4,1,1,100.0,2022,2022_07_HOU_LVR
KAN,2022-10-23,25,Sun,7,7,@,SFO,W 44-23,25,6,18,1,14,8,57.1,0,0,,2022,2022_07_KAN_SFO
ARI,2022-10-20,25,Thu,7,7,,NOR,W 42-34,25,7,17,1,13,6,46.2,1,1,100.0,2022,2022_07_ARI_NOR
IND,2022-10-16,25,Sun,6,6,,JAX,W 34-27,25,13,8,4,10,5,50.0,2,1,50.0,2022,2022_06_IND_JAX
JAX,2022-10-02,25,Sun,4,4,@,PHI,L 21-29,25,14,8,3,15,4,26.7,5,3,60.0,2022,2022_04_JAX_PHI
DEN,2022-10-02,25,Sun,4,4,@,LVR,L 23-32,25,14,11,0,14,7,50.0,0,0,,2022,2022_04_DEN_LVR
LAC,2022-09-25,25,Sun,3,3,,JAX,L 10-38,25,8,16,1,15,8,53.3,3,2,66.7,2022,2022_03_LAC_JAX
MIN,2022-09-19,25,Mon,2,2,@,PHI,L 7-24,25,10,13,2,13,7,53.8,0,0,,2022,2022_02_MIN_PHI
SEA,2022-09-18,25,Sun,2,2,@,SFO,L 7-27,25,11,8,6,15,6,40.0,3,2,66.7,2022,2022_02_SEA_SFO
NYJ,2022-01-09,25,Sun,17,18,@,BUF,L 10-27,25,7,15,3,18,8,44.4,1,0,0.0,2021,2021_18_NYJ_BUF
PIT,2021-12-26,25,Sun,15,16,@,KAN,L 10-36,25,9,16,0,11,4,36.4,1,1,100.0,2021,2021_16_PIT_KAN
HOU,2021-12-26,25,Sun,15,16,,LAC,W 41-29,25,3,19,3,9,6,66.7,0,0,,2021,2021_16_HOU_LAC
SEA,2021-12-12,25,Sun,13,14,@,HOU,W 33-13,25,6,16,3,13,3,23.1,2,0,0.0,2021,2021_14_SEA_HOU
DET,2021-12-12,25,Sun,13,14,@,DEN,L 10-38,25,14,10,1,12,8,66.7,1,1,100.0,2021,2021_14_DET_DEN
ATL,2021-12-05,25,Sun,12,13,,TAM,L 17-30,25,2,22,1,13,8,61.5,1,1,100.0,2021,2021_13_ATL_TAM
PIT,2021-11-28,25,Sun,11,12,@,CIN,L 10-41,25,13,11,1,11,5,45.5,1,1,100.0,2021,2021_12_PIT_CIN
GNB,2021-11-21,25,Sun,11,11,@,MIN,L 31-34,25,6,17,2,13,9,69.2,0,0,,2021,2021_11_GNB_MIN
JAX,2021-11-21,25,Sun,10,11,,SFO,L 10-30,25,13,8,4,12,6,50.0,1,1,100.0,2021,2021_11_JAX_SFO
