Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Season,game_id
LAC,2018-09-09,34,Sun,1,1,,KAN,L 28-38,34,51,17,66.7,418,3,1,5.9,2.0,103.7,1,6,1.92,8.2,8.04,8.49,8.33,12.3,2018,2018_01_LAC_KAN
MIA,2017-11-05,34,Sun,8,9,,OAK,L 24-27,34,42,8,81.0,309,3,0,7.1,0.0,121.3,1,2,2.33,7.4,7.19,8.79,8.58,9.1,2017,2017_09_MIA_OAK
IND,2022-10-23,33,Sun,7,7,@,TEN,L 10-19,33,44,11,75.0,227,1,2,2.3,4.5,76.2,3,16,6.38,5.2,4.83,3.57,3.34,6.9,2022,2022_07_IND_TEN
LAC,2022-10-23,33,Sun,7,7,,SEA,L 23-37,33,51,18,64.7,276,2,1,3.9,2.0,84.8,3,17,5.56,5.4,5.11,5.31,5.02,8.4,2022,2022_07_LAC_SEA
MIN,2022-10-09,33,Sun,5,5,,CHI,W 29-22,33,42,9,78.6,312,1,1,2.4,2.4,96.3,1,7,2.33,7.4,7.26,6.83,6.67,9.5,2022,2022_05_MIN_CHI
LAC,2022-09-15,33,Thu,2,2,@,KAN,L 24-27,33,48,15,68.8,326,3,1,6.3,2.1,100.5,2,8,4.00,6.8,6.52,7.10,6.82,9.9,2022,2022_02_LAC_KAN
CIN,2022-09-11,33,Sun,1,1,,PIT,L 20-23 (OT),33,53,20,62.3,299,2,4,3.8,7.5,61.7,7,39,11.67,5.6,4.98,3.00,2.65,9.1,2022,2022_01_CIN_PIT
CHI,2022-01-09,33,Sun,17,18,@,MIN,L 17-31,33,48,15,68.8,266,1,2,2.1,4.2,77.2,7,59,12.73,5.5,4.84,4.08,3.56,8.1,2021,2021_18_CHI_MIN
LVR,2021-12-12,33,Sun,13,14,@,KAN,L 9-48,33,45,12,73.3,246,1,1,2.2,2.2,85.7,4,17,8.16,5.5,5.02,4.91,4.51,7.5,2021,2021_14_LVR_KAN
HOU,2021-12-12,33,Sun,13,14,,SEA,L 13-33,33,49,16,67.3,317,1,0,2.0,0.0,93.2,2,14,3.92,6.5,6.22,6.88,6.61,9.6,2021,2021_14_HOU_SEA
MIN,2021-10-17,33,Sun,6,6,@,CAR,W 34-28 (OT),33,48,15,68.8,373,3,0,6.3,0.0,112.6,0,0,0.00,7.8,7.77,9.02,9.02,11.3,2021,2021_06_MIN_CAR
TAM,2021-10-10,33,Sun,5,5,,MIA,W 45-17,33,44,11,75.0,437,5,0,11.4,0.0,145.3,2,15,4.35,9.9,9.50,12.20,11.67,13.2,2021,2021_05_TAM_MIA
ATL,2021-10-10,33,Sun,5,5,,NYJ,W 27-20,33,46,13,71.7,342,2,0,4.3,0.0,107.3,0,0,0.00,7.4,7.43,8.30,8.30,10.4,2021,2021_05_ATL_NYJ
KAN,2021-10-10,33,Sun,5,5,,BUF,L 20-38,33,54,21,61.1,272,2,2,3.7,3.7,70.9,2,0,3.57,5.0,4.86,4.11,3.96,8.2,2021,2021_05_KAN_BUF
NWE,2021-10-03,33,Sun,4,4,,TAM,L 17-19,33,42,9,78.6,295,2,1,4.8,2.4,104.4,4,25,8.70,7.0,6.41,6.90,6.30,8.9,2021,2021_04_NWE_TAM
BUF,2021-09-26,33,Sun,3,3,,WAS,W 43-21,33,44,11,75.0,359,4,0,9.1,0.0,128.9,0,0,0.00,8.2,8.16,9.98,9.98,10.9,2021,2021_03_BUF_WAS
