Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Season,game_id
ATL,2019-11-24,28,Sun,11,12,,TAM,L 22-35,28,55,27,50.9,280,1,1,1.8,1.8,67.7,6,46,9.84,5.1,4.59,4.64,4.18,10.0,2019,2019_12_ATL_TAM
LAC,2019-11-18,28,Mon,11,11,,KAN,L 17-24,28,52,24,53.8,345,1,4,1.9,7.7,49.6,2,8,3.70,6.6,6.39,3.56,3.43,12.3,2019,2019_11_LAC_KAN
NOR,2019-11-17,28,Sun,10,11,@,TAM,W 34-17,28,35,7,80.0,219,3,0,8.6,0.0,122.4,1,9,2.78,6.3,6.08,7.97,7.75,7.8,2019,2019_11_NOR_TAM
CAR,2019-11-10,28,Sun,9,10,@,GNB,L 16-24,28,43,15,65.1,281,1,1,2.3,2.3,84.2,3,26,6.52,6.5,6.11,5.95,5.57,10.0,2019,2019_10_CAR_GNB
DAL,2019-11-10,28,Sun,9,10,,MIN,L 24-28,28,47,19,59.6,393,3,1,6.4,2.1,99.3,1,4,2.08,8.4,8.19,8.68,8.50,14.0,2019,2019_10_DAL_MIN
ARI,2019-11-10,28,Sun,10,10,@,TAM,L 27-30,28,45,17,62.2,342,3,1,6.7,2.2,99.3,2,8,4.26,7.6,7.28,7.93,7.60,12.2,2019,2019_10_ARI_TAM
SFO,2019-10-31,28,Thu,8,9,@,ARI,W 28-25,28,37,9,75.7,310,4,0,10.8,0.0,136.9,1,7,2.63,8.4,8.16,10.54,10.26,11.1,2019,2019_09_SFO_ARI
NYG,2019-10-27,28,Sun,8,8,@,DET,L 26-31,28,41,13,68.3,290,4,0,9.8,0.0,124.2,3,32,6.82,7.1,6.59,9.02,8.41,10.4,2019,2019_08_NYG_DET
DAL,2019-10-13,28,Sun,6,6,@,NYJ,L 22-24,28,40,12,70.0,270,0,0,0.0,0.0,89.4,1,8,2.44,6.8,6.59,6.75,6.59,9.6,2019,2019_06_DAL_NYJ
HOU,2019-10-06,28,Sun,5,5,,ATL,W 53-32,28,33,5,84.8,426,5,0,15.2,0.0,158.3,0,0,0.00,12.9,12.91,15.94,15.94,15.2,2019,2019_05_HOU_ATL
NOR,2019-10-06,28,Sun,5,5,,TAM,W 31-24,28,36,8,77.8,345,4,1,11.1,2.8,132.1,0,0,0.00,9.6,9.58,10.56,10.56,12.3,2019,2019_05_NOR_TAM
NWE,2019-10-06,28,Sun,5,5,@,WAS,W 33-7,28,43,15,65.1,312,3,1,7.0,2.3,103.6,4,36,8.51,7.3,6.64,7.60,6.96,11.1,2019,2019_05_NWE_WAS
TAM,2019-09-29,28,Sun,4,4,@,LAR,W 55-40,28,41,13,68.3,376,4,1,9.8,2.4,120.5,2,9,4.65,9.2,8.74,10.02,9.56,13.4,2019,2019_04_TAM_LAR
IND,2019-09-22,28,Sun,3,3,,ATL,W 27-24,28,37,9,75.7,300,2,0,5.4,0.0,118.1,1,10,2.63,8.1,7.89,9.19,8.95,10.7,2019,2019_03_IND_ATL
PHI,2019-09-15,28,Sun,2,2,@,ATL,L 20-24,28,48,20,58.3,237,1,2,2.1,4.2,62.4,3,18,5.88,4.9,4.65,3.48,3.27,8.5,2019,2019_02_PHI_ATL
NYJ,2019-09-08,28,Sun,1,1,,BUF,L 16-17,28,41,13,68.3,155,1,0,2.4,0.0,84.9,4,20,8.89,3.8,3.44,4.27,3.89,5.5,2019,2019_01_NYJ_BUF
PHI,2019-09-08,28,Sun,1,1,,WAS,W 32-27,28,39,11,71.8,313,3,0,7.7,0.0,121.0,1,0,2.50,8.0,7.83,9.56,9.33,11.2,2019,2019_01_PHI_WAS
CLE,2018-12-23,28,Sun,15,16,,CIN,W 26-18,28,38,10,73.7,347,3,0,7.9,0.0,127.9,0,0,0.00,9.1,9.13,10.71,10.71,12.4,2018,2018_16_CLE_CIN
ATL,2018-12-09,28,Sun,13,14,@,GNB,L 20-34,28,42,14,66.7,237,3,1,7.1,2.4,97.5,2,25,4.55,5.6,5.39,6.00,5.73,8.5,2018,2018_14_ATL_GNB
CAR,2018-12-02,28,Sun,12,13,@,TAM,L 17-24,28,42,14,66.7,276,2,4,4.8,9.5,63.7,4,24,8.70,6.6,6.00,3.24,2.96,9.9,2018,2018_13_CAR_TAM
LAC,2018-11-25,28,Sun,11,12,,ARI,W 45-10,28,32,4,87.5,236,3,0,9.4,0.0,131.6,4,23,11.11,7.4,6.56,9.25,8.22,8.4,2018,2018_12_LAC_ARI
DET,2018-11-22,28,Thu,11,12,,CHI,L 16-23,28,38,10,73.7,222,0,2,0.0,5.3,67.4,2,14,5.00,5.8,5.55,3.47,3.30,7.9,2018,2018_12_DET_CHI
CHI,2018-11-22,28,Thu,11,12,@,DET,W 23-16,28,38,10,73.7,226,2,0,5.3,0.0,107.1,4,12,9.52,5.9,5.38,7.00,6.33,8.1,2018,2018_12_CHI_DET
LAC,2018-11-18,28,Sun,10,11,,DEN,L 22-23,28,43,15,65.1,384,2,2,4.7,4.7,91.3,3,17,6.52,8.9,8.35,7.77,7.26,13.7,2018,2018_11_LAC_DEN
LAR,2018-11-11,28,Sun,10,10,,SEA,W 36-31,28,39,11,71.8,307,2,0,5.1,0.0,113.0,2,11,4.88,7.9,7.49,8.90,8.46,11.0,2018,2018_10_LAR_SEA
LAR,2018-11-04,28,Sun,9,9,@,NOR,L 35-45,28,40,12,70.0,391,3,1,7.5,2.5,115.7,0,0,0.00,9.8,9.78,10.15,10.15,14.0,2018,2018_09_LAR_NOR
KAN,2018-10-21,28,Sun,7,7,,CIN,W 45-10,28,39,11,71.8,353,4,1,10.3,2.6,123.7,2,5,4.88,9.1,8.61,9.95,9.46,12.6,2018,2018_07_KAN_CIN
MIA,2018-10-14,28,Sun,6,6,,CHI,W 31-28 (OT),28,44,16,63.6,380,3,2,6.8,4.5,94.9,0,0,0.00,8.6,8.64,7.95,7.95,13.6,2018,2018_06_MIA_CHI
KAN,2018-10-01,28,Mon,4,4,@,DEN,W 27-23,28,45,17,62.2,304,1,0,2.2,0.0,89.5,1,0,2.17,6.8,6.61,7.20,7.04,10.9,2018,2018_04_KAN_DEN
BAL,2018-09-30,28,Sun,4,4,@,PIT,W 26-14,28,42,14,66.7,355,2,0,4.8,0.0,109.5,2,8,4.55,8.5,8.07,9.40,8.98,12.7,2018,2018_04_BAL_PIT
NOR,2018-09-16,28,Sun,2,2,,CLE,W 21-18,28,35,7,80.0,213,2,0,5.7,0.0,114.6,3,30,7.89,6.1,5.61,7.23,6.66,7.6,2018,2018_02_NOR_CLE
ATL,2017-12-31,28,Sun,16,17,,CAR,W 22-10,28,45,17,62.2,311,1,0,2.2,0.0,90.7,1,6,2.17,6.9,6.76,7.36,7.20,11.1,2017,2017_17_ATL_CAR
TAM,2017-12-31,28,Sun,16,17,,NOR,W 31-24,28,51,23,54.9,345,1,3,2.0,5.9,59.5,2,18,3.77,6.8,6.51,4.51,4.34,12.3,2017,2017_17_TAM_NOR
LAC,2017-12-31,28,Sun,16,17,,OAK,W 30-10,28,37,9,75.7,380,3,0,8.1,0.0,135.8,1,7,2.63,10.3,10.00,11.89,11.58,13.6,2017,2017_17_LAC_OAK
MIA,2017-12-17,28,Sun,14,15,@,BUF,L 16-24,28,49,21,57.1,249,0,3,0.0,6.1,47.5,3,25,5.77,5.1,4.79,2.33,2.19,8.9,2017,2017_15_MIA_BUF
LAR,2017-11-26,28,Sun,11,12,,NOR,W 26-20,28,44,16,63.6,327,2,1,4.5,2.3,94.3,4,27,8.33,7.4,6.81,7.32,6.71,11.7,2017,2017_12_LAR_NOR
OAK,2017-11-19,28,Sun,10,11,,NWE,L 8-33,28,49,21,57.1,235,1,1,2.0,2.0,68.2,1,2,2.00,4.8,4.70,4.29,4.20,8.4,2017,2017_11_OAK_NWE
NWE,2017-11-12,28,Sun,9,10,@,DEN,W 41-16,28,37,9,75.7,297,3,0,8.1,0.0,126.3,1,6,2.63,8.0,7.82,9.65,9.39,10.6,2017,2017_10_NWE_DEN
JAX,2017-11-12,28,Sun,9,10,,LAC,W 20-17 (OT),28,51,23,54.9,263,1,2,2.0,3.9,60.3,3,10,5.56,5.2,4.87,3.78,3.57,9.4,2017,2017_10_JAX_LAC
NYG,2017-11-12,28,Sun,9,10,@,SFO,L 21-31,28,37,9,75.7,260,2,0,5.4,0.0,113.9,3,13,7.50,7.0,6.50,8.11,7.50,9.3,2017,2017_10_NYG_SFO
CAR,2017-10-12,28,Thu,6,6,,PHI,L 23-28,28,52,24,53.8,225,1,3,1.9,5.8,48.5,2,14,3.70,4.3,4.17,2.12,2.04,8.0,2017,2017_06_CAR_PHI
ARI,2017-10-08,28,Sun,5,5,@,PHI,L 7-34,28,44,16,63.6,276,1,0,2.3,0.0,90.2,2,15,4.35,6.3,6.00,6.73,6.43,9.9,2017,2017_05_ARI_PHI
GNB,2017-09-24,28,Sun,3,3,,CIN,W 27-24 (OT),28,42,14,66.7,280,3,1,7.1,2.4,102.6,6,33,12.50,6.7,5.83,7.02,6.15,10.0,2017,2017_03_GNB_CIN
TAM,2017-09-24,28,Sun,2,3,@,MIN,L 17-34,28,40,12,70.0,316,2,3,5.0,7.5,80.0,2,12,4.76,7.9,7.52,5.53,5.26,11.3,2017,2017_03_TAM_MIN
GNB,2017-09-10,28,Sun,1,1,,SEA,W 17-9,28,42,14,66.7,286,1,1,2.4,2.4,86.5,4,25,8.70,6.8,6.22,6.21,5.67,10.2,2017,2017_01_GNB_SEA
KAN,2017-09-07,28,Thu,1,1,@,NWE,W 42-27,28,35,7,80.0,352,4,0,11.4,0.0,148.6,3,16,7.89,10.1,9.26,12.34,11.37,12.6,2017,2017_01_KAN_NWE
DAL,2022-12-24,27,Sat,15,16,,PHI,W 40-34,27,35,8,77.1,304,3,1,8.6,2.9,124.3,6,43,14.63,8.7,7.41,9.11,7.78,11.3,2022,2022_16_DAL_PHI
CIN,2022-12-18,27,Sun,14,15,@,TAM,W 34-23,27,39,12,69.2,184,4,1,10.3,2.6,104.6,2,16,4.88,4.7,4.49,5.62,5.34,6.8,2022,2022_15_CIN_TAM
JAX,2022-12-18,27,Sun,14,15,,DAL,W 40-34 (OT),27,42,15,64.3,311,4,1,9.5,2.4,109.0,1,7,2.33,7.4,7.23,8.24,8.05,11.5,2022,2022_15_JAX_DAL
DEN,2022-12-11,27,Sun,13,14,,KAN,L 28-34,27,44,17,61.4,214,4,2,9.1,4.5,89.5,6,49,12.00,4.9,4.28,4.64,4.08,7.9,2022,2022_14_DEN_KAN
DET,2022-12-11,27,Sun,13,14,,MIN,W 34-23,27,39,12,69.2,330,3,0,7.7,0.0,120.7,0,0,0.00,8.5,8.46,10.00,10.00,12.2,2022,2022_14_DET_MIN
WAS,2022-12-04,27,Sun,13,13,@,NYG,T 20-20 (OT),27,41,14,65.9,246,2,0,4.9,0.0,101.2,5,29,10.87,6.0,5.35,6.98,6.22,9.1,2022,2022_13_WAS_NYG
SFO,2022-12-04,27,Sun,12,13,,MIA,W 33-17,27,41,14,65.9,230,2,1,4.9,2.4,90.1,4,36,8.89,5.6,5.11,5.49,5.00,8.5,2022,2022_13_SFO_MIA
SEA,2022-11-27,27,Sun,11,12,,LVR,L 34-40 (OT),27,37,10,73.0,307,2,1,5.4,2.7,106.6,3,21,7.50,8.3,7.68,8.16,7.55,11.4,2022,2022_12_SEA_LVR
KAN,2022-11-27,27,Sun,11,12,,LAR,W 26-10,27,42,15,64.3,320,1,1,2.4,2.4,85.4,0,0,0.00,7.6,7.62,7.02,7.02,11.9,2022,2022_12_KAN_LAR
NYG,2022-11-20,27,Sun,10,11,,DET,L 18-31,27,44,17,61.4,324,1,2,2.3,4.5,74.1,2,17,4.35,7.4,7.04,5.77,5.52,12.0,2022,2022_11_NYG_DET
DAL,2022-11-13,27,Sun,9,10,@,GNB,L 28-31 (OT),27,46,19,58.7,262,3,2,6.5,4.3,78.6,2,3,4.17,5.7,5.46,5.04,4.83,9.7,2022,2022_10_DAL_GNB
DET,2022-10-30,27,Sun,7,8,,MIA,L 27-31,27,37,10,73.0,311,1,0,2.7,0.0,108.1,1,10,2.63,8.4,8.18,8.95,8.71,11.5,2022,2022_08_DET_MIA
PIT,2022-10-30,27,Sun,8,8,@,PHI,L 13-35,27,40,13,67.5,158,1,1,2.5,2.5,76.7,6,38,13.04,4.0,3.43,3.33,2.89,5.9,2022,2022_08_PIT_PHI
BAL,2022-10-27,27,Thu,8,8,@,TAM,W 27-22,27,38,11,71.1,222,2,0,5.3,0.0,104.9,3,16,7.32,5.8,5.41,6.89,6.39,8.2,2022,2022_08_BAL_TAM
BUF,2022-10-16,27,Sun,6,6,@,KAN,W 24-20,27,40,13,67.5,318,3,0,7.5,0.0,117.6,1,11,2.44,8.0,7.76,9.45,9.22,11.8,2022,2022_06_BUF_KAN
LAC,2022-10-02,27,Sun,4,4,@,HOU,W 34-24,27,39,12,69.2,338,2,0,5.1,0.0,113.2,1,2,2.50,8.7,8.45,9.69,9.45,12.5,2022,2022_04_LAC_HOU
IND,2022-10-02,27,Sun,4,4,,TEN,L 17-24,27,37,10,73.0,327,2,1,5.4,2.7,109.7,3,29,7.50,8.8,8.18,8.70,8.05,12.1,2022,2022_04_IND_TEN
DET,2022-10-02,27,Sun,4,4,,SEA,L 45-48,27,40,13,67.5,375,4,1,10.0,2.5,121.2,1,9,2.44,9.4,9.15,10.25,10.00,13.9,2022,2022_04_DET_SEA
LVR,2022-09-25,27,Sun,3,3,@,TEN,L 22-24,27,45,18,60.0,300,2,1,4.4,2.2,86.1,1,7,2.17,6.7,6.52,6.56,6.41,11.1,2022,2022_03_LVR_TEN
GNB,2022-09-25,27,Sun,3,3,@,TAM,W 14-12,27,35,8,77.1,248,2,1,5.7,2.9,103.9,1,7,2.78,7.1,6.89,6.94,6.75,9.2,2022,2022_03_GNB_TAM
IND,2022-09-25,27,Sun,3,3,,KAN,W 20-17,27,37,10,73.0,177,2,0,5.4,0.0,105.9,5,45,11.90,4.8,4.21,5.86,5.17,6.6,2022,2022_03_IND_KAN
MIN,2022-09-19,27,Mon,2,2,@,PHI,L 7-24,27,46,19,58.7,202,1,3,2.2,6.5,51.1,2,19,4.17,4.4,4.21,1.89,1.81,7.5,2022,2022_02_MIN_PHI
LAR,2022-09-18,27,Sun,2,2,,ATL,W 31-27,27,36,9,75.0,272,3,2,8.3,5.6,100.7,1,0,2.70,7.6,7.35,6.72,6.54,10.1,2022,2022_02_LAR_ATL
NYJ,2022-09-18,27,Sun,2,2,@,CLE,W 31-30,27,45,18,60.0,309,4,0,8.9,0.0,111.7,2,15,4.26,6.9,6.57,8.64,8.28,11.4,2022,2022_02_NYJ_CLE
WAS,2022-09-11,27,Sun,1,1,,JAX,W 28-22,27,41,14,65.9,305,4,2,9.8,4.9,101.0,1,8,2.38,7.4,7.26,7.20,7.02,11.3,2022,2022_01_WAS_JAX
KAN,2022-01-08,27,Sat,17,18,@,DEN,W 28-24,27,44,17,61.4,255,2,0,4.5,0.0,93.9,1,15,2.22,5.8,5.67,6.70,6.56,9.4,2021,2021_18_KAN_DEN
ARI,2022-01-02,27,Sun,16,17,@,DAL,W 25-22,27,39,12,69.2,272,2,0,5.1,0.0,107.4,1,14,2.50,7.0,6.80,8.00,7.80,10.1,2021,2021_17_ARI_DAL
WAS,2022-01-02,27,Sun,16,17,,PHI,L 16-20,27,36,9,75.0,218,0,1,0.0,2.8,81.6,3,29,7.69,6.1,5.59,4.81,4.44,8.1,2021,2021_17_WAS_PHI
LAC,2021-12-26,27,Sun,15,16,@,HOU,L 29-41,27,35,8,77.1,328,1,2,2.9,5.7,92.1,1,8,2.78,9.4,9.11,7.37,7.17,12.1,2021,2021_16_LAC_HOU
MIN,2021-12-26,27,Sun,15,16,,LAR,L 23-30,27,38,11,71.1,295,1,1,2.6,2.6,93.6,3,20,7.32,7.8,7.20,7.11,6.59,10.9,2021,2021_16_MIN_LAR
ARI,2021-12-25,27,Sat,15,16,,IND,L 16-22,27,43,16,62.8,245,1,0,2.3,0.0,85.9,0,0,0.00,5.7,5.70,6.16,6.16,9.1,2021,2021_16_ARI_IND
SFO,2021-12-12,27,Sun,13,14,@,CIN,W 26-23 (OT),27,41,14,65.9,255,2,0,4.9,0.0,103.3,5,41,10.87,6.2,5.54,7.20,6.41,9.4,2021,2021_14_SFO_CIN
WAS,2021-11-29,27,Mon,11,12,,SEA,W 17-15,27,35,8,77.1,219,1,1,2.9,2.9,90.5,1,4,2.78,6.3,6.08,5.54,5.39,8.1,2021,2021_12_WAS_SEA
MIA,2021-11-28,27,Sun,12,12,,CAR,W 33-10,27,31,4,87.1,204,1,0,3.2,0.0,108.3,2,26,6.06,6.6,6.18,7.23,6.79,7.6,2021,2021_12_MIA_CAR
IND,2021-11-28,27,Sun,12,12,,TAM,L 31-38,27,44,17,61.4,285,3,2,6.8,4.5,86.0,3,21,6.38,6.5,6.06,5.80,5.43,10.6,2021,2021_12_IND_TAM
MIA,2021-11-21,27,Sun,11,11,@,NYJ,W 24-17,27,34,7,79.4,273,2,1,5.9,2.9,107.5,0,0,0.00,8.0,8.03,7.88,7.88,10.1,2021,2021_11_MIA_NYJ
LAR,2021-11-15,27,Mon,10,10,@,SFO,L 10-31,27,42,15,64.3,226,1,2,2.4,4.8,68.1,2,19,4.55,5.4,5.14,3.71,3.55,8.4,2021,2021_10_LAR_SFO
NYJ,2021-11-14,27,Sun,9,10,,BUF,L 17-45,27,47,20,57.4,296,1,4,2.1,8.5,48.0,1,2,2.08,6.3,6.17,2.89,2.83,11.0,2021,2021_10_NYJ_BUF
BAL,2021-11-07,27,Sun,8,9,,MIN,W 34-31 (OT),27,41,14,65.9,253,3,2,7.3,4.9,88.1,3,13,6.82,6.2,5.75,5.44,5.07,9.4,2021,2021_09_BAL_MIN
NOR,2021-11-07,27,Sun,8,9,,ATL,L 25-27,27,43,16,62.8,267,2,0,4.7,0.0,97.2,1,15,2.27,6.2,6.07,7.14,6.98,9.9,2021,2021_09_NOR_ATL
IND,2021-10-31,27,Sun,8,8,,TEN,L 31-34 (OT),27,51,24,52.9,224,3,2,5.9,3.9,68.3,1,7,1.92,4.4,4.31,3.80,3.73,8.3,2021,2021_08_IND_TEN
GNB,2021-10-24,27,Sun,7,7,,WAS,W 24-10,27,35,8,77.1,247,3,0,8.6,0.0,127.6,3,27,7.89,7.1,6.50,8.77,8.08,9.1,2021,2021_07_GNB_WAS
MIA,2021-10-10,27,Sun,5,5,@,TAM,L 17-45,27,39,12,69.2,262,2,1,5.1,2.6,95.6,3,13,7.14,6.7,6.24,6.59,6.12,9.7,2021,2021_05_MIA_TAM
GNB,2021-10-10,27,Sun,5,5,@,CIN,W 25-22 (OT),27,39,12,69.2,333,2,1,5.1,2.6,102.9,2,11,4.88,8.5,8.12,8.41,8.00,12.3,2021,2021_05_GNB_CIN
KAN,2021-09-26,27,Sun,3,3,,LAC,L 24-30,27,44,17,61.4,251,3,2,6.8,4.5,81.6,2,9,4.35,5.7,5.46,5.02,4.80,9.3,2021,2021_03_KAN_LAC
LAR,2021-09-26,27,Sun,3,3,,TAM,W 34-24,27,38,11,71.1,331,4,0,10.5,0.0,134.0,1,12,2.56,8.7,8.49,10.82,10.54,12.3,2021,2021_03_LAR_TAM
ATL,2021-09-26,27,Sun,3,3,@,NYG,W 17-14,27,36,9,75.0,227,2,0,5.6,0.0,111.2,3,16,7.69,6.3,5.82,7.42,6.85,8.4,2021,2021_03_ATL_NYG
PIT,2021-09-19,27,Sun,2,2,,LVR,L 17-26,27,40,13,67.5,292,1,1,2.5,2.5,87.0,2,3,4.76,7.3,6.95,6.68,6.36,10.8,2021,2021_02_PIT_LVR
TEN,2021-09-19,27,Sun,2,2,@,SEA,W 33-30 (OT),27,40,13,67.5,320,0,0,0.0,0.0,94.5,3,27,6.98,8.0,7.44,8.00,7.44,11.9,2021,2021_02_TEN_SEA
PHI,2021-09-12,27,Sun,1,1,@,ATL,W 32-6,27,35,8,77.1,261,3,0,8.6,0.0,126.4,1,3,2.78,7.5,7.25,9.17,8.92,9.7,2021,2021_01_PHI_ATL
KAN,2021-09-12,27,Sun,1,1,,CLE,W 33-29,27,36,9,75.0,324,3,0,8.3,0.0,131.4,2,13,5.26,9.0,8.53,10.67,10.11,12.0,2021,2021_01_KAN_CLE
ATL,2020-12-27,27,Sun,15,16,@,KAN,L 14-17,27,35,8,77.1,277,2,0,5.7,0.0,121.1,4,23,10.26,7.9,7.10,9.06,8.13,10.3,2020,2020_16_ATL_KAN
MIN,2020-12-25,27,Fri,15,16,@,NOR,L 33-52,27,41,14,65.9,274,3,0,7.3,0.0,110.9,2,17,4.65,6.7,6.37,8.15,7.77,10.1,2020,2020_16_MIN_NOR
CLE,2020-12-20,27,Sun,14,15,@,NYG,W 20-6,27,32,5,84.4,286,2,0,6.3,0.0,126.2,1,11,3.03,8.9,8.67,10.19,9.88,10.6,2020,2020_15_CLE_NYG
DET,2020-12-20,27,Sun,14,15,@,TEN,L 25-46,27,38,11,71.1,307,1,1,2.6,2.6,92.8,0,0,0.00,8.1,8.08,7.42,7.42,11.4,2020,2020_15_DET_TEN
DET,2020-12-13,27,Sun,13,14,,GNB,L 24-31,27,40,13,67.5,242,1,0,2.5,0.0,95.1,4,31,9.09,6.1,5.50,6.55,5.95,9.0,2020,2020_14_DET_GNB
DET,2020-12-06,27,Sun,12,13,@,CHI,W 34-30,27,42,15,64.3,400,3,1,7.1,2.4,109.4,2,2,4.55,9.5,9.09,9.88,9.43,14.8,2020,2020_13_DET_CHI
NOR,2020-12-06,27,Sun,12,13,@,ATL,W 21-16,27,37,10,73.0,217,2,0,5.4,0.0,107.0,2,15,5.13,5.9,5.56,6.95,6.59,8.0,2020,2020_13_NOR_ATL
IND,2020-12-06,27,Sun,12,13,@,HOU,W 26-20,27,35,8,77.1,262,2,0,5.7,0.0,119.3,3,23,7.89,7.5,6.89,8.63,7.95,9.7,2020,2020_13_IND_HOU
SEA,2020-12-06,27,Sun,12,13,,NYG,L 12-17,27,43,16,62.8,216,1,1,2.3,2.3,78.0,5,47,10.42,5.0,4.50,4.44,3.98,8.0,2020,2020_13_SEA_NYG
TAM,2020-11-29,27,Sun,12,12,,KAN,L 24-27,27,41,14,65.9,342,3,2,7.3,4.9,96.1,1,3,2.38,8.3,8.14,7.61,7.43,12.7,2020,2020_12_TAM_KAN
GNB,2020-11-22,27,Sun,10,11,@,IND,L 31-34 (OT),27,38,11,71.1,301,3,1,7.9,2.6,110.7,1,10,2.56,7.9,7.72,8.32,8.10,11.1,2020,2020_11_GNB_IND
LAR,2020-11-15,27,Sun,9,10,,SEA,W 23-16,27,37,10,73.0,283,0,0,0.0,0.0,96.9,3,19,7.50,7.6,7.08,7.65,7.08,10.5,2020,2020_10_LAR_SEA
PIT,2020-11-15,27,Sun,9,10,,CIN,W 36-10,27,46,19,58.7,333,4,0,8.7,0.0,110.1,0,0,0.00,7.2,7.24,8.98,8.98,12.3,2020,2020_10_PIT_CIN
NWE,2020-11-09,27,Mon,8,9,@,NYJ,W 30-27,27,35,8,77.1,274,0,0,0.0,0.0,99.0,0,0,0.00,7.8,7.83,7.83,7.83,10.1,2020,2020_09_NWE_NYJ
GNB,2020-11-01,27,Sun,7,8,,MIN,L 22-28,27,41,14,65.9,291,3,0,7.3,0.0,110.9,1,0,2.38,7.1,6.93,8.56,8.36,10.8,2020,2020_08_GNB_MIN
SEA,2020-11-01,27,Sun,7,8,,SFO,W 37-27,27,37,10,73.0,249,4,0,10.8,0.0,128.3,2,12,5.13,6.7,6.38,8.89,8.44,9.2,2020,2020_08_SEA_SFO
MIN,2020-10-11,27,Sun,5,5,@,SEA,L 26-27,27,39,12,69.2,248,2,1,5.1,2.6,92.8,3,1,7.14,6.4,5.90,6.23,5.79,9.2,2020,2020_05_MIN_SEA
CAR,2020-10-11,27,Sun,5,5,@,ATL,W 23-16,27,36,9,75.0,313,2,0,5.6,0.0,119.3,0,0,0.00,8.7,8.69,9.81,9.81,11.6,2020,2020_05_CAR_ATL
ARI,2020-10-11,27,Sun,5,5,@,NYJ,W 30-10,27,37,10,73.0,369,1,1,2.7,2.7,103.4,1,11,2.63,10.0,9.71,9.30,9.05,13.7,2020,2020_05_ARI_NYJ
PIT,2020-10-11,27,Sun,4,5,,PHI,W 38-29,27,34,7,79.4,231,3,0,8.8,0.0,125.4,1,8,2.86,6.8,6.60,8.56,8.31,8.6,2020,2020_05_PIT_PHI
GNB,2020-10-05,27,Mon,4,4,,ATL,W 30-16,27,33,6,81.8,315,4,0,12.1,0.0,147.5,1,12,2.94,9.5,9.26,11.97,11.62,11.7,2020,2020_04_GNB_ATL
JAX,2020-10-04,27,Sun,4,4,@,CIN,L 25-33,27,40,13,67.5,340,2,1,5.0,2.5,101.1,3,11,6.98,8.5,7.91,8.38,7.79,12.6,2020,2020_04_JAX_CIN
SEA,2020-09-27,27,Sun,3,3,,DAL,W 38-31,27,40,13,67.5,295,5,0,12.5,0.0,130.7,4,20,9.09,7.4,6.70,9.88,8.98,10.9,2020,2020_03_SEA_DAL
KAN,2020-09-20,27,Sun,2,2,@,LAC,W 23-20 (OT),27,47,20,57.4,289,2,0,4.3,0.0,90.9,1,13,2.08,6.1,6.02,7.00,6.85,10.7,2020,2020_02_KAN_LAC
ARI,2019-12-29,27,Sun,16,17,@,LAR,L 24-31,27,43,16,62.8,322,2,2,4.7,4.7,82.0,1,3,2.27,7.5,7.32,6.33,6.18,11.9,2019,2019_17_ARI_LAR
JAX,2019-12-29,27,Sun,16,17,,IND,W 38-20,27,39,12,69.2,286,3,1,7.7,2.6,106.2,3,9,7.14,7.3,6.81,7.72,7.17,10.6,2019,2019_17_JAX_IND
GNB,2019-12-29,27,Sun,16,17,@,DET,W 23-20,27,55,28,49.1,312,2,1,3.6,1.8,72.0,1,11,1.79,5.7,5.57,5.58,5.48,11.6,2019,2019_17_GNB_DET
LAC,2019-12-22,27,Sun,15,16,,OAK,L 17-24,27,39,12,69.2,265,0,0,0.0,0.0,89.6,1,14,2.50,6.8,6.63,6.79,6.63,9.8,2019,2019_16_LAC_OAK
LAR,2019-12-21,27,Sat,15,16,@,SFO,L 31-34,27,46,19,58.7,323,2,1,4.3,2.2,85.7,0,0,0.00,7.0,7.02,6.91,6.91,12.0,2019,2019_16_LAR_SFO
KAN,2019-12-15,27,Sun,14,15,,DEN,W 23-3,27,34,7,79.4,327,2,1,5.9,2.9,115.7,3,13,8.11,9.6,8.84,9.47,8.70,12.1,2019,2019_15_KAN_DEN
SFO,2019-12-08,27,Sun,13,14,@,NOR,W 48-46,27,36,9,75.0,354,5,1,13.9,2.8,137.0,3,30,7.69,9.8,9.08,11.36,10.49,13.1,2019,2019_14_SFO_NOR
DAL,2019-12-05,27,Thu,13,14,@,CHI,L 24-31,27,49,22,55.1,326,1,0,2.0,0.0,83.2,2,8,3.92,6.7,6.39,7.06,6.78,12.1,2019,2019_14_DAL_CHI
CAR,2019-12-01,27,Sun,12,13,,WAS,L 21-29,27,46,19,58.7,213,2,1,4.3,2.2,81.6,7,65,13.21,4.6,4.02,4.52,3.92,7.9,2019,2019_13_CAR_WAS
NWE,2019-11-17,27,Sun,10,11,@,PHI,W 17-10,27,48,21,56.3,224,1,0,2.1,0.0,76.0,1,7,2.04,4.7,4.57,5.08,4.98,8.3,2019,2019_11_NWE_PHI
DET,2019-11-10,27,Sun,9,10,@,CHI,L 13-20,27,46,19,58.7,259,1,1,2.2,2.2,73.6,2,10,4.17,5.6,5.40,5.09,4.88,9.6,2019,2019_10_DET_CHI
