Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Season,game_id
BAL,2019-09-08,643,Sun,1,1,@,MIA,W 59-10,643,73,8.81,47,4.26,0,40:07,2:58,2019,2019_01_BAL_MIA
TEN,2020-10-18,607,Sun,5,6,,HOU,W 42-36 (OT),607,70,8.67,67,6.15,2,31:50,3:12,2020,2020_06_TEN_HOU
HOU,2019-10-06,592,Sun,5,5,,ATL,W 53-32,592,67,8.84,68,5.49,1,31:00,3:13,2019,2019_05_HOU_ATL
TAM,2020-12-26,588,Sat,15,16,@,DET,W 47-7,588,70,8.40,50,3.72,0,35:53,3:02,2020,2020_16_TAM_DET
NOR,2020-12-25,583,Fri,15,16,,MIN,W 52-33,583,73,7.99,60,6.07,2,36:47,3:11,2020,2020_16_NOR_MIN
LVR,2022-11-27,576,Sun,11,12,@,SEA,W 40-34 (OT),576,77,7.48,63,5.90,2,37:35,3:30,2022,2022_12_LVR_SEA
DAL,2018-12-09,576,Sun,13,14,,PHI,W 29-23 (OT),576,93,6.19,48,5.33,3,45:33,3:28,2018,2018_14_DAL_PHI
TAM,2018-10-28,576,Sun,7,8,@,CIN,L 34-37,576,83,6.94,63,6.38,4,35:59,3:23,2018,2018_08_TAM_CIN
CIN,2021-12-26,575,Sun,15,16,,BAL,W 41-21,575,70,8.21,57,5.86,0,37:03,3:02,2021,2021_16_CIN_BAL
SEA,2020-10-25,572,Sun,6,7,@,ARI,L 34-37 (OT),572,82,6.98,81,6.41,3,39:32,3:52,2020,2020_07_SEA_ARI
MIN,2021-10-17,571,Sun,6,6,@,CAR,W 34-28 (OT),571,84,6.80,68,4.50,1,37:38,3:41,2021,2021_06_MIN_CAR
SFO,2019-09-15,571,Sun,2,2,@,CIN,W 41-17,571,68,8.40,65,4.86,1,32:19,2:59,2019,2019_02_SFO_CIN
CAR,2022-12-24,570,Sat,15,16,,DET,W 37-23,570,65,8.77,61,6.25,0,35:13,3:07,2022,2022_16_CAR_DET
DAL,2020-09-20,570,Sun,2,2,,ATL,W 40-39,570,81,7.04,72,5.28,3,26:12,3:34,2020,2020_02_DAL_ATL
DAL,2021-10-17,567,Sun,6,6,@,NWE,W 35-29 (OT),567,82,6.91,50,6.70,2,39:17,3:25,2021,2021_06_DAL_NWE
DAL,2020-10-04,566,Sun,4,4,,CLE,L 38-49,566,79,7.16,73,6.96,3,26:28,3:20,2020,2020_04_DAL_CLE
OAK,2018-09-30,565,Sun,4,4,,CLE,W 45-42 (OT),565,90,6.28,74,6.58,2,36:51,4:04,2018,2018_04_OAK_CLE
DAL,2019-10-06,563,Sun,5,5,,GNB,L 24-34,563,68,8.28,65,5.15,3,23:17,3:31,2019,2019_05_DAL_GNB
TAM,2021-10-10,558,Sun,5,5,,MIA,W 45-17,558,71,7.86,51,5.90,0,37:07,2:58,2021,2021_05_TAM_MIA
LAR,2018-09-27,556,Thu,4,4,,MIN,W 38-31,556,55,10.11,71,6.28,0,27:46,3:07,2018,2018_04_LAR_MIN
SEA,2022-10-02,555,Sun,4,4,@,DET,W 48-45,555,63,8.81,66,7.88,1,33:06,3:29,2022,2022_04_SEA_DET
NWE,2017-09-17,555,Sun,2,2,@,NOR,W 36-20,555,72,7.71,63,6.81,0,35:06,3:06,2017,2017_02_NWE_NOR
BUF,2022-10-09,552,Sun,5,5,,PIT,W 38-3,552,54,10.22,72,5.06,2,23:52,3:10,2022,2022_05_BUF_PIT
NYG,2019-12-22,552,Sun,15,16,@,WAS,W 41-35 (OT),552,69,8.00,67,5.39,0,31:57,3:36,2019,2019_16_NYG_WAS
TEN,2019-12-08,552,Sun,13,14,@,OAK,W 42-21,552,59,9.36,60,5.92,1,29:12,2:58,2019,2019_14_TEN_OAK
NWE,2021-10-24,551,Sun,7,7,,NYJ,W 54-13,551,74,7.45,61,4.90,0,32:12,3:10,2021,2021_07_NWE_NYJ
KAN,2018-10-21,551,Sun,7,7,,CIN,W 45-10,551,70,7.87,54,4.43,1,33:43,3:04,2018,2018_07_KAN_CIN
LAR,2019-12-01,549,Sun,12,13,@,ARI,W 34-7,549,76,7.22,61,3.25,0,34:37,3:01,2019,2019_13_LAR_ARI
CAR,2017-11-13,548,Mon,10,10,,MIA,W 45-21,548,71,7.72,54,5.80,0,35:39,3:05,2017,2017_10_CAR_MIA
MIA,2022-09-18,547,Sun,2,2,@,BAL,W 42-38,547,69,7.93,54,8.76,2,34:47,3:20,2022,2022_02_MIA_BAL
KAN,2018-11-19,546,Mon,11,11,@,LAR,L 51-54,546,69,7.91,75,6.07,5,29:37,3:42,2018,2018_11_KAN_LAR
NOR,2018-11-18,546,Sun,10,11,,PHI,W 48-7,546,69,7.91,48,4.08,0,37:34,3:07,2018,2018_11_NOR_PHI
PIT,2017-12-10,545,Sun,13,14,,BAL,W 39-38,545,85,6.41,62,6.66,0,33:50,3:29,2017,2017_14_PIT_BAL
TAM,2020-11-15,544,Sun,10,10,@,CAR,W 46-23,544,77,7.06,47,3.98,1,36:05,3:12,2020,2020_10_TAM_CAR
KAN,2020-11-29,543,Sun,11,12,@,TAM,W 27-24,543,72,7.54,55,7.58,1,36:47,3:03,2020,2020_12_KAN_TAM
TAM,2019-12-08,542,Sun,13,14,,IND,W 38-35,542,78,6.95,59,5.24,4,34:15,3:14,2019,2019_14_TAM_IND
MIA,2018-10-14,541,Sun,6,6,,CHI,W 31-28 (OT),541,75,7.21,64,7.30,3,36:35,3:33,2018,2018_06_MIA_CHI
LAC,2018-09-09,541,Sun,1,1,,KAN,L 28-38,541,74,7.31,55,6.58,2,34:26,3:08,2018,2018_01_LAC_KAN
CIN,2020-12-27,540,Sun,15,16,@,HOU,W 37-31,540,71,7.61,51,9.57,0,36:10,3:04,2020,2020_16_CIN_HOU
GNB,2018-12-23,540,Sun,15,16,@,NYJ,W 44-38 (OT),540,79,6.84,57,6.49,1,34:19,3:47,2018,2018_16_GNB_NYJ
CIN,2022-10-23,537,Sun,7,7,,ATL,W 35-17,537,66,8.14,45,4.76,0,33:05,2:49,2022,2022_07_CIN_ATL
KAN,2017-09-07,537,Thu,1,1,@,NWE,W 42-27,537,65,8.26,74,5.01,1,30:14,3:37,2017,2017_01_KAN_NWE
NOR,2017-11-19,535,Sun,10,11,,WAS,W 34-31 (OT),535,66,8.11,67,6.81,1,30:24,3:28,2017,2017_11_NOR_WAS
BUF,2020-12-19,534,Sat,14,15,@,DEN,W 48-19,534,65,8.22,63,4.05,1,33:50,3:20,2020,2020_15_BUF_DEN
NOR,2018-09-23,534,Sun,3,3,@,ATL,W 43-37 (OT),534,77,6.94,60,6.78,0,37:45,3:38,2018,2018_03_NOR_ATL
LAC,2021-11-21,533,Sun,10,11,,PIT,W 41-37,533,69,7.72,65,4.62,1,31:46,3:17,2021,2021_11_LAC_PIT
IND,2021-11-04,532,Thu,9,9,,NYJ,W 45-30,532,61,8.72,75,6.48,0,30:27,3:12,2021,2021_09_IND_NYJ
TEN,2021-09-19,532,Sun,2,2,@,SEA,W 33-30 (OT),532,83,6.41,52,7.63,1,42:33,3:27,2021,2021_02_TEN_SEA
CLE,2021-10-10,531,Sun,5,5,@,LAC,L 42-47,531,68,7.81,68,7.25,0,36:28,3:21,2021,2021_05_CLE_LAC
KAN,2019-11-10,530,Sun,10,10,@,TEN,L 32-35,530,78,6.79,49,7.57,1,37:52,3:12,2019,2019_10_KAN_TEN
CLE,2019-09-29,530,Sun,4,4,@,BAL,W 40-25,530,61,8.69,67,5.90,1,30:17,3:08,2019,2019_04_CLE_BAL
KAN,2022-10-23,529,Sun,7,7,@,SFO,W 44-23,529,58,9.12,72,6.17,2,26:15,3:05,2022,2022_07_KAN_SFO
TAM,2018-09-09,529,Sun,1,1,@,NOR,W 48-40,529,62,8.53,59,8.05,0,32:09,3:13,2018,2018_01_TAM_NOR
PIT,2018-11-25,527,Sun,11,12,@,DEN,L 17-24,527,76,6.93,53,5.81,4,35:00,3:03,2018,2018_12_PIT_DEN
ARI,2020-12-20,526,Sun,14,15,,PHI,W 33-26,526,68,7.74,79,5.34,3,27:47,3:27,2020,2020_15_ARI_PHI
BAL,2021-01-03,525,Sun,16,17,@,CIN,W 38-3,525,73,7.19,40,4.88,1,40:31,2:55,2020,2020_17_BAL_CIN
LAC,2019-12-08,525,Sun,13,14,@,JAX,W 45-10,525,58,9.05,63,4.00,0,29:23,2:57,2019,2019_14_LAC_JAX
BAL,2021-10-11,523,Mon,5,5,,IND,W 31-25 (OT),523,70,7.47,63,8.14,1,33:51,3:15,2021,2021_05_BAL_IND
BUF,2020-09-20,523,Sun,2,2,@,MIA,W 31-28,523,59,8.86,72,5.69,1,28:55,3:40,2020,2020_02_BUF_MIA
DAL,2020-09-27,522,Sun,3,3,@,SEA,L 31-38,522,80,6.53,70,5.89,3,27:26,3:32,2020,2020_03_DAL_SEA
GNB,2020-09-13,522,Sun,1,1,@,MIN,W 43-34,522,76,6.87,49,7.80,0,41:16,3:12,2020,2020_01_GNB_MIN
GNB,2018-10-15,521,Mon,6,6,,SFO,W 33-30,521,70,7.44,55,7.29,0,31:08,3:10,2018,2018_06_GNB_SFO
GNB,2018-10-07,521,Sun,5,5,@,DET,L 23-31,521,76,6.86,57,4.63,3,33:20,3:23,2018,2018_05_GNB_DET
LAR,2018-09-23,521,Sun,3,3,,LAC,W 35-23,521,72,7.24,52,6.85,2,34:16,2:57,2018,2018_03_LAR_LAC
DET,2022-10-02,520,Sun,4,4,,SEA,L 45-48,520,66,7.88,63,8.81,2,26:54,3:29,2022,2022_04_DET_SEA
CIN,2021-10-24,520,Sun,7,7,@,BAL,W 41-17,520,63,8.25,71,5.54,1,28:11,3:15,2021,2021_07_CIN_BAL
PHI,2021-12-21,519,Tue,14,15,,WAS,W 27-17,519,70,7.41,54,4.39,2,35:17,3:01,2021,2021_15_PHI_WAS
ARI,2020-10-25,519,Sun,7,7,,SEA,W 37-34 (OT),519,81,6.41,82,6.98,2,30:13,3:52,2020,2020_07_ARI_SEA
PHI,2018-12-23,519,Sun,15,16,,HOU,W 32-30,519,73,7.11,63,5.89,3,33:45,3:17,2018,2018_16_PHI_HOU
MIN,2022-12-17,518,Sat,14,15,,IND,W 39-36 (OT),518,86,6.02,79,4.32,3,33:20,4:01,2022,2022_15_MIN_IND
ATL,2019-12-22,518,Sun,15,16,,JAX,W 24-12,518,73,7.10,59,4.88,2,33:07,2:57,2019,2019_16_ATL_JAX
LAR,2019-09-29,518,Sun,4,4,,TAM,L 40-55,518,81,6.40,73,6.36,4,27:24,3:39,2019,2019_04_LAR_TAM
JAX,2017-10-22,518,Sun,7,7,@,IND,W 27-0,518,65,7.97,67,3.46,2,32:47,2:55,2017,2017_07_JAX_IND
IND,2022-09-11,517,Sun,1,1,@,HOU,T 20-20 (OT),517,90,5.74,68,4.40,2,39:37,3:33,2022,2022_01_IND_HOU
KAN,2020-09-28,517,Mon,3,3,@,BAL,W 34-20,517,73,7.08,53,4.30,1,33:56,2:58,2020,2020_03_KAN_BAL
DAL,2019-12-29,517,Sun,16,17,,WAS,W 47-16,517,72,7.18,59,4.59,1,34:15,3:14,2019,2019_17_DAL_WAS
KAN,2021-11-14,516,Sun,10,10,@,LVR,W 41-14,516,76,6.79,51,5.86,1,35:26,3:00,2021,2021_10_KAN_LVR
SFO,2019-12-08,516,Sun,13,14,@,NOR,W 48-46,516,63,8.19,68,6.84,1,28:37,3:23,2019,2019_14_SFO_NOR
ATL,2017-11-26,516,Sun,11,12,,TAM,W 34-20,516,64,8.06,68,5.49,1,30:06,2:54,2017,2017_12_ATL_TAM
DAL,2021-10-10,515,Sun,5,5,,NYG,W 44-20,515,74,6.96,64,5.73,2,32:12,3:14,2021,2021_05_DAL_NYG
LAC,2017-11-23,515,Thu,11,12,@,DAL,W 28-6,515,66,7.80,49,5.04,0,36:05,2:49,2017,2017_12_LAC_DAL
ARI,2019-10-06,514,Sun,5,5,@,CIN,W 26-23,514,71,7.24,62,5.97,0,31:03,3:03,2019,2019_05_ARI_CIN
SEA,2019-09-22,514,Sun,3,3,,NOR,L 27-33,514,76,6.76,50,5.30,1,31:33,3:09,2019,2019_03_SEA_NOR
IND,2021-10-11,513,Mon,5,5,@,BAL,L 25-31 (OT),513,63,8.14,70,7.47,1,30:45,3:15,2021,2021_05_IND_BAL
DAL,2020-12-27,513,Sun,15,16,,PHI,W 37-17,513,66,7.77,71,6.72,1,30:38,3:17,2020,2020_16_DAL_PHI
NYJ,2018-10-07,512,Sun,5,5,,DEN,W 34-16,512,61,8.39,72,6.06,2,28:54,3:09,2018,2018_05_NYJ_DEN
NYJ,2021-10-31,511,Sun,7,8,,CIN,W 34-31,511,78,6.55,54,5.89,3,36:21,3:18,2021,2021_08_NYJ_CIN
NOR,2019-10-27,510,Sun,8,8,,ARI,W 31-9,510,72,7.08,49,4.84,1,37:59,2:55,2019,2019_08_NOR_ARI
ATL,2019-10-27,510,Sun,8,8,,SEA,L 20-27,510,71,7.18,55,5.85,3,30:47,3:00,2019,2019_08_ATL_SEA
NOR,2019-09-09,510,Mon,1,1,,HOU,W 30-28,510,65,7.85,59,7.02,1,30:13,3:14,2019,2019_01_NOR_HOU
TAM,2018-11-18,510,Sun,10,11,@,NYG,L 35-38,510,68,7.50,53,6.77,4,32:07,3:01,2018,2018_11_TAM_NYG
TAM,2018-10-14,510,Sun,5,6,@,ATL,L 29-34,510,63,8.10,64,6.52,2,28:21,3:09,2018,2018_06_TAM_ATL
LVR,2021-11-25,509,Thu,11,12,@,DAL,W 36-33 (OT),509,77,6.61,68,6.43,0,39:02,3:53,2021,2021_12_LVR_DAL
DAL,2019-11-17,509,Sun,10,11,@,DET,W 35-27,509,71,7.17,57,5.47,1,30:54,3:14,2019,2019_11_DAL_DET
NOR,2018-11-11,509,Sun,9,10,@,CIN,W 51-14,509,74,6.88,43,6.60,0,39:46,2:44,2018,2018_10_NOR_CIN
HOU,2017-10-29,509,Sun,7,8,@,SEA,L 38-41,509,69,7.38,64,7.48,3,30:22,3:19,2017,2017_08_HOU_SEA
MIN,2021-01-03,508,Sun,16,17,@,DET,W 37-35,508,74,6.86,54,7.72,0,35:13,3:07,2020,2020_17_MIN_DET
CLE,2020-10-04,508,Sun,4,4,@,DAL,W 49-38,508,73,6.96,79,7.16,0,33:32,3:20,2020,2020_04_CLE_DAL
JAX,2019-10-06,507,Sun,5,5,@,CAR,L 27-34,507,77,6.58,61,7.30,3,32:24,3:28,2019,2019_05_JAX_CAR
ATL,2020-09-13,506,Sun,1,1,,SEA,L 25-38,506,77,6.57,58,6.60,2,29:24,3:07,2020,2020_01_ATL_SEA
CIN,2020-10-04,505,Sun,4,4,,JAX,W 33-25,505,71,7.11,63,6.81,1,33:11,3:10,2020,2020_04_CIN_JAX
OAK,2017-10-19,505,Thu,7,7,,KAN,W 31-30,505,73,6.92,60,7.08,0,29:24,3:27,2017,2017_07_OAK_KAN
DET,2023-01-01,504,Sun,16,17,,CHI,W 41-10,504,70,7.20,50,4.60,0,35:43,2:54,2022,2022_17_DET_CHI
MIN,2019-10-20,504,Sun,7,7,@,DET,W 42-30,504,71,7.10,67,6.46,0,32:10,3:11,2019,2019_07_MIN_DET
NYG,2017-12-17,504,Sun,14,15,,PHI,L 29-34,504,81,6.22,66,5.17,1,29:07,3:25,2017,2017_15_NYG_PHI
JAX,2022-12-18,503,Sun,14,15,,DAL,W 40-34 (OT),503,70,7.19,74,5.36,3,27:42,3:15,2022,2022_15_JAX_DAL
KAN,2019-09-22,503,Sun,3,3,,BAL,W 33-28,503,63,7.98,78,5.79,0,27:16,3:12,2019,2019_03_KAN_BAL
JAX,2018-09-30,503,Sun,4,4,,NYJ,W 31-12,503,74,6.80,51,3.49,3,37:35,3:12,2018,2018_04_JAX_NYJ
KAN,2022-12-18,502,Sun,14,15,@,HOU,W 30-24 (OT),502,76,6.61,58,3.78,2,37:22,3:11,2022,2022_15_KAN_HOU
MIA,2019-12-22,502,Sun,15,16,,CIN,W 38-35 (OT),502,88,5.70,85,5.06,1,36:24,4:00,2019,2019_16_MIA_CIN
JAX,2018-10-07,502,Sun,5,5,@,KAN,L 14-30,502,83,6.05,69,6.14,5,27:17,3:24,2018,2018_05_JAX_KAN
TAM,2018-11-11,501,Sun,9,10,,WAS,L 3-16,501,67,7.48,55,5.20,4,31:12,3:01,2018,2018_10_TAM_WAS
DAL,2017-10-22,501,Sun,6,7,@,SFO,W 40-10,501,70,7.16,65,4.46,0,32:50,2:59,2017,2017_07_DAL_SFO
LVR,2023-01-01,500,Sun,16,17,,SFO,L 34-37 (OT),500,66,7.58,62,7.32,2,32:00,3:24,2022,2022_17_LVR_SFO
PHI,2022-11-27,500,Sun,11,12,,GNB,W 40-33,500,79,6.33,49,6.98,1,35:34,3:09,2022,2022_12_PHI_GNB
BAL,2021-11-07,500,Sun,8,9,,MIN,W 34-31 (OT),500,89,5.62,52,6.12,2,46:04,3:32,2021,2021_09_BAL_MIN
NWE,2018-10-14,500,Sun,6,6,,KAN,W 43-40,500,75,6.67,53,8.42,1,36:09,3:07,2018,2018_06_NWE_KAN
KAN,2022-11-06,499,Sun,8,9,,TEN,W 20-17 (OT),499,91,5.48,48,4.77,1,41:28,3:29,2022,2022_09_KAN_TEN
KAN,2021-10-17,499,Sun,6,6,@,WAS,W 31-13,499,78,6.40,58,4.76,3,33:53,3:05,2021,2021_06_KAN_WAS
TAM,2019-09-22,499,Sun,3,3,,NYG,L 31-32,499,73,6.84,60,6.40,1,33:12,3:20,2019,2019_03_TAM_NYG
KAN,2018-11-04,499,Sun,9,9,@,CLE,W 37-21,499,58,8.60,70,5.54,1,29:09,3:06,2018,2018_09_KAN_CLE
NWE,2018-11-25,498,Sun,11,12,@,NYJ,W 27-13,498,67,7.43,62,5.45,0,34:26,2:58,2018,2018_12_NWE_NYJ
BUF,2022-09-25,497,Sun,3,3,@,MIA,L 19-21,497,90,5.52,39,5.44,1,40:40,3:11,2022,2022_03_BUF_MIA
SEA,2022-01-02,497,Sun,16,17,,DET,W 51-29,497,71,7.00,59,6.05,0,33:33,3:13,2021,2021_17_SEA_DET
DAL,2021-12-26,497,Sun,15,16,,WAS,W 56-14,497,73,6.81,57,4.51,0,31:31,3:05,2021,2021_16_DAL_WAS
LVR,2021-09-26,497,Sun,3,3,,MIA,W 31-28 (OT),497,81,6.14,78,4.23,1,38:47,3:44,2021,2021_03_LVR_MIA
BAL,2019-10-13,497,Sun,6,6,,CIN,W 23-17,497,77,6.45,55,4.55,1,39:42,3:12,2019,2019_06_BAL_CIN
KAN,2021-12-16,496,Thu,14,15,@,LAC,W 34-28 (OT),496,68,7.29,78,5.49,2,28:12,3:12,2021,2021_15_KAN_LAC
KAN,2020-11-01,496,Sun,8,8,,NYJ,W 35-9,496,67,7.40,56,3.95,0,31:30,2:56,2020,2020_08_KAN_NYJ
ARI,2020-10-11,496,Sun,5,5,@,NYJ,W 30-10,496,68,7.29,64,4.45,1,32:15,3:12,2020,2020_05_ARI_NYJ
TAM,2019-12-15,495,Sun,14,15,@,DET,W 38-17,495,73,6.78,63,4.68,1,33:19,3:14,2019,2019_15_TAM_DET
ATL,2018-09-30,495,Sun,4,4,,CIN,L 36-37,495,66,7.50,67,6.07,0,29:22,3:25,2018,2018_04_ATL_CIN
LAC,2017-12-31,495,Sun,16,17,,OAK,W 30-10,495,68,7.28,53,6.34,0,33:20,2:57,2017,2017_17_LAC_OAK
NOR,2022-10-20,494,Thu,7,7,@,ARI,L 34-42,494,71,6.96,60,5.43,3,29:02,3:17,2022,2022_07_NOR_ARI
DAL,2019-09-08,494,Sun,1,1,,NYG,W 35-17,494,62,7.97,66,7.12,0,32:18,3:03,2019,2019_01_DAL_NYG
MIN,2017-09-24,494,Sun,3,3,,TAM,W 34-17,494,70,7.06,51,6.71,0,37:46,3:01,2017,2017_03_MIN_TAM
LAC,2021-10-10,493,Sun,5,5,,CLE,W 47-42,493,68,7.25,68,7.81,1,23:32,3:21,2021,2021_05_LAC_CLE
CLE,2020-12-14,493,Mon,13,14,,BAL,L 42-47,493,76,6.49,57,6.75,1,31:57,3:27,2020,2020_14_CLE_BAL
CLE,2018-12-23,493,Sun,15,16,,CIN,W 26-18,493,66,7.47,46,4.54,0,35:31,2:45,2018,2018_16_CLE_CIN
TEN,2021-01-03,492,Sun,16,17,@,HOU,W 41-38,492,70,7.03,61,7.49,1,31:04,3:13,2020,2020_17_TEN_HOU
SEA,2019-11-03,492,Sun,9,9,,TAM,W 40-34 (OT),492,68,7.24,72,5.81,1,28:13,3:29,2019,2019_09_SEA_TAM
MIA,2022-11-13,491,Sun,10,10,,CLE,W 39-17,491,67,7.33,62,4.79,0,33:14,2:54,2022,2022_10_MIA_CLE
LVR,2021-09-13,491,Mon,1,1,,BAL,W 33-27 (OT),491,80,6.14,67,6.06,1,34:08,3:40,2021,2021_01_LVR_BAL
BAL,2019-11-17,491,Sun,10,11,,HOU,W 41-7,491,64,7.67,57,4.07,0,36:19,2:56,2019,2019_11_BAL_HOU
GNB,2019-09-26,491,Thu,4,4,,PHI,L 27-34,491,74,6.64,60,5.60,2,32:21,3:27,2019,2019_04_GNB_PHI
KAN,2019-09-08,491,Sun,1,1,@,JAX,W 40-26,491,60,8.18,50,8.56,0,31:15,3:04,2019,2019_01_KAN_JAX
ATL,2018-11-04,491,Sun,8,9,@,WAS,W 38-14,491,64,7.67,64,5.72,1,32:56,2:57,2018,2018_09_ATL_WAS
LVR,2020-10-11,490,Sun,5,5,@,KAN,W 40-32,490,67,7.31,66,6.26,1,35:18,3:27,2020,2020_05_LVR_KAN
MIN,2019-10-06,490,Sun,5,5,@,NYG,W 28-10,490,64,7.66,62,3.40,1,32:40,3:03,2019,2019_05_MIN_NYG
BUF,2021-11-14,489,Sun,9,10,@,NYJ,W 45-17,489,54,9.06,70,5.23,2,27:27,3:20,2021,2021_10_BUF_NYJ
ATL,2018-12-30,489,Sun,16,17,@,TAM,W 34-32,489,76,6.43,56,7.73,1,34:46,3:08,2018,2018_17_ATL_TAM
KAN,2022-09-11,488,Sun,1,1,@,ARI,W 44-21,488,66,7.39,63,4.48,1,34:42,3:00,2022,2022_01_KAN_ARI
TAM,2021-12-12,488,Sun,13,14,,BUF,W 33-27 (OT),488,77,6.34,76,6.13,0,32:08,3:29,2021,2021_14_TAM_BUF
HOU,2020-12-27,488,Sun,15,16,,CIN,L 31-37,488,51,9.57,71,7.61,1,23:50,3:04,2020,2020_16_HOU_CIN
GNB,2020-09-20,488,Sun,2,2,,DET,W 42-21,488,66,7.39,58,5.29,0,34:46,3:07,2020,2020_02_GNB_DET
LAC,2017-12-10,488,Sun,13,14,,WAS,W 30-13,488,71,6.87,50,4.02,1,35:20,2:59,2017,2017_14_LAC_WAS
NYJ,2017-12-03,488,Sun,12,13,,KAN,W 38-31,488,85,5.74,46,10.30,0,42:49,3:20,2017,2017_13_NYJ_KAN
MIN,2020-11-08,487,Sun,8,9,,DET,W 34-20,487,55,8.85,74,5.69,0,27:11,2:59,2020,2020_09_MIN_DET
NOR,2018-11-04,487,Sun,8,9,,LAR,W 45-35,487,70,6.96,59,8.19,1,33:41,3:11,2018,2018_09_NOR_LAR
CLE,2018-09-30,487,Sun,4,4,@,OAK,L 42-45 (OT),487,74,6.58,90,6.28,4,31:23,4:04,2018,2018_04_CLE_OAK
NYJ,2022-12-04,486,Sun,12,13,@,MIN,L 22-27,486,83,5.86,66,4.35,2,31:38,3:17,2022,2022_13_NYJ_MIN
BUF,2022-11-13,486,Sun,9,10,,MIN,L 30-33 (OT),486,72,6.75,79,6.09,4,33:46,3:46,2022,2022_10_BUF_MIN
KAN,2022-11-13,486,Sun,9,10,,JAX,W 27-17,486,62,7.84,61,5.16,3,28:21,2:58,2022,2022_10_KAN_JAX
PHI,2022-09-19,486,Mon,2,2,,MIN,W 24-7,486,68,7.15,59,4.47,1,36:14,2:48,2022,2022_02_PHI_MIN
NYJ,2021-11-04,486,Thu,8,9,@,IND,L 30-45,486,75,6.48,61,8.72,2,29:33,3:12,2021,2021_09_NYJ_IND
HOU,2020-10-11,486,Sun,5,5,,JAX,W 30-14,486,58,8.38,73,4.99,2,28:01,2:55,2020,2020_05_HOU_JAX
KAN,2022-11-20,485,Sun,10,11,@,LAC,W 30-27,485,62,7.82,65,5.62,1,27:41,2:58,2022,2022_11_KAN_LAC
NYG,2021-10-03,485,Sun,4,4,@,NOR,W 27-21 (OT),485,60,8.08,65,6.23,1,27:35,3:12,2021,2021_04_NYG_NOR
TAM,2021-01-03,485,Sun,16,17,,ATL,W 44-27,485,64,7.58,71,5.42,1,26:48,3:05,2020,2020_17_TAM_ATL
LAC,2020-11-01,485,Sun,7,8,@,DEN,L 30-31,485,84,5.77,59,5.95,2,35:53,3:27,2020,2020_08_LAC_DEN
NOR,2017-10-22,485,Sun,6,7,@,GNB,W 26-17,485,75,6.47,50,5.20,2,36:56,2:58,2017,2017_07_NOR_GNB
LAC,2020-10-25,484,Sun,6,7,,JAX,W 39-29,484,77,6.29,59,4.98,0,34:31,3:09,2020,2020_07_LAC_JAX
TAM,2020-10-04,484,Sun,4,4,,LAC,W 38-31,484,73,6.63,50,6.48,1,34:55,3:09,2020,2020_04_TAM_LAC
OAK,2019-10-20,484,Sun,6,7,@,GNB,L 24-42,484,62,7.81,55,8.75,2,29:36,2:59,2019,2019_07_OAK_GNB
LAR,2018-11-04,483,Sun,9,9,@,NOR,L 35-45,483,59,8.19,70,6.96,1,26:19,3:11,2018,2018_09_LAR_NOR
CHI,2018-09-30,483,Sun,4,4,,TAM,W 48-10,483,58,8.33,60,5.18,0,28:06,2:57,2018,2018_04_CHI_TAM
MIN,2023-01-08,482,Sun,17,18,@,CHI,W 29-13,482,71,6.79,50,5.18,2,36:36,2:56,2022,2022_18_MIN_CHI
CHI,2017-12-10,482,Sun,13,14,@,CIN,W 33-7,482,72,6.69,53,4.42,0,38:09,3:10,2017,2017_14_CHI_CIN
NOR,2017-11-12,482,Sun,9,10,@,BUF,W 47-10,482,73,6.60,45,4.40,1,41:23,2:57,2017,2017_10_NOR_BUF
DET,2017-10-29,482,Sun,7,8,,PIT,L 15-20,482,69,6.99,60,6.53,1,31:37,3:02,2017,2017_08_DET_PIT
MIN,2022-11-13,481,Sun,9,10,@,BUF,W 33-30 (OT),481,79,6.09,72,6.75,2,35:02,3:46,2022,2022_10_MIN_BUF
GNB,2022-01-02,481,Sun,16,17,,MIN,W 37-10,481,74,6.50,52,3.96,0,38:33,3:04,2021,2021_17_GNB_MIN
BUF,2021-09-26,481,Sun,3,3,,WAS,W 43-21,481,77,6.25,50,5.80,0,35:37,3:06,2021,2021_03_BUF_WAS
BAL,2021-09-19,481,Sun,2,2,,KAN,W 36-35,481,68,7.07,49,8.27,2,35:59,3:02,2021,2021_02_BAL_KAN
BAL,2019-12-22,481,Sun,15,16,@,CLE,W 31-15,481,71,6.77,53,4.55,1,34:19,3:05,2019,2019_16_BAL_CLE
GNB,2019-10-20,481,Sun,7,7,,OAK,W 42-24,481,55,8.75,62,7.81,0,30:24,2:59,2019,2019_07_GNB_OAK
PIT,2018-10-14,481,Sun,6,6,@,CIN,W 28-21,481,67,7.18,58,4.74,0,34:56,3:08,2018,2018_06_PIT_CIN
JAX,2020-09-20,480,Sun,2,2,@,TEN,L 30-33,480,74,6.49,59,6.00,2,33:22,2:59,2020,2020_02_JAX_TEN
BAL,2019-11-25,480,Mon,11,12,@,LAR,W 45-6,480,74,6.49,48,4.60,0,39:56,2:54,2019,2019_12_BAL_LAR
JAX,2018-09-16,480,Sun,2,2,,NWE,W 31-20,480,69,6.96,61,4.95,2,30:46,3:02,2018,2018_02_JAX_NWE
