Team,Date,Tot,Day,G#,Week,,Opp,Result,Tot,TO,Season,game_id
DAL,2017-11-05,323,Sun,8,9,,KAN,W 28-17,323,1,2017,2017_09_DAL_KAN
SFO,2022-12-11,322,Sun,13,14,,TAM,W 35-7,322,3,2022,2022_14_SFO_TAM
CAR,2022-10-23,322,Sun,7,7,,TAM,W 21-3,322,0,2022,2022_07_CAR_TAM
MIA,2022-10-09,322,Sun,5,5,@,NYJ,L 17-40,322,0,2022,2022_05_MIA_NYJ
LAR,2021-09-12,322,Sun,1,1,,CHI,W 34-14,322,2,2021,2021_01_LAR_CHI
GNB,2021-09-12,322,Sun,1,1,@,NOR,L 3-38,322,0,2021,2021_01_GNB_NOR
NWE,2020-11-09,322,Mon,8,9,@,NYJ,W 30-27,322,1,2020,2020_09_NWE_NYJ
ARI,2020-09-27,322,Sun,3,3,,DET,L 23-26,322,0,2020,2020_03_ARI_DET
NYG,2019-12-01,322,Sun,12,13,,GNB,L 13-31,322,0,2019,2019_13_NYG_GNB
ATL,2019-10-27,322,Sun,8,8,,SEA,L 20-27,322,0,2019,2019_08_ATL_SEA
DET,2018-10-21,322,Sun,6,7,@,MIA,W 32-21,322,0,2018,2018_07_DET_MIA
JAX,2017-11-12,322,Sun,9,10,,LAC,W 20-17 (OT),322,2,2017,2017_10_JAX_LAC
JAX,2022-11-06,321,Sun,9,9,,LVR,W 27-20,321,1,2022,2022_09_JAX_LVR
BAL,2021-12-05,321,Sun,12,13,@,PIT,L 19-20,321,0,2021,2021_13_BAL_PIT
DEN,2020-10-01,321,Thu,4,4,@,NYJ,W 37-28,321,0,2020,2020_04_DEN_NYJ
NWE,2019-11-24,321,Sun,11,12,,DAL,W 13-9,321,1,2019,2019_12_NWE_DAL
DEN,2019-11-17,321,Sun,10,11,@,MIN,L 23-27,321,2,2019,2019_11_DEN_MIN
MIA,2019-11-03,321,Sun,8,9,,NYJ,W 26-18,321,1,2019,2019_09_MIA_NYJ
SEA,2019-09-29,321,Sun,4,4,@,ARI,W 27-10,321,1,2019,2019_04_SEA_ARI
KAN,2018-12-09,321,Sun,13,14,,BAL,W 27-24 (OT),321,1,2018,2018_14_KAN_BAL
SFO,2018-10-28,321,Sun,8,8,@,ARI,L 15-18,321,2,2018,2018_08_SFO_ARI
MIA,2017-11-19,321,Sun,10,11,,TAM,L 20-30,321,0,2017,2017_11_MIA_TAM
LAC,2017-09-11,321,Mon,1,1,@,DEN,L 21-24,321,2,2017,2017_01_LAC_DEN
NOR,2022-12-18,320,Sun,14,15,,ATL,W 21-18,320,1,2022,2022_15_NOR_ATL
KAN,2022-12-11,320,Sun,13,14,@,DEN,W 34-28,320,2,2022,2022_14_KAN_DEN
LVR,2022-11-20,320,Sun,10,11,@,DEN,W 22-16 (OT),320,0,2022,2022_11_LVR_DEN
LAC,2022-09-11,320,Sun,1,1,,LVR,W 24-19,320,3,2022,2022_01_LAC_LVR
TAM,2021-11-14,320,Sun,9,10,@,WAS,L 19-29,320,1,2021,2021_10_TAM_WAS
NOR,2021-01-03,320,Sun,16,17,@,CAR,W 33-7,320,5,2020,2020_17_NOR_CAR
LAC,2020-11-08,320,Sun,8,9,,LVR,L 26-31,320,1,2020,2020_09_LAC_LVR
WAS,2018-11-18,320,Sun,10,11,,HOU,L 21-23,320,3,2018,2018_11_WAS_HOU
SEA,2022-12-04,319,Sun,12,13,@,LAR,W 27-23,319,2,2022,2022_13_SEA_LAR
NOR,2022-11-07,319,Mon,9,9,,BAL,L 13-27,319,0,2022,2022_09_NOR_BAL
LAC,2022-09-15,319,Thu,2,2,@,KAN,L 24-27,319,0,2022,2022_02_LAC_KAN
LAC,2022-01-02,319,Sun,16,17,,DEN,W 34-13,319,1,2021,2021_17_LAC_DEN
LAC,2020-12-13,319,Sun,13,14,,ATL,W 20-17,319,3,2020,2020_14_LAC_ATL
PIT,2020-09-20,319,Sun,2,2,,DEN,W 26-21,319,2,2020,2020_02_PIT_DEN
IND,2017-12-10,319,Sun,13,14,@,BUF,L 7-13 (OT),319,2,2017,2017_14_IND_BUF
LAR,2017-11-05,319,Sun,8,9,@,NYG,W 51-17,319,3,2017,2017_09_LAR_NYG
LVR,2022-12-18,318,Sun,14,15,,NWE,W 30-24,318,1,2022,2022_15_LVR_NWE
IND,2022-01-09,318,Sun,17,18,@,JAX,L 11-26,318,0,2021,2021_18_IND_JAX
PIT,2021-12-19,318,Sun,14,15,,TEN,W 19-13,318,4,2021,2021_15_PIT_TEN
CAR,2021-12-12,318,Sun,13,14,,ATL,L 21-29,318,1,2021,2021_14_CAR_ATL
BAL,2021-11-07,318,Sun,8,9,,MIN,W 34-31 (OT),318,0,2021,2021_09_BAL_MIN
NYJ,2021-10-31,318,Sun,7,8,,CIN,W 34-31,318,1,2021,2021_08_NYJ_CIN
NWE,2020-12-10,318,Thu,13,14,@,LAR,L 3-24,318,1,2020,2020_14_NWE_LAR
PIT,2020-12-07,318,Mon,12,13,,WAS,L 17-23,318,0,2020,2020_13_PIT_WAS
MIA,2020-09-24,318,Thu,3,3,@,JAX,W 31-13,318,2,2020,2020_03_MIA_JAX
CLE,2019-10-27,318,Sun,7,8,@,NWE,L 13-27,318,0,2019,2019_08_CLE_NWE
DEN,2019-10-27,318,Sun,8,8,@,IND,L 13-15,318,1,2019,2019_08_DEN_IND
HOU,2018-12-15,318,Sat,14,15,@,NYJ,W 29-22,318,1,2018,2018_15_HOU_NYJ
SFO,2017-11-26,318,Sun,11,12,,SEA,L 13-24,318,1,2017,2017_12_SFO_SEA
DAL,2022-12-29,317,Thu,16,17,@,TEN,W 27-13,317,2,2022,2022_17_DAL_TEN
NOR,2022-11-27,317,Sun,12,12,@,SFO,L 0-13,317,0,2022,2022_12_NOR_SFO
NYJ,2022-11-06,317,Sun,9,9,,BUF,W 20-17,317,2,2022,2022_09_NYJ_BUF
TAM,2022-01-09,317,Sun,17,18,,CAR,W 41-17,317,2,2021,2021_18_TAM_CAR
SEA,2021-12-26,317,Sun,15,16,,CHI,L 24-25,317,0,2021,2021_16_SEA_CHI
NOR,2019-11-10,317,Sun,9,10,,ATL,L 9-26,317,1,2019,2019_10_NOR_ATL
LAC,2018-11-11,317,Sun,9,10,@,OAK,W 20-6,317,1,2018,2018_10_LAC_OAK
LAC,2018-10-14,317,Sun,6,6,@,CLE,W 38-14,317,2,2018,2018_06_LAC_CLE
KAN,2017-11-19,317,Sun,10,11,@,NYG,L 9-12 (OT),317,1,2017,2017_11_KAN_NYG
WAS,2022-12-04,316,Sun,13,13,@,NYG,T 20-20 (OT),316,1,2022,2022_13_WAS_NYG
DEN,2021-12-12,316,Sun,13,14,,DET,W 38-10,316,2,2021,2021_14_DEN_DET
LAC,2021-12-12,316,Sun,13,14,,NYG,W 37-21,316,2,2021,2021_14_LAC_NYG
CHI,2021-01-03,316,Sun,16,17,,GNB,L 16-35,316,1,2020,2020_17_CHI_GNB
DEN,2020-12-27,316,Sun,15,16,@,LAC,L 16-19,316,0,2020,2020_16_DEN_LAC
ARI,2020-09-20,316,Sun,2,2,,WAS,W 30-15,316,2,2020,2020_02_ARI_WAS
NYJ,2019-11-03,316,Sun,8,9,@,MIA,L 18-26,316,0,2019,2019_09_NYJ_MIA
SFO,2019-09-15,316,Sun,2,2,@,CIN,W 41-17,316,1,2019,2019_02_SFO_CIN
NYJ,2018-10-21,316,Sun,7,7,,MIN,L 17-37,316,0,2018,2018_07_NYJ_MIN
ARI,2018-09-23,316,Sun,3,3,,CHI,L 14-16,316,2,2018,2018_03_ARI_CHI
PIT,2017-11-16,316,Thu,10,11,,TEN,W 40-17,316,4,2017,2017_11_PIT_TEN
IND,2017-11-12,316,Sun,10,10,,PIT,L 17-20,316,1,2017,2017_10_IND_PIT
MIN,2023-01-01,315,Sun,16,17,@,GNB,L 17-41,315,0,2022,2022_17_MIN_GNB
KAN,2022-11-13,315,Sun,9,10,,JAX,W 27-17,315,0,2022,2022_10_KAN_JAX
LAC,2022-11-06,315,Sun,8,9,@,ATL,W 20-17,315,2,2022,2022_09_LAC_ATL
SEA,2022-10-16,315,Sun,6,6,,ARI,W 19-9,315,2,2022,2022_06_SEA_ARI
PHI,2022-10-16,315,Sun,6,6,,DAL,W 26-17,315,3,2022,2022_06_PHI_DAL
TAM,2022-09-25,315,Sun,3,3,,GNB,L 12-14,315,2,2022,2022_03_TAM_GNB
IND,2022-09-25,315,Sun,3,3,,KAN,W 20-17,315,2,2022,2022_03_IND_KAN
DAL,2022-01-08,315,Sat,17,18,@,PHI,W 51-26,315,1,2021,2021_18_DAL_PHI
CAR,2021-11-28,315,Sun,12,12,@,MIA,L 10-33,315,1,2021,2021_12_CAR_MIA
CLE,2020-11-22,315,Sun,10,11,,PHI,W 22-17,315,3,2020,2020_11_CLE_PHI
NWE,2019-12-15,315,Sun,14,15,@,CIN,W 34-13,315,5,2019,2019_15_NWE_CIN
JAX,2019-12-01,315,Sun,12,13,,TAM,L 11-28,315,1,2019,2019_13_JAX_TAM
OAK,2019-11-07,315,Thu,9,10,,LAC,W 26-24,315,3,2019,2019_10_OAK_LAC
IND,2018-12-09,315,Sun,13,14,@,HOU,W 24-21,315,0,2018,2018_14_IND_HOU
CAR,2018-12-02,315,Sun,12,13,@,TAM,L 17-24,315,1,2018,2018_13_CAR_TAM
CAR,2018-12-02,315,Sun,12,13,@,TAM,L 17-24,315,1,2018,2018_13_CAR_TAM
ATL,2017-12-24,315,Sun,15,16,@,NOR,L 13-23,315,1,2017,2017_16_ATL_NOR
IND,2022-12-26,314,Mon,15,16,,LAC,L 3-20,314,2,2022,2022_16_IND_LAC
ATL,2022-11-27,314,Sun,12,12,@,WAS,L 13-19,314,1,2022,2022_12_ATL_WAS
SFO,2022-11-21,314,Mon,10,11,@,ARI,W 38-10,314,2,2022,2022_11_SFO_ARI
IND,2022-11-20,314,Sun,11,11,,PHI,L 16-17,314,2,2022,2022_11_IND_PHI
BAL,2022-01-09,314,Sun,17,18,,PIT,L 13-16 (OT),314,1,2021,2021_18_BAL_PIT
MIA,2021-09-19,314,Sun,2,2,,BUF,L 0-35,314,2,2021,2021_02_MIA_BUF
DEN,2021-09-12,314,Sun,1,1,@,NYG,W 27-13,314,1,2021,2021_01_DEN_NYG
SEA,2020-11-19,314,Thu,10,11,,ARI,W 28-21,314,0,2020,2020_11_SEA_ARI
MIN,2020-10-11,314,Sun,5,5,@,SEA,L 26-27,314,1,2020,2020_05_MIN_SEA
IND,2018-11-25,314,Sun,11,12,,MIA,W 27-24,314,1,2018,2018_12_IND_MIA
PHI,2023-01-01,313,Sun,16,17,,NOR,L 10-20,313,1,2022,2022_17_PHI_NOR
NOR,2023-01-01,313,Sun,16,17,@,PHI,W 20-10,313,1,2022,2022_17_NOR_PHI
TEN,2022-11-13,313,Sun,9,10,,DEN,W 17-10,313,1,2022,2022_10_TEN_DEN
LVR,2020-11-15,313,Sun,9,10,,DEN,W 37-12,313,5,2020,2020_10_LVR_DEN
CIN,2019-12-29,313,Sun,16,17,,CLE,W 33-23,313,3,2019,2019_17_CIN_CLE
ATL,2019-12-15,313,Sun,14,15,@,SFO,W 29-22,313,2,2019,2019_15_ATL_SFO
TEN,2019-10-06,313,Sun,5,5,,BUF,L 7-14,313,1,2019,2019_05_TEN_BUF
BUF,2018-12-16,313,Sun,14,15,,DET,W 14-13,313,0,2018,2018_15_BUF_DET
DEN,2018-12-02,313,Sun,12,13,@,CIN,W 24-10,313,3,2018,2018_13_DEN_CIN
CAR,2017-11-13,313,Mon,10,10,,MIA,W 45-21,313,1,2017,2017_10_CAR_MIA
PIT,2017-10-08,313,Sun,5,5,,JAX,L 9-30,313,1,2017,2017_05_PIT_JAX
JAX,2023-01-07,312,Sat,17,18,,TEN,W 20-16,312,2,2022,2022_18_JAX_TEN
DAL,2022-10-23,312,Sun,7,7,,DET,W 24-6,312,5,2022,2022_07_DAL_DET
NWE,2022-10-09,312,Sun,5,5,,DET,W 29-0,312,2,2022,2022_05_NWE_DET
JAX,2022-09-25,312,Sun,3,3,@,LAC,W 38-10,312,2,2022,2022_03_JAX_LAC
PHI,2022-01-02,312,Sun,16,17,@,WAS,W 20-16,312,1,2021,2021_17_PHI_WAS
CAR,2021-12-19,312,Sun,14,15,@,BUF,L 14-31,312,1,2021,2021_15_CAR_BUF
ARI,2020-11-08,312,Sun,8,9,,MIA,L 31-34,312,0,2020,2020_09_ARI_MIA
DAL,2019-11-17,312,Sun,10,11,@,DET,W 35-27,312,0,2019,2019_11_DAL_DET
DEN,2019-09-22,312,Sun,3,3,@,GNB,L 16-27,312,0,2019,2019_03_DEN_GNB
DET,2018-12-16,312,Sun,14,15,@,BUF,L 13-14,312,0,2018,2018_15_DET_BUF
ATL,2018-11-22,312,Thu,11,12,@,NOR,L 17-31,312,1,2018,2018_12_ATL_NOR
MIA,2017-12-31,312,Sun,16,17,,BUF,L 16-22,312,0,2017,2017_17_MIA_BUF
CIN,2017-12-31,312,Sun,16,17,@,BAL,W 31-27,312,1,2017,2017_17_CIN_BAL
ATL,2017-12-03,312,Sun,12,13,,MIN,L 9-14,312,0,2017,2017_13_ATL_MIN
SFO,2017-09-17,312,Sun,2,2,@,SEA,L 9-12,312,0,2017,2017_02_SFO_SEA
ARI,2023-01-08,311,Sun,17,18,@,SFO,L 13-38,311,0,2022,2022_18_ARI_SFO
ARI,2022-11-27,311,Sun,12,12,,LAC,L 24-25,311,0,2022,2022_12_ARI_LAC
CLE,2021-12-25,311,Sat,15,16,@,GNB,L 22-24,311,0,2021,2021_16_CLE_GNB
IND,2021-11-21,311,Sun,11,11,@,BUF,W 41-15,311,4,2021,2021_11_IND_BUF
TAM,2021-10-24,311,Sun,7,7,,CHI,W 38-3,311,5,2021,2021_07_TAM_CHI
SFO,2020-10-18,311,Sun,6,6,,LAR,W 24-16,311,1,2020,2020_06_SFO_LAR
PHI,2019-12-22,311,Sun,15,16,,DAL,W 17-9,311,1,2019,2019_16_PHI_DAL
MIA,2019-10-13,311,Sun,5,6,,WAS,L 16-17,311,0,2019,2019_06_MIA_WAS
CHI,2018-09-30,311,Sun,4,4,,TAM,W 48-10,311,3,2018,2018_04_CHI_TAM
SFO,2017-12-10,311,Sun,13,14,@,HOU,W 26-16,311,1,2017,2017_14_SFO_HOU
DET,2017-11-06,311,Mon,8,9,@,GNB,W 30-17,311,0,2017,2017_09_DET_GNB
NYJ,2017-10-01,311,Sun,4,4,,JAX,W 23-20 (OT),311,1,2017,2017_04_NYJ_JAX
LAC,2017-09-24,311,Sun,3,3,,KAN,L 10-24,311,0,2017,2017_03_LAC_KAN
CHI,2017-09-17,311,Sun,2,2,@,TAM,L 7-29,311,1,2017,2017_02_CHI_TAM
BUF,2022-11-06,310,Sun,8,9,@,NYJ,L 17-20,310,1,2022,2022_09_BUF_NYJ
WAS,2021-12-05,310,Sun,12,13,@,LVR,W 17-15,310,0,2021,2021_13_WAS_LVR
NOR,2020-09-13,310,Sun,1,1,,TAM,W 34-23,310,3,2020,2020_01_NOR_TAM
BAL,2019-12-12,310,Thu,14,15,,NYJ,W 42-21,310,2,2019,2019_15_BAL_NYJ
LAC,2019-11-18,310,Mon,11,11,,KAN,L 17-24,310,1,2019,2019_11_LAC_KAN
ATL,2019-11-10,310,Sun,9,10,@,NOR,W 26-9,310,0,2019,2019_10_ATL_NOR
NWE,2019-10-27,310,Sun,8,8,,CLE,W 27-13,310,3,2019,2019_08_NWE_CLE
GNB,2019-09-22,310,Sun,3,3,,DEN,W 27-16,310,3,2019,2019_03_GNB_DEN
LAR,2018-12-02,310,Sun,12,13,@,DET,W 30-16,310,2,2018,2018_13_LAR_DET
PHI,2017-12-03,310,Sun,12,13,@,SEA,L 10-24,310,0,2017,2017_13_PHI_SEA
CAR,2017-10-12,310,Thu,6,6,,PHI,L 23-28,310,1,2017,2017_06_CAR_PHI
TAM,2017-09-17,310,Sun,1,2,,CHI,W 29-7,310,4,2017,2017_02_TAM_CHI
TEN,2017-09-17,310,Sun,2,2,@,JAX,W 37-16,310,3,2017,2017_02_TEN_JAX
DAL,2023-01-08,309,Sun,17,18,@,WAS,L 6-26,309,1,2022,2022_18_DAL_WAS
BUF,2022-12-11,309,Sun,13,14,,NYJ,W 20-12,309,2,2022,2022_14_BUF_NYJ
PIT,2022-12-11,309,Sun,13,14,,BAL,L 14-16,309,0,2022,2022_14_PIT_BAL
DAL,2022-12-04,309,Sun,12,13,,IND,W 54-19,309,5,2022,2022_13_DAL_IND
IND,2022-11-13,309,Sun,10,10,@,LVR,W 25-20,309,0,2022,2022_10_IND_LVR
SEA,2021-10-31,309,Sun,8,8,,JAX,W 31-7,309,1,2021,2021_08_SEA_JAX
PIT,2021-10-17,309,Sun,6,6,,SEA,W 23-20 (OT),309,1,2021,2021_06_PIT_SEA
DAL,2020-12-13,309,Sun,13,14,@,CIN,W 30-7,309,3,2020,2020_14_DAL_CIN
CLE,2020-11-01,309,Sun,8,8,,LVR,L 6-16,309,0,2020,2020_08_CLE_LVR
CLE,2020-09-27,309,Sun,3,3,,WAS,W 34-20,309,5,2020,2020_03_CLE_WAS
NYJ,2019-12-29,309,Sun,16,17,@,BUF,W 13-6,309,3,2019,2019_17_NYJ_BUF
TAM,2019-12-08,309,Sun,13,14,,IND,W 38-35,309,1,2019,2019_14_TAM_IND
HOU,2019-10-13,309,Sun,6,6,@,KAN,W 31-24,309,2,2019,2019_06_HOU_KAN
DEN,2018-12-15,309,Sat,14,15,,CLE,L 16-17,309,2,2018,2018_15_DEN_CLE
CAR,2018-11-18,309,Sun,10,11,@,DET,L 19-20,309,0,2018,2018_11_CAR_DET
ARI,2018-10-18,309,Thu,7,7,,DEN,L 10-45,309,1,2018,2018_07_ARI_DEN
NWE,2022-12-18,308,Sun,14,15,@,LVR,L 24-30,308,1,2022,2022_15_NWE_LVR
SFO,2022-12-04,308,Sun,12,13,,MIA,W 33-17,308,4,2022,2022_13_SFO_MIA
CAR,2022-11-20,308,Sun,11,11,@,BAL,L 3-13,308,1,2022,2022_11_CAR_BAL
SFO,2022-10-09,308,Sun,5,5,@,CAR,W 37-15,308,1,2022,2022_05_SFO_CAR
CLE,2022-09-22,308,Thu,3,3,,PIT,W 29-17,308,1,2022,2022_03_CLE_PIT
TAM,2022-09-18,308,Sun,2,2,@,NOR,W 20-10,308,5,2022,2022_02_TAM_NOR
MIA,2022-01-02,308,Sun,16,17,@,TEN,L 3-34,308,0,2021,2021_17_MIA_TEN
ATL,2021-11-18,308,Thu,10,11,,NWE,L 0-25,308,1,2021,2021_11_ATL_NWE
PHI,2021-11-14,308,Sun,10,10,@,DEN,W 30-13,308,1,2021,2021_10_PHI_DEN
SFO,2020-11-29,308,Sun,11,12,@,LAR,W 23-20,308,4,2020,2020_12_SFO_LAR
BAL,2020-11-15,308,Sun,9,10,@,NWE,L 17-23,308,0,2020,2020_10_BAL_NWE
CLE,2020-10-11,308,Sun,5,5,,IND,W 32-23,308,2,2020,2020_05_CLE_IND
LAR,2019-12-08,308,Sun,13,14,,SEA,W 28-12,308,1,2019,2019_14_LAR_SEA
IND,2019-11-17,308,Sun,10,11,,JAX,W 33-13,308,1,2019,2019_11_IND_JAX
KAN,2019-11-03,308,Sun,9,9,,MIN,W 26-23,308,0,2019,2019_09_KAN_MIN
NWE,2019-09-08,308,Sun,1,1,,PIT,W 33-3,308,1,2019,2019_01_NWE_PIT
NOR,2018-11-29,308,Thu,12,13,@,DAL,L 10-13,308,2,2018,2018_13_NOR_DAL
PIT,2018-11-25,308,Sun,11,12,@,DEN,L 17-24,308,0,2018,2018_12_PIT_DEN
MIN,2018-11-18,308,Sun,10,11,@,CHI,L 20-25,308,3,2018,2018_11_MIN_CHI
TEN,2017-11-12,308,Sun,9,10,,CIN,W 24-20,308,2,2017,2017_10_TEN_CIN
GNB,2017-09-28,308,Thu,4,4,,CHI,W 35-14,308,4,2017,2017_04_GNB_CHI
DET,2017-09-10,308,Sun,1,1,,ARI,W 35-23,308,4,2017,2017_01_DET_ARI
PIT,2023-01-08,307,Sun,17,18,,CLE,W 28-14,307,2,2022,2022_18_PIT_CLE
KAN,2023-01-01,307,Sun,16,17,,DEN,W 27-24,307,2,2022,2022_17_KAN_DEN
DEN,2022-11-13,307,Sun,9,10,@,TEN,L 10-17,307,1,2022,2022_10_DEN_TEN
NWE,2022-09-11,307,Sun,1,1,@,MIA,L 7-20,307,0,2022,2022_01_NWE_MIA
TEN,2021-10-31,307,Sun,8,8,@,IND,W 34-31 (OT),307,3,2021,2021_08_TEN_IND
NYG,2021-01-03,307,Sun,16,17,,DAL,W 23-19,307,1,2020,2020_17_NYG_DAL
GNB,2020-09-20,307,Sun,2,2,,DET,W 42-21,307,1,2020,2020_02_GNB_DET
BAL,2019-11-10,307,Sun,9,10,@,CIN,W 49-13,307,3,2019,2019_10_BAL_CIN
KAN,2019-09-15,307,Sun,2,2,@,OAK,W 28-10,307,2,2019,2019_02_KAN_OAK
KAN,2017-12-16,307,Sat,14,15,,LAC,W 30-13,307,4,2017,2017_15_KAN_LAC
PHI,2017-12-10,307,Sun,13,14,@,LAR,W 43-35,307,2,2017,2017_14_PHI_LAR
PIT,2017-11-26,307,Sun,11,12,,GNB,W 31-28,307,0,2017,2017_12_PIT_GNB
NYJ,2017-11-02,307,Thu,9,9,,BUF,W 34-21,307,3,2017,2017_09_NYJ_BUF
NOR,2017-10-29,307,Sun,7,8,,CHI,W 20-12,307,1,2017,2017_08_NOR_CHI
WAS,2017-10-29,307,Sun,7,8,,DAL,L 19-33,307,1,2017,2017_08_WAS_DAL
PHI,2017-10-08,307,Sun,5,5,,ARI,W 34-7,307,1,2017,2017_05_PHI_ARI
PIT,2022-12-04,306,Sun,12,13,@,ATL,W 19-16,306,1,2022,2022_13_PIT_ATL
DEN,2022-10-06,306,Thu,5,5,,IND,L 9-12 (OT),306,2,2022,2022_05_DEN_IND
PIT,2021-11-14,306,Sun,9,10,,DET,T 16-16 (OT),306,0,2021,2021_10_PIT_DET
PIT,2021-10-31,306,Sun,7,8,@,CLE,W 15-10,306,1,2021,2021_08_PIT_CLE
MIN,2021-10-17,306,Sun,6,6,@,CAR,W 34-28 (OT),306,3,2021,2021_06_MIN_CAR
PHI,2021-09-19,306,Sun,2,2,,SFO,L 11-17,306,0,2021,2021_02_PHI_SFO
TEN,2020-11-22,306,Sun,10,11,@,BAL,W 30-24 (OT),306,1,2020,2020_11_TEN_BAL
BAL,2020-09-13,306,Sun,1,1,,CLE,W 38-6,306,3,2020,2020_01_BAL_CLE
PIT,2019-11-10,306,Sun,9,10,,LAR,W 17-12,306,4,2019,2019_10_PIT_LAR
BUF,2019-09-22,306,Sun,3,3,,CIN,W 21-17,306,4,2019,2019_03_BUF_CIN
DEN,2018-09-09,306,Sun,1,1,,SEA,W 27-24,306,3,2018,2018_01_DEN_SEA
ATL,2017-12-07,306,Thu,13,14,,NOR,W 20-17,306,1,2017,2017_14_ATL_NOR
PIT,2017-09-24,306,Sun,3,3,@,CHI,L 17-23 (OT),306,2,2017,2017_03_PIT_CHI
DEN,2022-10-30,305,Sun,8,8,@,JAX,W 21-17,305,2,2022,2022_08_DEN_JAX
SEA,2022-01-09,305,Sun,17,18,@,ARI,W 38-30,305,1,2021,2021_18_SEA_ARI
GNB,2019-12-29,305,Sun,16,17,@,DET,W 23-20,305,1,2019,2019_17_GNB_DET
MIA,2019-10-20,305,Sun,6,7,@,BUF,L 21-31,305,0,2019,2019_07_MIA_BUF
CHI,2018-11-11,305,Sun,9,10,,DET,W 34-22,305,3,2018,2018_10_CHI_DET
TAM,2018-10-21,305,Sun,6,7,,CLE,W 26-23 (OT),305,1,2018,2018_07_TAM_CLE
DAL,2018-10-21,305,Sun,7,7,@,WAS,L 17-20,305,0,2018,2018_07_DAL_WAS
NYG,2018-09-09,305,Sun,1,1,,JAX,L 15-20,305,1,2018,2018_01_NYG_JAX
LAR,2017-12-03,305,Sun,12,13,@,ARI,W 32-16,305,2,2017,2017_13_LAR_ARI
PHI,2017-10-12,305,Thu,6,6,@,CAR,W 28-23,305,3,2017,2017_06_PHI_CAR
ARI,2017-10-01,305,Sun,4,4,,SFO,W 18-15 (OT),305,1,2017,2017_04_ARI_SFO
CAR,2023-01-08,304,Sun,17,18,@,NOR,W 10-7,304,1,2022,2022_18_CAR_NOR
PHI,2022-12-11,304,Sun,13,14,@,NYG,W 48-22,304,1,2022,2022_14_PHI_NYG
HOU,2022-12-04,304,Sun,12,13,,CLE,L 14-27,304,2,2022,2022_13_HOU_CLE
PIT,2022-10-16,304,Sun,6,6,,TAM,W 20-18,304,0,2022,2022_06_PIT_TAM
NYG,2022-10-02,304,Sun,4,4,,CHI,W 20-12,304,3,2022,2022_04_NYG_CHI
MIA,2021-11-11,304,Thu,10,10,,BAL,W 22-10,304,2,2021,2021_10_MIA_BAL
SEA,2021-10-25,304,Mon,7,7,,NOR,L 10-13,304,1,2021,2021_07_SEA_NOR
WAS,2021-10-24,304,Sun,7,7,@,GNB,L 10-24,304,1,2021,2021_07_WAS_GNB
SFO,2021-10-10,304,Sun,5,5,@,ARI,L 10-17,304,1,2021,2021_05_SFO_ARI
LVR,2020-11-29,304,Sun,11,12,@,ATL,L 6-43,304,1,2020,2020_12_LVR_ATL
ATL,2020-10-29,304,Thu,8,8,@,CAR,W 25-17,304,1,2020,2020_08_ATL_CAR
PHI,2020-09-27,304,Sun,3,3,,CIN,T 23-23 (OT),304,0,2020,2020_03_PHI_CIN
NYG,2020-09-20,304,Sun,2,2,@,CHI,L 13-17,304,2,2020,2020_02_NYG_CHI
BAL,2020-09-20,304,Sun,2,2,@,HOU,W 33-16,304,2,2020,2020_02_BAL_HOU
PIT,2019-12-29,304,Sun,16,17,@,BAL,L 10-28,304,2,2019,2019_17_PIT_BAL
SFO,2017-10-29,304,Sun,8,8,@,PHI,L 10-33,304,1,2017,2017_08_SFO_PHI
PHI,2022-11-03,303,Thu,8,9,@,HOU,W 29-17,303,2,2022,2022_09_PHI_HOU
KAN,2021-12-26,303,Sun,15,16,,PIT,W 36-10,303,3,2021,2021_16_KAN_PIT
CLE,2021-11-28,303,Sun,12,12,@,BAL,L 10-16,303,4,2021,2021_12_CLE_BAL
MIA,2020-12-20,303,Sun,14,15,,NWE,W 22-12,303,1,2020,2020_15_MIA_NWE
NYJ,2020-12-20,303,Sun,14,15,@,LAR,W 23-20,303,1,2020,2020_15_NYJ_LAR
MIN,2020-12-13,303,Sun,13,14,@,TAM,L 14-26,303,0,2020,2020_14_MIN_TAM
CHI,2020-10-18,303,Sun,6,6,@,CAR,W 23-16,303,3,2020,2020_06_CHI_CAR
BUF,2019-11-17,303,Sun,10,11,@,MIA,W 37-20,303,1,2019,2019_11_BUF_MIA
WAS,2018-10-28,303,Sun,7,8,@,NYG,W 20-13,303,2,2018,2018_08_WAS_NYG
IND,2018-10-21,303,Sun,7,7,,BUF,W 37-5,303,5,2018,2018_07_IND_BUF
SEA,2018-09-23,303,Sun,3,3,,DAL,W 24-13,303,3,2018,2018_03_SEA_DAL
ARI,2017-12-03,303,Sun,12,13,,LAR,L 16-32,303,1,2017,2017_13_ARI_LAR
BAL,2017-11-27,303,Mon,11,12,,HOU,W 23-16,303,3,2017,2017_12_BAL_HOU
NYJ,2023-01-08,302,Sun,17,18,@,MIA,L 6-11,302,0,2022,2022_18_NYJ_MIA
LAR,2022-12-08,302,Thu,13,14,,LVR,W 17-16,302,2,2022,2022_14_LAR_LVR
PHI,2022-10-30,302,Sun,7,8,,PIT,W 35-13,302,2,2022,2022_08_PHI_PIT
DAL,2021-12-19,302,Sun,14,15,@,NYG,W 21-6,302,4,2021,2021_15_DAL_NYG
NOR,2021-12-19,302,Sun,14,15,@,TAM,W 9-0,302,2,2021,2021_15_NOR_TAM
