Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
LAC,2019-12-08,45,Sun,13,14,@,JAX,W 45-10,45,10,35,55,2019,2019_14_LAC_JAX
BAL,2019-11-25,45,Mon,11,12,@,LAR,W 45-6,45,6,39,51,2019,2019_12_BAL_LAR
LAC,2018-11-25,45,Sun,11,12,,ARI,W 45-10,45,10,35,55,2018,2018_12_LAC_ARI
NOR,2018-11-04,45,Sun,8,9,,LAR,W 45-35,45,35,10,80,2018,2018_09_NOR_LAR
KAN,2018-10-21,45,Sun,7,7,,CIN,W 45-10,45,10,35,55,2018,2018_07_KAN_CIN
DEN,2018-10-18,45,Thu,7,7,@,ARI,W 45-10,45,10,35,55,2018,2018_07_DEN_ARI
OAK,2018-09-30,45,Sun,4,4,,CLE,W 45-42 (OT),45,42,3,87,2018,2018_04_OAK_CLE
JAX,2017-12-17,45,Sun,14,15,,HOU,W 45-7,45,7,38,52,2017,2017_15_JAX_HOU
CAR,2017-11-13,45,Mon,10,10,,MIA,W 45-21,45,21,24,66,2017,2017_10_CAR_MIA
OAK,2017-09-17,45,Sun,2,2,,NYJ,W 45-20,45,20,25,65,2017,2017_02_OAK_NYJ
KAN,2022-10-23,44,Sun,7,7,@,SFO,W 44-23,44,23,21,67,2022,2022_07_KAN_SFO
KAN,2022-09-11,44,Sun,1,1,@,ARI,W 44-21,44,21,23,65,2022,2022_01_KAN_ARI
PHI,2021-10-31,44,Sun,8,8,@,DET,W 44-6,44,6,38,50,2021,2021_08_PHI_DET
DAL,2021-10-10,44,Sun,5,5,,NYG,W 44-20,44,20,24,64,2021,2021_05_DAL_NYG
TAM,2021-01-03,44,Sun,16,17,,ATL,W 44-27,44,27,17,71,2020,2020_17_TAM_ATL
IND,2020-12-13,44,Sun,13,14,@,LVR,W 44-27,44,27,17,71,2020,2020_14_IND_LVR
BUF,2020-11-08,44,Sun,9,9,,SEA,W 44-34,44,34,10,78,2020,2020_09_BUF_SEA
DAL,2019-12-15,44,Sun,14,15,,LAR,W 44-21,44,21,23,65,2019,2019_15_DAL_LAR
GNB,2018-12-23,44,Sun,15,16,@,NYJ,W 44-38 (OT),44,38,6,82,2018,2018_16_GNB_NYJ
SFO,2017-12-24,44,Sun,15,16,,JAX,W 44-33,44,33,11,77,2017,2017_16_SFO_JAX
BAL,2017-12-03,44,Sun,12,13,,DET,W 44-20,44,20,24,64,2017,2017_13_BAL_DET
JAX,2017-09-24,44,Sun,3,3,,BAL,W 44-7,44,7,37,51,2017,2017_03_JAX_BAL
DAL,2021-11-14,43,Sun,9,10,,ATL,W 43-3,43,3,40,46,2021,2021_10_DAL_ATL
BUF,2021-09-26,43,Sun,3,3,,WAS,W 43-21,43,21,22,64,2021,2021_03_BUF_WAS
ATL,2020-11-29,43,Sun,11,12,,LVR,W 43-6,43,6,37,49,2020,2020_12_ATL_LVR
KAN,2020-10-25,43,Sun,7,7,@,DEN,W 43-16,43,16,27,59,2020,2020_07_KAN_DEN
MIA,2020-10-11,43,Sun,5,5,@,SFO,W 43-17,43,17,26,60,2020,2020_05_MIA_SFO
GNB,2020-09-13,43,Sun,1,1,@,MIN,W 43-34,43,34,9,77,2020,2020_01_GNB_MIN
NWE,2019-09-15,43,Sun,2,2,@,MIA,W 43-0,43,0,43,43,2019,2019_02_NWE_MIA
TEN,2019-09-08,43,Sun,1,1,@,CLE,W 43-13,43,13,30,56,2019,2019_01_TEN_CLE
SEA,2018-12-02,43,Sun,12,13,,SFO,W 43-16,43,16,27,59,2018,2018_13_SEA_SFO
NWE,2018-10-14,43,Sun,6,6,,KAN,W 43-40,43,40,3,83,2018,2018_06_NWE_KAN
NOR,2018-10-08,43,Mon,5,5,,WAS,W 43-19,43,19,24,62,2018,2018_05_NOR_WAS
NOR,2018-09-23,43,Sun,3,3,@,ATL,W 43-37 (OT),43,37,6,80,2018,2018_03_NOR_ATL
PHI,2017-12-10,43,Sun,13,14,@,LAR,W 43-35,43,35,8,78,2017,2017_14_PHI_LAR
CIN,2022-11-06,42,Sun,9,9,,CAR,W 42-21,42,21,21,63,2022,2022_09_CIN_CAR
ARI,2022-10-20,42,Thu,7,7,,NOR,W 42-34,42,34,8,76,2022,2022_07_ARI_NOR
MIA,2022-09-18,42,Sun,2,2,@,BAL,W 42-38,42,38,4,80,2022,2022_02_MIA_BAL
CLE,2021-10-10,42,Sun,5,5,@,LAC,L 42-47,42,47,-5,89,2021,2021_05_CLE_LAC
KAN,2021-10-03,42,Sun,4,4,@,PHI,W 42-30,42,30,12,72,2021,2021_04_KAN_PHI
CLE,2020-12-14,42,Mon,13,14,,BAL,L 42-47,42,47,-5,89,2020,2020_14_CLE_BAL
TEN,2020-10-18,42,Sun,5,6,,HOU,W 42-36 (OT),42,36,6,78,2020,2020_06_TEN_HOU
TEN,2020-10-13,42,Tue,4,5,,BUF,W 42-16,42,16,26,58,2020,2020_05_TEN_BUF
GNB,2020-09-20,42,Sun,2,2,,DET,W 42-21,42,21,21,63,2020,2020_02_GNB_DET
NOR,2019-12-29,42,Sun,16,17,@,CAR,W 42-10,42,10,32,52,2019,2019_17_NOR_CAR
BAL,2019-12-12,42,Thu,14,15,,NYJ,W 42-21,42,21,21,63,2019,2019_15_BAL_NYJ
TEN,2019-12-08,42,Sun,13,14,@,OAK,W 42-21,42,21,21,63,2019,2019_14_TEN_OAK
TEN,2019-11-24,42,Sun,11,12,,JAX,W 42-20,42,20,22,62,2019,2019_12_TEN_JAX
