Team,Date,Pts,Day,G#,Week,,Opp,Result,Pts,PtsO,PtDif,PC,Season,game_id
TAM,2021-09-09,31,Thu,1,1,,DAL,W 31-29,31,29,2,60,2021,2021_01_TAM_DAL
DEN,2021-01-03,31,Sun,16,17,,LVR,L 31-32,31,32,-1,63,2020,2020_17_DEN_LVR
HOU,2020-12-27,31,Sun,15,16,,CIN,L 31-37,31,37,-6,68,2020,2020_16_HOU_CIN
TAM,2020-12-20,31,Sun,14,15,@,ATL,W 31-27,31,27,4,58,2020,2020_15_TAM_ATL
GNB,2020-12-13,31,Sun,13,14,@,DET,W 31-24,31,24,7,55,2020,2020_14_GNB_DET
TEN,2020-12-13,31,Sun,13,14,@,JAX,W 31-10,31,10,21,41,2020,2020_14_TEN_JAX
LVR,2020-12-06,31,Sun,12,13,@,NYJ,W 31-28,31,28,3,59,2020,2020_13_LVR_NYJ
NOR,2020-11-29,31,Sun,11,12,@,DEN,W 31-3,31,3,28,34,2020,2020_12_NOR_DEN
GNB,2020-11-22,31,Sun,10,11,@,IND,L 31-34 (OT),31,34,-3,65,2020,2020_11_GNB_IND
LVR,2020-11-22,31,Sun,10,11,,KAN,L 31-35,31,35,-4,66,2020,2020_11_LVR_KAN
DAL,2020-11-22,31,Sun,10,11,@,MIN,W 31-28,31,28,3,59,2020,2020_11_DAL_MIN
CAR,2020-11-08,31,Sun,9,9,@,KAN,L 31-33,31,33,-2,64,2020,2020_09_CAR_KAN
ARI,2020-11-08,31,Sun,8,9,,MIA,L 31-34,31,34,-3,65,2020,2020_09_ARI_MIA
LVR,2020-11-08,31,Sun,8,9,@,LAC,W 31-26,31,26,5,57,2020,2020_09_LVR_LAC
CIN,2020-11-01,31,Sun,8,8,,TEN,W 31-20,31,20,11,51,2020,2020_08_CIN_TEN
DEN,2020-11-01,31,Sun,7,8,,LAC,W 31-30,31,30,1,61,2020,2020_08_DEN_LAC
IND,2020-10-18,31,Sun,6,6,,CIN,W 31-27,31,27,4,58,2020,2020_06_IND_CIN
CAR,2020-10-04,31,Sun,4,4,,ARI,W 31-21,31,21,10,52,2020,2020_04_CAR_ARI
MIN,2020-10-04,31,Sun,4,4,@,HOU,W 31-23,31,23,8,54,2020,2020_04_MIN_HOU
SEA,2020-10-04,31,Sun,4,4,@,MIA,W 31-23,31,23,8,54,2020,2020_04_SEA_MIA
LAC,2020-10-04,31,Sun,4,4,@,TAM,L 31-38,31,38,-7,69,2020,2020_04_LAC_TAM
BAL,2020-10-04,31,Sun,4,4,@,WAS,W 31-17,31,17,14,48,2020,2020_04_BAL_WAS
TEN,2020-09-27,31,Sun,3,3,@,MIN,W 31-30,31,30,1,61,2020,2020_03_TEN_MIN
DAL,2020-09-27,31,Sun,3,3,@,SEA,L 31-38,31,38,-7,69,2020,2020_03_DAL_SEA
MIA,2020-09-24,31,Thu,3,3,@,JAX,W 31-13,31,13,18,44,2020,2020_03_MIA_JAX
BUF,2020-09-20,31,Sun,2,2,@,MIA,W 31-28,31,28,3,59,2020,2020_02_BUF_MIA
SFO,2020-09-20,31,Sun,2,2,@,NYJ,W 31-13,31,13,18,44,2020,2020_02_SFO_NYJ
TAM,2020-09-20,31,Sun,2,2,,CAR,W 31-17,31,17,14,48,2020,2020_02_TAM_CAR
KAN,2019-12-29,31,Sun,16,17,,LAC,W 31-21,31,21,10,52,2019,2019_17_KAN_LAC
LAR,2019-12-29,31,Sun,16,17,,ARI,W 31-24,31,24,7,55,2019,2019_17_LAR_ARI
BAL,2019-12-22,31,Sun,15,16,@,CLE,W 31-15,31,15,16,46,2019,2019_16_BAL_CLE
LAR,2019-12-21,31,Sat,15,16,@,SFO,L 31-34,31,34,-3,65,2019,2019_16_LAR_SFO
CHI,2019-12-05,31,Thu,13,14,,DAL,W 31-24,31,24,7,55,2019,2019_14_CHI_DAL
GNB,2019-12-01,31,Sun,12,13,@,NYG,W 31-13,31,13,18,44,2019,2019_13_GNB_NYG
PHI,2019-12-01,31,Sun,12,13,@,MIA,L 31-37,31,37,-6,68,2019,2019_13_PHI_MIA
TEN,2019-12-01,31,Sun,12,13,@,IND,W 31-17,31,17,14,48,2019,2019_13_TEN_IND
CAR,2019-11-24,31,Sun,11,12,@,NOR,L 31-34,31,34,-3,65,2019,2019_12_CAR_NOR
OAK,2019-11-03,31,Sun,8,9,,DET,W 31-24,31,24,7,55,2019,2019_09_OAK_DET
DET,2019-10-27,31,Sun,7,8,,NYG,W 31-26,31,26,5,57,2019,2019_08_DET_NYG
GNB,2019-10-27,31,Sun,8,8,@,KAN,W 31-24,31,24,7,55,2019,2019_08_GNB_KAN
NOR,2019-10-27,31,Sun,8,8,,ARI,W 31-9,31,9,22,40,2019,2019_08_NOR_ARI
PHI,2019-10-27,31,Sun,8,8,@,BUF,W 31-13,31,13,18,44,2019,2019_08_PHI_BUF
BUF,2019-10-20,31,Sun,6,7,,MIA,W 31-21,31,21,10,52,2019,2019_07_BUF_MIA
HOU,2019-10-13,31,Sun,6,6,@,KAN,W 31-24,31,24,7,55,2019,2019_06_HOU_KAN
SFO,2019-10-07,31,Mon,4,5,,CLE,W 31-3,31,3,28,34,2019,2019_05_SFO_CLE
PHI,2019-10-06,31,Sun,5,5,,NYJ,W 31-6,31,6,25,37,2019,2019_05_PHI_NYJ
NOR,2019-10-06,31,Sun,5,5,,TAM,W 31-24,31,24,7,55,2019,2019_05_NOR_TAM
OAK,2019-09-29,31,Sun,4,4,@,IND,W 31-24,31,24,7,55,2019,2019_04_OAK_IND
CHI,2019-09-23,31,Mon,3,3,@,WAS,W 31-15,31,15,16,46,2019,2019_03_CHI_WAS
TAM,2019-09-22,31,Sun,3,3,,NYG,L 31-32,31,32,-1,63,2019,2019_03_TAM_NYG
DAL,2019-09-22,31,Sun,3,3,,MIA,W 31-6,31,6,25,37,2019,2019_03_DAL_MIA
DAL,2019-09-15,31,Sun,2,2,@,WAS,W 31-21,31,21,10,52,2019,2019_02_DAL_WAS
SFO,2019-09-08,31,Sun,1,1,@,TAM,W 31-17,31,17,14,48,2019,2019_01_SFO_TAM
DET,2018-12-30,31,Sun,16,17,@,GNB,W 31-0,31,0,31,31,2018,2018_17_DET_GNB
NOR,2018-12-23,31,Sun,15,16,,PIT,W 31-28,31,28,3,59,2018,2018_16_NOR_PIT
KAN,2018-12-23,31,Sun,15,16,@,SEA,L 31-38,31,38,-7,69,2018,2018_16_KAN_SEA
LAR,2018-12-23,31,Sun,15,16,@,ARI,W 31-9,31,9,22,40,2018,2018_16_LAR_ARI
DAL,2018-11-22,31,Thu,11,12,,WAS,W 31-23,31,23,8,54,2018,2018_12_DAL_WAS
NOR,2018-11-22,31,Thu,11,12,,ATL,W 31-17,31,17,14,48,2018,2018_12_NOR_ATL
GNB,2018-11-11,31,Sun,9,10,,MIA,W 31-12,31,12,19,43,2018,2018_10_GNB_MIA
SEA,2018-11-11,31,Sun,9,10,@,LAR,L 31-36,31,36,-5,67,2018,2018_10_SEA_LAR
NWE,2018-11-04,31,Sun,9,9,,GNB,W 31-17,31,17,14,48,2018,2018_09_NWE_GNB
CHI,2018-10-21,31,Sun,6,7,,NWE,L 31-38,31,38,-7,69,2018,2018_07_CHI_NWE
MIA,2018-10-14,31,Sun,6,6,,CHI,W 31-28 (OT),31,28,3,59,2018,2018_06_MIA_CHI
SEA,2018-10-07,31,Sun,5,5,,LAR,L 31-33,31,33,-2,64,2018,2018_05_SEA_LAR
DET,2018-10-07,31,Sun,5,5,,GNB,W 31-23,31,23,8,54,2018,2018_05_DET_GNB
NYG,2018-10-07,31,Sun,5,5,@,CAR,L 31-33,31,33,-2,64,2018,2018_05_NYG_CAR
JAX,2018-09-30,31,Sun,4,4,,NYJ,W 31-12,31,12,19,43,2018,2018_04_JAX_NYJ
MIN,2018-09-27,31,Thu,4,4,@,LAR,L 31-38,31,38,-7,69,2018,2018_04_MIN_LAR
WAS,2018-09-23,31,Sun,3,3,,GNB,W 31-17,31,17,14,48,2018,2018_03_WAS_GNB
CAR,2018-09-23,31,Sun,3,3,,CIN,W 31-21,31,21,10,52,2018,2018_03_CAR_CIN
JAX,2018-09-16,31,Sun,2,2,,NWE,W 31-20,31,20,11,51,2018,2018_02_JAX_NWE
LAC,2018-09-16,31,Sun,2,2,@,BUF,W 31-20,31,20,11,51,2018,2018_02_LAC_BUF
ATL,2018-09-16,31,Sun,2,2,,CAR,W 31-24,31,24,7,55,2018,2018_02_ATL_CAR
TAM,2017-12-31,31,Sun,16,17,,NOR,W 31-24,31,24,7,55,2017,2017_17_TAM_NOR
CIN,2017-12-31,31,Sun,16,17,@,BAL,W 31-27,31,27,4,58,2017,2017_17_CIN_BAL
CAR,2017-12-17,31,Sun,14,15,,GNB,W 31-24,31,24,7,55,2017,2017_15_CAR_GNB
NOR,2017-12-17,31,Sun,14,15,,NYJ,W 31-19,31,19,12,50,2017,2017_15_NOR_NYJ
CAR,2017-12-10,31,Sun,13,14,,MIN,W 31-24,31,24,7,55,2017,2017_14_CAR_MIN
KAN,2017-12-03,31,Sun,12,13,@,NYJ,L 31-38,31,38,-7,69,2017,2017_13_KAN_NYJ
NOR,2017-12-03,31,Sun,12,13,,CAR,W 31-21,31,21,10,52,2017,2017_13_NOR_CAR
PIT,2017-11-26,31,Sun,11,12,,GNB,W 31-28,31,28,3,59,2017,2017_12_PIT_GNB
PHI,2017-11-26,31,Sun,11,12,,CHI,W 31-3,31,3,28,34,2017,2017_12_PHI_CHI
SEA,2017-11-20,31,Mon,10,11,,ATL,L 31-34,31,34,-3,65,2017,2017_11_SEA_ATL
WAS,2017-11-19,31,Sun,10,11,@,NOR,L 31-34 (OT),31,34,-3,65,2017,2017_11_WAS_NOR
HOU,2017-11-19,31,Sun,10,11,,ARI,W 31-21,31,21,10,52,2017,2017_11_HOU_ARI
SFO,2017-11-12,31,Sun,10,10,,NYG,W 31-21,31,21,10,52,2017,2017_10_SFO_NYG
MIA,2017-10-22,31,Sun,6,7,,NYJ,W 31-28,31,28,3,59,2017,2017_07_MIA_NYJ
OAK,2017-10-19,31,Thu,7,7,,KAN,W 31-30,31,30,1,61,2017,2017_07_OAK_KAN
DAL,2017-10-08,31,Sun,5,5,,GNB,L 31-35,31,35,-4,66,2017,2017_05_DAL_GNB
CIN,2017-10-01,31,Sun,4,4,@,CLE,W 31-7,31,7,24,38,2017,2017_04_CIN_CLE
IND,2017-09-24,31,Sun,3,3,,CLE,W 31-28,31,28,3,59,2017,2017_03_IND_CLE
ATL,2023-01-08,30,Sun,17,18,,TAM,W 30-17,30,17,13,47,2022,2022_18_ATL_TAM
TAM,2023-01-01,30,Sun,16,17,,CAR,W 30-24,30,24,6,54,2022,2022_17_TAM_CAR
KAN,2022-12-18,30,Sun,14,15,@,HOU,W 30-24 (OT),30,24,6,54,2022,2022_15_KAN_HOU
LVR,2022-12-18,30,Sun,14,15,,NWE,W 30-24,30,24,6,54,2022,2022_15_LVR_NWE
CAR,2022-12-11,30,Sun,13,14,@,SEA,W 30-24,30,24,6,54,2022,2022_14_CAR_SEA
MIA,2022-11-27,30,Sun,11,12,,HOU,W 30-15,30,15,15,45,2022,2022_12_MIA_HOU
PIT,2022-11-20,30,Sun,10,11,,CIN,L 30-37,30,37,-7,67,2022,2022_11_PIT_CIN
KAN,2022-11-20,30,Sun,10,11,@,LAC,W 30-27,30,27,3,57,2022,2022_11_KAN_LAC
CHI,2022-11-13,30,Sun,10,10,,DET,L 30-31,30,31,-1,61,2022,2022_10_CHI_DET
BUF,2022-11-13,30,Sun,9,10,,MIN,L 30-33 (OT),30,33,-3,63,2022,2022_10_BUF_MIN
CIN,2022-10-16,30,Sun,6,6,@,NOR,W 30-26,30,26,4,56,2022,2022_06_CIN_NOR
KAN,2022-10-10,30,Mon,5,5,,LVR,W 30-29,30,29,1,59,2022,2022_05_KAN_LVR
LAC,2022-10-09,30,Sun,5,5,@,CLE,W 30-28,30,28,2,58,2022,2022_05_LAC_CLE
CLE,2022-09-18,30,Sun,2,2,,NYJ,L 30-31,30,31,-1,61,2022,2022_02_CLE_NYJ
NOR,2022-01-09,30,Sun,17,18,@,ATL,W 30-20,30,20,10,50,2021,2021_18_NOR_ATL
GNB,2022-01-09,30,Sun,17,18,@,DET,L 30-37,30,37,-7,67,2021,2021_18_GNB_DET
ARI,2022-01-09,30,Sun,17,18,,SEA,L 30-38,30,38,-8,68,2021,2021_18_ARI_SEA
LAR,2021-12-26,30,Sun,15,16,@,MIN,W 30-23,30,23,7,53,2021,2021_16_LAR_MIN
DET,2021-12-19,30,Sun,14,15,,ARI,W 30-12,30,12,18,42,2021,2021_15_DET_ARI
BAL,2021-12-19,30,Sun,14,15,,GNB,L 30-31,30,31,-1,61,2021,2021_15_BAL_GNB
HOU,2021-12-19,30,Sun,14,15,@,JAX,W 30-16,30,16,14,46,2021,2021_15_HOU_JAX
LAR,2021-12-13,30,Mon,13,14,@,ARI,W 30-23,30,23,7,53,2021,2021_14_LAR_ARI
CHI,2021-12-12,30,Sun,13,14,@,GNB,L 30-45,30,45,-15,75,2021,2021_14_CHI_GNB
NOR,2021-12-12,30,Sun,13,14,@,NYJ,W 30-9,30,9,21,39,2021,2021_14_NOR_NYJ
TAM,2021-12-05,30,Sun,12,13,@,ATL,W 30-17,30,17,13,47,2021,2021_13_TAM_ATL
SEA,2021-12-05,30,Sun,12,13,,SFO,W 30-23,30,23,7,53,2021,2021_13_SEA_SFO
TAM,2021-11-22,30,Mon,10,11,,NYG,W 30-10,30,10,20,40,2021,2021_11_TAM_NYG
SFO,2021-11-21,30,Sun,10,11,@,JAX,W 30-10,30,10,20,40,2021,2021_11_SFO_JAX
PHI,2021-11-14,30,Sun,10,10,@,DEN,W 30-13,30,13,17,43,2021,2021_10_PHI_DEN
DEN,2021-11-07,30,Sun,9,9,@,DAL,W 30-16,30,16,14,46,2021,2021_09_DEN_DAL
NYJ,2021-11-04,30,Thu,8,9,@,IND,L 30-45,30,45,-15,75,2021,2021_09_NYJ_IND
ATL,2021-10-24,30,Sun,6,7,@,MIA,W 30-28,30,28,2,58,2021,2021_07_ATL_MIA
IND,2021-10-24,30,Sun,7,7,@,SFO,W 30-18,30,18,12,48,2021,2021_07_IND_SFO
PHI,2021-10-03,30,Sun,4,4,,KAN,L 30-42,30,42,-12,72,2021,2021_04_PHI_KAN
ATL,2021-10-03,30,Sun,4,4,,WAS,L 30-34,30,34,-4,64,2021,2021_04_ATL_WAS
LAC,2021-09-26,30,Sun,3,3,@,KAN,W 30-24,30,24,6,54,2021,2021_03_LAC_KAN
MIN,2021-09-26,30,Sun,3,3,,SEA,W 30-17,30,17,13,47,2021,2021_03_MIN_SEA
GNB,2021-09-26,30,Sun,3,3,@,SFO,W 30-28,30,28,2,58,2021,2021_03_GNB_SFO
SEA,2021-09-19,30,Sun,2,2,,TEN,L 30-33 (OT),30,33,-3,63,2021,2021_02_SEA_TEN
WAS,2021-09-16,30,Thu,2,2,,NYG,W 30-29,30,29,1,59,2021,2021_02_WAS_NYG
LAC,2020-12-17,30,Thu,14,15,@,LVR,W 30-27 (OT),30,27,3,57,2020,2020_15_LAC_LVR
DAL,2020-12-13,30,Sun,13,14,@,CIN,W 30-7,30,7,23,37,2020,2020_14_DAL_CIN
CHI,2020-12-06,30,Sun,12,13,,DET,L 30-34,30,34,-4,64,2020,2020_13_CHI_DET
GNB,2020-12-06,30,Sun,12,13,,PHI,W 30-16,30,16,14,46,2020,2020_13_GNB_PHI
TEN,2020-11-22,30,Sun,10,11,@,BAL,W 30-24 (OT),30,24,6,54,2020,2020_11_TEN_BAL
BUF,2020-11-15,30,Sun,10,10,@,ARI,L 30-32,30,32,-2,62,2020,2020_10_BUF_ARI
DET,2020-11-15,30,Sun,9,10,,WAS,W 30-27,30,27,3,57,2020,2020_10_DET_WAS
NWE,2020-11-09,30,Mon,8,9,@,NYJ,W 30-27,30,27,3,57,2020,2020_09_NWE_NYJ
LAC,2020-11-01,30,Sun,7,8,@,DEN,L 30-31,30,31,-1,61,2020,2020_08_LAC_DEN
BAL,2020-10-18,30,Sun,6,6,@,PHI,W 30-28,30,28,2,58,2020,2020_06_BAL_PHI
NOR,2020-10-12,30,Mon,5,5,,LAC,W 30-27 (OT),30,27,3,57,2020,2020_05_NOR_LAC
HOU,2020-10-11,30,Sun,5,5,,JAX,W 30-14,30,14,16,44,2020,2020_05_HOU_JAX
ARI,2020-10-11,30,Sun,5,5,@,NYJ,W 30-10,30,10,20,40,2020,2020_05_ARI_NYJ
LAR,2020-10-11,30,Sun,5,5,@,WAS,W 30-10,30,10,20,40,2020,2020_05_LAR_WAS
GNB,2020-10-05,30,Mon,4,4,,ATL,W 30-16,30,16,14,46,2020,2020_04_GNB_ATL
BUF,2020-10-04,30,Sun,4,4,@,LVR,W 30-23,30,23,7,53,2020,2020_04_BUF_LVR
NOR,2020-09-27,30,Sun,3,3,,GNB,L 30-37,30,37,-7,67,2020,2020_03_NOR_GNB
MIN,2020-09-27,30,Sun,3,3,,TEN,L 30-31,30,31,-1,61,2020,2020_03_MIN_TEN
CHI,2020-09-27,30,Sun,3,3,@,ATL,W 30-26,30,26,4,56,2020,2020_03_CHI_ATL
JAX,2020-09-20,30,Sun,2,2,@,TEN,L 30-33,30,33,-3,63,2020,2020_02_JAX_TEN
NWE,2020-09-20,30,Sun,2,2,@,SEA,L 30-35,30,35,-5,65,2020,2020_02_NWE_SEA
ARI,2020-09-20,30,Sun,2,2,,WAS,W 30-15,30,15,15,45,2020,2020_02_ARI_WAS
CIN,2020-09-17,30,Thu,2,2,@,CLE,L 30-35,30,35,-5,65,2020,2020_02_CIN_CLE
CAR,2020-09-13,30,Sun,1,1,,LVR,L 30-34,30,34,-4,64,2020,2020_01_CAR_LVR
SEA,2019-12-15,30,Sun,14,15,@,CAR,W 30-24,30,24,6,54,2019,2019_15_SEA_CAR
MIN,2019-12-02,30,Mon,12,13,@,SEA,L 30-37,30,37,-7,67,2019,2019_13_MIN_SEA
TAM,2019-11-10,30,Sun,9,10,,ARI,W 30-27,30,27,3,57,2019,2019_10_TAM_ARI
CAR,2019-11-03,30,Sun,8,9,,TEN,W 30-20,30,20,10,50,2019,2019_09_CAR_TEN
BAL,2019-10-20,30,Sun,7,7,@,SEA,W 30-16,30,16,14,46,2019,2019_07_BAL_SEA
DET,2019-10-20,30,Sun,6,7,,MIN,L 30-42,30,42,-12,72,2019,2019_07_DET_MIN
IND,2019-10-20,30,Sun,6,7,,HOU,W 30-23,30,23,7,53,2019,2019_07_IND_HOU
KAN,2019-10-17,30,Thu,7,7,@,DEN,W 30-6,30,6,24,36,2019,2019_07_KAN_DEN
SEA,2019-10-03,30,Thu,5,5,,LAR,W 30-29,30,29,1,59,2019,2019_05_SEA_LAR
LAC,2019-09-29,30,Sun,4,4,@,MIA,W 30-10,30,10,20,40,2019,2019_04_LAC_MIA
DET,2019-09-29,30,Sun,4,4,,KAN,L 30-34,30,34,-4,64,2019,2019_04_DET_KAN
NWE,2019-09-22,30,Sun,3,3,,NYJ,W 30-14,30,14,16,44,2019,2019_03_NWE_NYJ
NOR,2019-09-09,30,Mon,1,1,,HOU,W 30-28,30,28,2,58,2019,2019_01_NOR_HOU
LAC,2019-09-08,30,Sun,1,1,,IND,W 30-24 (OT),30,24,6,54,2019,2019_01_LAC_IND
LAR,2019-09-08,30,Sun,1,1,@,CAR,W 30-27,30,27,3,57,2019,2019_01_LAR_CAR
HOU,2018-12-23,30,Sun,15,16,@,PHI,L 30-32,30,32,-2,62,2018,2018_16_HOU_PHI
CIN,2018-12-16,30,Sun,14,15,,OAK,W 30-16,30,16,14,46,2018,2018_15_CIN_OAK
PHI,2018-12-16,30,Sun,14,15,@,LAR,W 30-23,30,23,7,53,2018,2018_15_PHI_LAR
TEN,2018-12-06,30,Thu,13,14,,JAX,W 30-9,30,9,21,39,2018,2018_14_TEN_JAX
PIT,2018-12-02,30,Sun,12,13,,LAC,L 30-33,30,33,-3,63,2018,2018_13_PIT_LAC
LAR,2018-12-02,30,Sun,12,13,@,DET,W 30-16,30,16,14,46,2018,2018_13_LAR_DET
NYG,2018-12-02,30,Sun,12,13,,CHI,W 30-27 (OT),30,27,3,57,2018,2018_13_NYG_CHI
SEA,2018-11-25,30,Sun,11,12,@,CAR,W 30-27,30,27,3,57,2018,2018_12_SEA_CAR
NOR,2018-10-28,30,Sun,7,8,@,MIN,W 30-20,30,20,10,50,2018,2018_08_NOR_MIN
KAN,2018-10-28,30,Sun,8,8,,DEN,W 30-23,30,23,7,53,2018,2018_08_KAN_DEN
SFO,2018-10-15,30,Mon,6,6,@,GNB,L 30-33,30,33,-3,63,2018,2018_06_SFO_GNB
KAN,2018-10-07,30,Sun,5,5,,JAX,W 30-14,30,14,16,44,2018,2018_05_KAN_JAX
PIT,2018-09-24,30,Mon,3,3,@,TAM,W 30-27,30,27,3,57,2018,2018_03_PIT_TAM
SFO,2018-09-16,30,Sun,2,2,,DET,W 30-27,30,27,3,57,2018,2018_02_SFO_DET
LAC,2017-12-31,30,Sun,16,17,,OAK,W 30-10,30,10,20,40,2017,2017_17_LAC_OAK
KAN,2017-12-16,30,Sat,14,15,,LAC,W 30-13,30,13,17,43,2017,2017_15_KAN_LAC
DAL,2017-12-10,30,Sun,13,14,@,NYG,W 30-10,30,10,20,40,2017,2017_14_DAL_NYG
JAX,2017-12-10,30,Sun,13,14,,SEA,W 30-24,30,24,6,54,2017,2017_14_JAX_SEA
LAC,2017-12-10,30,Sun,13,14,,WAS,W 30-13,30,13,17,43,2017,2017_14_LAC_WAS
JAX,2017-12-03,30,Sun,12,13,,IND,W 30-10,30,10,20,40,2017,2017_13_JAX_IND
CIN,2017-11-26,30,Sun,11,12,,CLE,W 30-16,30,16,14,46,2017,2017_12_CIN_CLE
MIN,2017-11-23,30,Thu,11,12,@,DET,W 30-23,30,23,7,53,2017,2017_12_MIN_DET
TAM,2017-11-19,30,Sun,10,11,@,MIA,W 30-20,30,20,10,50,2017,2017_11_TAM_MIA
WAS,2017-11-12,30,Sun,9,10,,MIN,L 30-38,30,38,-8,68,2017,2017_10_WAS_MIN
DET,2017-11-06,30,Mon,8,9,@,GNB,W 30-17,30,17,13,47,2017,2017_09_DET_GNB
NOR,2017-11-05,30,Sun,8,9,,TAM,W 30-10,30,10,20,40,2017,2017_09_NOR_TAM
BUF,2017-10-22,30,Sun,6,7,,TAM,W 30-27,30,27,3,57,2017,2017_07_BUF_TAM
KAN,2017-10-19,30,Thu,7,7,@,OAK,L 30-31,30,31,-1,61,2017,2017_07_KAN_OAK
JAX,2017-10-08,30,Sun,5,5,@,PIT,W 30-9,30,9,21,39,2017,2017_05_JAX_PIT
BAL,2017-10-08,30,Sun,5,5,@,OAK,W 30-17,30,17,13,47,2017,2017_05_BAL_OAK
NWE,2017-10-01,30,Sun,4,4,,CAR,L 30-33,30,33,-3,63,2017,2017_04_NWE_CAR
DAL,2017-10-01,30,Sun,4,4,,LAR,L 30-35,30,35,-5,65,2017,2017_04_DAL_LAR
ATL,2017-09-24,30,Sun,3,3,@,DET,W 30-26,30,26,4,56,2017,2017_03_ATL_DET
PHI,2017-09-10,30,Sun,1,1,@,WAS,W 30-17,30,17,13,47,2017,2017_01_PHI_WAS
MIN,2023-01-08,29,Sun,17,18,@,CHI,W 29-13,29,13,16,42,2022,2022_18_MIN_CHI
MIA,2022-12-17,29,Sat,14,15,@,BUF,L 29-32,29,32,-3,61,2022,2022_15_MIA_BUF
PHI,2022-11-03,29,Thu,8,9,@,HOU,W 29-17,29,17,12,46,2022,2022_09_PHI_HOU
CHI,2022-10-30,29,Sun,8,8,@,DAL,L 29-49,29,49,-20,78,2022,2022_08_CHI_DAL
LVR,2022-10-10,29,Mon,5,5,@,KAN,L 29-30,29,30,-1,59,2022,2022_05_LVR_KAN
MIN,2022-10-09,29,Sun,5,5,,CHI,W 29-22,29,22,7,51,2022,2022_05_MIN_CHI
NWE,2022-10-09,29,Sun,5,5,,DET,W 29-0,29,0,29,29,2022,2022_05_NWE_DET
PHI,2022-10-02,29,Sun,4,4,,JAX,W 29-21,29,21,8,50,2022,2022_04_PHI_JAX
CLE,2022-09-22,29,Thu,3,3,,PIT,W 29-17,29,17,12,46,2022,2022_03_CLE_PIT
ARI,2022-09-18,29,Sun,2,2,@,LVR,W 29-23 (OT),29,23,6,52,2022,2022_02_ARI_LVR
BUF,2022-01-02,29,Sun,16,17,,ATL,W 29-15,29,15,14,44,2021,2021_17_BUF_ATL
CHI,2022-01-02,29,Sun,16,17,,NYG,W 29-3,29,3,26,32,2021,2021_17_CHI_NYG
DET,2022-01-02,29,Sun,16,17,@,SEA,L 29-51,29,51,-22,80,2021,2021_17_DET_SEA
LAC,2021-12-26,29,Sun,15,16,@,HOU,L 29-41,29,41,-12,70,2021,2021_16_LAC_HOU
ATL,2021-12-12,29,Sun,13,14,@,CAR,W 29-21,29,21,8,50,2021,2021_14_ATL_CAR
DET,2021-12-05,29,Sun,12,13,,MIN,W 29-27,29,27,2,56,2021,2021_13_DET_MIN
NOR,2021-11-21,29,Sun,10,11,@,PHI,L 29-40,29,40,-11,69,2021,2021_11_NOR_PHI
WAS,2021-11-14,29,Sun,9,10,,TAM,W 29-19,29,19,10,48,2021,2021_10_WAS_TAM
PIT,2021-11-08,29,Mon,8,9,,CHI,W 29-27,29,27,2,56,2021,2021_09_PIT_CHI
NWE,2021-10-17,29,Sun,6,6,,DAL,L 29-35 (OT),29,35,-6,64,2021,2021_06_NWE_DAL
NYG,2021-09-16,29,Thu,2,2,@,WAS,L 29-30,29,30,-1,59,2021,2021_02_NYG_WAS
CLE,2021-09-12,29,Sun,1,1,@,KAN,L 29-33,29,33,-4,62,2021,2021_01_CLE_KAN
DAL,2021-09-09,29,Thu,1,1,@,TAM,L 29-31,29,31,-2,60,2021,2021_01_DAL_TAM
NOR,2020-12-20,29,Sun,14,15,,KAN,L 29-32,29,32,-3,61,2020,2020_15_NOR_KAN
MIA,2020-11-15,29,Sun,9,10,,LAC,W 29-21,29,21,8,50,2020,2020_10_MIA_LAC
JAX,2020-10-25,29,Sun,7,7,@,LAC,L 29-39,29,39,-10,68,2020,2020_07_JAX_LAC
PHI,2020-10-11,29,Sun,5,5,@,PIT,L 29-38,29,38,-9,67,2020,2020_05_PHI_PIT
DET,2020-10-04,29,Sun,4,4,,NOR,L 29-35,29,35,-6,64,2020,2020_04_DET_NOR
ATL,2019-12-15,29,Sun,14,15,@,SFO,W 29-22,29,22,7,51,2019,2019_15_ATL_SFO
WAS,2019-12-01,29,Sun,12,13,@,CAR,W 29-21,29,21,8,50,2019,2019_13_WAS_CAR
ATL,2019-11-17,29,Sun,10,11,@,CAR,W 29-3,29,3,26,32,2019,2019_11_ATL_CAR
JAX,2019-10-27,29,Sun,8,8,,NYJ,W 29-15,29,15,14,44,2019,2019_08_JAX_NYJ
LAR,2019-10-03,29,Thu,5,5,@,SEA,L 29-30,29,30,-1,59,2019,2019_05_LAR_SEA
HOU,2018-12-15,29,Sat,14,15,@,NYJ,W 29-22,29,22,7,51,2018,2018_15_HOU_NYJ
LAC,2018-12-13,29,Thu,14,15,@,KAN,W 29-28,29,28,1,57,2018,2018_15_LAC_KAN
DAL,2018-12-09,29,Sun,13,14,,PHI,W 29-23 (OT),29,23,6,52,2018,2018_14_DAL_PHI
HOU,2018-12-02,29,Sun,12,13,,CLE,W 29-13,29,13,16,42,2018,2018_13_HOU_CLE
IND,2018-11-11,29,Sun,9,10,,JAX,W 29-26,29,26,3,55,2018,2018_10_IND_JAX
LAR,2018-10-28,29,Sun,8,8,,GNB,W 29-27,29,27,2,56,2018,2018_08_LAR_GNB
TAM,2018-10-14,29,Sun,5,6,@,ATL,L 29-34,29,34,-5,63,2018,2018_06_TAM_ATL
