Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,Season,game_id
DEN,2022-10-30,12,Sun,8,8,@,JAX,W 21-17,12,80,5,54,17,134,2022,2022_08_DEN_JAX
NWE,2022-10-16,12,Sun,6,6,@,CLE,W 38-15,12,92,7,63,19,155,2022,2022_06_NWE_CLE
SEA,2022-10-09,12,Sun,5,5,@,NOR,L 32-39,12,85,6,57,18,142,2022,2022_05_SEA_NOR
ARI,2022-09-18,12,Sun,2,2,@,LVR,W 29-23 (OT),12,120,10,68,22,188,2022,2022_02_ARI_LVR
DEN,2022-09-12,12,Mon,1,1,@,SEA,L 16-17,12,106,5,77,17,183,2022,2022_01_DEN_SEA
SFO,2022-09-11,12,Sun,1,1,@,CHI,L 10-19,12,99,3,24,15,123,2022,2022_01_SFO_CHI
LAC,2021-11-21,12,Sun,10,11,,PIT,W 41-37,12,75,8,38,20,113,2021,2021_11_LAC_PIT
CHI,2021-11-08,12,Mon,9,9,@,PIT,L 27-29,12,115,5,30,17,145,2021,2021_09_CHI_PIT
BUF,2021-11-07,12,Sun,8,9,@,JAX,L 6-9,12,118,8,54,20,172,2021,2021_09_BUF_JAX
LAR,2021-11-07,12,Sun,9,9,,TEN,L 16-28,12,115,4,19,16,134,2021,2021_09_LAR_TEN
KAN,2021-11-01,12,Mon,8,8,,NYG,W 20-17,12,103,10,88,22,191,2021,2021_08_KAN_NYG
JAX,2021-10-31,12,Sun,7,8,@,SEA,L 7-31,12,93,5,40,17,133,2021,2021_08_JAX_SEA
DAL,2021-10-17,12,Sun,6,6,@,NWE,W 35-29 (OT),12,115,5,47,17,162,2021,2021_06_DAL_NWE
LAC,2021-09-19,12,Sun,2,2,,DAL,L 17-20,12,99,8,76,20,175,2021,2021_02_LAC_DAL
ATL,2021-09-12,12,Sun,1,1,,PHI,L 6-32,12,99,14,89,26,188,2021,2021_01_ATL_PHI
MIN,2021-09-12,12,Sun,1,1,@,CIN,L 24-27 (OT),12,116,3,15,15,131,2021,2021_01_MIN_CIN
PHI,2020-12-27,12,Sun,15,16,@,DAL,L 17-37,12,115,5,73,17,188,2020,2020_16_PHI_DAL
GNB,2020-12-13,12,Sun,13,14,@,DET,W 31-24,12,68,4,30,16,98,2020,2020_14_GNB_DET
CAR,2020-11-08,12,Sun,9,9,@,KAN,L 31-33,12,82,8,75,20,157,2020,2020_09_CAR_KAN
BAL,2020-10-18,12,Sun,6,6,@,PHI,W 30-28,12,132,3,20,15,152,2020,2020_06_BAL_PHI
TAM,2019-12-29,12,Sun,16,17,,ATL,L 22-28 (OT),12,97,5,53,17,150,2019,2019_17_TAM_ATL
OAK,2019-12-01,12,Sun,12,13,@,KAN,L 9-40,12,99,0,0,12,99,2019,2019_13_OAK_KAN
NOR,2019-11-24,12,Sun,11,12,,CAR,W 34-31,12,123,3,25,15,148,2019,2019_12_NOR_CAR
SEA,2019-11-24,12,Sun,11,12,@,PHI,W 17-9,12,90,2,15,14,105,2019,2019_12_SEA_PHI
BUF,2019-11-24,12,Sun,11,12,,DEN,W 20-3,12,90,7,70,19,160,2019,2019_12_BUF_DEN
NOR,2019-11-10,12,Sun,9,10,,ATL,L 9-26,12,90,7,48,19,138,2019,2019_10_NOR_ATL
