Team,Date,Pen,Day,G#,Week,,Opp,Result,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,Season,game_id
BAL,2021-12-19,8,Sun,14,15,,GNB,L 30-31,8,56,8,76,16,132,2021,2021_15_BAL_GNB
NWE,2021-12-18,8,Sat,14,15,@,IND,L 17-27,8,50,2,13,10,63,2021,2021_15_NWE_IND
SEA,2021-12-12,8,Sun,13,14,@,HOU,W 33-13,8,69,6,52,14,121,2021,2021_14_SEA_HOU
KAN,2021-12-12,8,Sun,13,14,,LVR,W 48-9,8,63,9,85,17,148,2021,2021_14_KAN_LVR
ARI,2021-12-05,8,Sun,12,13,@,CHI,W 33-22,8,63,6,45,14,108,2021,2021_13_ARI_CHI
WAS,2021-11-21,8,Sun,10,11,@,CAR,W 27-21,8,69,7,65,15,134,2021,2021_11_WAS_CAR
GNB,2021-11-21,8,Sun,11,11,@,MIN,L 31-34,8,92,3,25,11,117,2021,2021_11_GNB_MIN
MIA,2021-11-21,8,Sun,11,11,@,NYJ,W 24-17,8,62,7,48,15,110,2021,2021_11_MIA_NYJ
PIT,2021-11-21,8,Sun,10,11,@,LAC,L 37-41,8,38,12,75,20,113,2021,2021_11_PIT_LAC
JAX,2021-11-21,8,Sun,10,11,,SFO,L 10-30,8,56,1,12,9,68,2021,2021_11_JAX_SFO
DET,2021-11-14,8,Sun,9,10,@,PIT,T 16-16 (OT),8,84,7,59,15,143,2021,2021_10_DET_PIT
DAL,2021-11-14,8,Sun,9,10,,ATL,W 43-3,8,80,6,41,14,121,2021,2021_10_DAL_ATL
JAX,2021-11-14,8,Sun,9,10,@,IND,L 17-23,8,79,7,47,15,126,2021,2021_10_JAX_IND
TEN,2021-11-14,8,Sun,10,10,,NOR,W 23-21,8,49,9,65,17,114,2021,2021_10_TEN_NOR
JAX,2021-11-07,8,Sun,8,9,,BUF,W 9-6,8,54,12,118,20,172,2021,2021_09_JAX_BUF
HOU,2021-11-07,8,Sun,9,9,@,MIA,L 9-17,8,60,2,13,10,73,2021,2021_09_HOU_MIA
BAL,2021-11-07,8,Sun,8,9,,MIN,W 34-31 (OT),8,61,8,107,16,168,2021,2021_09_BAL_MIN
MIN,2021-11-07,8,Sun,8,9,@,BAL,L 31-34 (OT),8,107,8,61,16,168,2021,2021_09_MIN_BAL
DET,2021-10-31,8,Sun,8,8,,PHI,L 6-44,8,50,2,15,10,65,2021,2021_08_DET_PHI
CAR,2021-10-31,8,Sun,8,8,@,ATL,W 19-13,8,76,3,15,11,91,2021,2021_08_CAR_ATL
NYJ,2021-10-31,8,Sun,7,8,,CIN,W 34-31,8,46,5,51,13,97,2021,2021_08_NYJ_CIN
PIT,2021-10-31,8,Sun,7,8,@,CLE,W 15-10,8,65,5,30,13,95,2021,2021_08_PIT_CLE
NYG,2021-10-24,8,Sun,7,7,,CAR,W 25-3,8,60,7,37,15,97,2021,2021_07_NYG_CAR
HOU,2021-10-24,8,Sun,7,7,@,ARI,L 5-31,8,80,7,54,15,134,2021,2021_07_HOU_ARI
DET,2021-10-24,8,Sun,7,7,@,LAR,L 19-28,8,77,4,35,12,112,2021,2021_07_DET_LAR
BUF,2021-10-18,8,Mon,6,6,@,TEN,L 31-34,8,60,7,91,15,151,2021,2021_06_BUF_TEN
JAX,2021-10-17,8,Sun,6,6,,MIA,W 23-20,8,54,7,55,15,109,2021,2021_06_JAX_MIA
BAL,2021-10-11,8,Mon,5,5,,IND,W 31-25 (OT),8,74,5,45,13,119,2021,2021_05_BAL_IND
PIT,2021-10-10,8,Sun,5,5,,DEN,W 27-19,8,59,7,67,15,126,2021,2021_05_PIT_DEN
HOU,2021-10-10,8,Sun,5,5,,NWE,L 22-25,8,70,5,27,13,97,2021,2021_05_HOU_NWE
DAL,2021-10-10,8,Sun,5,5,,NYG,W 44-20,8,58,5,48,13,106,2021,2021_05_DAL_NYG
CHI,2021-10-10,8,Sun,5,5,@,LVR,W 20-9,8,70,10,82,18,152,2021,2021_05_CHI_LVR
SFO,2021-10-03,8,Sun,4,4,,SEA,L 21-28,8,78,5,27,13,105,2021,2021_04_SFO_SEA
NWE,2021-10-03,8,Sun,4,4,,TAM,L 17-19,8,77,7,74,15,151,2021,2021_04_NWE_TAM
IND,2021-10-03,8,Sun,4,4,@,MIA,W 27-17,8,86,5,32,13,118,2021,2021_04_IND_MIA
TEN,2021-10-03,8,Sun,4,4,@,NYJ,L 24-27 (OT),8,98,6,65,14,163,2021,2021_04_TEN_NYJ
NYG,2021-09-26,8,Sun,3,3,,ATL,L 14-17,8,53,4,28,12,81,2021,2021_03_NYG_ATL
LAC,2021-09-26,8,Sun,3,3,@,KAN,W 30-24,8,50,6,56,14,106,2021,2021_03_LAC_KAN
LVR,2021-09-26,8,Sun,3,3,,MIA,W 31-28 (OT),8,104,8,68,16,172,2021,2021_03_LVR_MIA
MIA,2021-09-26,8,Sun,3,3,@,LVR,L 28-31 (OT),8,68,8,104,16,172,2021,2021_03_MIA_LVR
CAR,2021-09-23,8,Thu,3,3,@,HOU,W 24-9,8,64,7,51,15,115,2021,2021_03_CAR_HOU
CHI,2021-09-19,8,Sun,2,2,,CIN,W 20-17,8,70,4,57,12,127,2021,2021_02_CHI_CIN
BAL,2021-09-19,8,Sun,2,2,,KAN,W 36-35,8,55,5,46,13,101,2021,2021_02_BAL_KAN
NYJ,2021-09-19,8,Sun,2,2,,NWE,L 6-25,8,77,6,54,14,131,2021,2021_02_NYJ_NWE
DAL,2021-09-19,8,Sun,2,2,@,LAC,W 20-17,8,76,12,99,20,175,2021,2021_02_DAL_LAC
PHI,2021-09-19,8,Sun,2,2,,SFO,L 11-17,8,57,5,60,13,117,2021,2021_02_PHI_SFO
ARI,2021-09-12,8,Sun,1,1,@,TEN,W 38-13,8,59,7,57,15,116,2021,2021_01_ARI_TEN
BUF,2021-09-12,8,Sun,1,1,,PIT,L 16-23,8,81,5,32,13,113,2021,2021_01_BUF_PIT
WAS,2021-09-12,8,Sun,1,1,,LAC,L 16-20,8,57,6,94,14,151,2021,2021_01_WAS_LAC
NWE,2021-09-12,8,Sun,1,1,,MIA,L 16-17,8,84,5,28,13,112,2021,2021_01_NWE_MIA
DAL,2021-09-09,8,Thu,1,1,@,TAM,L 29-31,8,55,11,106,19,161,2021,2021_01_DAL_TAM
TAM,2020-12-26,8,Sat,15,16,@,DET,W 47-7,8,65,11,117,19,182,2020,2020_16_TAM_DET
BUF,2020-12-19,8,Sat,14,15,@,DEN,W 48-19,8,75,7,33,15,108,2020,2020_15_BUF_DEN
BAL,2020-12-14,8,Mon,13,14,@,CLE,W 47-42,8,69,8,75,16,144,2020,2020_14_BAL_CLE
CLE,2020-12-14,8,Mon,13,14,,BAL,L 42-47,8,75,8,69,16,144,2020,2020_14_CLE_BAL
KAN,2020-12-13,8,Sun,13,14,@,MIA,W 33-27,8,56,3,35,11,91,2020,2020_14_KAN_MIA
NOR,2020-12-13,8,Sun,13,14,@,PHI,L 21-24,8,52,6,27,14,79,2020,2020_14_NOR_PHI
MIA,2020-12-06,8,Sun,12,13,,CIN,W 19-7,8,54,6,62,14,116,2020,2020_13_MIA_CIN
SEA,2020-11-30,8,Mon,11,12,@,PHI,W 23-17,8,83,9,79,17,162,2020,2020_12_SEA_PHI
MIN,2020-11-29,8,Sun,11,12,,CAR,W 28-27,8,52,7,58,15,110,2020,2020_12_MIN_CAR
TAM,2020-11-29,8,Sun,12,12,,KAN,L 24-27,8,57,10,82,18,139,2020,2020_12_TAM_KAN
MIN,2020-11-22,8,Sun,10,11,,DAL,L 28-31,8,80,4,30,12,110,2020,2020_11_MIN_DAL
IND,2020-11-22,8,Sun,10,11,,GNB,W 34-31 (OT),8,116,7,45,15,161,2020,2020_11_IND_GNB
LVR,2020-11-22,8,Sun,10,11,,KAN,L 31-35,8,72,10,89,18,161,2020,2020_11_LVR_KAN
DEN,2020-11-22,8,Sun,10,11,,MIA,W 20-13,8,70,5,50,13,120,2020,2020_11_DEN_MIA
JAX,2020-11-22,8,Sun,10,11,,PIT,L 3-27,8,105,6,42,14,147,2020,2020_11_JAX_PIT
NYJ,2020-11-22,8,Sun,10,11,@,LAC,L 28-34,8,88,9,78,17,166,2020,2020_11_NYJ_LAC
SEA,2020-11-19,8,Thu,10,11,,ARI,W 28-21,8,79,10,115,18,194,2020,2020_11_SEA_ARI
LVR,2020-11-15,8,Sun,9,10,,DEN,W 37-12,8,82,7,37,15,119,2020,2020_10_LVR_DEN
BAL,2020-11-15,8,Sun,9,10,@,NWE,L 17-23,8,64,3,18,11,82,2020,2020_10_BAL_NWE
KAN,2020-11-08,8,Sun,9,9,,CAR,W 33-31,8,75,12,82,20,157,2020,2020_09_KAN_CAR
DEN,2020-11-01,8,Sun,7,8,,LAC,W 31-30,8,70,6,67,14,137,2020,2020_08_DEN_LAC
SEA,2020-10-25,8,Sun,6,7,@,ARI,L 34-37 (OT),8,78,6,40,14,118,2020,2020_07_SEA_ARI
ATL,2020-10-25,8,Sun,7,7,,DET,L 22-23,8,53,5,50,13,103,2020,2020_07_ATL_DET
PIT,2020-10-25,8,Sun,6,7,@,TEN,W 27-24,8,69,7,73,15,142,2020,2020_07_PIT_TEN
KAN,2020-10-19,8,Mon,6,6,@,BUF,W 26-17,8,68,4,39,12,107,2020,2020_06_KAN_BUF
CAR,2020-10-18,8,Sun,6,6,,CHI,L 16-23,8,69,10,92,18,161,2020,2020_06_CAR_CHI
WAS,2020-10-18,8,Sun,6,6,@,NYG,L 19-20,8,50,4,30,12,80,2020,2020_06_WAS_NYG
NYG,2020-10-11,8,Sun,5,5,@,DAL,L 34-37,8,81,3,25,11,106,2020,2020_05_NYG_DAL
LVR,2020-10-11,8,Sun,5,5,@,KAN,W 40-32,8,59,10,94,18,153,2020,2020_05_LVR_KAN
PIT,2020-10-11,8,Sun,4,5,,PHI,W 38-29,8,86,9,84,17,170,2020,2020_05_PIT_PHI
IND,2020-10-04,8,Sun,4,4,@,CHI,W 19-11,8,76,8,103,16,179,2020,2020_04_IND_CHI
CHI,2020-10-04,8,Sun,4,4,,IND,L 11-19,8,103,8,76,16,179,2020,2020_04_CHI_IND
TAM,2020-10-04,8,Sun,4,4,,LAC,W 38-31,8,90,7,60,15,150,2020,2020_04_TAM_LAC
DEN,2020-10-01,8,Thu,4,4,@,NYJ,W 37-28,8,94,11,118,19,212,2020,2020_04_DEN_NYJ
LAC,2020-09-27,8,Sun,3,3,,CAR,L 16-21,8,60,3,30,11,90,2020,2020_03_LAC_CAR
NOR,2020-09-27,8,Sun,3,3,,GNB,L 30-37,8,83,2,10,10,93,2020,2020_03_NOR_GNB
JAX,2020-09-24,8,Thu,3,3,,MIA,L 13-31,8,63,6,51,14,114,2020,2020_03_JAX_MIA
ATL,2020-09-20,8,Sun,2,2,@,DAL,L 39-40,8,51,7,75,15,126,2020,2020_02_ATL_DAL
GNB,2020-09-20,8,Sun,2,2,,DET,W 42-21,8,60,7,70,15,130,2020,2020_02_GNB_DET
JAX,2020-09-20,8,Sun,2,2,@,TEN,L 30-33,8,60,4,30,12,90,2020,2020_02_JAX_TEN
CLE,2020-09-17,8,Thu,2,2,,CIN,W 35-30,8,76,4,45,12,121,2020,2020_02_CLE_CIN
DET,2020-09-13,8,Sun,1,1,,CHI,L 23-27,8,77,6,48,14,125,2020,2020_01_DET_CHI
CLE,2020-09-13,8,Sun,1,1,@,BAL,L 6-38,8,80,7,66,15,146,2020,2020_01_CLE_BAL
LAC,2019-12-29,8,Sun,16,17,@,KAN,L 21-31,8,40,5,39,13,79,2019,2019_17_LAC_KAN
ARI,2019-12-29,8,Sun,16,17,@,LAR,L 24-31,8,63,10,91,18,154,2019,2019_17_ARI_LAR
SFO,2019-12-29,8,Sun,16,17,@,SEA,W 26-21,8,57,5,29,13,86,2019,2019_17_SFO_SEA
BUF,2019-12-15,8,Sun,14,15,@,PIT,W 17-10,8,70,6,30,14,100,2019,2019_15_BUF_PIT
JAX,2019-12-15,8,Sun,14,15,@,OAK,W 20-16,8,87,6,51,14,138,2019,2019_15_JAX_OAK
NYJ,2019-12-12,8,Thu,14,15,@,BAL,L 21-42,8,94,6,35,14,129,2019,2019_15_NYJ_BAL
SEA,2019-12-08,8,Sun,13,14,@,LAR,L 12-28,8,64,3,20,11,84,2019,2019_14_SEA_LAR
CIN,2019-12-08,8,Sun,13,14,@,CLE,L 19-27,8,99,6,30,14,129,2019,2019_14_CIN_CLE
MIN,2019-12-08,8,Sun,13,14,,DET,W 20-7,8,55,4,28,12,83,2019,2019_14_MIN_DET
LAR,2019-12-01,8,Sun,12,13,@,ARI,W 34-7,8,81,2,7,10,88,2019,2019_13_LAR_ARI
NWE,2019-12-01,8,Sun,12,13,@,HOU,L 22-28,8,60,8,79,16,139,2019,2019_13_NWE_HOU
TAM,2019-12-01,8,Sun,12,13,@,JAX,W 28-11,8,44,16,121,24,165,2019,2019_13_TAM_JAX
HOU,2019-12-01,8,Sun,12,13,,NWE,W 28-22,8,79,8,60,16,139,2019,2019_13_HOU_NWE
BAL,2019-11-25,8,Mon,11,12,@,LAR,W 45-6,8,66,8,56,16,122,2019,2019_12_BAL_LAR
LAR,2019-11-25,8,Mon,11,12,,BAL,L 6-45,8,56,8,66,16,122,2019,2019_12_LAR_BAL
TAM,2019-11-24,8,Sun,11,12,@,ATL,W 35-22,8,51,7,60,15,111,2019,2019_12_TAM_ATL
MIA,2019-11-24,8,Sun,11,12,@,CLE,L 24-41,8,94,7,70,15,164,2019,2019_12_MIA_CLE
WAS,2019-11-24,8,Sun,11,12,,DET,W 19-16,8,63,6,65,14,128,2019,2019_12_WAS_DET
KAN,2019-11-18,8,Mon,11,11,@,LAC,W 24-17,8,102,9,60,17,162,2019,2019_11_KAN_LAC
BAL,2019-11-17,8,Sun,10,11,,HOU,W 41-7,8,65,5,60,13,125,2019,2019_11_BAL_HOU
CAR,2019-11-17,8,Sun,10,11,,ATL,L 3-29,8,68,3,20,11,88,2019,2019_11_CAR_ATL
JAX,2019-11-17,8,Sun,10,11,@,IND,L 13-33,8,81,3,20,11,101,2019,2019_11_JAX_IND
CLE,2019-11-14,8,Thu,10,11,,PIT,W 21-7,8,121,6,41,14,162,2019,2019_11_CLE_PIT
TEN,2019-11-10,8,Sun,10,10,,KAN,W 35-32,8,64,9,80,17,144,2019,2019_10_TEN_KAN
DET,2019-11-10,8,Sun,9,10,@,CHI,L 13-20,8,76,7,57,15,133,2019,2019_10_DET_CHI
LAC,2019-11-07,8,Thu,10,10,@,OAK,L 24-26,8,70,12,97,20,167,2019,2019_10_LAC_OAK
NYG,2019-11-04,8,Mon,9,9,,DAL,L 18-37,8,71,10,104,18,175,2019,2019_09_NYG_DAL
PHI,2019-11-03,8,Sun,9,9,,CHI,W 22-14,8,75,9,70,17,145,2019,2019_09_PHI_CHI
GNB,2019-11-03,8,Sun,9,9,@,LAC,L 11-26,8,45,5,45,13,90,2019,2019_09_GNB_LAC
SFO,2019-10-31,8,Thu,8,9,@,ARI,W 28-25,8,75,9,65,17,140,2019,2019_09_SFO_ARI
LAC,2019-10-27,8,Sun,8,8,@,CHI,W 17-16,8,53,5,42,13,95,2019,2019_08_LAC_CHI
BUF,2019-10-27,8,Sun,7,8,,PHI,L 13-31,8,57,4,44,12,101,2019,2019_08_BUF_PHI
NYJ,2019-10-21,8,Mon,6,7,,NWE,L 0-33,8,60,7,92,15,152,2019,2019_07_NYJ_NWE
DET,2019-10-20,8,Sun,6,7,,MIN,L 30-42,8,67,6,60,14,127,2019,2019_07_DET_MIN
BAL,2019-10-20,8,Sun,7,7,@,SEA,W 30-16,8,75,2,18,10,93,2019,2019_07_BAL_SEA
OAK,2019-10-20,8,Sun,6,7,@,GNB,L 24-42,8,97,3,20,11,117,2019,2019_07_OAK_GNB
DET,2019-10-14,8,Mon,5,6,@,GNB,L 22-23,8,50,6,48,14,98,2019,2019_06_DET_GNB
ARI,2019-10-13,8,Sun,6,6,,ATL,W 34-33,8,57,8,72,16,129,2019,2019_06_ARI_ATL
ATL,2019-10-13,8,Sun,6,6,@,ARI,L 33-34,8,72,8,57,16,129,2019,2019_06_ATL_ARI
NYJ,2019-10-13,8,Sun,5,6,,DAL,W 24-22,8,105,9,68,17,173,2019,2019_06_NYJ_DAL
DEN,2019-10-13,8,Sun,6,6,,TEN,W 16-0,8,51,6,40,14,91,2019,2019_06_DEN_TEN
LAC,2019-10-13,8,Sun,6,6,,PIT,L 17-24,8,74,6,45,14,119,2019,2019_06_LAC_PIT
LAR,2019-10-13,8,Sun,6,6,,SFO,L 7-20,8,59,4,30,12,89,2019,2019_06_LAR_SFO
CAR,2019-10-06,8,Sun,5,5,,JAX,W 34-27,8,70,9,84,17,154,2019,2019_05_CAR_JAX
TEN,2019-10-06,8,Sun,5,5,,BUF,L 7-14,8,60,11,78,19,138,2019,2019_05_TEN_BUF
CIN,2019-09-30,8,Mon,4,4,@,PIT,L 3-27,8,60,4,37,12,97,2019,2019_04_CIN_PIT
DET,2019-09-29,8,Sun,4,4,,KAN,L 30-34,8,48,7,51,15,99,2019,2019_04_DET_KAN
BUF,2019-09-29,8,Sun,4,4,,NWE,L 10-16,8,76,8,58,16,134,2019,2019_04_BUF_NWE
NWE,2019-09-29,8,Sun,4,4,@,BUF,W 16-10,8,58,8,76,16,134,2019,2019_04_NWE_BUF
CIN,2019-09-22,8,Sun,3,3,@,BUF,L 17-21,8,54,7,55,15,109,2019,2019_03_CIN_BUF
DAL,2019-09-22,8,Sun,3,3,,MIA,W 31-6,8,100,5,35,13,135,2019,2019_03_DAL_MIA
NWE,2019-09-22,8,Sun,3,3,,NYJ,W 30-14,8,70,5,67,13,137,2019,2019_03_NWE_NYJ
CLE,2019-09-22,8,Sun,3,3,,LAR,L 13-20,8,60,7,49,15,109,2019,2019_03_CLE_LAR
LAR,2019-09-15,8,Sun,2,2,,NOR,W 27-9,8,65,11,87,19,152,2019,2019_02_LAR_NOR
IND,2019-09-15,8,Sun,2,2,@,TEN,W 19-17,8,65,5,75,13,140,2019,2019_02_IND_TEN
ARI,2019-09-15,8,Sun,2,2,@,BAL,L 17-23,8,70,10,62,18,132,2019,2019_02_ARI_BAL
DET,2019-09-15,8,Sun,2,2,,LAC,W 13-10,8,71,9,70,17,141,2019,2019_02_DET_LAC
DAL,2019-09-15,8,Sun,2,2,@,WAS,W 31-21,8,67,6,44,14,111,2019,2019_02_DAL_WAS
MIN,2019-09-15,8,Sun,2,2,@,GNB,L 16-21,8,100,6,35,14,135,2019,2019_02_MIN_GNB
HOU,2019-09-09,8,Mon,1,1,@,NOR,L 28-30,8,69,7,48,15,117,2019,2019_01_HOU_NOR
TAM,2019-09-08,8,Sun,1,1,,SFO,L 17-31,8,87,11,87,19,174,2019,2019_01_TAM_SFO
NYJ,2019-09-08,8,Sun,1,1,,BUF,L 16-17,8,67,7,55,15,122,2019,2019_01_NYJ_BUF
SEA,2019-09-08,8,Sun,1,1,,CIN,W 21-20,8,55,7,57,15,112,2019,2019_01_SEA_CIN
NYG,2019-09-08,8,Sun,1,1,@,DAL,L 17-35,8,70,6,47,14,117,2019,2019_01_NYG_DAL
JAX,2018-12-30,8,Sun,16,17,@,HOU,L 3-20,8,68,2,15,10,83,2018,2018_17_JAX_HOU
KAN,2018-12-23,8,Sun,15,16,@,SEA,L 31-38,8,76,3,20,11,96,2018,2018_16_KAN_SEA
WAS,2018-12-22,8,Sat,15,16,@,TEN,L 16-25,8,49,2,10,10,59,2018,2018_16_WAS_TEN
LAC,2018-12-22,8,Sat,15,16,,BAL,L 10-22,8,69,4,40,12,109,2018,2018_16_LAC_BAL
ARI,2018-12-16,8,Sun,14,15,@,ATL,L 14-40,8,75,6,50,14,125,2018,2018_15_ARI_ATL
OAK,2018-12-16,8,Sun,14,15,@,CIN,L 16-30,8,90,9,85,17,175,2018,2018_15_OAK_CIN
MIA,2018-12-16,8,Sun,14,15,@,MIN,L 17-41,8,49,6,45,14,94,2018,2018_15_MIA_MIN
SFO,2018-12-16,8,Sun,14,15,,SEA,W 26-23 (OT),8,66,14,148,22,214,2018,2018_15_SFO_SEA
BAL,2018-12-16,8,Sun,14,15,,TAM,W 20-12,8,70,6,58,14,128,2018,2018_15_BAL_TAM
JAX,2018-12-16,8,Sun,14,15,,WAS,L 13-16,8,55,6,48,14,103,2018,2018_15_JAX_WAS
DEN,2018-12-15,8,Sat,14,15,,CLE,L 16-17,8,51,6,75,14,126,2018,2018_15_DEN_CLE
ARI,2018-12-09,8,Sun,13,14,,DET,L 3-17,8,83,7,68,15,151,2018,2018_14_ARI_DET
CHI,2018-12-02,8,Sun,12,13,@,NYG,L 27-30 (OT),8,58,12,107,20,165,2018,2018_13_CHI_NYG
ATL,2018-12-02,8,Sun,12,13,,BAL,L 16-26,8,82,9,88,17,170,2018,2018_13_ATL_BAL
JAX,2018-12-02,8,Sun,12,13,,IND,W 6-0,8,74,6,65,14,139,2018,2018_13_JAX_IND
TEN,2018-12-02,8,Sun,12,13,,NYJ,W 26-22,8,75,11,96,19,171,2018,2018_13_TEN_NYJ
MIA,2018-12-02,8,Sun,12,13,,BUF,W 21-17,8,89,13,120,21,209,2018,2018_13_MIA_BUF
DET,2018-12-02,8,Sun,12,13,,LAR,L 16-30,8,54,7,105,15,159,2018,2018_13_DET_LAR
OAK,2018-12-02,8,Sun,12,13,,KAN,L 33-40,8,74,11,94,19,168,2018,2018_13_OAK_KAN
DAL,2018-11-29,8,Thu,12,13,,NOR,W 13-10,8,80,5,48,13,128,2018,2018_13_DAL_NOR
SFO,2018-11-25,8,Sun,11,12,@,TAM,L 9-27,8,68,9,70,17,138,2018,2018_12_SFO_TAM
NYJ,2018-11-25,8,Sun,11,12,,NWE,L 13-27,8,47,11,105,19,152,2018,2018_12_NYJ_NWE
LAR,2018-11-19,8,Mon,11,11,,KAN,W 54-51,8,60,13,135,21,195,2018,2018_11_LAR_KAN
TEN,2018-11-18,8,Sun,10,11,@,IND,L 10-38,8,112,7,60,15,172,2018,2018_11_TEN_IND
NOR,2018-11-18,8,Sun,10,11,,PHI,W 48-7,8,69,6,49,14,118,2018,2018_11_NOR_PHI
NYG,2018-11-18,8,Sun,10,11,,TAM,W 38-35,8,60,4,40,12,100,2018,2018_11_NYG_TAM
NYG,2018-11-12,8,Mon,9,10,@,SFO,W 27-23,8,78,10,97,18,175,2018,2018_10_NYG_SFO
JAX,2018-11-11,8,Sun,9,10,@,IND,L 26-29,8,61,7,45,15,106,2018,2018_10_JAX_IND
WAS,2018-11-11,8,Sun,9,10,@,TAM,W 16-3,8,52,5,50,13,102,2018,2018_10_WAS_TAM
KAN,2018-11-11,8,Sun,10,10,,ARI,W 26-14,8,63,3,30,11,93,2018,2018_10_KAN_ARI
PIT,2018-11-04,8,Sun,8,9,@,BAL,W 23-16,8,103,5,25,13,128,2018,2018_09_PIT_BAL
DET,2018-11-04,8,Sun,8,9,@,MIN,L 9-24,8,66,3,15,11,81,2018,2018_09_DET_MIN
TAM,2018-11-04,8,Sun,8,9,@,CAR,L 28-42,8,49,9,84,17,133,2018,2018_09_TAM_CAR
DEN,2018-11-04,8,Sun,9,9,,HOU,L 17-19,8,50,7,60,15,110,2018,2018_09_DEN_HOU
WAS,2018-10-28,8,Sun,7,8,@,NYG,W 20-13,8,90,11,102,19,192,2018,2018_08_WAS_NYG
NYJ,2018-10-28,8,Sun,8,8,@,CHI,L 10-24,8,45,2,25,10,70,2018,2018_08_NYJ_CHI
PIT,2018-10-28,8,Sun,7,8,,CLE,W 33-18,8,60,7,52,15,112,2018,2018_08_PIT_CLE
HOU,2018-10-25,8,Thu,8,8,,MIA,W 42-23,8,57,5,63,13,120,2018,2018_08_HOU_MIA
DAL,2018-10-21,8,Sun,7,7,@,WAS,L 17-20,8,65,5,35,13,100,2018,2018_07_DAL_WAS
NYJ,2018-10-21,8,Sun,7,7,,MIN,L 17-37,8,71,6,55,14,126,2018,2018_07_NYJ_MIN
KAN,2018-10-21,8,Sun,7,7,,CIN,W 45-10,8,49,8,58,16,107,2018,2018_07_KAN_CIN
TAM,2018-10-21,8,Sun,6,7,,CLE,W 26-23 (OT),8,65,14,114,22,179,2018,2018_07_TAM_CLE
CIN,2018-10-21,8,Sun,7,7,@,KAN,L 10-45,8,58,8,49,16,107,2018,2018_07_CIN_KAN
CAR,2018-10-14,8,Sun,5,6,@,WAS,L 17-23,8,55,5,43,13,98,2018,2018_06_CAR_WAS
SEA,2018-10-14,8,Sun,6,6,@,OAK,W 27-3,8,64,5,38,13,102,2018,2018_06_SEA_OAK
IND,2018-10-14,8,Sun,6,6,@,NYJ,L 34-42,8,66,7,49,15,115,2018,2018_06_IND_NYJ
PHI,2018-10-07,8,Sun,5,5,,MIN,L 21-23,8,52,4,23,12,75,2018,2018_05_PHI_MIN
DET,2018-10-07,8,Sun,5,5,,GNB,W 31-23,8,71,12,112,20,183,2018,2018_05_DET_GNB
NYG,2018-10-07,8,Sun,5,5,@,CAR,L 31-33,8,62,4,22,12,84,2018,2018_05_NYG_CAR
CLE,2018-09-30,8,Sun,4,4,@,OAK,L 42-45 (OT),8,55,6,65,14,120,2018,2018_04_CLE_OAK
SEA,2018-09-30,8,Sun,4,4,@,ARI,W 20-17,8,57,5,38,13,95,2018,2018_04_SEA_ARI
PHI,2018-09-30,8,Sun,4,4,@,TEN,L 23-26 (OT),8,77,4,30,12,107,2018,2018_04_PHI_TEN
DET,2018-09-30,8,Sun,4,4,@,DAL,L 24-26,8,58,2,20,10,78,2018,2018_04_DET_DAL
OAK,2018-09-23,8,Sun,3,3,@,MIA,L 20-28,8,38,9,74,17,112,2018,2018_03_OAK_MIA
JAX,2018-09-23,8,Sun,3,3,,TEN,L 6-9,8,75,4,30,12,105,2018,2018_03_JAX_TEN
MIN,2018-09-16,8,Sun,2,2,@,GNB,T 29-29 (OT),8,70,7,54,15,124,2018,2018_02_MIN_GNB
TEN,2018-09-16,8,Sun,2,2,,HOU,W 20-17,8,70,11,88,19,158,2018,2018_02_TEN_HOU
LAR,2018-09-10,8,Mon,1,1,@,OAK,W 33-13,8,70,11,155,19,225,2018,2018_01_LAR_OAK
CIN,2018-09-09,8,Sun,1,1,@,IND,W 34-23,8,94,7,91,15,185,2018,2018_01_CIN_IND
NOR,2018-09-09,8,Sun,1,1,,TAM,L 40-48,8,77,7,70,15,147,2018,2018_01_NOR_TAM
GNB,2018-09-09,8,Sun,1,1,,CHI,W 24-23,8,72,5,35,13,107,2018,2018_01_GNB_CHI
GNB,2017-12-31,8,Sun,16,17,@,DET,L 11-35,8,68,5,62,13,130,2017,2017_17_GNB_DET
SEA,2017-12-31,8,Sun,16,17,,ARI,L 24-26,8,100,4,25,12,125,2017,2017_17_SEA_ARI
PHI,2017-12-25,8,Mon,15,16,,OAK,W 19-10,8,60,7,50,15,110,2017,2017_16_PHI_OAK
SFO,2017-12-24,8,Sun,15,16,,JAX,W 44-33,8,68,12,99,20,167,2017,2017_16_SFO_JAX
LAC,2017-12-24,8,Sun,15,16,@,NYJ,W 14-7,8,80,5,34,13,114,2017,2017_16_LAC_NYJ
CLE,2017-12-24,8,Sun,15,16,@,CHI,L 3-20,8,60,4,25,12,85,2017,2017_16_CLE_CHI
NYJ,2017-12-17,8,Sun,14,15,@,NOR,L 19-31,8,50,8,92,16,142,2017,2017_15_NYJ_NOR
JAX,2017-12-17,8,Sun,14,15,,HOU,W 45-7,8,54,14,127,22,181,2017,2017_15_JAX_HOU
ARI,2017-12-17,8,Sun,14,15,@,WAS,L 15-20,8,71,7,82,15,153,2017,2017_15_ARI_WAS
NOR,2017-12-17,8,Sun,14,15,,NYJ,W 31-19,8,92,8,50,16,142,2017,2017_15_NOR_NYJ
