Team,Date,Cmp,Day,G#,Week,,Opp,Result,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Season,game_id
PHI,2019-11-17,27,Sun,10,11,,NWE,L 10-17,27,48,56.3,224,1,1,7,0,75.3,2019,2019_11_PHI_NWE
CHI,2019-11-10,27,Sun,9,10,,DET,W 20-13,27,46,58.7,259,1,2,10,1,72.6,2019,2019_10_CHI_DET
DEN,2019-11-03,27,Sun,9,9,,CLE,W 24-19,27,42,64.3,261,1,2,12,0,89.5,2019,2019_09_DEN_CLE
HOU,2019-11-03,27,Sun,9,9,@,JAX,W 26-3,27,47,57.4,282,0,4,27,2,57.2,2019,2019_09_HOU_JAX
MIA,2019-11-03,27,Sun,8,9,,NYJ,W 26-18,27,39,69.2,238,1,3,22,1,83.1,2019,2019_09_MIA_NYJ
CAR,2019-11-03,27,Sun,8,9,,TEN,W 30-20,27,39,69.2,310,1,4,21,2,80.1,2019,2019_09_CAR_TEN
OAK,2019-10-27,27,Sun,7,8,@,HOU,L 24-27,27,39,69.2,258,3,3,21,0,113.0,2019,2019_08_OAK_HOU
ATL,2019-10-13,27,Sun,6,6,@,ARI,L 33-34,27,37,73.0,340,3,0,0,0,128.2,2019,2019_06_ATL_ARI
WAS,2019-10-13,27,Sun,6,6,@,MIA,W 17-16,27,43,62.8,187,1,5,30,2,60.9,2019,2019_06_WAS_MIA
ARI,2019-10-06,27,Sun,5,5,@,CIN,W 26-23,27,38,71.1,262,2,1,0,0,107.6,2019,2019_05_ARI_CIN
GNB,2019-10-06,27,Sun,5,5,@,DAL,W 34-24,27,44,61.4,441,2,3,22,3,81.7,2019,2019_05_GNB_DAL
CIN,2019-09-30,27,Mon,4,4,@,PIT,L 3-27,27,31,87.1,260,2,0,0,0,123.1,2019,2019_04_CIN_PIT
CHI,2019-09-29,27,Sun,4,4,,MIN,W 16-6,27,36,75.0,182,0,6,51,0,85.6,2019,2019_04_CHI_MIN
BAL,2019-09-22,27,Sun,3,3,@,KAN,L 28-33,27,37,73.0,363,3,1,11,0,130.8,2019,2019_03_BAL_KAN
MIN,2019-09-22,27,Sun,3,3,,OAK,W 34-14,27,34,79.4,214,2,4,28,1,100.2,2019,2019_03_MIN_OAK
PHI,2019-09-15,27,Sun,2,2,@,ATL,L 20-24,27,43,62.8,310,3,1,10,3,78.6,2019,2019_02_PHI_ATL
ARI,2019-09-08,27,Sun,1,1,,DET,T 27-27 (OT),27,45,60.0,361,3,3,24,0,107.7,2019,2019_01_ARI_DET
KAN,2019-09-08,27,Sun,1,1,@,JAX,W 40-26,27,33,81.8,347,3,1,3,1,128.2,2019,2019_01_KAN_JAX
NWE,2019-09-08,27,Sun,1,1,,PIT,W 33-3,27,47,57.4,276,0,1,0,1,65.6,2019,2019_01_NWE_PIT
NYG,2018-12-30,27,Sun,16,17,,DAL,L 35-36,27,44,61.4,368,4,4,19,0,118.4,2018,2018_17_NYG_DAL
PIT,2018-12-23,27,Sun,15,16,@,NOR,L 28-31,27,40,67.5,313,1,2,13,1,88.9,2018,2018_16_PIT_NOR
CLE,2018-12-09,27,Sun,13,14,,CAR,W 26-20,27,43,62.8,297,0,1,1,1,73.5,2018,2018_14_CLE_CAR
HOU,2018-12-09,27,Sun,13,14,,IND,L 21-24,27,41,65.9,386,2,2,13,1,102.3,2018,2018_14_HOU_IND
IND,2018-12-09,27,Sun,13,14,@,HOU,W 24-21,27,38,71.1,226,1,5,41,0,94.8,2018,2018_14_IND_HOU
MIA,2018-12-09,27,Sun,13,14,,NWE,W 34-33,27,43,62.8,344,3,2,14,0,111.0,2018,2018_14_MIA_NWE
WAS,2018-12-03,27,Mon,12,13,@,PHI,L 13-28,27,39,69.2,306,2,0,0,1,98.9,2018,2018_13_WAS_PHI
NYG,2018-12-02,27,Sun,12,13,,CHI,W 30-27 (OT),27,40,67.5,258,2,5,28,2,81.0,2018,2018_13_NYG_CHI
CLE,2018-11-25,27,Sun,11,12,@,CIN,W 35-20,27,46,58.7,243,2,1,12,1,78.4,2018,2018_12_CLE_CIN
JAX,2018-11-18,27,Sun,10,11,,PIT,L 16-20,27,47,57.4,297,2,2,17,3,63.9,2018,2018_11_JAX_PIT
NYG,2018-11-12,27,Mon,9,10,@,SFO,W 27-23,27,39,69.2,250,1,0,0,2,73.7,2018,2018_10_NYG_SFO
IND,2018-11-11,27,Sun,9,10,,JAX,W 29-26,27,39,69.2,324,2,0,0,0,111.5,2018,2018_10_IND_JAX
SEA,2018-10-28,27,Sun,7,8,@,DET,W 28-14,27,40,67.5,297,2,3,13,1,95.5,2018,2018_08_SEA_DET
ATL,2018-10-22,27,Mon,7,7,,NYG,W 23-20,27,38,71.1,372,1,4,27,0,110.9,2018,2018_07_ATL_NYG
HOU,2018-10-21,27,Sun,7,7,@,JAX,W 20-7,27,42,64.3,189,1,4,28,1,72.4,2018,2018_07_HOU_JAX
WAS,2018-10-14,27,Sun,5,6,,CAR,W 23-17,27,40,67.5,269,2,1,6,1,92.6,2018,2018_06_WAS_CAR
BAL,2018-09-30,27,Sun,4,4,@,PIT,W 26-14,27,47,57.4,265,1,1,9,1,71.7,2018,2018_04_BAL_PIT
NWE,2018-09-23,27,Sun,3,3,@,DET,L 10-26,27,36,75.0,255,2,1,7,1,101.0,2018,2018_03_NWE_DET
WAS,2018-09-23,27,Sun,3,3,,GNB,W 31-17,27,45,60.0,240,2,4,25,0,89.1,2018,2018_03_WAS_GNB
MIA,2018-09-23,27,Sun,3,3,,OAK,W 28-20,27,39,69.2,325,1,3,20,2,81.7,2018,2018_03_MIA_OAK
PHI,2018-09-16,27,Sun,2,2,@,TAM,L 21-27,27,33,81.8,393,4,2,9,1,143.2,2018,2018_02_PHI_TAM
DET,2017-12-24,27,Sun,15,16,@,CIN,L 17-26,27,41,65.9,222,1,3,16,1,77.5,2017,2017_16_DET_CIN
ARI,2017-12-24,27,Sun,15,16,,NYG,W 23-0,27,45,60.0,250,0,2,13,2,56.7,2017,2017_16_ARI_NYG
ATL,2017-12-18,27,Mon,14,15,@,TAM,W 24-21,27,35,77.1,289,3,2,10,0,129.3,2017,2017_15_ATL_TAM
CAR,2017-12-10,27,Sun,13,14,,MIN,W 31-24,27,44,61.4,256,2,6,24,2,73.7,2017,2017_14_CAR_MIN
BAL,2017-12-03,27,Sun,12,13,,DET,W 44-20,27,34,79.4,294,1,3,22,2,88.0,2017,2017_13_BAL_DET
IND,2017-12-03,27,Sun,12,13,@,JAX,L 10-30,27,36,75.0,330,2,1,8,0,121.3,2017,2017_13_IND_JAX
TAM,2017-11-26,27,Sun,11,12,@,ATL,L 20-34,27,36,75.0,368,2,0,0,0,125.7,2017,2017_12_TAM_ATL
ATL,2017-11-26,27,Sun,11,12,,TAM,W 34-20,27,44,61.4,279,0,1,4,0,79.6,2017,2017_12_ATL_TAM
DAL,2017-11-23,27,Thu,11,12,,LAC,L 6-28,27,33,81.8,434,3,0,0,0,149.1,2017,2017_12_DAL_LAC
ATL,2017-11-20,27,Mon,10,11,@,SEA,W 34-31,27,43,62.8,224,2,3,30,1,81.9,2017,2017_11_ATL_SEA
NYG,2017-11-19,27,Sun,10,11,,KAN,W 12-9 (OT),27,41,65.9,229,0,1,1,3,49.7,2017,2017_11_NYG_KAN
LAR,2017-11-19,27,Sun,10,11,@,MIN,L 7-24,27,38,71.1,280,1,0,0,0,100.8,2017,2017_11_LAR_MIN
PIT,2017-10-29,27,Sun,8,8,@,DET,W 20-15,27,45,60.0,411,0,2,12,0,90.1,2017,2017_08_PIT_DET
CLE,2017-10-29,27,Sun,8,8,,MIN,L 16-33,27,43,62.8,287,2,1,1,1,88.0,2017,2017_08_CLE_MIN
GNB,2017-10-22,27,Sun,7,7,,NOR,L 17-26,27,38,71.1,324,1,1,7,2,83.7,2017,2017_07_GNB_NOR
MIN,2017-10-22,27,Sun,7,7,,BAL,W 24-16,27,39,69.2,144,1,5,42,0,83.7,2017,2017_07_MIN_BAL
NYG,2017-10-22,27,Sun,7,7,,SEA,L 7-24,27,39,69.2,321,3,1,13,0,119.7,2017,2017_07_NYG_SEA
ARI,2017-10-15,27,Sun,6,6,,TAM,W 38-33,27,42,64.3,344,3,2,7,2,93.8,2017,2017_06_ARI_TAM
WAS,2017-10-02,27,Mon,4,4,@,KAN,L 20-29,27,37,73.0,261,1,4,32,0,101.3,2017,2017_04_WAS_KAN
NWE,2017-09-17,27,Sun,2,2,@,NOR,W 36-20,27,45,60.0,348,2,1,8,0,99.1,2017,2017_02_NWE_NOR
NOR,2017-09-11,27,Mon,1,1,@,MIN,L 19-29,27,32,84.4,341,3,1,5,0,142.3,2017,2017_01_NOR_MIN
MIN,2017-09-11,27,Mon,1,1,,NOR,W 29-19,27,37,73.0,284,1,1,7,0,103.9,2017,2017_01_MIN_NOR
DET,2017-09-10,27,Sun,1,1,,ARI,W 35-23,27,48,56.3,263,1,1,5,3,52.7,2017,2017_01_DET_ARI
BUF,2023-01-08,26,Sun,16,18,,NWE,W 35-23,26,40,65.0,234,3,1,9,3,74.4,2022,2022_18_BUF_NWE
KAN,2023-01-01,26,Sun,16,17,,DEN,W 27-24,26,38,68.4,190,1,4,32,1,77.7,2022,2022_17_KAN_DEN
LVR,2022-12-24,26,Sat,15,16,@,PIT,L 10-13,26,39,66.7,244,1,0,0,1,81.6,2022,2022_16_LVR_PIT
CIN,2022-12-11,26,Sun,13,14,,CLE,W 23-10,26,43,60.5,273,1,2,3,1,77.0,2022,2022_14_CIN_CLE
MIA,2022-11-27,26,Sun,11,12,,HOU,W 30-15,26,39,66.7,174,1,5,41,2,63.4,2022,2022_12_MIA_HOU
NOR,2022-11-27,26,Sun,12,12,@,SFO,L 0-13,26,37,70.3,221,1,1,1,0,94.5,2022,2022_12_NOR_SFO
MIN,2022-11-20,26,Sun,10,11,,DAL,L 3-40,26,30,86.7,307,2,0,0,0,131.5,2022,2022_11_MIN_DAL
LAR,2022-11-13,26,Sun,9,10,,ARI,L 17-27,26,37,70.3,220,1,2,18,0,94.4,2022,2022_10_LAR_ARI
JAX,2022-11-13,26,Sun,10,10,@,KAN,L 17-27,26,35,74.3,331,4,0,0,1,129.6,2022,2022_10_JAX_KAN
CLE,2022-11-13,26,Sun,9,10,@,MIA,L 17-39,26,33,78.8,296,3,1,6,0,134.3,2022,2022_10_CLE_MIA
ARI,2022-11-06,26,Sun,9,9,,SEA,L 21-31,26,34,76.5,263,2,2,12,1,105.4,2022,2022_09_ARI_SEA
BAL,2022-10-27,26,Thu,8,8,@,TAM,W 27-22,26,44,59.1,305,1,3,20,0,87.8,2022,2022_08_BAL_TAM
CAR,2022-10-16,26,Sun,6,6,@,LAR,L 10-24,26,33,78.8,249,1,1,4,1,95.6,2022,2022_06_CAR_LAR
ARI,2022-10-09,26,Sun,5,5,,PHI,L 17-20,26,36,72.2,218,0,2,21,0,87.5,2022,2022_05_ARI_PHI
DEN,2022-10-06,26,Thu,5,5,,IND,L 9-12 (OT),26,41,63.4,200,0,6,51,2,54.9,2022,2022_05_DEN_IND
LAC,2022-10-02,26,Sun,4,4,@,HOU,W 34-24,26,35,74.3,215,2,4,31,2,84.8,2022,2022_04_LAC_HOU
NOR,2022-10-02,26,Sun,4,4,,MIN,L 25-28,26,39,66.7,263,1,3,23,1,83.6,2022,2022_04_NOR_MIN
MIN,2022-09-19,26,Mon,2,2,@,PHI,L 7-24,26,31,83.9,323,1,3,10,1,107.4,2022,2022_02_MIN_PHI
TEN,2022-09-19,26,Mon,2,2,@,BUF,L 7-41,26,40,65.0,313,4,1,4,0,122.2,2022,2022_02_TEN_BUF
MIN,2022-09-11,26,Sun,1,1,,GNB,W 23-7,26,39,66.7,227,0,4,33,1,71.2,2022,2022_01_MIN_GNB
LVR,2022-09-11,26,Sun,1,1,@,LAC,L 19-24,26,34,76.5,279,3,0,0,0,129.4,2022,2022_01_LVR_LAC
LAR,2022-09-08,26,Thu,1,1,,BUF,L 10-31,26,31,83.9,292,3,2,5,2,111.3,2022,2022_01_LAR_BUF
CIN,2022-01-02,26,Sun,16,17,,KAN,W 34-31,26,35,74.3,259,2,0,0,0,113.9,2021,2021_17_CIN_KAN
BAL,2022-01-02,26,Sun,16,17,,LAR,L 19-20,26,35,74.3,300,2,1,9,2,94.9,2021,2021_17_BAL_LAR
NYJ,2021-12-26,26,Sun,15,16,,JAX,W 26-21,26,39,66.7,252,0,1,28,0,84.6,2021,2021_16_NYJ_JAX
TEN,2021-12-23,26,Thu,15,16,,SFO,W 20-17,26,35,74.3,306,1,2,16,2,86.1,2021,2021_16_TEN_SFO
MIN,2021-12-20,26,Mon,14,15,@,CHI,W 17-9,26,39,66.7,255,1,3,30,0,93.4,2021,2021_15_MIN_CHI
NOR,2021-12-19,26,Sun,14,15,@,TAM,W 9-0,26,48,54.2,184,0,4,30,1,54.5,2021,2021_15_NOR_TAM
IND,2021-12-18,26,Sat,14,15,,NWE,W 27-17,26,45,57.8,284,2,1,15,2,72.8,2021,2021_15_IND_NWE
ARI,2021-12-05,26,Sun,12,13,@,CHI,W 33-22,26,41,63.4,217,2,3,12,4,53.7,2021,2021_13_ARI_CHI
JAX,2021-12-05,26,Sun,12,13,@,LAR,L 7-37,26,38,68.4,290,3,1,5,0,117.2,2021,2021_13_JAX_LAR
CIN,2021-12-05,26,Sun,12,13,,LAC,L 22-41,26,35,74.3,284,3,4,33,1,114.5,2021,2021_13_CIN_LAC
NOR,2021-12-02,26,Thu,12,13,,DAL,L 17-27,26,40,65.0,231,1,1,7,1,78.2,2021,2021_13_NOR_DAL
CHI,2021-11-21,26,Sun,10,11,,BAL,L 13-16,26,36,72.2,176,0,6,43,1,71.1,2021,2021_11_CHI_BAL
TAM,2021-11-14,26,Sun,9,10,@,WAS,L 19-29,26,32,81.3,226,1,5,30,0,106.5,2021,2021_10_TAM_WAS
MIA,2021-11-11,26,Thu,10,10,,BAL,W 22-10,26,43,60.5,210,1,4,28,1,70.9,2021,2021_10_MIA_BAL
HOU,2021-11-07,26,Sun,9,9,@,MIA,L 9-17,26,43,60.5,215,1,4,29,2,61.7,2021,2021_09_HOU_MIA
NWE,2021-10-24,26,Sun,7,7,,NYJ,W 54-13,26,42,61.9,237,1,2,16,2,65.3,2021,2021_07_NWE_NYJ
GNB,2021-10-10,26,Sun,5,5,@,CIN,W 25-22 (OT),26,38,68.4,264,2,3,17,2,83.7,2021,2021_05_GNB_CIN
CLE,2021-10-10,26,Sun,5,5,@,LAC,L 42-47,26,43,60.5,381,4,2,17,0,120.4,2021,2021_05_CLE_LAC
DAL,2021-10-03,26,Sun,4,4,,CAR,W 36-28,26,39,66.7,266,2,5,35,2,81.8,2021,2021_04_DAL_CAR
GNB,2021-10-03,26,Sun,4,4,,PIT,W 27-17,26,40,65.0,220,1,2,12,1,77.1,2021,2021_04_GNB_PIT
ARI,2021-10-03,26,Sun,4,4,@,LAR,W 37-20,26,41,63.4,280,2,0,0,1,89.5,2021,2021_04_ARI_LAR
MIA,2021-09-26,26,Sun,3,3,@,LVR,L 28-31 (OT),26,43,60.5,357,2,3,29,1,92.9,2021,2021_03_MIA_LVR
KAN,2021-09-26,26,Sun,3,3,,LAC,L 24-30,26,38,68.4,275,4,1,6,0,124.3,2021,2021_03_KAN_LAC
GNB,2021-09-20,26,Mon,2,2,,DET,W 35-17,26,36,72.2,236,2,1,10,1,96.5,2021,2021_02_GNB_DET
NOR,2021-09-19,26,Sun,2,2,@,CAR,L 7-26,26,38,68.4,294,2,2,11,1,97.9,2021,2021_02_NOR_CAR
JAX,2021-09-19,26,Sun,2,2,,DEN,L 13-23,26,34,76.5,302,2,3,26,0,122.4,2021,2021_02_JAX_DEN
IND,2021-01-03,26,Sun,16,17,,JAX,W 28-14,26,42,61.9,230,2,6,31,0,92.4,2020,2020_17_IND_JAX
CLE,2021-01-03,26,Sun,16,17,,PIT,W 24-22,26,44,59.1,309,2,1,8,1,86.3,2020,2020_17_CLE_PIT
ATL,2021-01-03,26,Sun,16,17,@,TAM,L 27-44,26,41,63.4,391,4,1,8,1,117.0,2020,2020_17_ATL_TAM
CAR,2020-12-27,26,Sun,15,16,@,WAS,W 20-13,26,47,55.3,278,1,3,13,2,62.2,2020,2020_16_CAR_WAS
LVR,2020-12-26,26,Sat,15,16,,MIA,L 25-26,26,35,74.3,253,2,3,23,0,113.2,2020,2020_16_LVR_MIA
NOR,2020-12-20,26,Sun,14,15,,KAN,L 29-32,26,47,55.3,232,3,4,22,0,90.0,2020,2020_15_NOR_KAN
DAL,2020-12-20,26,Sun,14,15,,SFO,W 41-33,26,43,60.5,308,3,2,11,2,86.2,2020,2020_15_DAL_SFO
DET,2020-12-13,26,Sun,13,14,,GNB,L 24-31,26,33,78.8,290,3,0,0,0,133.6,2020,2020_14_DET_GNB
BUF,2020-12-07,26,Mon,12,13,@,SFO,W 34-24,26,39,66.7,316,3,0,0,2,95.7,2020,2020_13_BUF_SFO
DET,2020-12-06,26,Sun,12,13,@,CHI,W 34-30,26,34,76.5,249,1,2,18,0,106.1,2020,2020_13_DET_CHI
TEN,2020-12-06,26,Sun,12,13,,CLE,L 35-41,26,34,76.5,340,4,0,0,0,146.7,2020,2020_13_TEN_CLE
IND,2020-12-06,26,Sun,12,13,@,HOU,W 26-20,26,38,68.4,308,0,5,33,1,81.9,2020,2020_13_IND_HOU
CIN,2020-12-06,26,Sun,12,13,@,MIA,L 7-19,26,39,66.7,296,1,0,0,0,97.8,2020,2020_13_CIN_MIA
NWE,2020-12-06,26,Sun,12,13,@,LAC,W 45-0,26,53,49.1,188,0,3,21,2,42.0,2020,2020_13_NWE_LAC
SEA,2020-11-30,26,Mon,11,12,@,PHI,W 23-17,26,46,56.5,180,2,6,41,1,70.9,2020,2020_12_SEA_PHI
GNB,2020-11-29,26,Sun,11,12,,CHI,W 41-25,26,46,56.5,229,3,3,13,2,73.6,2020,2020_12_GNB_CHI
LAR,2020-11-23,26,Mon,10,11,@,TAM,W 27-24,26,48,54.2,209,2,1,7,2,61.9,2020,2020_11_LAR_TAM
HOU,2020-11-22,26,Sun,10,11,,NWE,W 27-20,26,40,65.0,349,1,2,16,0,100.9,2020,2020_11_HOU_NWE
HOU,2020-11-08,26,Sun,8,9,@,JAX,W 27-25,26,38,68.4,288,1,2,16,1,88.5,2020,2020_09_HOU_JAX
TAM,2020-11-02,26,Mon,8,8,@,NYG,W 25-23,26,42,61.9,256,2,3,18,2,75.1,2020,2020_08_TAM_NYG
TEN,2020-11-01,26,Sun,7,8,@,CIN,L 20-31,26,37,70.3,249,2,0,0,0,106.7,2020,2020_08_TEN_CIN
LAC,2020-11-01,26,Sun,7,8,@,DEN,L 30-31,26,41,63.4,243,3,2,5,1,93.9,2020,2020_08_LAC_DEN
ARI,2020-10-04,26,Sun,4,4,@,CAR,L 21-31,26,37,70.3,276,2,0,0,1,98.5,2020,2020_04_ARI_CAR
IND,2020-10-04,26,Sun,4,4,@,CHI,W 19-11,26,42,61.9,241,1,1,8,1,75.6,2020,2020_04_IND_CHI
LVR,2020-09-21,26,Mon,2,2,,NOR,W 34-24,26,38,68.4,312,1,0,0,1,91.1,2020,2020_02_LVR_NOR
WAS,2020-09-20,26,Sun,2,2,@,ARI,L 15-30,26,38,68.4,278,1,3,8,1,87.4,2020,2020_02_WAS_ARI
LAR,2020-09-20,26,Sun,2,2,@,PHI,W 37-19,26,43,60.5,242,0,0,0,2,56.5,2020,2020_02_LAR_PHI
PIT,2020-09-14,26,Mon,1,1,@,NYG,W 26-16,26,41,63.4,262,2,3,17,2,77.5,2020,2020_01_PIT_NYG
SFO,2020-09-13,26,Sun,1,1,,ARI,L 20-24,26,40,65.0,224,1,2,6,1,77.5,2020,2020_01_SFO_ARI
NOR,2019-12-29,26,Sun,16,17,@,CAR,W 42-10,26,49,53.1,288,0,2,11,2,53.8,2019,2019_17_NOR_CAR
MIN,2019-12-29,26,Sun,16,17,,CHI,L 19-21,26,37,70.3,179,0,4,28,0,80.8,2019,2019_17_MIN_CHI
MIN,2019-12-23,26,Mon,15,16,,GNB,L 10-23,26,40,65.0,199,0,3,17,1,66.6,2019,2019_16_MIN_GNB
DET,2019-12-22,26,Sun,15,16,@,DEN,L 17-27,26,34,76.5,198,1,0,0,0,99.9,2019,2019_16_DET_DEN
LAC,2019-12-22,26,Sun,15,16,,OAK,L 17-24,26,30,86.7,267,1,3,24,0,114.9,2019,2019_16_LAC_OAK
BUF,2019-12-21,26,Sat,15,16,@,NWE,L 17-24,26,33,78.8,271,1,0,0,0,111.0,2019,2019_16_BUF_NWE
NWE,2019-12-08,26,Sun,13,14,,KAN,L 16-23,26,40,65.0,271,1,1,12,1,82.4,2019,2019_14_NWE_KAN
BAL,2019-11-25,26,Mon,11,12,@,LAR,W 45-6,26,37,70.3,199,0,2,13,2,60.5,2019,2019_12_BAL_LAR
BUF,2019-11-10,26,Sun,9,10,@,CLE,L 16-19,26,38,68.4,221,2,2,17,0,100.9,2019,2019_10_BUF_CLE
NYJ,2019-11-10,26,Sun,9,10,,NYG,W 34-27,26,40,65.0,258,4,6,50,0,116.5,2019,2019_10_NYJ_NYG
DAL,2019-11-04,26,Mon,8,9,@,NYG,W 37-18,26,41,63.4,171,1,5,39,1,70.3,2019,2019_09_DAL_NYG
OAK,2019-11-03,26,Sun,8,9,,DET,W 31-24,26,41,63.4,383,3,2,23,1,108.1,2019,2019_09_OAK_DET
CHI,2019-11-03,26,Sun,8,9,@,PHI,L 14-22,26,39,66.7,227,1,4,12,0,90.4,2019,2019_09_CHI_PHI
IND,2019-11-03,26,Sun,8,9,@,PIT,L 24-26,26,35,74.3,183,1,1,8,1,83.4,2019,2019_09_IND_PIT
HOU,2019-10-20,26,Sun,7,7,@,IND,L 23-30,26,40,65.0,321,4,1,5,0,123.0,2019,2019_07_HOU_IND
MIN,2019-10-13,26,Sun,6,6,,PHI,W 38-20,26,41,63.4,292,2,2,14,2,80.5,2019,2019_06_MIN_PHI
PIT,2019-10-13,26,Sun,6,6,@,LAC,W 24-17,26,44,59.1,316,2,1,4,2,77.5,2019,2019_06_PIT_LAC
CAR,2019-10-06,26,Sun,5,5,,JAX,W 34-27,26,44,59.1,358,2,2,16,0,100.4,2019,2019_05_CAR_JAX
SFO,2019-09-15,26,Sun,2,2,@,CIN,W 41-17,26,42,61.9,291,2,4,20,1,88.5,2019,2019_02_SFO_CIN
WAS,2019-09-15,26,Sun,2,2,,DAL,L 21-31,26,30,86.7,261,3,1,8,1,122.4,2019,2019_02_WAS_DAL
BUF,2019-09-15,26,Sun,2,2,@,NYG,W 28-14,26,45,57.8,241,1,1,9,2,61.4,2019,2019_02_BUF_NYG
DAL,2019-09-15,26,Sun,2,2,@,WAS,W 31-21,26,37,70.3,208,2,1,13,0,102.1,2019,2019_02_DAL_WAS
GNB,2019-09-05,26,Thu,1,1,@,CHI,W 10-3,26,45,57.8,208,0,5,20,1,60.2,2019,2019_01_GNB_CHI
KAN,2018-12-13,26,Thu,14,15,,LAC,L 28-29,26,38,68.4,288,2,5,25,2,86.3,2018,2018_15_KAN_LAC
DET,2018-12-09,26,Sun,13,14,@,ARI,W 17-3,26,41,63.4,218,0,3,22,1,66.9,2018,2018_14_DET_ARI
PIT,2018-12-02,26,Sun,12,13,,LAC,L 30-33,26,36,72.2,286,2,2,13,0,113.9,2018,2018_13_PIT_LAC
PHI,2018-11-25,26,Sun,11,12,,NYG,W 25-22,26,37,70.3,276,1,2,21,1,89.5,2018,2018_12_PHI_NYG
NWE,2018-11-25,26,Sun,11,12,@,NYJ,W 27-13,26,45,57.8,264,1,2,12,1,72.8,2018,2018_12_NWE_NYJ
PHI,2018-11-11,26,Sun,9,10,,DAL,L 20-27,26,36,72.2,239,1,4,31,0,99.2,2018,2018_10_PHI_DAL
WAS,2018-11-04,26,Sun,8,9,,ATL,L 14-38,26,38,68.4,337,4,2,13,1,120.2,2018,2018_09_WAS_ATL
HOU,2018-11-04,26,Sun,9,9,@,DEN,W 19-17,26,42,61.9,273,1,2,17,0,88.7,2018,2018_09_HOU_DEN
LAC,2018-11-04,26,Sun,8,9,@,SEA,W 25-17,26,39,66.7,202,2,4,33,1,85.6,2018,2018_09_LAC_SEA
CAR,2018-10-28,26,Sun,7,8,,BAL,W 36-21,26,44,59.1,224,2,2,14,2,68.7,2018,2018_08_CAR_BAL
NWE,2018-10-21,26,Sun,7,7,@,CHI,W 38-31,26,50,52.0,319,2,2,14,2,68.7,2018,2018_07_NWE_CHI
PIT,2018-10-14,26,Sun,6,6,@,CIN,W 28-21,26,42,61.9,213,2,3,16,0,90.7,2018,2018_06_PIT_CIN
NYG,2018-10-11,26,Thu,6,6,,PHI,L 13-34,26,36,72.2,271,3,1,7,0,121.4,2018,2018_06_NYG_PHI
WAS,2018-10-08,26,Mon,4,5,@,NOR,L 19-43,26,29,89.7,349,3,2,14,0,151.3,2018,2018_05_WAS_NOR
MIN,2018-09-27,26,Thu,4,4,@,LAR,L 31-38,26,34,76.5,456,5,1,9,0,157.5,2018,2018_04_MIN_LAR
NOR,2018-09-23,26,Sun,3,3,@,ATL,W 43-37 (OT),26,35,74.3,359,5,3,15,0,146.3,2018,2018_03_NOR_ATL
HOU,2018-09-09,26,Sun,1,1,@,NWE,L 20-27,26,39,66.7,267,3,2,10,1,101.1,2018,2018_01_HOU_NWE
BUF,2018-09-09,26,Sun,1,1,@,BAL,L 3-47,26,38,68.4,252,3,2,8,0,113.0,2018,2018_01_BUF_BAL
CAR,2017-12-17,26,Sun,14,15,,GNB,W 31-24,26,45,57.8,264,3,3,26,3,69.1,2017,2017_15_CAR_GNB
NYJ,2017-12-17,26,Sun,14,15,@,NOR,L 19-31,26,36,72.2,281,2,0,0,1,101.7,2017,2017_15_NYJ_NOR
CLE,2017-12-17,26,Sun,14,15,,BAL,L 10-27,26,42,61.9,279,1,1,9,0,89.3,2017,2017_15_CLE_BAL
DET,2017-12-10,26,Sun,13,14,@,TAM,W 24-21,26,38,68.4,267,2,3,18,2,84.0,2017,2017_14_DET_TAM
ATL,2017-12-07,26,Thu,13,14,,NOR,W 20-17,26,35,74.3,256,2,2,15,1,101.6,2017,2017_14_ATL_NOR
KAN,2017-12-03,26,Sun,12,13,@,NYJ,L 31-38,26,36,72.2,331,1,0,0,0,109.8,2017,2017_13_KAN_NYJ
CHI,2017-12-03,26,Sun,12,13,,SFO,L 14-15,26,37,70.3,278,0,2,15,1,80.7,2017,2017_13_CHI_SFO
DAL,2017-11-30,26,Thu,12,13,,WAS,W 38-14,26,37,70.3,224,2,4,27,2,81.4,2017,2017_13_DAL_WAS
CHI,2017-11-26,26,Sun,11,12,@,PHI,L 3-31,26,39,66.7,244,3,1,4,0,109.3,2017,2017_12_CHI_PHI
HOU,2017-11-12,26,Sun,9,10,@,LAR,L 7-33,26,38,68.4,339,3,3,22,0,122.6,2017,2017_10_HOU_LAR
MIN,2017-11-12,26,Sun,9,10,@,WAS,W 38-30,26,45,57.8,313,1,1,14,1,77.4,2017,2017_10_MIN_WAS
GNB,2017-11-06,26,Mon,8,9,,DET,L 17-30,26,33,78.8,353,2,1,8,0,131.4,2017,2017_09_GNB_DET
DET,2017-11-06,26,Mon,8,9,@,GNB,W 30-17,26,38,68.4,233,0,3,12,0,84.6,2017,2017_09_DET_GNB
ATL,2017-10-29,26,Sun,7,8,@,NYJ,W 25-20,26,33,78.8,236,2,3,21,0,116.7,2017,2017_08_ATL_NYJ
HOU,2017-10-29,26,Sun,7,8,@,SEA,L 38-41,26,41,63.4,446,4,2,6,1,122.6,2017,2017_08_HOU_SEA
DAL,2017-10-29,26,Sun,7,8,@,WAS,W 33-19,26,39,66.7,236,1,4,27,1,80.7,2017,2017_08_DAL_WAS
