Team,Date,Att,Day,G#,Week,,Opp,Result,Att,Yds,Y/A,TD,Season,game_id
LAC,2020-09-20,44,Sun,2,2,,KAN,L 20-23 (OT),44,183,4.2,1,2020,2020_02_LAC_KAN
BAL,2019-12-29,44,Sun,16,17,,PIT,W 28-10,44,223,5.1,1,2019,2019_17_BAL_PIT
JAX,2019-10-20,44,Sun,7,7,@,CIN,W 27-17,44,216,4.9,0,2019,2019_07_JAX_CIN
NYG,2017-12-31,44,Sun,16,17,,WAS,W 18-10,44,260,5.9,1,2017,2017_17_NYG_WAS
JAX,2017-11-19,44,Sun,10,11,@,CLE,W 19-7,44,139,3.2,0,2017,2017_11_JAX_CLE
CAR,2022-12-24,43,Sat,15,16,,DET,W 37-23,43,320,7.4,3,2022,2022_16_CAR_DET
IND,2022-12-17,43,Sat,14,15,@,MIN,L 36-39 (OT),43,171,4.0,0,2022,2022_15_IND_MIN
PIT,2022-11-13,43,Sun,9,10,,NOR,W 20-10,43,217,5.0,2,2022,2022_10_PIT_NOR
CHI,2022-10-30,43,Sun,8,8,@,DAL,L 29-49,43,240,5.6,2,2022,2022_08_CHI_DAL
MIA,2022-01-09,43,Sun,17,18,,NWE,W 33-24,43,195,4.5,1,2021,2021_18_MIA_NWE
WAS,2021-11-29,43,Mon,11,12,,SEA,W 17-15,43,152,3.5,1,2021,2021_12_WAS_SEA
BAL,2021-11-28,43,Sun,11,12,,CLE,W 16-10,43,148,3.4,0,2021,2021_12_BAL_CLE
ARI,2020-12-13,43,Sun,13,14,@,NYG,W 26-7,43,159,3.7,1,2020,2020_14_ARI_NYG
NWE,2020-12-06,43,Sun,12,13,@,LAC,W 45-0,43,165,3.8,2,2020,2020_13_NWE_LAC
SEA,2019-12-02,43,Mon,12,13,,MIN,W 37-30,43,218,5.1,2,2019,2019_13_SEA_MIN
BAL,2019-10-13,43,Sun,6,6,,CIN,W 23-17,43,269,6.3,2,2019,2019_06_BAL_CIN
SEA,2019-10-03,43,Thu,5,5,,LAR,W 30-29,43,167,3.9,0,2019,2019_05_SEA_LAR
SEA,2018-12-23,43,Sun,15,16,,KAN,W 38-31,43,210,4.9,2,2018,2018_16_SEA_KAN
BAL,2018-11-25,43,Sun,11,12,,OAK,W 34-17,43,242,5.6,1,2018,2018_12_BAL_OAK
JAX,2018-11-18,43,Sun,10,11,,PIT,L 16-20,43,179,4.2,1,2018,2018_11_JAX_PIT
BUF,2018-10-07,43,Sun,5,5,,TEN,W 13-12,43,144,3.3,1,2018,2018_05_BUF_TEN
LAR,2017-12-17,43,Sun,14,15,@,SEA,W 42-7,43,244,5.7,3,2017,2017_15_LAR_SEA
ARI,2017-11-05,43,Sun,8,9,@,SFO,W 20-10,43,167,3.9,0,2017,2017_09_ARI_SFO
PIT,2017-10-22,43,Sun,7,7,,CIN,W 29-14,43,152,3.5,0,2017,2017_07_PIT_CIN
DAL,2017-10-22,43,Sun,6,7,@,SFO,W 40-10,43,265,6.2,3,2017,2017_07_DAL_SFO
BAL,2022-12-11,42,Sun,13,14,@,PIT,W 16-14,42,215,5.1,1,2022,2022_14_BAL_PIT
MIA,2021-12-19,42,Sun,14,15,,NYJ,W 31-24,42,183,4.4,2,2021,2021_15_MIA_NYJ
TEN,2021-12-19,42,Sun,14,15,@,PIT,L 13-19,42,201,4.8,1,2021,2021_15_TEN_PIT
SFO,2021-11-21,42,Sun,10,11,@,JAX,W 30-10,42,171,4.1,1,2021,2021_11_SFO_JAX
CLE,2021-09-26,42,Sun,3,3,,CHI,W 26-6,42,215,5.1,1,2021,2021_03_CLE_CHI
CHI,2020-12-20,42,Sun,14,15,@,MIN,W 33-27,42,199,4.7,2,2020,2020_15_CHI_MIN
MIA,2020-12-20,42,Sun,14,15,,NWE,W 22-12,42,250,6.0,3,2020,2020_15_MIA_NWE
NYG,2020-11-29,42,Sun,11,12,@,CIN,W 19-17,42,142,3.4,1,2020,2020_12_NYG_CIN
NOR,2020-10-04,42,Sun,4,4,@,DET,W 35-29,42,164,3.9,3,2020,2020_04_NOR_DET
NWE,2020-09-13,42,Sun,1,1,,MIA,W 21-11,42,217,5.2,3,2020,2020_01_NWE_MIA
SFO,2019-09-15,42,Sun,2,2,@,CIN,W 41-17,42,259,6.2,2,2019,2019_02_SFO_CIN
LAR,2018-12-30,42,Sun,16,17,,SFO,W 48-32,42,155,3.7,1,2018,2018_17_LAR_SFO
SEA,2018-12-10,42,Mon,13,14,,MIN,W 21-7,42,214,5.1,1,2018,2018_14_SEA_MIN
SEA,2018-10-28,42,Sun,7,8,@,DET,W 28-14,42,176,4.2,1,2018,2018_08_SEA_DET
DAL,2018-10-14,42,Sun,6,6,,JAX,W 40-7,42,206,4.9,2,2018,2018_06_DAL_JAX
WAS,2018-09-09,42,Sun,1,1,@,ARI,W 24-6,42,182,4.3,1,2018,2018_01_WAS_ARI
DAL,2017-11-30,42,Thu,12,13,,WAS,W 38-14,42,182,4.3,2,2017,2017_13_DAL_WAS
PHI,2017-10-01,42,Sun,4,4,@,LAC,W 26-24,42,214,5.1,1,2017,2017_04_PHI_LAC
HOU,2017-10-01,42,Sun,4,4,,TEN,W 57-14,42,173,4.1,2,2017,2017_04_HOU_TEN
PIT,2017-10-01,42,Sun,4,4,@,BAL,W 26-9,42,173,4.1,2,2017,2017_04_PIT_BAL
BAL,2017-09-10,42,Sun,1,1,@,CIN,W 20-0,42,157,3.7,1,2017,2017_01_BAL_CIN
BUF,2017-09-10,42,Sun,1,1,,NYJ,W 21-12,42,190,4.5,1,2017,2017_01_BUF_NYJ
CAR,2023-01-08,41,Sun,17,18,@,NOR,W 10-7,41,171,4.2,0,2022,2022_18_CAR_NOR
WAS,2023-01-08,41,Sun,17,18,,DAL,W 26-6,41,151,3.7,1,2022,2022_18_WAS_DAL
PIT,2023-01-01,41,Sun,16,17,@,BAL,W 16-13,41,198,4.8,0,2022,2022_17_PIT_BAL
DAL,2022-12-18,41,Sun,14,15,@,JAX,L 34-40 (OT),41,154,3.8,1,2022,2022_15_DAL_JAX
CHI,2022-11-20,41,Sun,11,11,@,ATL,L 24-27,41,160,3.9,2,2022,2022_11_CHI_ATL
SFO,2022-11-13,41,Sun,9,10,,LAC,W 22-16,41,157,3.8,2,2022,2022_10_SFO_LAC
CLE,2022-01-09,41,Sun,17,18,,CIN,W 21-16,41,205,5.0,1,2021,2021_18_CLE_CIN
SEA,2022-01-02,41,Sun,16,17,,DET,W 51-29,41,265,6.5,2,2021,2021_17_SEA_DET
PHI,2021-12-21,41,Tue,14,15,,WAS,W 27-17,41,238,5.8,2,2021,2021_15_PHI_WAS
PHI,2021-12-05,41,Sun,13,13,@,NYJ,W 33-18,41,185,4.5,1,2021,2021_13_PHI_NYJ
DEN,2021-11-07,41,Sun,9,9,@,DAL,W 30-16,41,190,4.6,2,2021,2021_09_DEN_DAL
DAL,2021-09-27,41,Mon,3,3,,PHI,W 41-21,41,160,3.9,2,2021,2021_03_DAL_PHI
BAL,2021-09-19,41,Sun,2,2,,KAN,W 36-35,41,251,6.1,3,2021,2021_02_BAL_KAN
HOU,2021-09-12,41,Sun,1,1,,JAX,W 37-21,41,160,3.9,2,2021,2021_01_HOU_JAX
TEN,2021-01-03,41,Sun,16,17,@,HOU,W 41-38,41,288,7.0,4,2020,2020_17_TEN_HOU
CIN,2020-12-21,41,Mon,14,15,,PIT,W 27-17,41,152,3.7,2,2020,2020_15_CIN_PIT
KAN,2020-12-20,41,Sun,14,15,@,NOR,W 32-29,41,179,4.4,1,2020,2020_15_KAN_NOR
LVR,2020-12-17,41,Thu,14,15,,LAC,L 27-30 (OT),41,173,4.2,2,2020,2020_15_LVR_LAC
LVR,2020-11-15,41,Sun,9,10,,DEN,W 37-12,41,203,5.0,4,2020,2020_10_LVR_DEN
CLE,2020-11-15,41,Sun,9,10,,HOU,W 10-7,41,231,5.6,1,2020,2020_10_CLE_HOU
NWE,2020-11-09,41,Mon,8,9,@,NYJ,W 30-27,41,159,3.9,3,2020,2020_09_NWE_NYJ
MIN,2020-10-11,41,Sun,5,5,@,SEA,L 26-27,41,201,4.9,1,2020,2020_05_MIN_SEA
BAL,2019-11-03,41,Sun,8,9,,NWE,W 37-20,41,210,5.1,3,2019,2019_09_BAL_NWE
PHI,2019-10-27,41,Sun,8,8,@,BUF,W 31-13,41,218,5.3,3,2019,2019_08_PHI_BUF
SFO,2019-10-13,41,Sun,5,6,@,LAR,W 20-7,41,99,2.4,2,2019,2019_06_SFO_LAR
HOU,2019-10-13,41,Sun,6,6,@,KAN,W 31-24,41,192,4.7,3,2019,2019_06_HOU_KAN
LAR,2018-12-23,41,Sun,15,16,@,ARI,W 31-9,41,269,6.6,3,2018,2018_16_LAR_ARI
CIN,2018-12-16,41,Sun,14,15,,OAK,W 30-16,41,171,4.2,2,2018,2018_15_CIN_OAK
CAR,2018-09-23,41,Sun,3,3,,CIN,W 31-21,41,230,5.6,2,2018,2018_03_CAR_CIN
MIN,2017-11-23,41,Thu,11,12,@,DET,W 30-23,41,136,3.3,2,2017,2017_12_MIN_DET
NYJ,2017-11-02,41,Thu,9,9,,BUF,W 34-21,41,194,4.7,3,2017,2017_09_NYJ_BUF
LVR,2022-11-27,40,Sun,11,12,@,SEA,W 40-34 (OT),40,283,7.1,2,2022,2022_12_LVR_SEA
DAL,2022-11-20,40,Sun,10,11,@,MIN,W 40-3,40,151,3.8,2,2022,2022_11_DAL_MIN
WAS,2022-11-20,40,Sun,11,11,@,HOU,W 23-10,40,153,3.8,1,2022,2022_11_WAS_HOU
BAL,2022-11-07,40,Mon,9,9,@,NOR,W 27-13,40,188,4.7,2,2022,2022_09_BAL_NOR
CHI,2022-11-06,40,Sun,9,9,,MIA,L 32-35,40,252,6.3,1,2022,2022_09_CHI_MIA
ATL,2022-10-16,40,Sun,6,6,,SFO,W 28-14,40,168,4.2,1,2022,2022_06_ATL_SFO
CHI,2022-09-25,40,Sun,3,3,,HOU,W 23-20,40,281,7.0,2,2022,2022_03_CHI_HOU
NYG,2022-01-02,40,Sun,16,17,@,CHI,L 3-29,40,161,4.0,0,2021,2021_17_NYG_CHI
TEN,2022-01-02,40,Sun,16,17,,MIA,W 34-3,40,198,5.0,2,2021,2021_17_TEN_MIA
LVR,2021-12-26,40,Sun,15,16,,DEN,W 17-13,40,160,4.0,1,2021,2021_16_LVR_DEN
WAS,2021-11-21,40,Sun,10,11,@,CAR,W 27-21,40,190,4.8,0,2021,2021_11_WAS_CAR
BUF,2021-10-03,40,Sun,4,4,,HOU,W 40-0,40,199,5.0,2,2021,2021_04_BUF_HOU
ARI,2021-10-03,40,Sun,4,4,@,LAR,W 37-20,40,216,5.4,2,2021,2021_04_ARI_LAR
TEN,2021-09-19,40,Sun,2,2,@,SEA,W 33-30 (OT),40,212,5.3,3,2021,2021_02_TEN_SEA
BAL,2020-12-27,40,Sun,15,16,,NYG,W 27-13,40,249,6.2,1,2020,2020_16_BAL_NYG
TEN,2020-12-13,40,Sun,13,14,@,JAX,W 31-10,40,249,6.2,2,2020,2020_14_TEN_JAX
CLE,2020-11-22,40,Sun,10,11,,PHI,W 22-17,40,137,3.4,1,2020,2020_11_CLE_PHI
MIN,2020-10-04,40,Sun,4,4,@,HOU,W 31-23,40,162,4.1,3,2020,2020_04_MIN_HOU
CLE,2020-10-04,40,Sun,4,4,@,DAL,W 49-38,40,307,7.7,3,2020,2020_04_CLE_DAL
IND,2020-09-20,40,Sun,2,2,,MIN,W 28-11,40,151,3.8,1,2020,2020_02_IND_MIN
LAR,2020-09-13,40,Sun,1,1,,DAL,W 20-17,40,153,3.8,2,2020,2020_01_LAR_DAL
BAL,2019-12-22,40,Sun,15,16,@,CLE,W 31-15,40,243,6.1,1,2019,2019_16_BAL_CLE
ARI,2019-12-22,40,Sun,15,16,@,SEA,W 27-13,40,253,6.3,2,2019,2019_16_ARI_SEA
CIN,2019-11-10,40,Sun,9,10,,BAL,L 13-49,40,157,3.9,0,2019,2019_10_CIN_BAL
SFO,2019-10-07,40,Mon,4,5,,CLE,W 31-3,40,275,6.9,2,2019,2019_05_SFO_CLE
BAL,2019-10-06,40,Sun,5,5,@,PIT,W 26-23 (OT),40,138,3.5,1,2019,2019_05_BAL_PIT
SFO,2019-09-22,40,Sun,3,3,,PIT,W 24-20,40,168,4.2,2,2019,2019_03_SFO_PIT
MIN,2018-12-16,40,Sun,14,15,,MIA,W 41-17,40,220,5.5,3,2018,2018_15_MIN_MIA
BAL,2018-12-09,40,Sun,13,14,@,KAN,L 24-27 (OT),40,194,4.9,1,2018,2018_14_BAL_KAN
IND,2018-10-28,40,Sun,8,8,@,OAK,W 42-28,40,222,5.6,2,2018,2018_08_IND_OAK
NWE,2018-09-30,40,Sun,4,4,,MIA,W 38-7,40,175,4.4,2,2018,2018_04_NWE_MIA
JAX,2017-11-05,40,Sun,8,9,,CIN,W 23-7,40,149,3.7,0,2017,2017_09_JAX_CIN
BAL,2017-10-26,40,Thu,8,8,,MIA,W 40-0,40,174,4.4,0,2017,2017_08_BAL_MIA
LAR,2017-10-22,40,Sun,7,7,,ARI,W 33-0,40,197,4.9,2,2017,2017_07_LAR_ARI
TEN,2023-01-07,39,Sat,17,18,@,JAX,L 16-20,39,147,3.8,0,2022,2022_18_TEN_JAX
DET,2023-01-01,39,Sun,16,17,,CHI,W 41-10,39,265,6.8,2,2022,2022_17_DET_CHI
NOR,2022-12-24,39,Sat,15,16,@,CLE,W 17-10,39,152,3.9,2,2022,2022_16_NOR_CLE
JAX,2022-12-22,39,Thu,15,16,@,NYJ,W 19-3,39,147,3.8,1,2022,2022_16_JAX_NYJ
ATL,2022-12-18,39,Sun,14,15,@,NOR,L 18-21,39,231,5.9,2,2022,2022_15_ATL_NOR
DAL,2022-11-24,39,Thu,11,12,,NYG,W 28-20,39,169,4.3,2,2022,2022_12_DAL_NYG
GNB,2022-11-13,39,Sun,10,10,,DAL,W 31-28 (OT),39,207,5.3,1,2022,2022_10_GNB_DAL
CIN,2022-11-06,39,Sun,9,9,,CAR,W 42-21,39,241,6.2,5,2022,2022_09_CIN_CAR
NYG,2022-10-23,39,Sun,7,7,@,JAX,W 23-17,39,236,6.1,1,2022,2022_07_NYG_JAX
PHI,2022-10-16,39,Sun,6,6,,DAL,W 26-17,39,136,3.5,1,2022,2022_06_PHI_DAL
PHI,2022-09-11,39,Sun,1,1,@,DET,W 38-35,39,216,5.5,4,2022,2022_01_PHI_DET
CLE,2022-09-11,39,Sun,1,1,@,CAR,W 26-24,39,217,5.6,1,2022,2022_01_CLE_CAR
IND,2021-12-18,39,Sat,14,15,,NWE,W 27-17,39,226,5.8,1,2021,2021_15_IND_NWE
LAC,2021-12-16,39,Thu,14,15,,KAN,L 28-34 (OT),39,192,4.9,2,2021,2021_15_LAC_KAN
DEN,2021-12-12,39,Sun,13,14,,DET,W 38-10,39,184,4.7,3,2021,2021_14_DEN_DET
TEN,2021-11-28,39,Sun,12,12,@,NWE,L 13-36,39,270,6.9,1,2021,2021_12_TEN_NWE
SFO,2021-11-28,39,Sun,11,12,,MIN,W 34-26,39,208,5.3,3,2021,2021_12_SFO_MIN
MIA,2021-11-28,39,Sun,12,12,,CAR,W 33-10,39,111,2.8,2,2021,2021_12_MIA_CAR
DET,2021-11-14,39,Sun,9,10,@,PIT,T 16-16 (OT),39,229,5.9,2,2021,2021_10_DET_PIT
PHI,2021-11-14,39,Sun,10,10,@,DEN,W 30-13,39,216,5.5,0,2021,2021_10_PHI_DEN
PHI,2021-11-07,39,Sun,9,9,,LAC,L 24-27,39,176,4.5,2,2021,2021_09_PHI_LAC
NWE,2021-11-07,39,Sun,9,9,@,CAR,W 24-6,39,151,3.9,1,2021,2021_09_NWE_CAR
ARI,2021-11-07,39,Sun,9,9,@,SFO,W 31-17,39,163,4.2,3,2021,2021_09_ARI_SFO
NWE,2021-10-31,39,Sun,8,8,@,LAC,W 27-24,39,142,3.6,1,2021,2021_08_NWE_LAC
DAL,2021-10-10,39,Sun,5,5,,NYG,W 44-20,39,201,5.2,1,2021,2021_05_DAL_NYG
CHI,2021-10-03,39,Sun,4,4,,DET,W 24-14,39,188,4.8,3,2021,2021_04_CHI_DET
NOR,2021-10-03,39,Sun,4,4,,NYG,L 21-27 (OT),39,170,4.4,2,2021,2021_04_NOR_NYG
NOR,2021-09-12,39,Sun,1,1,,GNB,W 38-3,39,171,4.4,0,2021,2021_01_NOR_GNB
GNB,2020-11-29,39,Sun,11,12,,CHI,W 41-25,39,182,4.7,1,2020,2020_12_GNB_CHI
NWE,2020-11-15,39,Sun,9,10,,BAL,W 23-17,39,173,4.4,1,2020,2020_10_NWE_BAL
IND,2020-11-01,39,Sun,7,8,@,DET,W 41-21,39,119,3.1,2,2020,2020_08_IND_DET
WAS,2020-10-25,39,Sun,7,7,,DAL,W 25-3,39,208,5.3,1,2020,2020_07_WAS_DAL
DET,2020-10-18,39,Sun,5,6,@,JAX,W 34-16,39,180,4.6,3,2020,2020_06_DET_JAX
LAR,2020-09-20,39,Sun,2,2,@,PHI,W 37-19,39,191,4.9,2,2020,2020_02_LAR_PHI
LAC,2020-09-13,39,Sun,1,1,@,CIN,W 16-13,39,155,4.0,1,2020,2020_01_LAC_CIN
CIN,2019-12-29,39,Sun,16,17,,CLE,W 33-23,39,179,4.6,3,2019,2019_17_CIN_CLE
