Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Season,game_id
LAC,2022-10-17,24,Mon,6,6,,DEN,W 19-16 (OT),24,7,10,7,22,11,50.0,3,1,33.3,2022,2022_06_LAC_DEN
PHI,2022-10-09,24,Sun,5,5,@,ARI,W 20-17,24,12,12,0,13,6,46.2,1,1,100.0,2022,2022_05_PHI_ARI
NYG,2022-10-09,24,Sun,5,5,@,GNB,W 27-22,24,8,12,4,11,6,54.5,1,0,0.0,2022,2022_05_NYG_GNB
GNB,2022-10-02,24,Sun,4,4,,NWE,W 27-24 (OT),24,10,12,2,14,6,42.9,1,1,100.0,2022,2022_04_GNB_NWE
LVR,2022-09-25,24,Sun,3,3,@,TEN,L 22-24,24,7,14,3,12,1,8.3,3,3,100.0,2022,2022_03_LVR_TEN
ATL,2022-09-25,24,Sun,3,3,@,SEA,W 27-23,24,8,13,3,7,4,57.1,0,0,,2022,2022_03_ATL_SEA
LAR,2022-09-18,24,Sun,2,2,,ATL,W 31-27,24,6,16,2,10,6,60.0,1,0,0.0,2022,2022_02_LAR_ATL
NYJ,2022-09-11,24,Sun,1,1,,BAL,L 9-24,24,3,18,3,14,2,14.3,4,3,75.0,2022,2022_01_NYJ_BAL
JAX,2022-09-11,24,Sun,1,1,@,WAS,L 22-28,24,6,13,5,12,3,25.0,1,0,0.0,2022,2022_01_JAX_WAS
CHI,2022-01-09,24,Sun,17,18,@,MIN,L 17-31,24,5,17,2,15,5,33.3,6,1,16.7,2021,2021_18_CHI_MIN
LVR,2022-01-09,24,Sun,17,18,,LAC,W 35-32 (OT),24,9,10,5,17,8,47.1,1,1,100.0,2021,2021_18_LVR_LAC
CLE,2022-01-09,24,Sun,17,18,,CIN,W 21-16,24,15,8,1,12,6,50.0,1,0,0.0,2021,2021_18_CLE_CIN
WAS,2022-01-02,24,Sun,16,17,,PHI,L 16-20,24,8,14,2,15,9,60.0,1,0,0.0,2021,2021_17_WAS_PHI
CHI,2021-12-20,24,Mon,14,15,,MIN,L 9-17,24,8,13,3,12,2,16.7,5,2,40.0,2021,2021_15_CHI_MIN
BAL,2021-12-19,24,Sun,14,15,,GNB,L 30-31,24,10,12,2,13,7,53.8,4,2,50.0,2021,2021_15_BAL_GNB
LAR,2021-12-05,24,Sun,12,13,,JAX,W 37-7,24,7,15,2,12,5,41.7,1,1,100.0,2021,2021_13_LAR_JAX
IND,2021-11-28,24,Sun,12,12,,TAM,L 31-38,24,8,15,1,11,5,45.5,2,2,100.0,2021,2021_12_IND_TAM
WAS,2021-11-21,24,Sun,10,11,@,CAR,W 27-21,24,12,10,2,13,6,46.2,2,2,100.0,2021,2021_11_WAS_CAR
CAR,2021-11-14,24,Sun,10,10,@,ARI,W 34-10,24,13,10,1,15,7,46.7,0,0,,2021,2021_10_CAR_ARI
MIN,2021-11-14,24,Sun,9,10,@,LAC,W 27-20,24,8,14,2,14,5,35.7,2,2,100.0,2021,2021_10_MIN_LAC
LVR,2021-11-07,24,Sun,8,9,@,NYG,L 16-23,24,8,15,1,12,4,33.3,1,1,100.0,2021,2021_09_LVR_NYG
BUF,2021-10-31,24,Sun,7,8,,MIA,W 26-11,24,5,15,4,13,6,46.2,1,0,0.0,2021,2021_08_BUF_MIA
IND,2021-10-31,24,Sun,8,8,,TEN,L 31-34 (OT),24,9,10,5,16,7,43.8,3,2,66.7,2021,2021_08_IND_TEN
GNB,2021-10-28,24,Thu,8,8,@,ARI,W 24-21,24,11,10,3,14,6,42.9,4,2,50.0,2021,2021_08_GNB_ARI
ARI,2021-10-24,24,Sun,7,7,,HOU,W 31-5,24,7,15,2,12,6,50.0,1,1,100.0,2021,2021_07_ARI_HOU
TEN,2021-10-24,24,Sun,7,7,,KAN,W 27-3,24,9,13,2,12,8,66.7,0,0,,2021,2021_07_TEN_KAN
ARI,2021-10-17,24,Sun,6,6,@,CLE,W 37-14,24,8,11,5,15,8,53.3,1,1,100.0,2021,2021_06_ARI_CLE
JAX,2021-10-10,24,Sun,5,5,,TEN,L 19-37,24,9,12,3,10,3,30.0,3,1,33.3,2021,2021_05_JAX_TEN
LAR,2021-10-07,24,Thu,5,5,@,SEA,W 26-17,24,8,16,0,10,2,20.0,1,1,100.0,2021,2021_05_LAR_SEA
LAR,2021-10-03,24,Sun,4,4,,ARI,L 20-37,24,8,13,3,11,6,54.5,1,0,0.0,2021,2021_04_LAR_ARI
CAR,2021-10-03,24,Sun,4,4,@,DAL,L 28-36,24,9,13,2,13,4,30.8,3,3,100.0,2021,2021_04_CAR_DAL
ATL,2021-10-03,24,Sun,4,4,,WAS,L 30-34,24,6,15,3,16,10,62.5,0,0,,2021,2021_04_ATL_WAS
DAL,2021-10-03,24,Sun,4,4,,CAR,W 36-28,24,12,10,2,9,3,33.3,1,1,100.0,2021,2021_04_DAL_CAR
TEN,2021-09-26,24,Sun,3,3,,IND,W 25-16,24,10,11,3,12,6,50.0,1,1,100.0,2021,2021_03_TEN_IND
LAC,2021-09-19,24,Sun,2,2,,DAL,L 17-20,24,7,13,4,12,5,41.7,1,1,100.0,2021,2021_02_LAC_DAL
CLE,2021-09-12,24,Sun,1,1,@,KAN,L 29-33,24,9,14,1,7,2,28.6,4,3,75.0,2021,2021_01_CLE_KAN
NWE,2021-09-12,24,Sun,1,1,,MIA,L 16-17,24,8,14,2,16,11,68.8,0,0,,2021,2021_01_NWE_MIA
DEN,2021-09-12,24,Sun,1,1,@,NYG,W 27-13,24,4,17,3,15,7,46.7,3,3,100.0,2021,2021_01_DEN_NYG
CHI,2021-09-12,24,Sun,1,1,@,LAR,L 14-34,24,10,13,1,11,5,45.5,4,0,0.0,2021,2021_01_CHI_LAR
PHI,2021-09-12,24,Sun,1,1,@,ATL,W 32-6,24,10,13,1,13,6,46.2,2,0,0.0,2021,2021_01_PHI_ATL
MIN,2021-09-12,24,Sun,1,1,@,CIN,L 24-27 (OT),24,5,16,3,16,6,37.5,2,2,100.0,2021,2021_01_MIN_CIN
TAM,2021-09-09,24,Thu,1,1,,DAL,W 31-29,24,1,22,1,11,5,45.5,0,0,,2021,2021_01_TAM_DAL
BAL,2021-01-03,24,Sun,16,17,@,CIN,W 38-3,24,19,5,0,17,11,64.7,2,1,50.0,2020,2020_17_BAL_CIN
BUF,2021-01-03,24,Sun,16,17,,MIA,W 56-26,24,4,19,1,10,4,40.0,0,0,,2020,2020_17_BUF_MIA
DEN,2021-01-03,24,Sun,16,17,,LVR,L 31-32,24,5,15,4,16,7,43.8,1,0,0.0,2020,2020_17_DEN_LVR
PHI,2020-12-27,24,Sun,15,16,@,DAL,L 17-37,24,9,12,3,17,7,41.2,2,1,50.0,2020,2020_16_PHI_DAL
NYG,2020-12-27,24,Sun,15,16,@,BAL,L 13-27,24,4,16,4,10,1,10.0,3,1,33.3,2020,2020_16_NYG_BAL
CLE,2020-12-20,24,Sun,14,15,@,NYG,W 20-6,24,8,16,0,13,9,69.2,1,0,0.0,2020,2020_15_CLE_NYG
SFO,2020-12-07,24,Mon,12,13,,BUF,L 24-34,24,5,18,1,11,6,54.5,1,0,0.0,2020,2020_13_SFO_BUF
DET,2020-12-06,24,Sun,12,13,@,CHI,W 34-30,24,5,18,1,11,6,54.5,2,1,50.0,2020,2020_13_DET_CHI
LVR,2020-12-06,24,Sun,12,13,@,NYJ,W 31-28,24,4,17,3,14,6,42.9,1,0,0.0,2020,2020_13_LVR_NYJ
NYJ,2020-12-06,24,Sun,12,13,,LVR,L 28-31,24,11,11,2,9,5,55.6,0,0,,2020,2020_13_NYJ_LVR
LAC,2020-11-29,24,Sun,11,12,@,BUF,L 17-27,24,5,16,3,16,3,18.8,5,4,80.0,2020,2020_12_LAC_BUF
NOR,2020-11-22,24,Sun,10,11,,ATL,W 24-9,24,12,9,3,11,4,36.4,1,1,100.0,2020,2020_11_NOR_ATL
MIN,2020-11-22,24,Sun,10,11,,DAL,L 28-31,24,9,14,1,10,6,60.0,1,0,0.0,2020,2020_11_MIN_DAL
DAL,2020-11-22,24,Sun,10,11,@,MIN,W 31-28,24,9,13,2,11,5,45.5,3,2,66.7,2020,2020_11_DAL_MIN
ARI,2020-11-19,24,Thu,10,11,@,SEA,L 21-28,24,5,17,2,11,6,54.5,1,0,0.0,2020,2020_11_ARI_SEA
LAR,2020-11-15,24,Sun,9,10,,SEA,W 23-16,24,8,15,1,15,9,60.0,1,1,100.0,2020,2020_10_LAR_SEA
KAN,2020-11-08,24,Sun,9,9,,CAR,W 33-31,24,3,18,3,11,6,54.5,0,0,,2020,2020_09_KAN_CAR
MIA,2020-11-08,24,Sun,8,9,@,ARI,W 34-31,24,8,12,4,8,4,50.0,0,0,,2020,2020_09_MIA_ARI
NYG,2020-11-02,24,Mon,8,8,,TAM,L 23-25,24,6,17,1,11,4,36.4,2,2,100.0,2020,2020_08_NYG_TAM
LVR,2020-11-01,24,Sun,7,8,@,CLE,W 16-6,24,15,7,2,14,8,57.1,2,2,100.0,2020,2020_08_LVR_CLE
GNB,2020-11-01,24,Sun,7,8,,MIN,L 22-28,24,5,17,2,11,5,45.5,5,3,60.0,2020,2020_08_GNB_MIN
SFO,2020-11-01,24,Sun,8,8,@,SEA,L 27-37,24,6,16,2,13,6,46.2,2,2,100.0,2020,2020_08_SFO_SEA
LAR,2020-10-26,24,Mon,7,7,,CHI,W 24-10,24,9,12,3,13,4,30.8,0,0,,2020,2020_07_LAR_CHI
DEN,2020-10-25,24,Sun,6,7,,KAN,L 16-43,24,12,11,1,14,5,35.7,2,0,0.0,2020,2020_07_DEN_KAN
ATL,2020-10-18,24,Sun,6,6,@,MIN,W 40-23,24,5,17,2,17,9,52.9,3,3,100.0,2020,2020_06_ATL_MIN
WAS,2020-10-18,24,Sun,6,6,@,NYG,L 19-20,24,6,16,2,15,8,53.3,2,2,100.0,2020,2020_06_WAS_NYG
SFO,2020-10-18,24,Sun,6,6,,LAR,W 24-16,24,6,16,2,13,5,38.5,1,1,100.0,2020,2020_06_SFO_LAR
CAR,2020-10-11,24,Sun,5,5,@,ATL,W 23-16,24,5,18,1,12,6,50.0,0,0,,2020,2020_05_CAR_ATL
HOU,2020-10-11,24,Sun,5,5,,JAX,W 30-14,24,7,16,1,10,5,50.0,1,1,100.0,2020,2020_05_HOU_JAX
ATL,2020-10-05,24,Mon,4,4,@,GNB,L 16-30,24,8,15,1,12,3,25.0,4,2,50.0,2020,2020_04_ATL_GNB
LVR,2020-10-04,24,Sun,4,4,,BUF,L 23-30,24,7,16,1,14,8,57.1,2,1,50.0,2020,2020_04_LVR_BUF
MIN,2020-10-04,24,Sun,4,4,@,HOU,W 31-23,24,14,10,0,12,5,41.7,1,1,100.0,2020,2020_04_MIN_HOU
WAS,2020-10-04,24,Sun,4,4,,BAL,L 17-31,24,6,17,1,13,4,30.8,3,2,66.7,2020,2020_04_WAS_BAL
CHI,2020-09-27,24,Sun,3,3,@,ATL,W 30-26,24,8,14,2,15,4,26.7,2,1,50.0,2020,2020_03_CHI_ATL
GNB,2020-09-27,24,Sun,3,3,@,NOR,W 37-30,24,6,14,4,11,5,45.5,2,1,50.0,2020,2020_03_GNB_NOR
CIN,2020-09-27,24,Sun,3,3,@,PHI,T 23-23 (OT),24,2,19,3,13,3,23.1,0,0,,2020,2020_03_CIN_PHI
IND,2020-09-20,24,Sun,2,2,,MIN,W 28-11,24,11,10,3,11,3,27.3,1,1,100.0,2020,2020_02_IND_MIN
CAR,2020-09-20,24,Sun,2,2,@,TAM,L 17-31,24,5,18,1,11,6,54.5,2,1,50.0,2020,2020_02_CAR_TAM
DAL,2020-09-13,24,Sun,1,1,@,LAR,L 17-20,24,9,14,1,12,3,25.0,3,1,33.3,2020,2020_01_DAL_LAR
CHI,2019-12-29,24,Sun,16,17,@,MIN,W 21-19,24,10,13,1,16,7,43.8,2,1,50.0,2019,2019_17_CHI_MIN
LAR,2019-12-21,24,Sat,15,16,@,SFO,L 31-34,24,6,17,1,13,5,38.5,0,0,,2019,2019_16_LAR_SFO
TEN,2019-12-15,24,Sun,14,15,,HOU,L 21-24,24,7,15,2,10,4,40.0,2,1,50.0,2019,2019_15_TEN_HOU
NYG,2019-12-15,24,Sun,14,15,,MIA,W 36-20,24,9,12,3,11,5,45.5,0,0,,2019,2019_15_NYG_MIA
CHI,2019-12-05,24,Thu,13,14,,DAL,W 31-24,24,9,12,3,12,7,58.3,0,0,,2019,2019_14_CHI_DAL
SEA,2019-12-02,24,Mon,12,13,,MIN,W 37-30,24,16,7,1,15,7,46.7,1,1,100.0,2019,2019_13_SEA_MIN
DAL,2019-11-10,24,Sun,9,10,,MIN,L 24-28,24,0,22,2,15,9,60.0,2,0,0.0,2019,2019_10_DAL_MIN
ATL,2019-11-10,24,Sun,9,10,@,NOR,W 26-9,24,9,9,6,15,6,40.0,1,1,100.0,2019,2019_10_ATL_NOR
CLE,2019-11-10,24,Sun,9,10,,BUF,W 19-16,24,7,15,2,11,4,36.4,2,1,50.0,2019,2019_10_CLE_BUF
DAL,2019-11-04,24,Mon,8,9,@,NYG,W 37-18,24,11,10,3,11,4,36.4,0,0,,2019,2019_09_DAL_NYG
LAC,2019-11-03,24,Sun,9,9,,GNB,W 26-11,24,11,13,0,11,5,45.5,1,1,100.0,2019,2019_09_LAC_GNB
TEN,2019-11-03,24,Sun,9,9,@,CAR,L 20-30,24,5,17,2,10,3,30.0,1,1,100.0,2019,2019_09_TEN_CAR
SFO,2019-10-27,24,Sun,7,8,,CAR,W 51-13,24,10,12,2,10,5,50.0,0,0,,2019,2019_08_SFO_CAR
NYG,2019-10-27,24,Sun,8,8,@,DET,L 26-31,24,5,15,4,12,7,58.3,2,0,0.0,2019,2019_08_NYG_DET
CIN,2019-10-27,24,Sun,8,8,@,LAR,L 10-24,24,5,15,4,18,6,33.3,6,4,66.7,2019,2019_08_CIN_LAR
LAC,2019-10-20,24,Sun,7,7,@,TEN,L 20-23,24,2,19,3,11,6,54.5,1,0,0.0,2019,2019_07_LAC_TEN
MIA,2019-10-20,24,Sun,6,7,@,BUF,L 21-31,24,8,13,3,13,7,53.8,2,2,100.0,2019,2019_07_MIA_BUF
NOR,2019-10-20,24,Sun,7,7,@,CHI,W 36-25,24,9,14,1,15,7,46.7,0,0,,2019,2019_07_NOR_CHI
ARI,2019-10-13,24,Sun,6,6,,ATL,W 34-33,24,6,16,2,13,7,53.8,1,1,100.0,2019,2019_06_ARI_ATL
GNB,2019-10-06,24,Sun,5,5,@,DAL,W 34-24,24,11,9,4,12,3,25.0,0,0,,2019,2019_05_GNB_DAL
LAR,2019-10-03,24,Thu,5,5,@,SEA,L 29-30,24,5,18,1,11,3,27.3,0,0,,2019,2019_05_LAR_SEA
BAL,2019-09-29,24,Sun,4,4,,CLE,L 25-40,24,11,12,1,10,4,40.0,2,1,50.0,2019,2019_04_BAL_CLE
LAC,2019-09-29,24,Sun,4,4,@,MIA,W 30-10,24,6,16,2,13,8,61.5,1,0,0.0,2019,2019_04_LAC_MIA
ATL,2019-09-29,24,Sun,4,4,,TEN,L 10-24,24,5,17,2,14,5,35.7,4,1,25.0,2019,2019_04_ATL_TEN
NYG,2019-09-29,24,Sun,4,4,,WAS,W 24-3,24,7,13,4,13,8,61.5,1,1,100.0,2019,2019_04_NYG_WAS
PHI,2019-09-26,24,Thu,4,4,@,GNB,W 34-27,24,10,12,2,9,5,55.6,0,0,,2019,2019_04_PHI_GNB
TAM,2019-09-22,24,Sun,3,3,,NYG,L 31-32,24,6,16,2,14,4,28.6,1,1,100.0,2019,2019_03_TAM_NYG
BUF,2019-09-15,24,Sun,2,2,@,NYG,W 28-14,24,8,13,3,13,5,38.5,0,0,,2019,2019_02_BUF_NYG
KAN,2019-09-15,24,Sun,2,2,@,OAK,W 28-10,24,2,18,4,14,8,57.1,0,0,,2019,2019_02_KAN_OAK
KAN,2019-09-08,24,Sun,1,1,@,JAX,W 40-26,24,9,13,2,10,5,50.0,0,0,,2019,2019_01_KAN_JAX
NWE,2019-09-08,24,Sun,1,1,,PIT,W 33-3,24,8,15,1,14,7,50.0,0,0,,2019,2019_01_NWE_PIT
BAL,2018-12-30,24,Sun,16,17,,CLE,W 26-24,24,16,6,2,13,3,23.1,1,1,100.0,2018,2018_17_BAL_CLE
NWE,2018-12-30,24,Sun,16,17,,NYJ,W 38-3,24,9,14,1,11,5,45.5,1,0,0.0,2018,2018_17_NWE_NYJ
IND,2018-12-30,24,Sun,16,17,@,TEN,W 33-17,24,8,15,1,13,5,38.5,1,1,100.0,2018,2018_17_IND_TEN
NOR,2018-12-23,24,Sun,15,16,,PIT,W 31-28,24,5,16,3,12,6,50.0,0,0,,2018,2018_16_NOR_PIT
PIT,2018-12-16,24,Sun,14,15,,NWE,W 17-10,24,9,13,2,9,4,44.4,0,0,,2018,2018_15_PIT_NWE
BAL,2018-12-16,24,Sun,14,15,,TAM,W 20-12,24,16,7,1,16,9,56.3,1,1,100.0,2018,2018_15_BAL_TAM
SFO,2018-12-09,24,Sun,13,14,,DEN,W 20-14,24,3,15,6,13,4,30.8,1,0,0.0,2018,2018_14_SFO_DEN
IND,2018-12-09,24,Sun,13,14,@,HOU,W 24-21,24,4,17,3,12,4,33.3,0,0,,2018,2018_14_IND_HOU
BAL,2018-12-09,24,Sun,13,14,@,KAN,L 24-27 (OT),24,10,12,2,12,5,41.7,3,1,33.3,2018,2018_14_BAL_KAN
BUF,2018-12-09,24,Sun,13,14,,NYJ,L 23-27,24,10,9,5,14,7,50.0,0,0,,2018,2018_14_BUF_NYJ
PIT,2018-12-09,24,Sun,13,14,@,OAK,L 21-24,24,3,17,4,11,6,54.5,1,0,0.0,2018,2018_14_PIT_OAK
LAR,2018-12-02,24,Sun,12,13,@,DET,W 30-16,24,9,12,3,11,5,45.5,0,0,,2018,2018_13_LAR_DET
BUF,2018-12-02,24,Sun,12,13,@,MIA,L 17-21,24,10,10,4,13,5,38.5,1,0,0.0,2018,2018_13_BUF_MIA
SFO,2018-12-02,24,Sun,12,13,@,SEA,L 16-43,24,4,18,2,16,7,43.8,2,1,50.0,2018,2018_13_SFO_SEA
CLE,2018-11-25,24,Sun,11,12,@,CIN,W 35-20,24,7,14,3,10,5,50.0,1,1,100.0,2018,2018_12_CLE_CIN
CHI,2018-11-18,24,Sun,10,11,,MIN,W 25-20,24,8,12,4,12,6,50.0,0,0,,2018,2018_11_CHI_MIN
SFO,2018-11-12,24,Mon,10,10,,NYG,L 23-27,24,6,14,4,13,8,61.5,0,0,,2018,2018_10_SFO_NYG
DET,2018-11-11,24,Sun,9,10,@,CHI,L 22-34,24,7,14,3,15,4,26.7,5,4,80.0,2018,2018_10_DET_CHI
JAX,2018-11-11,24,Sun,9,10,@,IND,L 26-29,24,6,16,2,17,9,52.9,1,1,100.0,2018,2018_10_JAX_IND
TEN,2018-11-05,24,Mon,8,9,@,DAL,W 28-14,24,11,11,2,14,11,78.6,0,0,,2018,2018_09_TEN_DAL
DET,2018-10-21,24,Sun,6,7,@,MIA,W 32-21,24,12,10,2,8,2,25.0,1,1,100.0,2018,2018_07_DET_MIA
LAC,2018-10-14,24,Sun,6,6,@,CLE,W 38-14,24,15,7,2,9,1,11.1,0,0,,2018,2018_06_LAC_CLE
LAR,2018-10-14,24,Sun,6,6,@,DEN,W 23-20,24,13,9,2,17,8,47.1,1,1,100.0,2018,2018_06_LAR_DEN
IND,2018-10-14,24,Sun,6,6,@,NYJ,L 34-42,24,7,15,2,12,5,41.7,1,0,0.0,2018,2018_06_IND_NYJ
BAL,2018-09-30,24,Sun,4,4,@,PIT,W 26-14,24,6,17,1,17,8,47.1,1,1,100.0,2018,2018_04_BAL_PIT
ATL,2018-09-23,24,Sun,3,3,,NOR,L 37-43 (OT),24,1,19,4,11,4,36.4,0,0,,2018,2018_03_ATL_NOR
LAR,2018-09-16,24,Sun,2,2,,ARI,W 34-0,24,8,14,2,15,8,53.3,3,1,33.3,2018,2018_02_LAR_ARI
MIN,2018-09-16,24,Sun,2,2,@,GNB,T 29-29 (OT),24,3,20,1,14,7,50.0,0,0,,2018,2018_02_MIN_GNB
GNB,2018-09-16,24,Sun,2,2,,MIN,T 29-29 (OT),24,9,11,4,13,4,30.8,0,0,,2018,2018_02_GNB_MIN
KAN,2018-09-16,24,Sun,2,2,@,PIT,W 42-37,24,4,17,3,5,2,40.0,0,0,,2018,2018_02_KAN_PIT
PHI,2018-09-16,24,Sun,2,2,@,TAM,L 21-27,24,8,14,2,15,5,33.3,5,3,60.0,2018,2018_02_PHI_TAM
CIN,2018-09-13,24,Thu,2,2,,BAL,W 34-23,24,6,14,4,13,5,38.5,0,0,,2018,2018_02_CIN_BAL
IND,2018-09-09,24,Sun,1,1,,CIN,L 23-34,24,4,17,3,17,11,64.7,0,0,,2018,2018_01_IND_CIN
ATL,2017-12-18,24,Mon,14,15,@,TAM,W 24-21,24,13,10,1,15,9,60.0,0,0,,2017,2017_15_ATL_TAM
GNB,2017-12-17,24,Sun,14,15,@,CAR,L 24-31,24,9,13,2,11,4,36.4,3,2,66.7,2017,2017_15_GNB_CAR
GNB,2017-12-10,24,Sun,13,14,@,CLE,W 27-21 (OT),24,7,14,3,16,8,50.0,3,2,66.7,2017,2017_14_GNB_CLE
LAC,2017-12-10,24,Sun,13,14,,WAS,W 30-13,24,7,14,3,15,6,40.0,0,0,,2017,2017_14_LAC_WAS
PIT,2017-12-04,24,Mon,12,13,@,CIN,W 23-20,24,5,15,4,12,4,33.3,1,1,100.0,2017,2017_13_PIT_CIN
BAL,2017-12-03,24,Sun,12,13,,DET,W 44-20,24,8,13,3,12,5,41.7,0,0,,2017,2017_13_BAL_DET
HOU,2017-12-03,24,Sun,12,13,@,TEN,L 13-24,24,3,17,4,16,8,50.0,1,1,100.0,2017,2017_13_HOU_TEN
PHI,2017-11-26,24,Sun,11,12,,CHI,W 31-3,24,8,14,2,16,7,43.8,4,3,75.0,2017,2017_12_PHI_CHI
LAR,2017-11-26,24,Sun,11,12,,NOR,W 26-20,24,6,14,4,14,3,21.4,0,0,,2017,2017_12_LAR_NOR
CHI,2017-11-19,24,Sun,10,11,,DET,L 24-27,24,11,11,2,9,3,33.3,1,1,100.0,2017,2017_11_CHI_DET
WAS,2017-11-19,24,Sun,10,11,@,NOR,L 31-34 (OT),24,6,15,3,12,4,33.3,2,2,100.0,2017,2017_11_WAS_NOR
WAS,2017-11-12,24,Sun,9,10,,MIN,L 30-38,24,7,16,1,14,5,35.7,5,3,60.0,2017,2017_10_WAS_MIN
ARI,2017-11-09,24,Thu,9,10,,SEA,L 16-22,24,2,16,6,15,6,40.0,3,1,33.3,2017,2017_10_ARI_SEA
DET,2017-11-06,24,Mon,8,9,@,GNB,W 30-17,24,4,19,1,13,8,61.5,0,0,,2017,2017_09_DET_GNB
DAL,2017-11-05,24,Sun,8,9,,KAN,W 28-17,24,10,13,1,12,7,58.3,0,0,,2017,2017_09_DAL_KAN
BAL,2017-11-05,24,Sun,9,9,@,TEN,L 20-23,24,4,19,1,16,6,37.5,4,3,75.0,2017,2017_09_BAL_TEN
MIN,2017-10-15,24,Sun,6,6,,GNB,W 23-10,24,7,13,4,12,4,33.3,1,0,0.0,2017,2017_06_MIN_GNB
NWE,2017-10-01,24,Sun,4,4,,CAR,L 30-33,24,5,18,1,14,7,50.0,2,2,100.0,2017,2017_04_NWE_CAR
LAR,2017-10-01,24,Sun,4,4,@,DAL,W 35-30,24,9,14,1,13,5,38.5,0,0,,2017,2017_04_LAR_DAL
NYG,2017-10-01,24,Sun,4,4,@,TAM,L 23-25,24,5,17,2,17,8,47.1,1,0,0.0,2017,2017_04_NYG_TAM
LAC,2017-09-24,24,Sun,3,3,,KAN,L 10-24,24,5,13,6,13,5,38.5,0,0,,2017,2017_03_LAC_KAN
PHI,2017-09-24,24,Sun,3,3,,NYG,W 27-24,24,13,8,3,14,5,35.7,3,2,66.7,2017,2017_03_PHI_NYG
JAX,2017-09-24,24,Sun,3,3,,BAL,W 44-7,24,7,13,4,12,3,25.0,2,2,100.0,2017,2017_03_JAX_BAL
SEA,2017-09-24,24,Sun,3,3,@,TEN,L 27-33,24,4,20,0,14,4,28.6,2,1,50.0,2017,2017_03_SEA_TEN
GNB,2017-09-17,24,Sun,2,2,@,ATL,L 23-34,24,4,18,2,12,5,41.7,3,3,100.0,2017,2017_02_GNB_ATL
BAL,2017-09-17,24,Sun,2,2,,CLE,W 24-10,24,7,16,1,11,4,36.4,0,0,,2017,2017_02_BAL_CLE
LAC,2017-09-17,24,Sun,2,2,,MIA,L 17-19,24,3,19,2,8,2,25.0,0,0,,2017,2017_02_LAC_MIA
ARI,2017-09-10,24,Sun,1,1,@,DET,L 23-35,24,4,15,5,15,6,40.0,1,1,100.0,2017,2017_01_ARI_DET
PIT,2023-01-08,23,Sun,17,18,,CLE,W 28-14,23,10,10,3,15,9,60.0,0,0,,2022,2022_18_PIT_CLE
PHI,2023-01-08,23,Sun,17,18,,NYG,W 22-16,23,11,11,1,14,5,35.7,0,0,,2022,2022_18_PHI_NYG
MIN,2022-12-24,23,Sat,15,16,,NYG,W 27-24,23,4,17,2,13,6,46.2,1,0,0.0,2022,2022_16_MIN_NYG
NYG,2022-12-24,23,Sat,15,16,@,MIN,L 24-27,23,6,15,2,11,3,27.3,1,1,100.0,2022,2022_16_NYG_MIN
DEN,2022-12-18,23,Sun,14,15,,ARI,W 24-15,23,12,10,1,11,4,36.4,0,0,,2022,2022_15_DEN_ARI
LAC,2022-12-18,23,Sun,14,15,,TEN,W 17-14,23,8,13,2,13,4,30.8,2,2,100.0,2022,2022_15_LAC_TEN
CIN,2022-12-11,23,Sun,13,14,,CLE,W 23-10,23,8,11,4,15,6,40.0,0,0,,2022,2022_14_CIN_CLE
PIT,2022-12-11,23,Sun,13,14,,BAL,L 14-16,23,3,16,4,8,4,50.0,0,0,,2022,2022_14_PIT_BAL
DET,2022-12-11,23,Sun,13,14,,MIN,W 34-23,23,4,18,1,15,7,46.7,2,1,50.0,2022,2022_14_DET_MIN
MIN,2022-12-11,23,Sun,13,14,@,DET,L 23-34,23,2,18,3,10,4,40.0,2,1,50.0,2022,2022_14_MIN_DET
NYJ,2022-12-04,23,Sun,12,13,@,MIN,L 22-27,23,6,15,2,16,3,18.8,5,2,40.0,2022,2022_13_NYJ_MIN
DAL,2022-12-04,23,Sun,12,13,,IND,W 54-19,23,10,11,2,13,7,53.8,1,1,100.0,2022,2022_13_DAL_IND
MIN,2022-11-24,23,Thu,11,12,,NWE,W 33-26,23,2,16,5,15,8,53.3,0,0,,2022,2022_12_MIN_NWE
DET,2022-11-20,23,Sun,10,11,@,NYG,W 31-18,23,12,9,2,13,6,46.2,0,0,,2022,2022_11_DET_NYG
DAL,2022-11-20,23,Sun,10,11,@,MIN,W 40-3,23,12,11,0,17,12,70.6,0,0,,2022,2022_11_DAL_MIN
KAN,2022-11-20,23,Sun,10,11,@,LAC,W 30-27,23,7,15,1,10,5,50.0,0,0,,2022,2022_11_KAN_LAC
BAL,2022-11-07,23,Mon,9,9,@,NOR,W 27-13,23,14,7,2,15,9,60.0,0,0,,2022,2022_09_BAL_NOR
CHI,2022-11-06,23,Sun,9,9,,MIA,L 32-35,23,15,7,1,16,10,62.5,2,1,50.0,2022,2022_09_CHI_MIA
CAR,2022-10-30,23,Sun,8,8,@,ATL,L 34-37 (OT),23,10,12,1,13,5,38.5,2,1,50.0,2022,2022_08_CAR_ATL
KAN,2022-10-16,23,Sun,6,6,,BUF,L 20-24,23,4,16,3,11,4,36.4,1,1,100.0,2022,2022_06_KAN_BUF
BAL,2022-10-16,23,Sun,6,6,@,NYG,L 20-24,23,10,13,0,10,4,40.0,0,0,,2022,2022_06_BAL_NYG
