Team,Date,1stD,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Season,game_id
DET,2023-01-01,26,Sun,16,17,,CHI,W 41-10,26,11,14,1,12,4,33.3,1,0,0.0,2022,2022_17_DET_CHI
NYG,2023-01-01,26,Sun,16,17,,IND,W 38-10,26,14,9,3,7,4,57.1,1,0,0.0,2022,2022_17_NYG_IND
DAL,2022-12-29,26,Thu,16,17,@,TEN,W 27-13,26,5,16,5,13,8,61.5,0,0,,2022,2022_17_DAL_TEN
LAR,2022-12-25,26,Sun,15,16,,DEN,W 51-14,26,11,14,1,10,6,60.0,1,1,100.0,2022,2022_16_LAR_DEN
JAX,2022-12-18,26,Sun,14,15,,DAL,W 40-34 (OT),26,13,13,0,12,8,66.7,0,0,,2022,2022_15_JAX_DAL
CIN,2022-12-04,26,Sun,12,13,,KAN,W 27-24,26,8,15,3,11,7,63.6,1,0,0.0,2022,2022_13_CIN_KAN
PHI,2022-12-04,26,Sun,12,13,,TEN,W 35-10,26,7,16,3,11,3,27.3,3,3,100.0,2022,2022_13_PHI_TEN
DAL,2022-11-24,26,Thu,11,12,,NYG,W 28-20,26,10,13,3,11,7,63.6,1,0,0.0,2022,2022_12_DAL_NYG
TAM,2022-11-13,26,Sun,10,10,,SEA,W 21-16,26,10,15,1,15,10,66.7,0,0,,2022,2022_10_TAM_SEA
KAN,2022-11-13,26,Sun,9,10,,JAX,W 27-17,26,7,17,2,10,7,70.0,1,1,100.0,2022,2022_10_KAN_JAX
BUF,2022-10-16,26,Sun,6,6,@,KAN,W 24-20,26,7,18,1,11,4,36.4,3,1,33.3,2022,2022_06_BUF_KAN
LAC,2022-10-09,26,Sun,5,5,@,CLE,W 30-28,26,9,13,4,10,3,30.0,2,0,0.0,2022,2022_05_LAC_CLE
TAM,2022-10-09,26,Sun,5,5,,ATL,W 21-15,26,7,17,2,16,9,56.3,1,0,0.0,2022,2022_05_TAM_ATL
NOR,2022-10-09,26,Sun,5,5,,SEA,W 39-32,26,14,9,3,14,8,57.1,0,0,,2022,2022_05_NOR_SEA
GNB,2022-09-18,26,Sun,2,2,,CHI,W 27-10,26,13,10,3,9,5,55.6,0,0,,2022,2022_02_GNB_CHI
WAS,2022-09-11,26,Sun,1,1,,JAX,W 28-22,26,7,16,3,10,7,70.0,0,0,,2022,2022_01_WAS_JAX
ATL,2022-09-11,26,Sun,1,1,,NOR,L 26-27,26,13,8,5,13,5,38.5,0,0,,2022,2022_01_ATL_NOR
TAM,2022-01-02,26,Sun,16,17,@,NYJ,W 28-24,26,4,21,1,15,9,60.0,1,1,100.0,2021,2021_17_TAM_NYJ
