,game_id,season,week,team,opponent,score,home,ewma_dynamic_window_rushing_offense_team,ewma_dynamic_window_passing_offense_team,ewma_dynamic_window_rushing_defense_team,ewma_dynamic_window_passing_defense_team,ewma_dynamic_window_rushing_offense_opp,ewma_dynamic_window_passing_offense_opp,ewma_dynamic_window_rushing_defense_opp,ewma_dynamic_window_passing_defense_opp,team_id,rest_differential,windy,div_game,spread_line,implied_points,total_line,game_type,location,total
34,2020_02_BAL_HOU,2020,2,HOU,BAL,16,1,0.2417758852243423,0.0950789898633956,0.0098464451730251,0.4238736033439636,-0.0708784759044647,0.4914508461952209,-0.2141666263341903,-0.2596791088581085,2020_02_BAL_HOU_H,3,0,0,-7.5,28.5,49.5,REG,Home,49.0
35,2020_02_BAL_HOU,2020,2,BAL,HOU,33,0,-0.0708784759044647,0.4914508461952209,-0.2141666263341903,-0.2596791088581085,0.2417758852243423,0.0950789898633956,0.0098464451730251,0.4238736033439636,2020_02_BAL_HOU_A,-3,0,0,7.5,21.0,49.5,REG,Home,49.0
36,2020_02_BUF_MIA,2020,2,MIA,BUF,28,1,-0.0561055578291416,-0.2718583941459656,0.323581337928772,-0.1621844619512558,-0.4101540744304657,0.2816532254219055,0.0145515762269496,-0.2278630137443542,2020_02_BUF_MIA_H,0,0,1,-5.5,24.0,42.5,REG,Home,59.0
37,2020_02_BUF_MIA,2020,2,BUF,MIA,31,0,-0.4101540744304657,0.2816532254219055,0.0145515762269496,-0.2278630137443542,-0.0561055578291416,-0.2718583941459656,0.323581337928772,-0.1621844619512558,2020_02_BUF_MIA_A,0,0,1,5.5,18.5,42.5,REG,Home,59.0
38,2020_02_CAR_TB,2020,2,TB,CAR,31,1,0.003442698623985,-0.2610964179039001,-0.3993255496025085,-0.0199702382087707,0.0546014867722988,0.1771373003721237,0.1400983929634094,0.3577542603015899,2020_02_CAR_TB_H,0,1,1,7.5,19.75,47.0,REG,Home,48.0
39,2020_02_CAR_TB,2020,2,CAR,TB,17,0,0.0546014867722988,0.1771373003721237,0.1400983929634094,0.3577542603015899,0.003442698623985,-0.2610964179039001,-0.3993255496025085,-0.0199702382087707,2020_02_CAR_TB_A,0,1,1,-7.5,27.25,47.0,REG,Home,48.0
40,2020_02_CIN_CLE,2020,2,CLE,CIN,35,1,-0.2141666263341903,-0.2596791088581085,-0.0708784759044647,0.4914508461952209,-0.3028436005115509,-0.1627080142498016,-0.1545537263154983,-0.0059760399162769,2020_02_CIN_CLE_H,0,0,1,6.0,19.25,44.5,REG,Home,65.0
41,2020_02_CIN_CLE,2020,2,CIN,CLE,30,0,-0.3028436005115509,-0.1627080142498016,-0.1545537263154983,-0.0059760399162769,-0.2141666263341903,-0.2596791088581085,-0.0708784759044647,0.4914508461952209,2020_02_CIN_CLE_A,0,0,1,-6.0,25.25,44.5,REG,Home,65.0
42,2020_02_DEN_PIT,2020,2,PIT,DEN,26,1,-0.1793250292539596,0.4441481232643127,-0.3948870003223419,-0.0285521298646926,0.0717189982533454,-0.2082296013832092,-0.0508419536054134,0.2250177413225174,2020_02_DEN_PIT_H,0,0,0,6.0,17.5,41.0,REG,Home,47.0
43,2020_02_DEN_PIT,2020,2,DEN,PIT,21,0,0.0717189982533454,-0.2082296013832092,-0.0508419536054134,0.2250177413225174,-0.1793250292539596,0.4441481232643127,-0.3948870003223419,-0.0285521298646926,2020_02_DEN_PIT_A,0,0,0,-6.0,23.5,41.0,REG,Home,47.0
44,2020_02_DET_GB,2020,2,GB,DET,42,1,0.1731917113065719,0.4083625674247741,0.3500948250293731,0.2755977511405945,-0.104132130742073,0.0469232164323329,0.1688761562108993,0.0678285285830497,2020_02_DET_GB_H,0,0,1,7.0,22.0,51.0,REG,Home,63.0
45,2020_02_DET_GB,2020,2,DET,GB,21,0,-0.104132130742073,0.0469232164323329,0.1688761562108993,0.0678285285830497,0.1731917113065719,0.4083625674247741,0.3500948250293731,0.2755977511405945,2020_02_DET_GB_A,0,0,1,-7.0,29.0,51.0,REG,Home,63.0
46,2020_02_JAX_TEN,2020,2,TEN,JAX,33,1,-0.0508419536054134,0.2250177413225174,0.0717189982533454,-0.2082296013832092,-0.1016568914055824,0.3538406789302826,-0.2795298099517822,0.1686866581439972,2020_02_JAX_TEN_H,-1,0,1,7.0,18.75,44.5,REG,Home,63.0
47,2020_02_JAX_TEN,2020,2,JAX,TEN,30,0,-0.1016568914055824,0.3538406789302826,-0.2795298099517822,0.1686866581439972,-0.0508419536054134,0.2250177413225174,0.0717189982533454,-0.2082296013832092,2020_02_JAX_TEN_A,1,0,1,-7.0,25.75,44.5,REG,Home,63.0
48,2020_02_KC_LAC,2020,2,LAC,KC,20,1,-0.1545537263154983,-0.0059760399162769,-0.3028436005115509,-0.1627080142498016,0.0098464451730251,0.4238736033439636,0.2417758852243423,0.0950789898633956,2020_02_KC_LAC_H,-3,0,1,-8.5,27.75,47.0,REG,Home,43.0
49,2020_02_KC_LAC,2020,2,KC,LAC,23,0,0.0098464451730251,0.4238736033439636,0.2417758852243423,0.0950789898633956,-0.1545537263154983,-0.0059760399162769,-0.3028436005115509,-0.1627080142498016,2020_02_KC_LAC_A,3,0,1,8.5,19.25,47.0,REG,Home,43.0
50,2020_02_LA_PHI,2020,2,PHI,LA,19,1,-0.0538183860480785,-0.3915191292762756,-0.2888822555541992,-0.1017234474420547,-0.081234835088253,0.1544686555862426,0.1356198191642761,-0.1197732388973236,2020_02_LA_PHI_H,0,0,0,2.0,22.0,46.0,REG,Home,56.0
51,2020_02_LA_PHI,2020,2,LA,PHI,37,0,-0.081234835088253,0.1544686555862426,0.1356198191642761,-0.1197732388973236,-0.0538183860480785,-0.3915191292762756,-0.2888822555541992,-0.1017234474420547,2020_02_LA_PHI_A,0,0,0,-2.0,24.0,46.0,REG,Home,56.0
52,2020_02_MIN_IND,2020,2,IND,MIN,28,1,-0.2795298099517822,0.1686866581439972,-0.1016568914055824,0.3538406789302826,0.3500948250293731,0.2755977511405945,0.1731917113065719,0.4083625674247741,2020_02_MIN_IND_H,0,0,0,3.5,22.75,49.0,REG,Home,39.0
53,2020_02_MIN_IND,2020,2,MIN,IND,11,0,0.3500948250293731,0.2755977511405945,0.1731917113065719,0.4083625674247741,-0.2795298099517822,0.1686866581439972,-0.1016568914055824,0.3538406789302826,2020_02_MIN_IND_A,0,0,0,-3.5,26.25,49.0,REG,Home,39.0
