,index,game_id,line
0,2059,2017_01_ARI_DET,2.0
1,2053,2017_01_ATL_CHI,6.5
2,2055,2017_01_BAL_CIN,-2.5
3,2071,2017_01_CAR_SF,5.5
4,2067,2017_01_IND_LA,-4.0
5,2060,2017_01_JAX_HOU,-5.0
6,2049,2017_01_KC_NE,-9.0
7,2076,2017_01_LAC_DEN,-3.0
8,2074,2017_01_NO_MIN,-3.0
9,2072,2017_01_NYG_DAL,-4.0
10,2050,2017_01_NYJ_BUF,-8.5
11,2063,2017_01_OAK_TEN,-2.5
12,2065,2017_01_PHI_WAS,1.0
13,2056,2017_01_PIT_CLE,8.5
14,2068,2017_01_SEA_GB,-3.0
15,2085,2017_02_ARI_IND,7.0
16,2083,2017_02_BUF_CAR,-7.0
17,2095,2017_02_CHI_TB,-7.0
18,2080,2017_02_CLE_BAL,-8.0
19,2101,2017_02_DAL_DEN,2.5
20,2109,2017_02_DET_NYG,-3.5
21,2106,2017_02_GB_ATL,-3.0
22,2078,2017_02_HOU_CIN,-6.5
23,2096,2017_02_MIA_LAC,-4.0
24,2093,2017_02_MIN_PIT,-5.5
25,2091,2017_02_NE_NO,6.5
26,2099,2017_02_NYJ_OAK,-14.0
27,2088,2017_02_PHI_KC,-5.5
28,2104,2017_02_SF_SEA,-14.0
29,2086,2017_02_TEN_JAX,2.5
30,2102,2017_02_WAS_LA,-2.5
31,2121,2017_03_ATL_DET,3.0
32,2113,2017_03_BAL_JAX,3.5
33,2135,2017_03_CIN_GB,-8.5
34,2123,2017_03_CLE_IND,1.0
35,2140,2017_03_DAL_ARI,3.0
36,2114,2017_03_DEN_BUF,3.0
37,2127,2017_03_HOU_NE,-13.5
38,2137,2017_03_KC_LAC,3.0
39,2111,2017_03_LA_SF,2.5
40,2129,2017_03_MIA_NYJ,6.0
41,2116,2017_03_NO_CAR,-5.5
42,2131,2017_03_NYG_PHI,-6.0
43,2139,2017_03_OAK_WAS,3.0
44,2118,2017_03_PIT_CHI,7.0
45,2133,2017_03_SEA_TEN,-3.0
46,2124,2017_03_TB_MIN,3.0
47,2146,2017_04_BUF_ATL,-7.5
48,2159,2017_04_CAR_NE,-9.0
49,2143,2017_04_CHI_GB,-7.0
50,2151,2017_04_CIN_CLE,3.0
51,2157,2017_04_DET_MIN,-2.5
52,2171,2017_04_IND_SEA,-13.0
53,2161,2017_04_JAX_NYJ,3.5
54,2152,2017_04_LA_DAL,-6.5
55,2144,2017_04_NO_MIA,3.0
56,2167,2017_04_NYG_TB,-3.0
57,2168,2017_04_OAK_DEN,-2.5
58,2164,2017_04_PHI_LAC,-1.5
59,2148,2017_04_PIT_BAL,3.0
60,2162,2017_04_SF_ARI,-6.5
61,2154,2017_04_TEN_HOU,1.5
62,2172,2017_04_WAS_KC,-6.5
63,2189,2017_05_ARI_PHI,-6.5
64,2195,2017_05_BAL_OAK,-2.5
65,2177,2017_05_BUF_CIN,-3.0
66,2181,2017_05_CAR_DET,-2.5
67,2196,2017_05_GB_DAL,-2.0
68,2191,2017_05_JAX_PIT,-8.0
69,2198,2017_05_KC_HOU,0.0
70,2187,2017_05_LAC_NYG,-3.5
71,2200,2017_05_MIN_CHI,3.0
72,2175,2017_05_NE_TB,5.5
73,2178,2017_05_NYJ_CLE,0.0
74,2192,2017_05_SEA_LA,-1.0
75,2182,2017_05_SF_IND,-1.5
76,2184,2017_05_TEN_MIA,3.0
77,2206,2017_06_CHI_BAL,-6.5
78,2209,2017_06_CLE_HOU,-9.5
79,2213,2017_06_DET_NO,-5.0
80,2211,2017_06_GB_MIN,3.0
81,2229,2017_06_IND_TEN,-6.5
82,2225,2017_06_LAC_OAK,-3.5
83,2220,2017_06_LA_JAX,-2.5
84,2204,2017_06_MIA_ATL,-11.5
85,2215,2017_06_NE_NYJ,9.0
86,2226,2017_06_NYG_DEN,-11.5
87,2202,2017_06_PHI_CAR,-3.5
88,2222,2017_06_PIT_KC,-4.5
89,2217,2017_06_SF_WAS,-10.0
90,2218,2017_06_TB_ARI,2.5
91,2243,2017_07_ARI_LA,-3.5
92,2257,2017_07_ATL_NE,-3.5
93,2247,2017_07_BAL_MIN,-5.5
94,2235,2017_07_CAR_CHI,3.0
95,2249,2017_07_CIN_PIT,-5.5
96,2251,2017_07_DAL_SF,6.5
97,2253,2017_07_DEN_LAC,-1.5
98,2240,2017_07_JAX_IND,3.5
99,2231,2017_07_KC_OAK,3.0
100,2238,2017_07_NO_GB,5.5
101,2244,2017_07_NYJ_MIA,-3.0
102,2254,2017_07_SEA_NYG,5.5
103,2232,2017_07_TB_BUF,-3.5
104,2236,2017_07_TEN_CLE,5.5
105,2258,2017_07_WAS_PHI,-5.0
106,2273,2017_08_ATL_NYJ,4.5
107,2277,2017_08_CAR_TB,-2.0
108,2271,2017_08_CHI_NO,-9.0
109,2281,2017_08_DAL_WAS,2.0
110,2285,2017_08_DEN_KC,-7.0
111,2279,2017_08_HOU_SEA,-5.5
112,2266,2017_08_IND_CIN,-10.5
113,2269,2017_08_LAC_NE,-7.0
114,2260,2017_08_MIA_BAL,-3.0
115,2262,2017_08_MIN_CLE,9.5
116,2264,2017_08_OAK_BUF,-2.5
117,2282,2017_08_PIT_DET,3.0
118,2274,2017_08_SF_PHI,-12.5
119,2303,2017_09_ARI_SF,2.0
120,2289,2017_09_ATL_CAR,-1.0
121,2301,2017_09_BAL_TEN,-5.0
122,2287,2017_09_BUF_NYJ,3.0
123,2293,2017_09_CIN_JAX,-5.0
124,2299,2017_09_DEN_PHI,-8.5
125,2311,2017_09_DET_GB,2.5
126,2290,2017_09_IND_HOU,-13.0
127,2306,2017_09_KC_DAL,1.0
128,2297,2017_09_LA_NYG,3.5
129,2308,2017_09_OAK_MIA,3.0
130,2294,2017_09_TB_NO,-7.0
131,2304,2017_09_WAS_SEA,-7.0
132,2327,2017_10_CIN_TEN,-4.5
133,2319,2017_10_CLE_DET,-12.0
