,index,game_id,line
0,23,2013_01_ARI_STL,-4.5
1,19,2013_01_ATL_NO,-3.0
2,1,2013_01_BAL_DEN,-7.5
3,6,2013_01_CIN_CHI,-3.0
4,25,2013_01_GB_SF,-4.5
5,31,2013_01_HOU_SD,4.0
6,14,2013_01_KC_JAX,4.0
7,8,2013_01_MIA_CLE,-1.0
8,10,2013_01_MIN_DET,-5.5
9,2,2013_01_NE_BUF,9.5
10,26,2013_01_NYG_DAL,-3.5
11,12,2013_01_OAK_IND,-9.5
12,29,2013_01_PHI_WAS,-3.5
13,4,2013_01_SEA_CAR,3.5
14,16,2013_01_TB_NYJ,3.5
15,20,2013_01_TEN_PIT,-7.0
16,38,2013_02_CAR_BUF,3.0
17,36,2013_02_CLE_BAL,-6.5
18,49,2013_02_DAL_KC,-3.0
19,57,2013_02_DEN_NYG,4.5
20,52,2013_02_DET_ARI,1.5
21,59,2013_02_JAX_OAK,-5.5
22,46,2013_02_MIA_IND,-2.5
23,40,2013_02_MIN_CHI,-6.0
24,55,2013_02_NO_TB,3.0
25,32,2013_02_NYJ_NE,-11.5
26,62,2013_02_PIT_CIN,-7.0
27,50,2013_02_SD_PHI,-7.5
28,60,2013_02_SF_SEA,-3.0
29,34,2013_02_STL_ATL,-6.5
30,44,2013_02_TEN_HOU,-9.0
31,42,2013_02_WAS_GB,-7.5
32,81,2013_03_ARI_NO,-7.0
33,73,2013_03_ATL_MIA,-2.5
34,77,2013_03_BUF_NYJ,-2.5
35,93,2013_03_CHI_PIT,2.5
36,75,2013_03_CLE_MIN,-5.5
37,85,2013_03_DET_WAS,-2.0
38,68,2013_03_GB_CIN,2.5
39,66,2013_03_HOU_BAL,2.5
40,89,2013_03_IND_SF,-10.0
41,91,2013_03_JAX_SEA,-19.0
42,65,2013_03_KC_PHI,-3.5
43,86,2013_03_NYG_CAR,-1.0
44,94,2013_03_OAK_DEN,-15.0
45,83,2013_03_SD_TEN,-3.0
46,70,2013_03_STL_DAL,-4.0
47,78,2013_03_TB_NE,-7.0
48,113,2013_04_ARI_TB,-2.5
49,99,2013_04_BAL_BUF,3.0
50,103,2013_04_CHI_DET,-3.0
51,101,2013_04_CIN_CLE,4.5
52,121,2013_04_DAL_SD,2.5
53,107,2013_04_IND_JAX,7.5
54,125,2013_04_MIA_NO,-6.5
55,122,2013_04_NE_ATL,-2.5
56,108,2013_04_NYG_KC,-4.0
57,115,2013_04_NYJ_TEN,-3.5
58,116,2013_04_PHI_DEN,-10.5
59,110,2013_04_PIT_MIN,2.5
60,104,2013_04_SEA_HOU,2.5
61,97,2013_04_SF_STL,3.0
62,118,2013_04_WAS_OAK,3.0
63,137,2013_05_BAL_MIA,-3.0
64,127,2013_05_BUF_CLE,-4.0
65,144,2013_05_CAR_ARI,2.0
66,146,2013_05_DEN_DAL,7.5
67,133,2013_05_DET_GB,-7.0
68,151,2013_05_HOU_SF,-6.5
69,141,2013_05_JAX_STL,-11.5
70,143,2013_05_KC_TEN,2.5
71,130,2013_05_NE_CIN,-2.0
72,128,2013_05_NO_CHI,0.0
73,152,2013_05_NYJ_ATL,-9.5
74,138,2013_05_PHI_NYG,-2.5
75,148,2013_05_SD_OAK,4.5
76,134,2013_05_SEA_IND,3.0
77,179,2013_06_ARI_SF,-11.0
78,167,2013_06_CAR_MIN,-2.5
79,158,2013_06_CIN_BUF,7.0
80,160,2013_06_DET_CLE,2.5
81,156,2013_06_GB_BAL,2.5
82,183,2013_06_IND_SD,1.5
83,172,2013_06_JAX_DEN,-26.5
84,176,2013_06_NO_NE,-2.5
85,154,2013_06_NYG_CHI,-7.5
86,164,2013_06_OAK_KC,-8.5
87,171,2013_06_PHI_TB,1.5
88,168,2013_06_PIT_NYJ,-2.5
89,162,2013_06_STL_HOU,-7.5
90,174,2013_06_TEN_SEA,-13.5
91,180,2013_06_WAS_DAL,-5.5
92,209,2013_07_BAL_PIT,-2.0
93,199,2013_07_BUF_MIA,-8.0
94,205,2013_07_CHI_WAS,-1.0
95,191,2013_07_CIN_DET,-2.5
96,193,2013_07_CLE_GB,-10.0
97,203,2013_07_DAL_PHI,-3.0
98,211,2013_07_DEN_IND,6.5
99,197,2013_07_HOU_KC,-6.5
100,213,2013_07_MIN_NYG,-3.5
101,201,2013_07_NE_NYJ,4.0
102,194,2013_07_SD_JAX,7.5
103,184,2013_07_SEA_ARI,6.5
104,207,2013_07_SF_TEN,4.0
105,188,2013_07_STL_CAR,-6.0
106,186,2013_07_TB_ATL,-7.0
107,232,2013_08_ATL_ARI,-2.5
108,225,2013_08_BUF_NO,-11.5
109,215,2013_08_CAR_TB,6.0
110,221,2013_08_CLE_KC,-7.5
111,217,2013_08_DAL_DET,-3.5
112,237,2013_08_GB_MIN,9.5
113,223,2013_08_MIA_NE,-6.5
114,227,2013_08_NYG_PHI,-5.5
115,230,2013_08_NYJ_CIN,-6.5
116,228,2013_08_PIT_OAK,2.5
117,239,2013_08_SEA_STL,10.5
118,218,2013_08_SF_JAX,16.5
119,234,2013_08_WAS_DEN,-12.5
120,245,2013_09_ATL_CAR,-7.5
121,259,2013_09_BAL_CLE,2.5
122,265,2013_09_CHI_GB,-10.5
123,241,2013_09_CIN_MIA,2.5
124,262,2013_09_IND_HOU,2.5
125,242,2013_09_KC_BUF,3.0
126,246,2013_09_MIN_DAL,-10.0
127,249,2013_09_NO_NYJ,6.0
128,254,2013_09_PHI_OAK,-2.5
129,260,2013_09_PIT_NE,-6.5
130,253,2013_09_SD_WAS,1.0
131,256,2013_09_TB_SEA,-16.0
132,250,2013_09_TEN_STL,3.0
133,281,2013_10_BUF_PIT,-3.0
134,285,2013_10_CAR_SF,-6.0
135,270,2013_10_CIN_BAL,1.5
136,291,2013_10_DAL_NO,-6.5
137,289,2013_10_DEN_SD,7.0
138,272,2013_10_DET_CHI,2.5
139,286,2013_10_HOU_ARI,-2.5
140,283,2013_10_JAX_TEN,-11.5
141,293,2013_10_MIA_TB,2.5
142,278,2013_10_OAK_NYG,-7.0
143,274,2013_10_PHI_GB,-1.5
144,268,2013_10_SEA_ATL,6.0
145,276,2013_10_STL_IND,-9.5
146,266,2013_10_WAS_MIN,2.5
147,305,2013_11_ARI_JAX,7.0
148,313,2013_11_ATL_TB,1.5
149,299,2013_11_BAL_CHI,-3.0
150,300,2013_11_CLE_CIN,-5.5
151,311,2013_11_DET_PIT,2.5
152,321,2013_11_GB_NYG,-5.0
153,295,2013_11_IND_TEN,2.5
154,314,2013_11_KC_DEN,-8.0
155,319,2013_11_MIN_SEA,-12.5
156,322,2013_11_NE_CAR,-2.5
157,296,2013_11_NYJ_BUF,-1.0
158,302,2013_11_OAK_HOU,-7.0
159,306,2013_11_SD_MIA,1.5
160,316,2013_11_SF_NO,-3.0
161,308,2013_11_WAS_PHI,-3.5
162,339,2013_12_CAR_MIA,4.0
163,341,2013_12_CHI_STL,-1.0
164,347,2013_12_DAL_NYG,-2.5
165,349,2013_12_DEN_NE,2.5
166,342,2013_12_IND_ARI,-2.5
167,334,2013_12_JAX_HOU,-10.0
168,332,2013_12_MIN_GB,-5.0
169,324,2013_12_NO_ATL,9.0
170,326,2013_12_NYJ_BAL,-3.5
171,328,2013_12_PIT_CLE,-2.0
172,336,2013_12_SD_KC,-4.5
173,351,2013_12_SF_WAS,5.5
174,330,2013_12_TB_DET,-9.0
175,344,2013_12_TEN_OAK,-1.0
176,371,2013_13_ARI_PHI,-3.0
177,373,2013_13_ATL_BUF,-3.0
178,367,2013_13_CHI_MIN,0.0
179,379,2013_13_CIN_SD,0.0
180,365,2013_13_DEN_KC,4.5
181,352,2013_13_GB_DET,-6.5
182,360,2013_13_JAX_CLE,-7.0
183,369,2013_13_MIA_NYJ,-2.0
184,376,2013_13_NE_HOU,7.5
185,383,2013_13_NO_SEA,-4.5
186,381,2013_13_NYG_WAS,1.0
187,354,2013_13_OAK_DAL,-9.5
188,356,2013_13_PIT_BAL,-3.0
189,374,2013_13_STL_SF,-8.0
190,358,2013_13_TB_CAR,-8.0
191,362,2013_13_TEN_IND,-4.5
192,413,2013_14_ATL_GB,-3.5
193,401,2013_14_BUF_TB,-2.5
194,395,2013_14_CAR_NO,-3.5
195,391,2013_14_CLE_NE,-11.5
196,414,2013_14_DAL_CHI,-1.0
197,397,2013_14_DET_PHI,-2.5
198,385,2013_14_HOU_JAX,3.0
199,388,2013_14_IND_CIN,-6.0
200,403,2013_14_KC_WAS,3.5
201,399,2013_14_MIA_PIT,-3.0
202,386,2013_14_MIN_BAL,-7.0
203,409,2013_14_NYG_SD,-3.0
204,392,2013_14_OAK_NYJ,-2.5
205,411,2013_14_SEA_SF,-3.0
206,406,2013_14_STL_ARI,-6.5
207,404,2013_14_TEN_DEN,-12.0
