,game_id,season,week,home_team,away_team,home_score,score_diff,away_score,home_team_win,epa_rushing_offense_home,epa_shifted_rushing_offense_home,ewma_rushing_offense_home,ewma_dynamic_window_rushing_offense_home,epa_passing_offense_home,epa_shifted_passing_offense_home,ewma_passing_offense_home,ewma_dynamic_window_passing_offense_home,epa_rushing_defense_home,epa_shifted_rushing_defense_home,ewma_rushing_defense_home,ewma_dynamic_window_rushing_defense_home,epa_passing_defense_home,epa_shifted_passing_defense_home,ewma_passing_defense_home,ewma_dynamic_window_passing_defense_home,epa_rushing_offense_away,epa_shifted_rushing_offense_away,ewma_rushing_offense_away,ewma_dynamic_window_rushing_offense_away,epa_passing_offense_away,epa_shifted_passing_offense_away,ewma_passing_offense_away,ewma_dynamic_window_passing_offense_away,epa_rushing_defense_away,epa_shifted_rushing_defense_away,ewma_rushing_defense_away,ewma_dynamic_window_rushing_defense_away,epa_passing_defense_away,epa_shifted_passing_defense_away,ewma_passing_defense_away,ewma_dynamic_window_passing_defense_away
18,2017_02_CLE_BAL,2017,2,BAL,CLE,24,14,10,1,-0.28038293,-0.09554399,-0.0955439880490303,-0.0955439880490303,0.1852485,-0.018676043,-0.018676042556762695,-0.018676042556762695,-0.035036057,-0.044061825,-0.044061824679374695,-0.044061824679374695,-0.29990467,-0.8156722,-0.8156722187995911,-0.8156722187995911,-0.035036057,-0.24151431,-0.24151431024074554,-0.24151431024074554,-0.29990467,-0.06735674,-0.06735674291849136,-0.06735674291849136,-0.28038293,-0.43501598,-0.4350159764289856,-0.4350159764289856,0.1852485,0.11800807,0.1180080696940422,0.1180080696940422
19,2017_02_DAL_DEN,2017,2,DEN,DAL,42,25,17,1,-0.0063756,-0.1714125,-0.17141249775886536,-0.17141249775886536,0.1678297,0.17652844,0.1765284389257431,0.1765284389257431,-0.2927164,-0.29639804,-0.2963980436325073,-0.2963980436325073,-0.3587436,0.077023014,0.07702301442623138,0.07702301442623138,-0.2927164,-0.011444943,-0.011444943025708199,-0.011444943025708199,-0.3587436,0.15174685,0.15174685418605804,0.15174685418605804,-0.0063756,-0.106212854,-0.10621285438537598,-0.10621285438537598,0.1678297,-0.14985457,-0.14985457062721252,-0.14985457062721252
20,2017_02_DET_NYG,2017,2,NYG,DET,10,-14,24,0,-0.32138568,-0.106212854,-0.10621285438537598,-0.10621285438537598,-0.2283534,-0.14985457,-0.14985457062721252,-0.14985457062721252,-0.106007576,-0.011444943,-0.011444943025708199,-0.011444943025708199,-0.038065508,0.15174685,0.15174685418605804,0.15174685418605804,-0.106007576,-0.32364157,-0.3236415684223175,-0.3236415684223175,-0.038065508,-0.065554745,-0.06555474549531937,-0.06555474549531937,-0.32138568,-0.4651705,-0.4651705026626587,-0.4651705026626587,-0.2283534,-0.21993557,-0.2199355661869049,-0.2199355661869049
21,2017_02_GB_ATL,2017,2,ATL,GB,34,11,23,1,0.10001902,-0.04050354,-0.04050353914499283,-0.04050353914499283,0.27842674,0.4223664,0.4223664104938507,0.4223664104938507,0.067423515,0.41338438,0.4133843779563904,0.4133843779563904,0.08145465,-0.15816718,-0.15816718339920044,-0.15816718339920044,0.067423515,-0.15705816,-0.15705816447734833,-0.15705816447734833,0.08145465,0.04721126,0.047211259603500366,0.047211259603500366,0.10001902,-0.12040026,-0.12040025740861893,-0.12040025740861893,0.27842674,-0.34426785,-0.3442678451538086,-0.3442678451538086
22,2017_02_HOU_CIN,2017,2,CIN,HOU,9,-4,13,0,-0.41425726,-0.044061825,-0.044061824679374695,-0.044061824679374695,-0.2475209,-0.8156722,-0.8156722187995911,-0.8156722187995911,-0.106614314,-0.09554399,-0.0955439880490303,-0.0955439880490303,-0.17738515,-0.018676043,-0.018676042556762695,-0.018676042556762695,-0.106614314,-0.012497428,-0.012497427873313427,-0.012497427873313427,-0.17738515,-0.8379437,-0.8379436731338501,-0.8379436731338501,-0.41425726,-0.04115593,-0.04115593060851097,-0.04115593060851097,-0.2475209,0.091587044,0.09158704429864883,0.09158704429864883
23,2017_02_MIA_LAC,2017,2,LAC,MIA,17,-2,19,0,-0.087603346,-0.29639804,-0.2963980436325073,-0.2963980436325073,0.28772956,0.077023014,0.07702301442623138,0.07702301442623138,0.011205887,-0.1714125,-0.17141249775886536,-0.17141249775886536,0.23034562,0.17652844,0.1765284389257431,0.1765284389257431,0.011205887,,,,0.23034562,,,,-0.087603346,,,,0.28772956,,,
24,2017_02_MIN_PIT,2017,2,PIT,MIN,26,17,9,1,-0.16166696,-0.43501598,-0.4350159764289856,-0.4350159764289856,0.114497714,0.11800807,0.1180080696940422,0.1180080696940422,-0.020550355,-0.24151431,-0.24151431024074554,-0.24151431024074554,-0.29863048,-0.06735674,-0.06735674291849136,-0.06735674291849136,-0.020550355,-0.21533988,-0.21533988416194916,-0.21533988416194916,-0.29863048,0.6392759,0.6392759084701538,0.6392759084701538,-0.16166696,-0.15536846,-0.15536846220493317,-0.15536846220493317,0.114497714,0.25636205,0.25636205077171326,0.25636205077171326
25,2017_02_NE_NO,2017,2,NO,NE,20,-16,36,0,-0.0120054595,-0.15536846,-0.15536846220493317,-0.15536846220493317,0.056811918,0.25636205,0.25636205077171326,0.25636205077171326,-0.052035447,-0.21533988,-0.21533988416194916,-0.21533988416194916,0.6119435,0.6392759,0.6392759084701538,0.6392759084701538,-0.052035447,-0.20163205,-0.2016320526599884,-0.2016320526599884,0.6119435,0.04497184,0.04497183859348297,0.04497183859348297,-0.0120054595,0.05272453,0.052724529057741165,0.052724529057741165,0.056811918,0.46212432,0.4621243178844452,0.4621243178844452
26,2017_02_NYJ_OAK,2017,2,LV,NYJ,45,25,20,1,0.22127376,0.0049822917,0.004982291720807552,0.004982291720807552,0.6042344,0.27405927,0.2740592658519745,0.2740592658519745,0.1654806,-0.071789354,-0.07178935408592224,-0.07178935408592224,-0.03813621,0.11128554,0.11128553748130798,0.11128553748130798,0.1654806,0.13897926,0.1389792561531067,0.1389792561531067,-0.03813621,-0.31336313,-0.31336313486099243,-0.31336313486099243,0.22127376,0.0019470169,0.0019470169208943844,0.0019470169208943844,0.6042344,0.13685724,0.13685724139213562,0.13685724139213562
27,2017_02_PHI_KC,2017,2,KC,PHI,27,7,20,1,0.21158317,0.05272453,0.052724529057741165,0.052724529057741165,0.1276023,0.46212432,0.4621243178844452,0.4621243178844452,0.20145753,-0.20163205,-0.2016320526599884,-0.2016320526599884,0.07049596,0.04497184,0.04497183859348297,0.04497183859348297,0.20145753,-0.53396237,-0.5339623689651489,-0.5339623689651489,0.07049596,0.22696063,0.22696062922477722,0.22696062922477722,0.21158317,-0.08770908,-0.08770907670259476,-0.08770907670259476,0.1276023,-0.32898316,-0.3289831578731537,-0.3289831578731537
