,game_id,season,week,home_team,away_team,home_score,score_diff,away_score,home_team_win,epa_rushing_offense_home,epa_shifted_rushing_offense_home,ewma_rushing_offense_home,ewma_dynamic_window_rushing_offense_home,epa_passing_offense_home,epa_shifted_passing_offense_home,ewma_passing_offense_home,ewma_dynamic_window_passing_offense_home,epa_rushing_defense_home,epa_shifted_rushing_defense_home,ewma_rushing_defense_home,ewma_dynamic_window_rushing_defense_home,epa_passing_defense_home,epa_shifted_passing_defense_home,ewma_passing_defense_home,ewma_dynamic_window_passing_defense_home,epa_rushing_offense_away,epa_shifted_rushing_offense_away,ewma_rushing_offense_away,ewma_dynamic_window_rushing_offense_away,epa_passing_offense_away,epa_shifted_passing_offense_away,ewma_passing_offense_away,ewma_dynamic_window_passing_offense_away,epa_rushing_defense_away,epa_shifted_rushing_defense_away,ewma_rushing_defense_away,ewma_dynamic_window_rushing_defense_away,epa_passing_defense_away,epa_shifted_passing_defense_away,ewma_passing_defense_away,ewma_dynamic_window_passing_defense_away
0,2012_01_ATL_KC,2012,1,KC,ATL,24,-16,40,0,0.15765688,,,,0.04620144,,,,-0.057742864,,,,0.68737656,,,,-0.057742864,,,,0.68737656,,,,0.15765688,,,,0.04620144,,,
1,2012_01_BUF_NYJ,2012,1,NYJ,BUF,48,20,28,1,-0.075024545,,,,0.7274524,,,,0.3508007,,,,-0.028707564,,,,0.3508007,,,,-0.028707564,,,,-0.075024545,,,,0.7274524,,,
2,2012_01_CAR_TB,2012,1,TB,CAR,16,6,10,1,-0.049459226,,,,-0.13627781,,,,-0.5616209,,,,0.09736143,,,,-0.5616209,,,,0.09736143,,,,-0.049459226,,,,-0.13627781,,,
3,2012_01_CIN_BAL,2012,1,BAL,CIN,44,31,13,1,0.17203024,,,,0.381623,,,,0.21169582,,,,-0.4107753,,,,0.21169582,,,,-0.4107753,,,,0.17203024,,,,0.381623,,,
4,2012_01_DAL_NYG,2012,1,NYG,DAL,17,-7,24,0,-0.19973356,,,,0.08922354,,,,0.07534133,,,,0.41656116,,,,0.07534133,,,,0.41656116,,,,-0.19973356,,,,0.08922354,,,
5,2012_01_IND_CHI,2012,1,CHI,IND,41,20,21,1,0.076178715,,,,0.22793522,,,,0.011094445,,,,-0.15402788,,,,0.011094445,,,,-0.15402788,,,,0.076178715,,,,0.22793522,,,
6,2012_01_JAX_MIN,2012,1,MIN,JAX,26,3,23,1,-0.017369417,,,,0.11524405,,,,-0.22567616,,,,0.3483832,,,,-0.22567616,,,,0.3483832,,,,-0.017369417,,,,0.11524405,,,
7,2012_01_MIA_HOU,2012,1,HOU,MIA,30,20,10,1,-0.21651097,,,,0.35657555,,,,-0.25167584,,,,-0.46005607,,,,-0.25167584,,,,-0.46005607,,,,-0.21651097,,,,0.35657555,,,
8,2012_01_NE_TEN,2012,1,TEN,NE,13,-21,34,0,-0.44799617,,,,-0.059841167,,,,0.15233944,,,,0.30526936,,,,0.15233944,,,,0.30526936,,,,-0.44799617,,,,-0.059841167,,,
9,2012_01_PHI_CLE,2012,1,CLE,PHI,16,-1,17,0,-0.26997074,,,,-0.5069383,,,,-0.06808004,,,,-0.22173691,,,,-0.06808004,,,,-0.22173691,,,,-0.26997074,,,,-0.5069383,,,
