,index,game_id,line
143,2847,2018_10_NE_TEN,6.5
144,2832,2018_10_NO_CIN,5.5
145,2855,2018_10_NYG_SF,-3.0
146,2850,2018_10_SEA_LA,-9.5
147,2844,2018_10_WAS_TB,-3.0
148,2865,2018_11_CAR_DET,4.0
149,2860,2018_11_CIN_BAL,-6.5
150,2858,2018_11_DAL_ATL,-3.5
151,2875,2018_11_DEN_LAC,-7.0
152,2857,2018_11_GB_SEA,-2.5
153,2871,2018_11_HOU_WAS,3.0
154,2881,2018_11_KC_LA,-3.5
155,2862,2018_11_MIN_CHI,-2.5
156,2872,2018_11_OAK_ARI,-5.5
157,2876,2018_11_PHI_NO,-8.5
158,2878,2018_11_PIT_JAX,5.5
159,2868,2018_11_TB_NYG,-1.5
160,2866,2018_11_TEN_IND,-2.0
161,2905,2018_12_ARI_LAC,-12.5
162,2887,2018_12_ATL_NO,-13.0
163,2883,2018_12_CHI_DET,3.0
164,2894,2018_12_CLE_CIN,-3.0
165,2909,2018_12_GB_MIN,-3.5
166,2890,2018_12_JAX_BUF,3.0
167,2896,2018_12_MIA_IND,-7.5
168,2899,2018_12_NE_NYJ,9.5
169,2901,2018_12_NYG_PHI,-6.0
170,2888,2018_12_OAK_BAL,-10.5
171,2906,2018_12_PIT_DEN,3.0
172,2892,2018_12_SEA_CAR,-3.5
173,2903,2018_12_SF_TB,-3.5
174,2910,2018_12_TEN_HOU,-6.5
175,2884,2018_12_WAS_DAL,-7.0
176,2921,2018_13_ARI_GB,-13.5
177,2914,2018_13_BAL_ATL,-1.0
178,2927,2018_13_BUF_MIA,-4.5
179,2933,2018_13_CAR_TB,3.5
180,2929,2018_13_CHI_NYG,5.5
181,2923,2018_13_CLE_HOU,-5.5
182,2916,2018_13_DEN_CIN,4.5
183,2925,2018_13_IND_JAX,4.0
184,2935,2018_13_KC_OAK,14.5
185,2931,2018_13_LAC_PIT,-3.5
186,2918,2018_13_LA_DET,9.5
187,2939,2018_13_MIN_NE,-5.0
188,2912,2018_13_NO_DAL,7.0
189,2937,2018_13_NYJ_TEN,-7.5
190,2940,2018_13_SF_SEA,-9.5
191,2942,2018_13_WAS_PHI,-6.5
192,2953,2018_14_ATL_GB,-5.5
193,2957,2018_14_BAL_KC,-6.5
194,2951,2018_14_CAR_CLE,2.5
195,2965,2018_14_CIN_LAC,-14.0
196,2967,2018_14_DEN_SF,4.5
197,2968,2018_14_DET_ARI,2.5
198,2954,2018_14_IND_HOU,-5.0
199,2945,2018_14_JAX_TEN,-4.5
200,2948,2018_14_LA_CHI,3.0
201,2975,2018_14_MIN_SEA,-3.5
