,index,game_id,line
144,3868,2020_10_SF_NO,-9.0
145,3850,2020_10_TB_CAR,5.5
146,3854,2020_10_WAS_DET,-4.0
147,3877,2020_11_ARI_SEA,-3.0
148,3891,2020_11_ATL_NO,-4.5
149,3893,2020_11_CIN_WAS,-1.5
150,3895,2020_11_DAL_MIN,-7.0
151,3880,2020_11_DET_CAR,-2.5
152,3887,2020_11_GB_IND,-1.5
153,3897,2020_11_KC_LV,7.5
154,3903,2020_11_LA_TB,-4.0
155,3898,2020_11_MIA_DEN,3.5
156,3884,2020_11_NE_HOU,1.5
157,3900,2020_11_NYJ_LAC,-8.5
158,3882,2020_11_PHI_CLE,-3.5
159,3888,2020_11_PIT_JAX,10.0
160,3878,2020_11_TEN_BAL,-6.5
161,3921,2020_12_ARI_NE,2.5
162,3919,2020_12_CAR_MIN,-3.5
163,3931,2020_12_CHI_GB,-9.5
164,3917,2020_12_CLE_JAX,6.5
165,3904,2020_12_HOU_DET,3.0
166,3929,2020_12_KC_TB,3.5
167,3910,2020_12_LAC_BUF,-5.5
168,3908,2020_12_LV_ATL,3.0
169,3923,2020_12_MIA_NYJ,6.5
170,3924,2020_12_NO_DEN,6.0
171,3912,2020_12_NYG_CIN,6.0
172,3932,2020_12_SEA_PHI,4.5
173,3926,2020_12_SF_LA,-7.0
174,3914,2020_12_TEN_IND,-3.0
175,3906,2020_12_WAS_DAL,-2.5
176,3959,2020_13_BUF_SF,2.5
177,3941,2020_13_CIN_MIA,-11.5
178,3947,2020_13_CLE_TEN,-5.5
179,3962,2020_13_DAL_BAL,-9.5
180,3957,2020_13_DEN_KC,-14.0
181,3936,2020_13_DET_CHI,-3.0
182,3938,2020_13_IND_HOU,3.5
183,3943,2020_13_JAX_MIN,-10.0
184,3948,2020_13_LA_ARI,3.0
185,3945,2020_13_LV_NYJ,8.5
186,3954,2020_13_NE_LAC,0.0
187,3934,2020_13_NO_ATL,3.0
188,3951,2020_13_NYG_SEA,-10.0
189,3952,2020_13_PHI_GB,-8.5
190,3960,2020_13_WAS_PIT,-7.5
191,3977,2020_14_ARI_NYG,1.5
192,3985,2020_14_ATL_LAC,2.5
193,3993,2020_14_BAL_CLE,1.0
194,3968,2020_14_DAL_CIN,3.5
195,3964,2020_14_DEN_CAR,-3.0
196,3970,2020_14_GB_DET,7.5
197,3966,2020_14_HOU_CHI,1.0
198,3981,2020_14_IND_LV,3.0
199,3975,2020_14_KC_MIA,7.0
200,3979,2020_14_MIN_TB,-6.5
201,3987,2020_14_NO_PHI,7.0
202,3983,2020_14_NYJ_SEA,-13.5
203,3990,2020_14_PIT_BUF,-2.5
204,3972,2020_14_TEN_JAX,7.5
205,3988,2020_14_WAS_SF,-3.0
206,3995,2020_15_BUF_DEN,6.5
207,3997,2020_15_CAR_GB,-8.5
208,4013,2020_15_CHI_MIN,-3.0
209,4015,2020_15_CLE_NYG,4.5
210,4005,2020_15_DET_TEN,-11.0
211,3999,2020_15_HOU_IND,-7.0
212,4008,2020_15_JAX_BAL,-12.5
213,4021,2020_15_KC_NO,3.0
214,4010,2020_15_NE_MIA,-2.0
215,4001,2020_15_NYJ_LA,-17.5
216,4000,2020_15_NYJ_LA,-5.5
217,4002,2020_15_NYJ_LA,5.5
218,4018,2020_15_PHI_ARI,-6.0
219,4024,2020_15_PIT_CIN,12.5
220,4017,2020_15_SEA_WAS,5.0
221,4022,2020_15_SF_DAL,3.0
222,4006,2020_15_TB_ATL,6.0
223,4047,2020_16_ATL_KC,-11.0
224,4059,2020_16_BUF_NE,7.0
225,4051,2020_16_CAR_WAS,-2.5
226,4045,2020_16_CHI_JAX,7.5
227,4043,2020_16_CIN_HOU,-8.0
228,4039,2020_16_CLE_NYJ,9.5
229,4037,2020_16_DEN_LAC,-3.0
230,4049,2020_16_IND_PIT,1.5
231,4053,2020_16_LA_SEA,-1.5
232,4032,2020_16_MIA_LV,3.0
233,4034,2020_16_MIA_LV,3.0
234,4033,2020_16_MIA_LV,-3.0
235,4027,2020_16_MIN_NO,-7.0
236,4040,2020_16_NYG_BAL,-10.5
237,4054,2020_16_PHI_DAL,2.5
238,4030,2020_16_SF_ARI,-5.0
239,4028,2020_16_TB_DET,9.5
240,4056,2020_16_TEN_GB,-3.0
241,4089,2020_17_ARI_LA,2.5
242,4081,2020_17_ATL_TB,-6.5
243,4067,2020_17_BAL_CIN,12.5
244,4077,2020_17_DAL_NYG,1.5
245,4064,2020_17_GB_CHI,5.5
246,4086,2020_17_JAX_IND,-14.0
247,4072,2020_17_LAC_KC,3.5
248,4082,2020_17_LV_DEN,2.5
249,4060,2020_17_MIA_BUF,-2.5
250,4070,2020_17_MIN_DET,6.5
251,4062,2020_17_NO_CAR,6.5
252,4074,2020_17_NYJ_NE,-3.0
253,4068,2020_17_PIT_CLE,-9.0
254,4091,2020_17_SEA_SF,6.0
255,4084,2020_17_TEN_HOU,7.5
256,4078,2020_17_WAS_PHI,2.5
